Time,Open,High,Low,Close,Volume
2025-05-26 00:45:00,272.13,275.2,272.02,274.96,35860.5
2025-05-26 01:00:00,274.98,276.16,271.73,273.49,39642.7
2025-05-26 01:15:00,273.5,273.72,270.49,271.58,38248.2
2025-05-26 01:30:00,271.58,274.27,271.35,273.38,10339.3
2025-05-26 01:45:00,273.38,273.44,269.46,269.91,19168.3
2025-05-26 02:00:00,269.91,271.57,269.31,269.49,17373.0
2025-05-26 02:15:00,269.46,271.95,269.01,271.23,13525.0
2025-05-26 02:30:00,271.21,271.45,268.65,269.0,12669.7
2025-05-26 02:45:00,268.99,271.0,268.81,270.04,13241.0
2025-05-26 03:00:00,270.04,270.37,269.13,269.52,5908.7
2025-05-26 03:15:00,269.53,270.68,268.92,270.6,10642.8
2025-05-26 03:30:00,270.61,271.05,269.5,270.89,11065.6
2025-05-26 03:45:00,270.9,271.14,269.69,270.1,7745.6
2025-05-26 04:00:00,270.08,270.3,269.44,269.57,5364.8
2025-05-26 04:15:00,269.56,269.73,268.06,268.15,14823.1
2025-05-26 04:30:00,268.16,268.74,267.41,267.58,12943.3
2025-05-26 04:45:00,267.56,269.16,267.55,267.65,11447.9
2025-05-26 05:00:00,267.66,268.14,266.58,267.51,10604.3
2025-05-26 05:15:00,267.51,267.64,266.69,266.88,13448.3
2025-05-26 05:30:00,266.88,267.31,266.0,266.06,12670.1
2025-05-26 05:45:00,266.06,267.77,266.0,267.41,12895.6
2025-05-26 06:00:00,267.41,268.95,266.62,267.88,11166.9
2025-05-26 06:15:00,267.86,268.3,267.52,268.18,6759.2
2025-05-26 06:30:00,268.17,268.62,267.62,268.53,7246.1
2025-05-26 06:45:00,268.53,272.16,268.53,271.7,22060.4
2025-05-26 07:00:00,271.69,273.87,271.08,271.38,28661.6
2025-05-26 07:15:00,271.39,273.42,271.05,271.99,16686.9
2025-05-26 07:30:00,272.0,272.35,270.45,270.55,10722.0
2025-05-26 07:45:00,270.56,270.61,269.49,270.1,12020.0
2025-05-26 08:00:00,270.1,270.55,268.15,268.56,12138.7
2025-05-26 08:15:00,268.57,269.26,267.85,268.28,11602.7
2025-05-26 08:30:00,268.28,268.31,266.42,266.69,14515.2
2025-05-26 08:45:00,266.68,267.35,266.03,266.48,15294.5
2025-05-26 09:00:00,266.5,267.6,265.51,267.32,15742.9
2025-05-26 09:15:00,267.32,267.87,266.79,267.09,9814.7
2025-05-26 09:30:00,267.08,267.82,266.59,267.44,8353.4
2025-05-26 09:45:00,267.44,267.74,265.81,265.93,8626.8
2025-05-26 10:00:00,265.93,266.02,264.8,264.95,13762.9
2025-05-26 10:15:00,264.96,265.79,264.77,265.42,6509.1
2025-05-26 10:30:00,265.42,265.84,264.39,264.55,17534.3
