Time,Open,High,Low,Close,Volume
2025-05-26 01:00:00,0.765,0.7659,0.7607,0.7615,250160.2
2025-05-26 01:15:00,0.7616,0.7633,0.7606,0.7618,191392.0
2025-05-26 01:30:00,0.7619,0.7641,0.7595,0.7632,236282.7
2025-05-26 01:45:00,0.7633,0.7639,0.7611,0.7625,299720.1
2025-05-26 02:00:00,0.7625,0.7626,0.7587,0.76,274769.5
2025-05-26 02:15:00,0.76,0.7615,0.7588,0.7599,197758.2
2025-05-26 02:30:00,0.7598,0.7598,0.7574,0.7587,241846.7
2025-05-26 02:45:00,0.7588,0.7605,0.7573,0.7604,229982.6
2025-05-26 03:00:00,0.7604,0.7605,0.7579,0.7592,108789.2
2025-05-26 03:15:00,0.7592,0.7616,0.7585,0.761,105140.0
2025-05-26 03:30:00,0.761,0.763,0.7605,0.7627,185079.6
2025-05-26 03:45:00,0.7628,0.7644,0.7622,0.7634,211014.8
2025-05-26 04:00:00,0.7635,0.7639,0.7614,0.7628,139178.9
2025-05-26 04:15:00,0.7629,0.7647,0.7622,0.7624,148428.9
2025-05-26 04:30:00,0.7623,0.7627,0.7611,0.762,123215.7
2025-05-26 04:45:00,0.762,0.7629,0.7612,0.7619,118679.6
2025-05-26 05:00:00,0.7619,0.7629,0.7608,0.7622,167823.9
2025-05-26 05:15:00,0.7622,0.7656,0.7622,0.7654,275957.0
2025-05-26 05:30:00,0.7654,0.7665,0.7647,0.7655,282177.0
2025-05-26 05:45:00,0.7655,0.7671,0.7649,0.7662,179169.1
2025-05-26 06:00:00,0.7663,0.7685,0.7656,0.7658,266722.3
2025-05-26 06:15:00,0.7657,0.7685,0.7657,0.7685,157690.3
2025-05-26 06:30:00,0.7685,0.7685,0.7645,0.7653,190260.8
2025-05-26 06:45:00,0.7653,0.7696,0.7647,0.7687,281633.3
2025-05-26 07:00:00,0.7687,0.7727,0.7687,0.7693,342737.5
2025-05-26 07:15:00,0.7693,0.7733,0.7685,0.7698,290426.9
2025-05-26 07:30:00,0.7698,0.7737,0.7682,0.7734,528576.9
2025-05-26 07:45:00,0.7735,0.7757,0.7723,0.7756,387736.2
2025-05-26 08:00:00,0.7756,0.7774,0.7728,0.7749,374902.0
2025-05-26 08:15:00,0.775,0.7765,0.7716,0.7727,332181.0
2025-05-26 08:30:00,0.7728,0.7731,0.7699,0.7699,447198.1
2025-05-26 08:45:00,0.7699,0.7714,0.7681,0.7695,471296.3
2025-05-26 09:00:00,0.7696,0.7721,0.7672,0.7717,415729.2
2025-05-26 09:15:00,0.7716,0.7723,0.7691,0.7691,295329.2
2025-05-26 09:30:00,0.7691,0.7702,0.7656,0.7661,477781.9
2025-05-26 09:45:00,0.766,0.7669,0.7643,0.7666,392342.3
2025-05-26 10:00:00,0.7667,0.768,0.7649,0.7668,160367.5
2025-05-26 10:15:00,0.7667,0.7693,0.7656,0.7682,101777.0
2025-05-26 10:30:00,0.7681,0.7687,0.767,0.7683,162810.9
2025-05-26 10:45:00,0.7684,0.7689,0.7619,0.7647,539802.7
2025-05-26 11:00:00,0.7646,0.766,0.7623,0.765,238331.4
2025-05-26 11:15:00,0.7651,0.7667,0.7642,0.7663,178626.2
2025-05-26 11:30:00,0.7663,0.768,0.764,0.7675,269990.0
2025-05-26 11:45:00,0.7674,0.7681,0.7657,0.7673,107975.6
2025-05-26 12:00:00,0.7672,0.7689,0.7655,0.7661,301871.3
2025-05-26 12:15:00,0.7661,0.7686,0.7654,0.7682,365929.3
2025-05-26 12:30:00,0.7682,0.7708,0.7682,0.7703,296346.0
2025-05-26 12:45:00,0.7704,0.7723,0.7697,0.7706,169979.4
2025-05-26 13:00:00,0.7706,0.7726,0.769,0.7695,365881.7
2025-05-26 13:15:00,0.7695,0.7712,0.7663,0.7685,374510.1
