Time,Open,High,Low,Close,Volume
2025-05-20 01:00:00,7.255,7.45,7.231,7.41,114938.1
2025-05-20 02:00:00,7.41,7.569,7.4,7.44,160809.4
2025-05-20 03:00:00,7.441,7.461,7.27,7.391,293865.8
2025-05-20 04:00:00,7.392,7.448,7.351,7.431,65503.3
2025-05-20 05:00:00,7.432,7.49,7.408,7.426,63218.6
2025-05-20 06:00:00,7.425,7.447,7.327,7.358,75142.5
2025-05-20 07:00:00,7.36,7.378,7.293,7.328,83602.5
2025-05-20 08:00:00,7.326,7.352,7.241,7.293,90325.3
2025-05-20 09:00:00,7.291,7.331,7.251,7.26,50904.5
2025-05-20 10:00:00,7.261,7.29,7.171,7.21,109688.0
2025-05-20 11:00:00,7.211,7.226,7.118,7.21,107698.0
2025-05-20 12:00:00,7.209,7.22,7.131,7.185,83941.6
2025-05-20 13:00:00,7.185,7.249,7.164,7.216,76111.8
2025-05-20 14:00:00,7.214,7.275,7.176,7.204,74153.4
2025-05-20 15:00:00,7.202,7.294,7.194,7.252,78890.5
2025-05-20 16:00:00,7.252,7.264,7.147,7.154,96948.7
2025-05-20 17:00:00,7.154,7.289,7.152,7.246,65372.9
2025-05-20 18:00:00,7.246,7.28,7.08,7.1,109085.5
2025-05-20 19:00:00,7.099,7.339,7.092,7.316,117091.0
2025-05-20 20:00:00,7.316,7.396,7.272,7.364,90683.3
2025-05-20 21:00:00,7.364,7.418,7.232,7.349,159878.7
2025-05-20 22:00:00,7.351,7.381,7.261,7.323,80323.8
2025-05-20 23:00:00,7.323,7.402,7.298,7.35,67776.3
2025-05-21 00:00:00,7.351,7.396,7.284,7.306,100083.1
2025-05-21 01:00:00,7.307,7.344,7.244,7.252,46841.1
2025-05-21 02:00:00,7.252,7.321,7.166,7.312,72090.6
2025-05-21 03:00:00,7.312,7.423,7.283,7.375,122826.7
2025-05-21 04:00:00,7.375,7.427,7.302,7.357,113915.8
2025-05-21 05:00:00,7.358,7.462,7.35,7.432,114154.6
2025-05-21 06:00:00,7.434,7.444,7.334,7.394,118056.8
2025-05-21 07:00:00,7.395,7.411,7.209,7.238,132169.0
2025-05-21 08:00:00,7.236,7.277,7.19,7.198,75778.9
2025-05-21 09:00:00,7.198,7.215,7.111,7.15,115157.1
2025-05-21 10:00:00,7.149,7.227,7.128,7.206,84245.5
2025-05-21 11:00:00,7.206,7.348,7.202,7.312,101336.8
2025-05-21 12:00:00,7.311,7.333,7.238,7.249,64452.8
2025-05-21 13:00:00,7.25,7.323,7.191,7.268,131854.9
2025-05-21 14:00:00,7.269,7.395,7.231,7.395,95172.1
2025-05-21 15:00:00,7.395,7.453,7.324,7.411,202841.3
2025-05-21 16:00:00,7.412,7.706,7.379,7.542,226180.4
2025-05-21 17:00:00,7.542,7.616,7.18,7.278,511879.0
2025-05-21 18:00:00,7.28,7.444,7.241,7.328,150182.6
2025-05-21 19:00:00,7.331,7.479,7.302,7.46,83463.1
2025-05-21 20:00:00,7.459,7.484,7.326,7.406,123520.8
2025-05-21 21:00:00,7.406,7.464,7.371,7.397,82409.8
2025-05-21 22:00:00,7.397,7.552,7.391,7.541,63406.1
2025-05-21 23:00:00,7.541,7.671,7.516,7.552,179497.6
2025-05-22 00:00:00,7.552,7.86,7.549,7.823,336034.3
2025-05-22 01:00:00,7.824,7.854,7.738,7.77,143187.8
2025-05-22 02:00:00,7.77,7.862,7.713,7.808,120668.9
2025-05-22 03:00:00,7.808,7.902,7.765,7.824,138973.8
2025-05-22 04:00:00,7.825,7.845,7.771,7.811,87437.9
2025-05-22 05:00:00,7.81,7.899,7.77,7.807,98879.0
2025-05-22 06:00:00,7.808,7.883,7.777,7.788,105502.6
2025-05-22 07:00:00,7.789,7.908,7.786,7.904,83362.9
2025-05-22 08:00:00,7.905,8.036,7.891,7.967,225507.9
2025-05-22 09:00:00,7.968,8.105,7.953,8.049,162523.2
2025-05-22 10:00:00,8.049,8.098,7.997,8.015,92477.2
2025-05-22 11:00:00,8.014,8.033,7.888,7.914,244735.7
2025-05-22 12:00:00,7.915,7.997,7.914,7.98,69864.5
2025-05-22 13:00:00,7.981,7.985,7.801,7.884,149110.7
2025-05-22 14:00:00,7.885,8.068,7.883,8.058,145589.3
2025-05-22 15:00:00,8.057,8.099,8.014,8.025,107592.8
