Time,Open,High,Low,Close,Volume
2025-05-26 00:45:00,4.808,4.826,4.805,4.823,62326.62
2025-05-26 01:00:00,4.823,4.83,4.809,4.814,76205.54
2025-05-26 01:15:00,4.813,4.82,4.806,4.808,53583.59
2025-05-26 01:30:00,4.808,4.825,4.805,4.823,33014.63
2025-05-26 01:45:00,4.823,4.83,4.813,4.82,39895.7
2025-05-26 02:00:00,4.82,4.829,4.808,4.816,44662.89
2025-05-26 02:15:00,4.815,4.822,4.81,4.814,24775.51
2025-05-26 02:30:00,4.814,4.814,4.8,4.804,42723.36
2025-05-26 02:45:00,4.803,4.81,4.8,4.805,29561.45
2025-05-26 03:00:00,4.805,4.805,4.793,4.8,56615.16
2025-05-26 03:15:00,4.799,4.823,4.795,4.818,53588.88
2025-05-26 03:30:00,4.819,4.826,4.812,4.821,38139.87
2025-05-26 03:45:00,4.821,4.828,4.803,4.807,68140.6
2025-05-26 04:00:00,4.806,4.809,4.795,4.798,44611.82
2025-05-26 04:15:00,4.797,4.808,4.795,4.802,31640.41
2025-05-26 04:30:00,4.802,4.804,4.793,4.797,32023.85
2025-05-26 04:45:00,4.797,4.803,4.792,4.799,35787.68
2025-05-26 05:00:00,4.798,4.802,4.794,4.799,34039.51
2025-05-26 05:15:00,4.799,4.821,4.796,4.816,66594.54
2025-05-26 05:30:00,4.817,4.823,4.805,4.806,43380.53
2025-05-26 05:45:00,4.806,4.82,4.803,4.817,35884.35
2025-05-26 06:00:00,4.817,4.823,4.811,4.822,59190.36
2025-05-26 06:15:00,4.821,4.835,4.82,4.835,51416.71
2025-05-26 06:30:00,4.836,4.836,4.822,4.827,37202.1
2025-05-26 06:45:00,4.827,4.853,4.827,4.851,93475.04
2025-05-26 07:00:00,4.852,4.876,4.85,4.862,96533.99
2025-05-26 07:15:00,4.862,4.888,4.855,4.885,104462.49
2025-05-26 07:30:00,4.885,4.905,4.875,4.891,118584.16
2025-05-26 07:45:00,4.892,4.913,4.879,4.911,122077.44
2025-05-26 08:00:00,4.911,4.931,4.911,4.926,151510.83
2025-05-26 08:15:00,4.926,4.939,4.921,4.935,113659.62
2025-05-26 08:30:00,4.936,4.949,4.91,4.914,231191.04
2025-05-26 08:45:00,4.913,4.913,4.887,4.897,111770.45
2025-05-26 09:00:00,4.896,4.925,4.886,4.924,78282.1
2025-05-26 09:15:00,4.923,4.926,4.897,4.897,52792.93
2025-05-26 09:30:00,4.898,4.899,4.873,4.879,72954.12
2025-05-26 09:45:00,4.879,4.885,4.867,4.874,76024.0
2025-05-26 10:00:00,4.874,4.886,4.866,4.876,96879.9
2025-05-26 10:15:00,4.875,4.89,4.868,4.879,55416.88
2025-05-26 10:30:00,4.878,4.878,4.867,4.871,28932.47
2025-05-26 10:45:00,4.872,4.874,4.847,4.849,72024.83
2025-05-26 11:00:00,4.849,4.857,4.836,4.852,62370.11
2025-05-26 11:15:00,4.851,4.874,4.851,4.872,76289.72
2025-05-26 11:30:00,4.872,4.874,4.848,4.864,88939.01
2025-05-26 11:45:00,4.863,4.863,4.842,4.854,35977.76
2025-05-26 12:00:00,4.854,4.862,4.846,4.85,99920.71
2025-05-26 12:15:00,4.851,4.869,4.844,4.852,129947.38
2025-05-26 12:30:00,4.852,4.858,4.844,4.853,30972.41
2025-05-26 12:45:00,4.853,4.871,4.849,4.861,132591.89
2025-05-26 13:00:00,4.861,4.873,4.841,4.853,122816.82
2025-05-26 13:15:00,4.853,4.864,4.833,4.851,99909.25
2025-05-26 13:30:00,4.852,4.861,4.847,4.856,109274.5
2025-05-26 13:45:00,4.855,4.856,4.786,4.806,319397.3
2025-05-26 14:00:00,4.806,4.821,4.793,4.819,130708.82
2025-05-26 14:15:00,4.819,4.819,4.79,4.803,139564.8
2025-05-26 14:30:00,4.802,4.804,4.774,4.794,87718.95
2025-05-26 14:45:00,4.794,4.806,4.784,4.802,42031.11
2025-05-26 15:00:00,4.802,4.813,4.79,4.807,70248.75
2025-05-26 15:15:00,4.806,4.823,4.801,4.819,47430.16
2025-05-26 15:30:00,4.82,4.868,4.82,4.849,123285.92
2025-05-26 15:45:00,4.848,4.865,4.848,4.854,59785.54
2025-05-26 16:00:00,4.854,4.877,4.851,4.852,112619.0
2025-05-26 16:15:00,4.853,4.855,4.798,4.814,166753.74
2025-05-26 16:30:00,4.813,4.834,4.803,4.834,57481.58
2025-05-26 16:45:00,4.835,4.84,4.815,4.824,73680.48
2025-05-26 17:00:00,4.823,4.835,4.812,4.812,47831.92
2025-05-26 17:15:00,4.812,4.818,4.784,4.796,85166.19
2025-05-26 17:30:00,4.796,4.796,4.768,4.776,98431.79
2025-05-26 17:45:00,4.775,4.775,4.744,4.752,167652.45
2025-05-26 18:00:00,4.753,4.78,4.742,4.778,98275.84
2025-05-26 18:15:00,4.779,4.782,4.76,4.781,50856.94
2025-05-26 18:30:00,4.782,4.785,4.769,4.772,36272.16
2025-05-26 18:45:00,4.773,4.773,4.757,4.761,30858.57
2025-05-26 19:00:00,4.761,4.769,4.745,4.766,57886.8
2025-05-26 19:15:00,4.766,4.772,4.755,4.763,73153.33
2025-05-26 19:30:00,4.764,4.766,4.739,4.753,61290.8
2025-05-26 19:45:00,4.753,4.767,4.751,4.762,19517.85
2025-05-26 20:00:00,4.76,4.772,4.741,4.771,75815.25
2025-05-26 20:15:00,4.771,4.776,4.751,4.765,40273.68
2025-05-26 20:30:00,4.765,4.793,4.759,4.788,84089.06
2025-05-26 20:45:00,4.789,4.798,4.778,4.796,45423.95
2025-05-26 21:00:00,4.795,4.8,4.782,4.793,33351.55
2025-05-26 21:15:00,4.793,4.797,4.78,4.79,21545.63
2025-05-26 21:30:00,4.79,4.804,4.784,4.787,40086.35
2025-05-26 21:45:00,4.786,4.787,4.773,4.78,23717.47
2025-05-26 22:00:00,4.781,4.824,4.777,4.808,64691.35
2025-05-26 22:15:00,4.809,4.815,4.785,4.785,40957.67
2025-05-26 22:30:00,4.785,4.792,4.778,4.781,26592.83
2025-05-26 22:45:00,4.781,4.782,4.762,4.763,51215.41
2025-05-26 23:00:00,4.763,4.763,4.744,4.756,112240.07
2025-05-26 23:15:00,4.756,4.756,4.74,4.753,55173.35
2025-05-26 23:30:00,4.754,4.767,4.751,4.765,46798.25
2025-05-26 23:45:00,4.765,4.776,4.763,4.774,31473.61
2025-05-27 00:00:00,4.774,4.781,4.759,4.78,68264.68
2025-05-27 00:15:00,4.78,4.792,4.759,4.759,40239.46
2025-05-27 00:30:00,4.76,4.76,4.742,4.745,35902.5
