Time,Open,High,Low,Close,Volume
2025-05-26 00:45:00,2.3504,2.3641,2.349,2.3619,140587.0
2025-05-26 01:00:00,2.3619,2.368,2.3515,2.3598,150396.0
2025-05-26 01:15:00,2.3597,2.3669,2.354,2.3646,52532.0
2025-05-26 01:30:00,2.3646,2.3784,2.3618,2.3779,112614.0
2025-05-26 01:45:00,2.3775,2.3833,2.3761,2.3797,175634.0
2025-05-26 02:00:00,2.3797,2.3804,2.3694,2.3779,108633.0
2025-05-26 02:15:00,2.3778,2.3875,2.3754,2.3854,109532.0
2025-05-26 02:30:00,2.3857,2.3857,2.3716,2.3762,77243.0
2025-05-26 02:45:00,2.3763,2.3772,2.3709,2.3748,36258.0
2025-05-26 03:00:00,2.3748,2.377,2.3653,2.3692,87927.0
2025-05-26 03:15:00,2.3692,2.3867,2.3679,2.3854,224442.0
2025-05-26 03:30:00,2.3854,2.3978,2.3822,2.3932,190974.0
2025-05-26 03:45:00,2.3931,2.4034,2.3928,2.398,125721.0
2025-05-26 04:00:00,2.3981,2.3986,2.3864,2.3945,117213.0
2025-05-26 04:15:00,2.3946,2.3984,2.3921,2.3955,39791.0
2025-05-26 04:30:00,2.3956,2.4013,2.3896,2.398,170066.0
2025-05-26 04:45:00,2.3979,2.4081,2.3946,2.3951,91013.0
2025-05-26 05:00:00,2.3953,2.3954,2.3821,2.3875,73586.0
2025-05-26 05:15:00,2.3875,2.3917,2.385,2.3898,55607.0
2025-05-26 05:30:00,2.3897,2.3941,2.3842,2.3919,98075.0
2025-05-26 05:45:00,2.3914,2.4033,2.3914,2.3986,145333.0
2025-05-26 06:00:00,2.3985,2.4076,2.3968,2.403,114052.0
2025-05-26 06:15:00,2.403,2.4214,2.4009,2.4189,332765.0
2025-05-26 06:30:00,2.4189,2.4276,2.4125,2.4263,109450.0
2025-05-26 06:45:00,2.4263,2.4459,2.4263,2.4456,294652.0
2025-05-26 07:00:00,2.4456,2.4544,2.4356,2.4376,248155.0
2025-05-26 07:15:00,2.4378,2.4411,2.4237,2.4297,305226.0
2025-05-26 07:30:00,2.4296,2.4516,2.429,2.4502,256363.0
2025-05-26 07:45:00,2.4502,2.4684,2.447,2.467,257970.0
2025-05-26 08:00:00,2.4671,2.4699,2.4476,2.4576,406424.0
2025-05-26 08:15:00,2.4576,2.4647,2.451,2.452,137509.0
2025-05-26 08:30:00,2.4522,2.4535,2.4414,2.451,200811.0
2025-05-26 08:45:00,2.4501,2.4501,2.435,2.4428,136164.0
2025-05-26 09:00:00,2.4429,2.4571,2.4429,2.4547,122242.0
2025-05-26 09:15:00,2.4546,2.4596,2.4529,2.4577,72936.0
2025-05-26 09:30:00,2.4576,2.4661,2.456,2.4566,106269.0
2025-05-26 09:45:00,2.4566,2.4566,2.4471,2.4545,133443.0
2025-05-26 10:00:00,2.4548,2.4752,2.4521,2.4669,176675.0
2025-05-26 10:15:00,2.4668,2.4822,2.4638,2.4743,159783.0
2025-05-26 10:30:00,2.4744,2.4928,2.4695,2.49,199718.0
2025-05-26 10:45:00,2.4899,2.4925,2.4609,2.4685,268180.0
2025-05-26 11:00:00,2.4685,2.4785,2.4582,2.4698,183474.0
2025-05-26 11:15:00,2.4704,2.4806,2.4685,2.4785,76833.0
2025-05-26 11:30:00,2.4783,2.4946,2.4758,2.4912,326609.0
2025-05-26 11:45:00,2.4909,2.5017,2.4717,2.4737,372827.0
2025-05-26 12:00:00,2.4736,2.4793,2.4554,2.4586,462771.0
2025-05-26 12:15:00,2.4578,2.4726,2.4521,2.469,243658.0
2025-05-26 12:30:00,2.4692,2.4743,2.461,2.4742,112140.0
2025-05-26 12:45:00,2.4743,2.4762,2.4556,2.4561,284426.0
2025-05-26 13:00:00,2.456,2.4572,2.4276,2.4377,664081.0
2025-05-26 13:15:00,2.4379,2.4426,2.4221,2.4318,337322.0
2025-05-26 13:30:00,2.4315,2.4405,2.4201,2.4298,191459.0
2025-05-26 13:45:00,2.4303,2.4339,2.4097,2.415,270369.0
2025-05-26 14:00:00,2.4145,2.426,2.4111,2.4257,149679.0
2025-05-26 14:15:00,2.4257,2.4257,2.405,2.4153,145858.0
2025-05-26 14:30:00,2.415,2.4186,2.4041,2.4121,123804.0
2025-05-26 14:45:00,2.412,2.4222,2.4069,2.4211,127315.0
2025-05-26 15:00:00,2.421,2.4269,2.4148,2.4179,146905.0
2025-05-26 15:15:00,2.4177,2.4337,2.4161,2.4319,125260.0
2025-05-26 15:30:00,2.4322,2.4456,2.4274,2.4288,288390.0
2025-05-26 15:45:00,2.4291,2.4439,2.4291,2.4387,113018.0
2025-05-26 16:00:00,2.4385,2.4485,2.4376,2.4417,114541.0
2025-05-26 16:15:00,2.4417,2.4424,2.413,2.4207,291440.0
2025-05-26 16:30:00,2.4207,2.4304,2.4114,2.43,133189.0
2025-05-26 16:45:00,2.4303,2.4332,2.4195,2.4283,99218.0
2025-05-26 17:00:00,2.4283,2.438,2.427,2.4352,91974.0
2025-05-26 17:15:00,2.4351,2.4381,2.4236,2.4272,67270.0
2025-05-26 17:30:00,2.4272,2.428,2.416,2.4203,55518.0
2025-05-26 17:45:00,2.4202,2.4202,2.4057,2.418,221472.0
2025-05-26 18:00:00,2.4181,2.4294,2.409,2.4286,128157.0
2025-05-26 18:15:00,2.4281,2.4293,2.4206,2.4291,87188.0
2025-05-26 18:30:00,2.4292,2.4298,2.4228,2.4265,63964.0
2025-05-26 18:45:00,2.4269,2.4295,2.4235,2.426,31538.0
