Time,Open,High,Low,Close,Volume
2025-05-26 00:45:00,4.536,4.565,4.535,4.563,444675.8
2025-05-26 01:00:00,4.562,4.572,4.541,4.544,221465.2
2025-05-26 01:15:00,4.544,4.547,4.533,4.539,261419.1
2025-05-26 01:30:00,4.539,4.561,4.531,4.554,119937.9
2025-05-26 01:45:00,4.555,4.566,4.547,4.554,197112.5
2025-05-26 02:00:00,4.554,4.557,4.54,4.542,143920.9
2025-05-26 02:15:00,4.542,4.557,4.537,4.542,137512.3
2025-05-26 02:30:00,4.543,4.543,4.524,4.529,148303.2
2025-05-26 02:45:00,4.529,4.531,4.521,4.528,100403.2
2025-05-26 03:00:00,4.528,4.53,4.519,4.527,167307.2
2025-05-26 03:15:00,4.527,4.548,4.523,4.544,137879.1
2025-05-26 03:30:00,4.544,4.56,4.539,4.555,228711.7
2025-05-26 03:45:00,4.554,4.57,4.554,4.559,245383.6
2025-05-26 04:00:00,4.56,4.57,4.55,4.559,158863.1
2025-05-26 04:15:00,4.56,4.572,4.558,4.56,180585.8
2025-05-26 04:30:00,4.56,4.57,4.55,4.553,421619.5
2025-05-26 04:45:00,4.552,4.56,4.544,4.556,290476.2
2025-05-26 05:00:00,4.555,4.559,4.544,4.552,112420.0
2025-05-26 05:15:00,4.551,4.57,4.549,4.566,149580.9
2025-05-26 05:30:00,4.565,4.571,4.555,4.555,100033.8
2025-05-26 05:45:00,4.556,4.569,4.555,4.564,113205.1
2025-05-26 06:00:00,4.564,4.576,4.557,4.561,216203.9
2025-05-26 06:15:00,4.56,4.574,4.558,4.574,164929.4
2025-05-26 06:30:00,4.574,4.576,4.558,4.563,95469.9
2025-05-26 06:45:00,4.563,4.586,4.55,4.579,807358.3
2025-05-26 07:00:00,4.579,4.607,4.578,4.589,524032.1
2025-05-26 07:15:00,4.588,4.615,4.582,4.591,395396.5
2025-05-26 07:30:00,4.591,4.6,4.579,4.598,212143.2
2025-05-26 07:45:00,4.598,4.604,4.59,4.604,226983.9
2025-05-26 08:00:00,4.604,4.606,4.584,4.593,287959.2
2025-05-26 08:15:00,4.593,4.6,4.583,4.586,171919.8
2025-05-26 08:30:00,4.586,4.587,4.563,4.57,360642.7
2025-05-26 08:45:00,4.57,4.576,4.561,4.568,186169.2
2025-05-26 09:00:00,4.569,4.585,4.563,4.582,202597.7
2025-05-26 09:15:00,4.583,4.586,4.576,4.579,96226.0
2025-05-26 09:30:00,4.579,4.582,4.558,4.561,213576.9
2025-05-26 09:45:00,4.561,4.563,4.551,4.557,217101.9
2025-05-26 10:00:00,4.557,4.563,4.547,4.56,236104.7
2025-05-26 10:15:00,4.56,4.569,4.554,4.562,312831.5
2025-05-26 10:30:00,4.562,4.563,4.552,4.561,122017.5
2025-05-26 10:45:00,4.561,4.564,4.534,4.546,203652.7
2025-05-26 11:00:00,4.545,4.547,4.535,4.544,267336.3
2025-05-26 11:15:00,4.543,4.544,4.534,4.537,214884.4
2025-05-26 11:30:00,4.538,4.54,4.52,4.531,352416.9
2025-05-26 11:45:00,4.53,4.53,4.51,4.519,300445.6
2025-05-26 12:00:00,4.52,4.527,4.501,4.507,390823.6
2025-05-26 12:15:00,4.507,4.522,4.504,4.516,251290.9
2025-05-26 12:30:00,4.517,4.532,4.516,4.529,211162.3
2025-05-26 12:45:00,4.53,4.548,4.528,4.536,257374.1
2025-05-26 13:00:00,4.536,4.551,4.525,4.532,223644.8
2025-05-26 13:15:00,4.531,4.54,4.509,4.527,279437.3
2025-05-26 13:30:00,4.526,4.545,4.523,4.529,318230.4
2025-05-26 13:45:00,4.53,4.53,4.48,4.491,543948.2
2025-05-26 14:00:00,4.491,4.523,4.479,4.511,630631.5
2025-05-26 14:15:00,4.51,4.511,4.468,4.484,492651.6
2025-05-26 14:30:00,4.484,4.489,4.461,4.477,672099.8
2025-05-26 14:45:00,4.477,4.488,4.466,4.488,276826.8
2025-05-26 15:00:00,4.489,4.497,4.474,4.481,221213.1
2025-05-26 15:15:00,4.48,4.504,4.475,4.502,218261.5
2025-05-26 15:30:00,4.502,4.547,4.502,4.521,660985.9
2025-05-26 15:45:00,4.521,4.539,4.521,4.524,334767.3
2025-05-26 16:00:00,4.524,4.545,4.52,4.522,319475.2
2025-05-26 16:15:00,4.521,4.523,4.461,4.477,869703.7
2025-05-26 16:30:00,4.476,4.496,4.459,4.491,336693.6
2025-05-26 16:45:00,4.492,4.496,4.474,4.483,330105.3
2025-05-26 17:00:00,4.482,4.497,4.478,4.484,220983.3
2025-05-26 17:15:00,4.483,4.488,4.454,4.463,343158.4
2025-05-26 17:30:00,4.464,4.468,4.439,4.448,531252.7
2025-05-26 17:45:00,4.447,4.447,4.419,4.439,459032.1
2025-05-26 18:00:00,4.439,4.462,4.427,4.462,288448.0
2025-05-26 18:15:00,4.461,4.471,4.449,4.467,169315.2
2025-05-26 18:30:00,4.467,4.477,4.458,4.46,293703.7
2025-05-26 18:45:00,4.461,4.462,4.442,4.447,139945.5
2025-05-26 19:00:00,4.446,4.458,4.434,4.455,220086.3
2025-05-26 19:15:00,4.455,4.464,4.45,4.453,138094.8
2025-05-26 19:30:00,4.453,4.455,4.433,4.444,158229.3
2025-05-26 19:45:00,4.444,4.452,4.439,4.445,126301.5
2025-05-26 20:00:00,4.444,4.457,4.43,4.455,211727.2
2025-05-26 20:15:00,4.455,4.46,4.437,4.449,110301.2
2025-05-26 20:30:00,4.449,4.48,4.445,4.47,168604.5
2025-05-26 20:45:00,4.469,4.483,4.463,4.481,201021.5
2025-05-26 21:00:00,4.48,4.486,4.463,4.466,211262.4
2025-05-26 21:15:00,4.466,4.473,4.455,4.467,134467.3
2025-05-26 21:30:00,4.466,4.48,4.459,4.463,109551.2
2025-05-26 21:45:00,4.463,4.474,4.456,4.466,65990.1
2025-05-26 22:00:00,4.467,4.497,4.46,4.487,235079.9
2025-05-26 22:15:00,4.486,4.492,4.466,4.466,153331.4
2025-05-26 22:30:00,4.466,4.475,4.459,4.462,126009.3
2025-05-26 22:45:00,4.461,4.462,4.447,4.452,146133.2
2025-05-26 23:00:00,4.451,4.453,4.438,4.447,195220.7
2025-05-26 23:15:00,4.447,4.448,4.437,4.445,109097.8
2025-05-26 23:30:00,4.445,4.465,4.442,4.458,182013.7
2025-05-26 23:45:00,4.459,4.469,4.455,4.464,57781.8
2025-05-27 00:00:00,4.465,4.478,4.456,4.476,165363.0
2025-05-27 00:15:00,4.475,4.491,4.46,4.464,167513.1
2025-05-27 00:30:00,4.464,4.464,4.445,4.449,96395.5
