Time,Open,High,Low,Close,Volume
2025-05-26 01:00:00,0.614,0.615,0.609,0.609,952834.7
2025-05-26 01:15:00,0.609,0.61,0.607,0.608,453033.2
2025-05-26 01:30:00,0.608,0.615,0.607,0.614,1133013.5
2025-05-26 01:45:00,0.615,0.615,0.611,0.612,564453.5
2025-05-26 02:00:00,0.613,0.613,0.609,0.61,807438.7
2025-05-26 02:15:00,0.61,0.612,0.609,0.61,308563.3
2025-05-26 02:30:00,0.611,0.611,0.606,0.606,1169665.4
2025-05-26 02:45:00,0.607,0.608,0.604,0.607,323521.8
2025-05-26 03:00:00,0.607,0.608,0.605,0.607,328978.2
2025-05-26 03:15:00,0.608,0.611,0.607,0.61,414208.8
2025-05-26 03:30:00,0.609,0.61,0.607,0.609,397845.8
2025-05-26 03:45:00,0.609,0.612,0.608,0.609,418499.6
2025-05-26 04:00:00,0.609,0.611,0.607,0.609,553324.2
2025-05-26 04:15:00,0.608,0.612,0.608,0.61,296951.6
2025-05-26 04:30:00,0.611,0.611,0.609,0.61,417280.3
2025-05-26 04:45:00,0.61,0.612,0.608,0.61,471639.0
2025-05-26 05:00:00,0.611,0.611,0.607,0.608,442992.2
2025-05-26 05:15:00,0.608,0.61,0.606,0.609,427575.1
2025-05-26 05:30:00,0.609,0.611,0.607,0.607,302273.7
2025-05-26 05:45:00,0.607,0.611,0.607,0.61,257848.5
2025-05-26 06:00:00,0.61,0.612,0.607,0.608,570946.6
2025-05-26 06:15:00,0.607,0.611,0.607,0.61,427398.0
2025-05-26 06:30:00,0.61,0.61,0.608,0.609,361133.2
2025-05-26 06:45:00,0.609,0.615,0.609,0.613,511032.2
2025-05-26 07:00:00,0.613,0.62,0.613,0.615,1146706.7
2025-05-26 07:15:00,0.616,0.618,0.613,0.613,759160.6
2025-05-26 07:30:00,0.613,0.616,0.61,0.615,923579.0
2025-05-26 07:45:00,0.615,0.616,0.613,0.615,678069.9
2025-05-26 08:00:00,0.615,0.617,0.613,0.615,652529.6
2025-05-26 08:15:00,0.615,0.617,0.61,0.61,619492.7
2025-05-26 08:30:00,0.611,0.611,0.607,0.609,718964.9
2025-05-26 08:45:00,0.608,0.611,0.606,0.608,717312.2
2025-05-26 09:00:00,0.608,0.61,0.606,0.61,443172.4
2025-05-26 09:15:00,0.61,0.611,0.608,0.609,434921.4
2025-05-26 09:30:00,0.609,0.61,0.604,0.605,1127466.5
