Time,Open,High,Low,Close,Volume
2025-04-27 04:00:00,1.372,1.375,1.348,1.359,1098728.0
2025-04-27 08:00:00,1.359,1.364,1.342,1.344,976859.0
2025-04-27 12:00:00,1.345,1.348,1.328,1.331,1493447.0
2025-04-27 16:00:00,1.332,1.34,1.319,1.339,1085411.0
2025-04-27 20:00:00,1.339,1.34,1.322,1.323,818454.0
2025-04-28 00:00:00,1.324,1.337,1.297,1.331,2492228.0
2025-04-28 04:00:00,1.332,1.391,1.332,1.385,3487953.0
2025-04-28 08:00:00,1.384,1.403,1.368,1.394,3290300.0
2025-04-28 12:00:00,1.395,1.398,1.34,1.357,3217997.0
2025-04-28 16:00:00,1.357,1.392,1.341,1.385,1444767.0
2025-04-28 20:00:00,1.385,1.395,1.379,1.389,1207766.0
2025-04-29 00:00:00,1.389,1.397,1.377,1.392,1497704.0
2025-04-29 04:00:00,1.392,1.401,1.355,1.392,3073236.0
2025-04-29 08:00:00,1.392,1.395,1.37,1.377,948500.0
2025-04-29 12:00:00,1.376,1.389,1.363,1.374,1114933.0
2025-04-29 16:00:00,1.374,1.392,1.373,1.38,830540.0
2025-04-29 20:00:00,1.38,1.383,1.332,1.336,2287467.0
2025-04-30 00:00:00,1.337,1.367,1.332,1.353,2190214.0
2025-04-30 04:00:00,1.353,1.358,1.338,1.343,1175772.0
2025-04-30 08:00:00,1.343,1.376,1.34,1.374,1216889.0
2025-04-30 12:00:00,1.374,1.379,1.284,1.314,4926995.0
2025-04-30 16:00:00,1.313,1.345,1.306,1.329,1389273.0
2025-04-30 20:00:00,1.33,1.347,1.328,1.335,1099064.0
2025-05-01 00:00:00,1.334,1.359,1.331,1.34,1176023.0
2025-05-01 04:00:00,1.34,1.359,1.328,1.355,1705321.0
2025-05-01 08:00:00,1.355,1.395,1.354,1.39,2093794.0
2025-05-01 12:00:00,1.391,1.446,1.371,1.412,3389489.0
2025-05-01 16:00:00,1.411,1.481,1.388,1.393,6211280.0
2025-05-01 20:00:00,1.393,1.413,1.385,1.394,1324077.0
2025-05-02 00:00:00,1.394,1.431,1.384,1.412,2290257.0
2025-05-02 04:00:00,1.413,1.418,1.39,1.391,1034040.0
2025-05-02 08:00:00,1.391,1.425,1.3,1.306,7088443.0
2025-05-02 12:00:00,1.307,1.339,1.295,1.326,3873711.0
2025-05-02 16:00:00,1.327,1.344,1.311,1.314,1942022.0
2025-05-02 20:00:00,1.313,1.323,1.297,1.308,1705849.0
2025-05-03 00:00:00,1.309,1.31,1.288,1.297,2259827.0
2025-05-03 04:00:00,1.297,1.304,1.281,1.282,1951075.0
2025-05-03 08:00:00,1.283,1.283,1.246,1.26,3220518.0
2025-05-03 12:00:00,1.261,1.279,1.26,1.27,2074649.0
2025-05-03 16:00:00,1.27,1.271,1.247,1.27,2114863.0
2025-05-03 20:00:00,1.27,1.287,1.264,1.264,1516316.0
2025-05-04 00:00:00,1.265,1.343,1.258,1.336,4726443.0
2025-05-04 04:00:00,1.336,1.352,1.31,1.322,3598860.0
2025-05-04 08:00:00,1.323,1.324,1.303,1.308,2020771.0
2025-05-04 12:00:00,1.307,1.312,1.263,1.273,4374433.0
2025-05-04 16:00:00,1.272,1.277,1.252,1.264,2065523.0
2025-05-04 20:00:00,1.263,1.273,1.243,1.257,1832405.0
2025-05-05 00:00:00,1.256,1.265,1.23,1.251,1762550.0
2025-05-05 04:00:00,1.252,1.265,1.249,1.262,998327.0
2025-05-05 08:00:00,1.262,1.267,1.228,1.239,1841610.0
2025-05-05 12:00:00,1.239,1.259,1.233,1.237,2273924.0
2025-05-05 16:00:00,1.238,1.308,1.237,1.262,3340427.0
2025-05-05 20:00:00,1.262,1.266,1.246,1.249,1647959.0
2025-05-06 00:00:00,1.248,1.257,1.221,1.244,1942559.0
2025-05-06 04:00:00,1.245,1.248,1.23,1.234,1419048.0
2025-05-06 08:00:00,1.234,1.235,1.195,1.199,2559595.0
2025-05-06 12:00:00,1.2,1.212,1.184,1.204,2943125.0
2025-05-06 16:00:00,1.203,1.232,1.193,1.224,2219296.0
2025-05-06 20:00:00,1.224,1.294,1.213,1.293,3496221.0
2025-05-07 00:00:00,1.292,1.319,1.26,1.271,6041575.0
2025-05-07 04:00:00,1.272,1.278,1.256,1.268,1721880.0
2025-05-07 08:00:00,1.268,1.272,1.252,1.255,1440824.0
2025-05-07 12:00:00,1.255,1.258,1.233,1.234,2453976.0
2025-05-07 16:00:00,1.234,1.243,1.22,1.23,2707988.0
2025-05-07 20:00:00,1.23,1.254,1.228,1.246,1183062.0
2025-05-08 00:00:00,1.245,1.295,1.243,1.295,3124991.0
2025-05-08 04:00:00,1.295,1.314,1.294,1.306,2297833.0
2025-05-08 08:00:00,1.307,1.322,1.305,1.31,2086574.0
2025-05-08 12:00:00,1.311,1.353,1.302,1.342,3564628.0
2025-05-08 16:00:00,1.342,1.359,1.336,1.355,2711698.0
2025-05-08 20:00:00,1.355,1.392,1.352,1.38,2914602.0
2025-05-09 00:00:00,1.38,1.407,1.369,1.393,3306217.0
2025-05-09 04:00:00,1.393,1.462,1.392,1.45,3872880.0
2025-05-09 08:00:00,1.449,1.491,1.435,1.472,6752541.0
2025-05-09 12:00:00,1.473,1.493,1.454,1.481,4921161.0
2025-05-09 16:00:00,1.48,1.507,1.458,1.491,2959863.0
2025-05-09 20:00:00,1.491,1.5,1.481,1.495,1148861.0
2025-05-10 00:00:00,1.494,1.544,1.493,1.536,3432012.0
2025-05-10 04:00:00,1.535,1.664,1.527,1.641,8321382.0
2025-05-10 08:00:00,1.641,1.755,1.627,1.659,14093829.0
2025-05-10 12:00:00,1.659,1.694,1.654,1.668,4208547.0
2025-05-10 16:00:00,1.667,1.715,1.667,1.696,2626344.0
2025-05-10 20:00:00,1.695,1.745,1.677,1.742,4696100.0
2025-05-11 00:00:00,1.741,1.799,1.669,1.785,7508564.0
2025-05-11 04:00:00,1.784,1.821,1.673,1.691,12691025.0
2025-05-11 08:00:00,1.692,1.756,1.687,1.744,3422920.0
2025-05-11 12:00:00,1.743,1.763,1.694,1.713,4297652.0
2025-05-11 16:00:00,1.712,1.749,1.692,1.739,1662147.0
2025-05-11 20:00:00,1.739,1.759,1.717,1.757,2259588.0
2025-05-12 00:00:00,1.757,1.815,1.731,1.8,5225219.0
2025-05-12 04:00:00,1.8,2.031,1.796,2.011,12415411.0
2025-05-12 08:00:00,2.011,2.085,1.944,1.964,8156611.0
2025-05-12 12:00:00,1.963,2.002,1.885,1.89,6434728.0
2025-05-12 16:00:00,1.889,1.958,1.836,1.919,6343942.0
2025-05-12 20:00:00,1.918,1.965,1.913,1.93,2822437.0
2025-05-13 00:00:00,1.93,1.949,1.86,1.872,3719276.0
2025-05-13 04:00:00,1.872,1.963,1.866,1.93,2881562.0
2025-05-13 08:00:00,1.93,2.014,1.93,2.005,3949630.0
2025-05-13 12:00:00,2.005,2.036,1.954,2.023,5447590.0
2025-05-13 16:00:00,2.023,2.108,2.006,2.076,4926405.0
2025-05-13 20:00:00,2.075,2.081,2.028,2.069,2976387.0
2025-05-14 00:00:00,2.068,2.079,2.012,2.026,2728584.0
2025-05-14 04:00:00,2.026,2.03,1.985,2.004,2830346.0
2025-05-14 08:00:00,2.004,2.024,1.952,2.003,3759123.0
2025-05-14 12:00:00,2.002,2.016,1.954,1.972,2798925.0
2025-05-14 16:00:00,1.973,1.982,1.938,1.974,1465045.0
2025-05-14 20:00:00,1.974,1.98,1.935,1.951,1353145.0
2025-05-15 00:00:00,1.951,1.972,1.893,1.931,3472317.0
2025-05-15 04:00:00,1.931,1.942,1.844,1.845,3934675.0
2025-05-15 08:00:00,1.846,1.904,1.844,1.871,3226477.0
2025-05-15 12:00:00,1.871,1.924,1.829,1.92,4056361.0
2025-05-15 16:00:00,1.921,1.968,1.886,1.91,3088242.0
2025-05-15 20:00:00,1.91,1.929,1.858,1.889,2695477.0
2025-05-16 00:00:00,1.89,1.967,1.88,1.927,2811571.0
2025-05-16 04:00:00,1.928,1.94,1.875,1.879,2224438.0
2025-05-16 08:00:00,1.879,1.915,1.824,1.891,3822545.0
2025-05-16 12:00:00,1.892,1.922,1.844,1.87,4914095.0
2025-05-16 16:00:00,1.871,1.888,1.826,1.859,1860023.0
2025-05-16 20:00:00,1.859,1.859,1.771,1.774,2827351.0
2025-05-17 00:00:00,1.773,1.781,1.721,1.74,2740330.0
2025-05-17 04:00:00,1.74,1.755,1.703,1.712,1705656.0
2025-05-17 08:00:00,1.712,1.716,1.668,1.682,3530156.0
2025-05-17 12:00:00,1.682,1.694,1.648,1.681,2291698.0
2025-05-17 16:00:00,1.681,1.696,1.655,1.671,1761263.0
2025-05-17 20:00:00,1.671,1.693,1.653,1.685,1365114.0
2025-05-18 00:00:00,1.686,1.704,1.673,1.679,1444602.0
2025-05-18 04:00:00,1.679,1.748,1.678,1.748,2286803.0
2025-05-18 08:00:00,1.749,1.844,1.742,1.826,5157838.0
2025-05-18 12:00:00,1.826,1.935,1.811,1.925,4073352.0
2025-05-18 16:00:00,1.926,1.935,1.79,1.79,5491996.0
2025-05-18 20:00:00,1.791,1.899,1.75,1.891,4546169.0
2025-05-19 00:00:00,1.893,1.918,1.801,1.802,3135648.0
2025-05-19 04:00:00,1.802,1.816,1.697,1.727,4685478.0
2025-05-19 08:00:00,1.726,1.746,1.708,1.735,2006834.0
2025-05-19 12:00:00,1.734,1.799,1.71,1.776,3616051.0
2025-05-19 16:00:00,1.777,1.832,1.764,1.804,2538510.0
2025-05-19 20:00:00,1.804,1.818,1.756,1.787,2180277.0
2025-05-20 00:00:00,1.786,1.846,1.774,1.791,2205946.0
2025-05-20 04:00:00,1.791,1.813,1.755,1.761,1986092.0
2025-05-20 08:00:00,1.76,1.766,1.731,1.744,2729606.0
2025-05-20 12:00:00,1.745,1.747,1.721,1.738,2018339.0
2025-05-20 16:00:00,1.738,1.792,1.726,1.787,3103416.0
2025-05-20 20:00:00,1.786,1.81,1.773,1.798,2512527.0
2025-05-21 00:00:00,1.797,1.828,1.775,1.815,1770469.0
2025-05-21 04:00:00,1.816,1.86,1.804,1.83,3167747.0
2025-05-21 08:00:00,1.831,1.871,1.815,1.851,2106419.0
2025-05-21 12:00:00,1.851,1.939,1.84,1.922,4213191.0
2025-05-21 16:00:00,1.922,1.966,1.853,1.925,7792724.0
2025-05-21 20:00:00,1.924,1.988,1.898,1.959,3191597.0
2025-05-22 00:00:00,1.959,2.04,1.921,2.022,5297866.0
2025-05-22 04:00:00,2.022,2.111,2.017,2.073,5312886.0
2025-05-22 08:00:00,2.074,2.189,2.067,2.145,6445190.0
2025-05-22 12:00:00,2.146,2.176,2.1,2.111,5215148.0
2025-05-22 16:00:00,2.111,2.146,2.095,2.118,2417252.0
2025-05-22 20:00:00,2.119,2.148,2.096,2.138,2303987.0
2025-05-23 00:00:00,2.137,2.189,2.114,2.169,3347848.0
2025-05-23 04:00:00,2.168,2.171,2.07,2.076,3427979.0
2025-05-23 08:00:00,2.077,2.107,1.93,2.008,5548304.0
2025-05-23 12:00:00,2.008,2.053,1.952,2.022,8952049.0
2025-05-23 16:00:00,2.022,2.041,1.986,2.01,2131163.0
2025-05-23 20:00:00,2.01,2.011,1.9,1.91,3225717.0
2025-05-24 00:00:00,1.911,1.975,1.891,1.954,3899828.0
2025-05-24 04:00:00,1.955,1.963,1.916,1.92,1569689.0
2025-05-24 08:00:00,1.921,1.952,1.903,1.91,1891590.0
2025-05-24 12:00:00,1.911,1.923,1.878,1.891,1764327.0
2025-05-24 16:00:00,1.892,1.907,1.87,1.888,1124383.0
