Time,Open,High,Low,Close,Volume
2024-12-03,0.4891,0.517,0.4499,0.5112,183413503.0
2024-12-04,0.5112,0.5511,0.5002,0.5227,157628534.0
2024-12-05,0.5228,0.534,0.4913,0.511,118255756.0
2024-12-06,0.5111,0.5741,0.5049,0.5474,133203693.0
2024-12-07,0.5475,0.5769,0.5238,0.5343,100532350.0
2024-12-08,0.5343,0.6339,0.5166,0.627,202271206.0
2024-12-09,0.627,0.6283,0.4035,0.4747,415269127.0
2024-12-10,0.4746,0.4781,0.3993,0.4322,259175396.0
2024-12-11,0.4322,0.495,0.4125,0.4929,138586433.0
2024-12-12,0.4928,0.5288,0.4838,0.5152,155948015.0
2024-12-13,0.515,0.5259,0.4887,0.5092,108255611.0
2024-12-14,0.5092,0.5167,0.4681,0.4793,61523751.0
2024-12-15,0.4792,0.5003,0.4627,0.4994,54727231.0
2024-12-16,0.4995,0.5107,0.4777,0.4899,73963290.0
2024-12-17,0.49,0.4922,0.4625,0.4693,81916752.0
2024-12-18,0.4694,0.4726,0.4044,0.4212,108928987.0
2024-12-19,0.4211,0.4298,0.3691,0.3829,150564667.0
2024-12-20,0.3828,0.4003,0.3346,0.3969,139754344.0
2024-12-21,0.397,0.4207,0.3721,0.3793,84596889.0
2024-12-22,0.3794,0.3933,0.3676,0.3796,69510912.0
2024-12-23,0.3797,0.4093,0.369,0.4028,72921444.0
2024-12-24,0.4027,0.4239,0.3931,0.4173,41461605.0
2024-12-25,0.4173,0.4231,0.4068,0.4162,38895063.0
2024-12-26,0.4161,0.4206,0.3841,0.3912,47233670.0
2024-12-27,0.3912,0.4093,0.3865,0.3904,50787743.0
2024-12-28,0.3904,0.4137,0.3893,0.4136,33636191.0
2024-12-29,0.4135,0.4136,0.3871,0.3924,28750295.0
2024-12-30,0.3924,0.4059,0.38,0.3924,51462657.0
2024-12-31,0.3924,0.3994,0.3803,0.3831,32106747.0
2025-01-01,0.3831,0.3942,0.3736,0.3925,29906174.0
2025-01-02,0.3926,0.4118,0.3918,0.4024,32829918.0
2025-01-03,0.4024,0.4278,0.3951,0.4231,32044297.0
2025-01-04,0.4231,0.4307,0.4168,0.4257,63653044.0
2025-01-05,0.4258,0.4358,0.4169,0.4305,32953535.0
2025-01-06,0.4306,0.4445,0.4221,0.4366,42166108.0
2025-01-07,0.4366,0.4378,0.3889,0.3908,59858340.0
2025-01-08,0.3908,0.3957,0.3628,0.3822,58038626.0
2025-01-09,0.3822,0.3927,0.3729,0.3866,60933191.0
2025-01-10,0.3864,0.3936,0.3761,0.3914,52462584.0
2025-01-11,0.3914,0.3966,0.3802,0.3854,25224869.0
2025-01-12,0.3854,0.3923,0.3726,0.3778,24443335.0
2025-01-13,0.3779,0.3866,0.3389,0.3634,73129588.0
2025-01-14,0.3634,0.3762,0.357,0.3745,43227270.0
2025-01-15,0.3746,0.3909,0.3614,0.3903,49455818.0
2025-01-16,0.3903,0.3914,0.3724,0.3806,49620707.0
2025-01-17,0.3806,0.402,0.3805,0.3978,38781998.0
2025-01-18,0.3979,0.4018,0.3648,0.3722,51474601.0
2025-01-19,0.3723,0.3798,0.3288,0.336,110654048.0
2025-01-20,0.3361,0.3657,0.3244,0.3397,118844043.0
2025-01-21,0.3396,0.3578,0.328,0.3473,54890437.0
2025-01-22,0.3473,0.3499,0.3258,0.3275,36951333.0
2025-01-23,0.3276,0.328,0.3094,0.3172,62416746.0
2025-01-24,0.3172,0.3205,0.3041,0.3058,40161419.0
2025-01-25,0.3059,0.3159,0.3014,0.3126,28006764.0
2025-01-26,0.3127,0.3277,0.3103,0.3108,31430221.0
2025-01-27,0.3107,0.3136,0.2835,0.307,69548549.0
2025-01-28,0.3069,0.3099,0.2921,0.2956,30459970.0
2025-01-29,0.2956,0.3091,0.2934,0.3002,34687188.0
2025-01-30,0.3002,0.317,0.2969,0.3124,28130294.0
2025-01-31,0.3124,0.3241,0.3074,0.3105,34742444.0
2025-02-01,0.3105,0.3152,0.2917,0.2945,32222328.0
2025-02-02,0.2945,0.3017,0.248,0.2664,98830773.0
2025-02-03,0.2662,0.2787,0.2046,0.2742,212611646.0
2025-02-04,0.2742,0.2765,0.2509,0.2608,75299419.0
2025-02-05,0.2609,0.2659,0.2541,0.2587,44495939.0
2025-02-06,0.2586,0.2631,0.2483,0.2532,43292163.0
2025-02-07,0.2532,0.2644,0.2444,0.2508,45459675.0
2025-02-08,0.2508,0.2602,0.2472,0.2592,23866096.0
2025-02-09,0.2592,0.2649,0.2496,0.2594,30887849.0
2025-02-10,0.2594,0.2682,0.2515,0.2661,26667422.0
2025-02-11,0.2662,0.2742,0.258,0.2636,35545176.0
2025-02-12,0.2636,0.2765,0.2554,0.2737,44396024.0
2025-02-13,0.2738,0.2789,0.2671,0.2736,33321093.0
2025-02-14,0.2736,0.278,0.2686,0.2712,25932653.0
2025-02-15,0.2713,0.2778,0.2662,0.2677,27523457.0
2025-02-16,0.2677,0.2755,0.2648,0.2691,26449201.0
2025-02-17,0.269,0.2762,0.2634,0.2718,32827785.0
2025-02-18,0.2718,0.2727,0.2572,0.2654,35335508.0
2025-02-19,0.2654,0.269,0.2609,0.2662,31127001.0
2025-02-20,0.2662,0.2709,0.262,0.2687,30596180.0
2025-02-21,0.2688,0.2754,0.2569,0.2633,55300668.0
2025-02-22,0.2633,0.2713,0.2619,0.2664,25556066.0
2025-02-23,0.2664,0.2708,0.2636,0.2671,19489136.0
2025-02-24,0.267,0.2681,0.2406,0.2457,48391913.0
2025-02-25,0.2456,0.2575,0.2334,0.254,98580206.0
2025-02-26,0.2541,0.2582,0.2374,0.2412,57467347.0
2025-02-27,0.2413,0.2513,0.2388,0.2455,52956431.0
2025-02-28,0.2455,0.2468,0.2243,0.2406,74060119.0
2025-03-01,0.2407,0.2439,0.2342,0.2424,35565903.0
2025-03-02,0.2425,0.2612,0.2379,0.2576,54260286.0
2025-03-03,0.2577,0.2582,0.2206,0.224,75372112.0
2025-03-04,0.2241,0.2306,0.2109,0.2262,106908763.0
2025-03-05,0.2263,0.2369,0.2236,0.2337,46578484.0
2025-03-06,0.2337,0.2405,0.2298,0.232,40934316.0
2025-03-07,0.2321,0.2359,0.2209,0.227,61188466.0
2025-03-08,0.227,0.2326,0.2223,0.2303,30407860.0
2025-03-09,0.2304,0.2308,0.2088,0.2112,51072229.0
2025-03-10,0.2113,0.2233,0.189,0.1919,88549336.0
2025-03-11,0.192,0.2043,0.181,0.1968,82714701.0
2025-03-12,0.1968,0.2035,0.1903,0.1968,44779821.0
2025-03-13,0.1969,0.2011,0.1892,0.1946,40020517.0
2025-03-14,0.1946,0.2029,0.1939,0.1991,29402542.0
2025-03-15,0.1991,0.2059,0.1976,0.205,28680432.0
2025-03-16,0.2049,0.205,0.1957,0.1971,33779712.0
2025-03-17,0.1971,0.2098,0.1963,0.2051,64336879.0
2025-03-18,0.2051,0.2057,0.1959,0.2055,44625730.0
2025-03-19,0.2055,0.2135,0.2032,0.2122,45720373.0
2025-03-20,0.2123,0.2136,0.2034,0.2074,28461407.0
2025-03-21,0.2073,0.2087,0.2012,0.2046,26347927.0
2025-03-22,0.2046,0.2114,0.2045,0.2093,26564391.0
2025-03-23,0.2094,0.2129,0.2065,0.2107,26112541.0
2025-03-24,0.2106,0.2174,0.2062,0.2158,37765338.0
2025-03-25,0.2159,0.2178,0.2125,0.2163,25524662.0
2025-03-26,0.2162,0.2205,0.2107,0.213,40229829.0
2025-03-27,0.2131,0.2178,0.2096,0.2123,32113145.0
2025-03-28,0.2124,0.2143,0.1936,0.1983,41082359.0
2025-03-29,0.1983,0.1999,0.1874,0.1894,40805636.0
2025-03-30,0.1894,0.1947,0.1866,0.1888,34468174.0
2025-03-31,0.1888,0.1908,0.1829,0.1872,59024399.0
2025-04-01,0.1872,0.1986,0.1868,0.1966,32202293.0
2025-04-02,0.1967,0.1984,0.1802,0.1825,61375853.0
2025-04-03,0.1825,0.1889,0.1773,0.1861,38265080.0
2025-04-04,0.1862,0.1884,0.1784,0.1874,42795329.0
2025-04-05,0.1874,0.1888,0.1811,0.1845,28743934.0
2025-04-06,0.1844,0.1848,0.1594,0.1633,57980800.0
2025-04-07,0.1633,0.1702,0.1479,0.162,98297224.0
2025-04-08,0.1621,0.1677,0.1529,0.154,47451239.0
2025-04-09,0.1541,0.1755,0.1491,0.1729,72734299.0
2025-04-10,0.1729,0.1732,0.1595,0.1662,46059742.0
2025-04-11,0.1662,0.1745,0.1652,0.1705,33663505.0
2025-04-12,0.1705,0.179,0.1679,0.1779,26540782.0
2025-04-13,0.1779,0.1789,0.1677,0.1704,29714563.0
2025-04-14,0.1704,0.1768,0.169,0.1696,36902224.0
2025-04-15,0.1696,0.1728,0.1645,0.1655,29535436.0
2025-04-16,0.1655,0.1697,0.1612,0.164,33367078.0
2025-04-17,0.1639,0.1691,0.1629,0.1664,22719365.0
2025-04-18,0.1664,0.1719,0.1646,0.1705,25618385.0
2025-04-19,0.1706,0.1757,0.1703,0.1753,20776942.0
2025-04-20,0.1753,0.1765,0.169,0.174,23748116.0
2025-04-21,0.174,0.1807,0.173,0.1737,33958866.0
2025-04-22,0.1738,0.1853,0.1706,0.1844,45959924.0
2025-04-23,0.1845,0.1905,0.1834,0.1897,47571786.0
2025-04-24,0.1896,0.1909,0.1813,0.1909,43789708.0
2025-04-25,0.1909,0.1967,0.1879,0.1949,42526339.0
2025-04-26,0.195,0.2052,0.1947,0.2049,57700226.0
2025-04-27,0.2048,0.2062,0.1958,0.1998,62018346.0
2025-04-28,0.1998,0.2089,0.1987,0.2042,69081457.0
2025-04-29,0.2043,0.2171,0.2026,0.2058,70767590.0
2025-04-30,0.2057,0.2093,0.1974,0.2062,36066205.0
2025-05-01,0.2061,0.2136,0.2059,0.2089,29817347.0
2025-05-02,0.2088,0.2107,0.2045,0.2094,24913900.0
2025-05-03,0.2095,0.21,0.196,0.1979,23915213.0
2025-05-04,0.198,0.2002,0.1916,0.1925,27071604.0
2025-05-05,0.1926,0.1973,0.1893,0.1949,26759873.0
2025-05-06,0.195,0.1964,0.181,0.1886,36911124.0
2025-05-07,0.1886,0.1921,0.1853,0.1897,23877375.0
2025-05-08,0.1896,0.22,0.1892,0.2199,48551807.0
2025-05-09,0.2198,0.2364,0.2179,0.2276,70828738.0
2025-05-10,0.2277,0.2453,0.2244,0.2442,46944928.0
2025-05-11,0.2441,0.2457,0.2235,0.234,48879523.0
2025-05-12,0.2341,0.2449,0.2231,0.2346,69204831.0
2025-05-13,0.2347,0.2482,0.2221,0.2469,52992853.0
2025-05-14,0.2467,0.2505,0.2332,0.236,55510958.0
2025-05-15,0.236,0.2391,0.2202,0.2271,56434387.0
2025-05-16,0.2271,0.2368,0.2235,0.2257,39387952.0
2025-05-17,0.2256,0.2264,0.2118,0.2143,36199965.0
2025-05-18,0.2143,0.2304,0.2115,0.2262,45722001.0
2025-05-19,0.2262,0.2278,0.2081,0.2258,46056193.0
2025-05-20,0.2257,0.2332,0.217,0.2252,40241746.0
2025-05-21,0.2253,0.2366,0.2226,0.2305,56806823.0
2025-05-22,0.2305,0.2436,0.2305,0.2419,36832689.0
2025-05-23,0.2419,0.2469,0.2227,0.2242,90247121.0
2025-05-24,0.2243,0.2322,0.2232,0.2282,31895172.0
2025-05-25,0.2282,0.2292,0.2178,0.2261,34051296.0
2025-05-26,0.2261,0.2317,0.225,0.2283,26059062.0
2025-05-27,0.2283,0.2396,0.2229,0.2351,42451057.0
2025-05-28,0.2351,0.2386,0.2275,0.2353,24549729.0
2025-05-29,0.2352,0.244,0.232,0.2341,56581824.0
2025-05-30,0.2342,0.2362,0.2068,0.2079,60772255.0
2025-05-31,0.2079,0.2082,0.1988,0.2067,30670409.0
