Time,Open,High,Low,Close,Volume
2024-12-03,0.54488,0.57818,0.48353,0.51937,858851846.0
2024-12-04,0.51944,0.5469,0.51099,0.53249,634057891.0
2024-12-05,0.5325,0.64354,0.51557,0.6305,1218509638.0
2024-12-06,0.63068,0.65054,0.5665,0.59067,633576283.0
2024-12-07,0.59067,0.64636,0.58019,0.61249,590526206.0
2024-12-08,0.61247,0.65963,0.589,0.60351,428926616.0
2024-12-09,0.60353,0.60371,0.415,0.48025,867447156.0
2024-12-10,0.48027,0.49686,0.43178,0.46651,612030806.0
2024-12-11,0.46656,0.56079,0.44565,0.54554,635197199.0
2024-12-12,0.54556,0.58664,0.53258,0.54978,580666019.0
2024-12-13,0.54969,0.61585,0.53891,0.57024,776608361.0
2024-12-14,0.57019,0.63677,0.56231,0.574,843535297.0
2024-12-15,0.57399,0.59638,0.50001,0.52966,685031467.0
2024-12-16,0.52965,0.54851,0.4785,0.49043,569567768.0
2024-12-17,0.49043,0.4917,0.45046,0.4643,487674743.0
2024-12-18,0.46431,0.47681,0.39684,0.40543,705174739.0
2024-12-19,0.40552,0.4061,0.32001,0.32056,1237957593.0
2024-12-20,0.32058,0.35503,0.29077,0.34558,1063993437.0
2024-12-21,0.34554,0.35765,0.30099,0.30701,623688794.0
2024-12-22,0.30701,0.34763,0.30391,0.32323,731402432.0
2024-12-23,0.32327,0.34468,0.31034,0.33854,500707089.0
2024-12-24,0.33854,0.35134,0.32294,0.33951,435504083.0
2024-12-25,0.33951,0.34038,0.30809,0.31052,383474427.0
2024-12-26,0.31054,0.31379,0.28026,0.28624,603382800.0
2024-12-27,0.28624,0.30135,0.28055,0.28403,393504706.0
2024-12-28,0.28399,0.29078,0.25666,0.28975,460592415.0
2024-12-29,0.28975,0.28979,0.26024,0.26157,275110710.0
2024-12-30,0.26159,0.2977,0.25878,0.2708,898844550.0
2024-12-31,0.27081,0.28952,0.25525,0.28112,558904926.0
2025-01-01,0.28113,0.30895,0.27818,0.29532,870822580.0
2025-01-02,0.29528,0.35103,0.29246,0.31852,1026927525.0
2025-01-03,0.31854,0.3275,0.2902,0.32541,726473430.0
2025-01-04,0.32535,0.33142,0.31103,0.32358,525169856.0
2025-01-05,0.32359,0.413,0.31636,0.36783,2298164049.0
2025-01-06,0.36783,0.37268,0.34675,0.35346,881502803.0
2025-01-07,0.35346,0.44506,0.35026,0.35115,2769587432.0
2025-01-08,0.35119,0.35853,0.2821,0.30105,2149905566.0
2025-01-09,0.30104,0.31549,0.27588,0.28844,1457183311.0
2025-01-10,0.28846,0.30308,0.268,0.28309,1089569007.0
2025-01-11,0.2831,0.2884,0.2695,0.27931,565810193.0
