Time,Open,High,Low,Close,Volume
2024-12-06,1.109,1.3175,1.0383,1.0849,147187011.1
2024-12-07,1.0849,1.1369,0.9034,0.9881,254478806.3
2024-12-08,0.9876,1.1292,0.94,1.0279,257256876.1
2024-12-09,1.028,1.1,0.6498,0.7903,265155165.0
2024-12-10,0.7906,0.8452,0.675,0.7307,170949218.5
2024-12-11,0.7306,0.9789,0.6924,0.8908,257645184.7
2024-12-12,0.8906,0.9465,0.7911,0.8021,153486484.4
2024-12-13,0.8021,0.8365,0.7668,0.8089,95945691.5
2024-12-14,0.8088,0.842,0.7464,0.7766,82208639.1
2024-12-15,0.7767,0.7904,0.7222,0.7852,56291179.0
2024-12-16,0.7853,0.851,0.7383,0.7813,126012116.1
2024-12-17,0.781,0.8169,0.6851,0.6969,83859340.7
2024-12-18,0.697,0.7124,0.5943,0.6322,101243829.7
2024-12-19,0.6321,0.652,0.5555,0.5861,104310724.4
2024-12-20,0.5861,0.6025,0.4742,0.5617,133548132.2
2024-12-21,0.5616,0.6578,0.5335,0.5457,100869388.1
2024-12-22,0.5459,0.5784,0.52,0.5534,63920982.5
2024-12-23,0.5534,0.6018,0.5292,0.5753,57887768.4
2024-12-24,0.5754,0.6112,0.5528,0.5936,47859335.7
2024-12-25,0.5936,0.6534,0.5815,0.6167,84694798.1
2024-12-26,0.6168,0.6251,0.5554,0.5789,62400325.8
2024-12-27,0.5789,0.6799,0.5703,0.6509,187076891.1
2024-12-28,0.6508,0.6669,0.58,0.6005,76961433.2
2024-12-29,0.6004,0.6326,0.5751,0.5849,75687197.7
2024-12-30,0.585,0.6413,0.5562,0.6119,68384843.0
2024-12-31,0.6118,0.6121,0.56,0.5647,47574978.4
2025-01-01,0.5646,0.5821,0.541,0.5721,40497047.8
2025-01-02,0.5723,0.6021,0.5671,0.5832,38246378.2
2025-01-03,0.5833,0.6228,0.5661,0.6198,35031057.4
2025-01-04,0.6198,0.6551,0.609,0.6313,45326347.5
2025-01-05,0.6314,0.6498,0.6087,0.6195,32067645.4
2025-01-06,0.6196,0.6317,0.5956,0.6057,40836938.4
2025-01-07,0.6057,0.6082,0.5071,0.5105,56562811.6
2025-01-08,0.5105,0.5151,0.4444,0.4694,58991683.6
2025-01-09,0.4693,0.48,0.4299,0.4409,45830284.4
2025-01-10,0.4409,0.4696,0.4327,0.4524,29990762.6
2025-01-11,0.4524,0.4563,0.4372,0.4437,17129934.5
2025-01-12,0.4438,0.4467,0.4255,0.4311,15937855.4
2025-01-13,0.4311,0.4446,0.3689,0.4092,55815967.9
2025-01-14,0.4093,0.4376,0.4063,0.4324,32398635.6
2025-01-15,0.4325,0.4597,0.411,0.455,28659616.8
2025-01-16,0.455,0.4582,0.4249,0.4355,28131164.8
2025-01-17,0.4356,0.4662,0.4351,0.4583,32159056.9
2025-01-18,0.4584,0.4694,0.3823,0.4046,48657953.5
2025-01-19,0.4045,0.4206,0.3696,0.3865,73970087.9
2025-01-20,0.3864,0.4333,0.3704,0.4024,69334051.9
2025-01-21,0.4024,0.4324,0.3878,0.4175,36832263.7
2025-01-22,0.4175,0.4225,0.3923,0.393,23270356.7
2025-01-23,0.393,0.4133,0.3872,0.4008,29203396.2
2025-01-24,0.4007,0.4134,0.3905,0.4001,23419382.3
2025-01-25,0.4,0.4279,0.3897,0.4145,57199884.0
2025-01-26,0.4146,0.4264,0.403,0.4037,18863858.3
2025-01-27,0.4037,0.4257,0.382,0.4144,39974706.7
2025-01-28,0.4144,0.4225,0.3874,0.3953,18065605.5
2025-01-29,0.3952,0.4267,0.3921,0.408,31903111.9
2025-01-30,0.4079,0.4386,0.403,0.4226,19182157.9
2025-01-31,0.4228,0.4492,0.4152,0.4295,16601431.3
2025-02-01,0.4293,0.4385,0.3859,0.3885,13779798.0
2025-02-02,0.3883,0.397,0.3025,0.3219,30709687.6
2025-02-03,0.322,0.3729,0.2618,0.3652,61848800.3
2025-02-04,0.3651,0.3689,0.3281,0.3391,22565772.3
2025-02-05,0.3392,0.3406,0.3165,0.327,16349216.4
2025-02-06,0.327,0.3312,0.3158,0.3218,16190657.0
2025-02-07,0.3217,0.3331,0.3076,0.3212,16344602.8
2025-02-08,0.3213,0.3321,0.3181,0.3304,8943770.6
2025-02-09,0.3304,0.3393,0.3079,0.3216,10868178.3
2025-02-10,0.3214,0.3357,0.3163,0.3352,10590605.2
2025-02-11,0.3352,0.3503,0.3226,0.3284,11075005.5
2025-02-12,0.3284,0.3545,0.3189,0.3507,11236780.3
2025-02-13,0.3508,0.3536,0.3316,0.334,8160718.8
2025-02-14,0.334,0.3532,0.3326,0.3444,9066677.7
2025-02-15,0.3443,0.3467,0.3297,0.3309,5718199.7
2025-02-16,0.3309,0.3372,0.326,0.3291,5798811.2
2025-02-17,0.329,0.3358,0.319,0.3247,9723437.3
2025-02-18,0.3246,0.3257,0.3144,0.3225,10427844.0
2025-02-19,0.3227,0.3326,0.3182,0.3253,16945646.5
2025-02-20,0.3253,0.3279,0.3201,0.3243,7934744.1
2025-02-21,0.3244,0.3399,0.2967,0.3033,17496013.2
2025-02-22,0.3033,0.317,0.3001,0.3052,13922802.7
2025-02-23,0.3053,0.311,0.2938,0.2963,9108034.9
2025-02-24,0.2963,0.2973,0.2549,0.2601,21503431.1
2025-02-25,0.26,0.2648,0.2376,0.262,24711422.7
2025-02-26,0.2621,0.2706,0.2468,0.2617,16639290.6
2025-02-27,0.2617,0.2689,0.2496,0.2597,16069657.8
2025-02-28,0.2596,0.2661,0.2375,0.2632,20037876.1
2025-03-01,0.2632,0.2643,0.2484,0.2588,8948407.4
2025-03-02,0.2589,0.3,0.2545,0.2976,23786817.2
2025-03-03,0.2977,0.2984,0.2435,0.2484,21025716.1
2025-03-04,0.2482,0.255,0.2207,0.2428,78382328.0
2025-03-05,0.243,0.2624,0.2338,0.2551,27851663.7
2025-03-06,0.2552,0.2663,0.2416,0.2467,24774210.5
2025-03-07,0.2465,0.2588,0.2351,0.2433,17613327.2
2025-03-08,0.2432,0.2469,0.2373,0.2428,8975058.4
2025-03-09,0.2428,0.2439,0.2173,0.221,13795376.5
2025-03-10,0.2211,0.2437,0.2115,0.2234,24711264.6
2025-03-11,0.2235,0.229,0.2069,0.2225,24080757.9
2025-03-12,0.2226,0.232,0.2119,0.2296,14519805.7
2025-03-13,0.2295,0.238,0.2254,0.2321,17570003.0
2025-03-14,0.2321,0.2752,0.2313,0.2519,57362992.4
2025-03-15,0.2519,0.2553,0.2465,0.2503,14774159.7
2025-03-16,0.2505,0.2565,0.2354,0.2378,19165859.7
2025-03-17,0.2378,0.2509,0.2363,0.2486,11434424.5
2025-03-18,0.2486,0.2722,0.237,0.2613,48121712.4
2025-03-19,0.2613,0.2704,0.256,0.2691,30185929.7
2025-03-20,0.269,0.2842,0.2577,0.2813,31710686.6
2025-03-21,0.2812,0.3076,0.2741,0.2997,86955214.1
