Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,0.1135,0.1148,0.112,0.1124,6767530.8
2025-05-01 20:00:00,0.1123,0.114,0.1112,0.112,6908923.9
2025-05-02 00:00:00,0.1119,0.1145,0.1113,0.1133,4441999.2
2025-05-02 04:00:00,0.1133,0.114,0.1114,0.1118,6836341.4
2025-05-02 08:00:00,0.1118,0.1134,0.111,0.1116,5430326.4
2025-05-02 12:00:00,0.1116,0.114,0.1101,0.1123,7491478.6
2025-05-02 16:00:00,0.1123,0.1136,0.1104,0.1108,5116406.0
2025-05-02 20:00:00,0.1107,0.1137,0.1105,0.1136,5082452.4
2025-05-03 00:00:00,0.1137,0.1143,0.111,0.1116,4778576.4
2025-05-03 04:00:00,0.1116,0.1121,0.1104,0.1106,3527036.1
2025-05-03 08:00:00,0.1106,0.1109,0.1068,0.1071,9514617.1
2025-05-03 12:00:00,0.1071,0.1086,0.107,0.1079,3724029.2
2025-05-03 16:00:00,0.1079,0.1079,0.1017,0.1044,12271311.4
2025-05-03 20:00:00,0.1044,0.1049,0.1028,0.1036,5383521.1
2025-05-04 00:00:00,0.1035,0.1046,0.1021,0.1025,7143764.0
2025-05-04 04:00:00,0.1025,0.1034,0.1011,0.1018,4179938.8
2025-05-04 08:00:00,0.1018,0.102,0.0998,0.1016,5640936.7
2025-05-04 12:00:00,0.1016,0.1029,0.1005,0.1013,5144769.2
2025-05-04 16:00:00,0.1013,0.1015,0.0992,0.1002,6023804.1
2025-05-04 20:00:00,0.1003,0.1017,0.0995,0.1006,4384486.2
2025-05-05 00:00:00,0.1006,0.1026,0.0994,0.1016,5260225.6
2025-05-05 04:00:00,0.1017,0.1038,0.1014,0.1037,5184638.6
2025-05-05 08:00:00,0.1037,0.1039,0.1001,0.1004,6846036.4
2025-05-05 12:00:00,0.1004,0.1011,0.099,0.0998,7851493.9
2025-05-05 16:00:00,0.0998,0.103,0.0996,0.1009,7513441.1
2025-05-05 20:00:00,0.1009,0.1023,0.099,0.1013,5561682.4
2025-05-06 00:00:00,0.1014,0.1035,0.1008,0.1033,5497952.1
2025-05-06 04:00:00,0.1033,0.1038,0.1008,0.101,5450736.2
2025-05-06 08:00:00,0.1009,0.101,0.0972,0.098,11095039.4
2025-05-06 12:00:00,0.098,0.1005,0.0972,0.0982,11023128.4
2025-05-06 16:00:00,0.0982,0.1004,0.0977,0.0994,9342980.1
2025-05-06 20:00:00,0.0994,0.1004,0.095,0.0998,11363649.7
2025-05-07 00:00:00,0.0999,0.1021,0.0995,0.1008,7184612.9
2025-05-07 04:00:00,0.1008,0.1016,0.0995,0.1016,6799359.3
2025-05-07 08:00:00,0.1015,0.1029,0.1005,0.1018,11745236.7
2025-05-07 12:00:00,0.1018,0.1019,0.0989,0.0991,8397824.0
2025-05-07 16:00:00,0.0991,0.101,0.0977,0.0992,11673965.1
2025-05-07 20:00:00,0.0992,0.1024,0.0988,0.1019,5998855.0
2025-05-08 00:00:00,0.102,0.1076,0.1018,0.1071,10593763.0
2025-05-08 04:00:00,0.1072,0.1087,0.1068,0.1078,8534622.9
2025-05-08 08:00:00,0.1078,0.1086,0.1071,0.1082,7474881.9
2025-05-08 12:00:00,0.1082,0.1118,0.1058,0.11,15923342.6
2025-05-08 16:00:00,0.1101,0.1127,0.1099,0.1117,11815850.6
2025-05-08 20:00:00,0.1117,0.1167,0.1117,0.1157,11516804.7
2025-05-09 00:00:00,0.1156,0.1209,0.1153,0.1194,11330662.0
2025-05-09 04:00:00,0.1193,0.1275,0.1192,0.1246,20000961.4
2025-05-09 08:00:00,0.1245,0.1287,0.1233,0.1268,51426050.8
2025-05-09 12:00:00,0.1268,0.1299,0.1245,0.1281,27689984.1
2025-05-09 16:00:00,0.1282,0.1329,0.1253,0.1312,36526473.6
2025-05-09 20:00:00,0.1312,0.1353,0.1302,0.1353,15120888.0
2025-05-10 00:00:00,0.1353,0.1448,0.1343,0.1374,30170296.9
2025-05-10 04:00:00,0.1373,0.1418,0.1348,0.1407,20747181.8
2025-05-10 08:00:00,0.1407,0.1431,0.1364,0.1424,39794364.3
