Time,Open,High,Low,Close,Volume
2024-12-03,4.129,4.25,3.822,4.219,4827501.0
2024-12-04,4.22,4.389,4.127,4.269,3480525.5
2024-12-05,4.269,4.582,4.024,4.441,4758897.6
2024-12-06,4.441,5.014,4.348,4.763,8722350.3
2024-12-07,4.763,4.884,4.547,4.572,2325964.4
2024-12-08,4.573,4.683,4.415,4.585,2557488.9
2024-12-09,4.585,4.589,3.294,3.867,6960708.7
2024-12-10,3.867,3.965,3.437,3.754,5839626.6
2024-12-11,3.754,4.057,3.581,4.038,2739242.9
2024-12-12,4.039,4.21,3.907,3.962,2650446.6
2024-12-13,3.962,3.982,3.818,3.914,2116422.9
2024-12-14,3.914,4.027,3.659,3.774,1286000.9
2024-12-15,3.774,3.906,3.665,3.894,1078400.4
2024-12-16,3.896,3.96,3.668,3.708,1557579.6
2024-12-17,3.711,3.775,3.403,3.455,2297838.8
2024-12-18,3.456,3.504,3.196,3.232,3081728.6
2024-12-19,3.23,3.32,2.933,3.09,3955523.5
2024-12-20,3.09,3.379,2.778,3.364,4471518.2
2024-12-21,3.363,3.455,3.104,3.141,2405349.2
2024-12-22,3.142,3.214,3.029,3.101,1739297.8
2024-12-23,3.102,3.218,2.988,3.195,2294106.2
2024-12-24,3.193,3.401,3.134,3.296,2186394.3
2024-12-25,3.297,3.4,3.221,3.255,1896597.5
2024-12-26,3.254,3.368,2.992,3.017,1792422.0
2024-12-27,3.017,3.122,2.951,2.975,1648518.7
2024-12-28,2.976,3.072,2.945,3.043,876429.0
2024-12-29,3.044,3.051,2.852,2.887,1107797.0
2024-12-30,2.888,2.967,2.778,2.859,1979949.3
2024-12-31,2.858,2.949,2.76,2.796,1458130.2
2025-01-01,2.797,2.94,2.753,2.879,1689966.1
2025-01-02,2.877,3.599,2.871,3.426,20082191.7
2025-01-03,3.426,3.575,3.279,3.466,8593836.8
2025-01-04,3.466,3.682,3.365,3.429,4356476.0
2025-01-05,3.43,3.513,3.327,3.51,2179774.7
2025-01-06,3.509,3.999,3.42,3.846,13342193.8
2025-01-07,3.847,3.995,3.518,3.558,6955367.4
2025-01-08,3.559,3.587,3.104,3.229,3770585.4
2025-01-09,3.228,3.228,2.988,3.068,2992907.8
2025-01-10,3.067,3.216,3.048,3.145,2765149.6
2025-01-11,3.144,3.152,3.018,3.102,1061214.8
2025-01-12,3.102,3.118,2.981,3.035,1129538.7
2025-01-13,3.035,3.108,2.652,2.895,5016918.5
2025-01-14,2.896,3.025,2.853,3.011,1695051.7
2025-01-15,3.01,3.257,2.879,3.201,2912678.6
2025-01-16,3.203,3.209,3.02,3.06,2569096.8
2025-01-17,3.061,3.297,3.059,3.274,2118149.4
2025-01-18,3.275,3.315,2.972,3.08,2522759.1
2025-01-19,3.08,3.233,2.746,2.811,5488714.7
2025-01-20,2.811,3.064,2.698,2.846,4411796.1
2025-01-21,2.846,3.003,2.661,2.966,2399740.6
2025-01-22,2.967,3.013,2.812,2.828,1544086.9
2025-01-23,2.829,2.848,2.693,2.788,1548388.0
2025-01-24,2.789,2.876,2.695,2.732,1489306.5
2025-01-25,2.732,2.793,2.702,2.758,753271.4
2025-01-26,2.758,2.905,2.715,2.719,1184346.1
2025-01-27,2.719,2.724,2.358,2.523,3343818.5
2025-01-28,2.522,2.604,2.412,2.421,3353233.4
2025-01-29,2.421,2.612,2.408,2.503,2005421.1
2025-01-30,2.504,2.695,2.478,2.58,1629396.2
2025-01-31,2.58,2.747,2.552,2.623,1477866.6
2025-02-01,2.625,2.666,2.318,2.343,1426731.2
2025-02-02,2.343,2.408,1.897,2.066,4727450.3
2025-02-03,2.066,2.317,1.573,2.286,7181784.9
2025-02-04,2.285,2.331,2.061,2.128,3744800.6
2025-02-05,2.128,2.163,1.968,1.986,1713417.3
2025-02-06,1.985,2.04,1.839,1.863,1254648.4
2025-02-07,1.863,2.067,1.851,1.932,1715839.6
2025-02-08,1.932,1.97,1.875,1.959,850816.6
2025-02-09,1.96,2.02,1.845,1.898,1314061.7
2025-02-10,1.897,1.991,1.851,1.947,1217812.6
2025-02-11,1.945,2.043,1.868,1.901,1597376.0
2025-02-12,1.902,2.008,1.819,1.988,1619775.9
2025-02-13,1.988,1.993,1.872,1.903,1100729.8
2025-02-14,1.902,1.958,1.89,1.928,1227560.4
2025-02-15,1.927,1.934,1.869,1.895,783759.2
2025-02-16,1.895,1.941,1.873,1.888,844862.5
2025-02-17,1.887,1.93,1.829,1.856,1118360.3
2025-02-18,1.854,1.864,1.678,1.72,1249158.4
2025-02-19,1.72,1.756,1.695,1.733,685064.2
2025-02-20,1.733,1.888,1.725,1.871,1320532.6
2025-02-21,1.871,1.937,1.727,1.765,2135319.6
2025-02-22,1.764,1.849,1.755,1.816,768777.6
2025-02-23,1.816,1.887,1.798,1.821,921908.1
2025-02-24,1.822,1.83,1.631,1.64,1809141.2
2025-02-25,1.639,1.668,1.473,1.593,4149907.9
2025-02-26,1.593,1.624,1.474,1.562,2001566.1
2025-02-27,1.562,1.66,1.545,1.599,1539390.4
2025-02-28,1.599,1.63,1.439,1.624,2853240.2
2025-03-01,1.625,1.633,1.55,1.612,1364033.6
2025-03-02,1.612,1.756,1.575,1.733,1971594.3
2025-03-03,1.734,1.738,1.451,1.461,2761633.0
2025-03-04,1.462,1.473,1.244,1.36,5002055.2
2025-03-05,1.36,1.441,1.348,1.432,1632135.2
2025-03-06,1.431,1.464,1.333,1.345,1666003.6
2025-03-07,1.344,1.422,1.276,1.344,2654516.9
2025-03-08,1.344,1.36,1.286,1.304,1161525.4
2025-03-09,1.303,1.323,1.085,1.091,3013303.4
2025-03-10,1.091,1.271,1.027,1.053,7183689.8
2025-03-11,1.054,1.316,1.053,1.186,30858731.7
2025-03-12,1.186,1.502,1.16,1.322,68901053.8
2025-03-13,1.323,1.414,1.301,1.41,23984601.0
2025-03-14,1.409,1.445,1.341,1.379,9304193.1
2025-03-15,1.378,1.383,1.324,1.363,5195237.1
2025-03-16,1.363,1.363,1.281,1.297,5675667.1
2025-03-17,1.297,1.353,1.275,1.319,3679439.7
2025-03-18,1.32,1.324,1.232,1.258,5194776.1
2025-03-19,1.258,1.26,1.194,1.242,3778299.7
2025-03-20,1.243,1.248,1.187,1.193,4185062.0
2025-03-21,1.193,1.218,1.164,1.212,2076871.0
2025-03-22,1.213,1.387,1.208,1.373,7979182.9
