Time,Open,High,Low,Close,Volume
2025-05-06,1.137,1.257,1.0446,1.1172,77088676.0
2025-05-07,1.1176,1.1585,0.9,0.928,44033930.9
2025-05-08,0.9284,1.0294,0.881,0.9733,19458206.2
2025-05-09,0.9732,1.0659,0.9675,1.033,9828092.9
2025-05-10,1.033,1.1363,1.0276,1.1134,8255515.7
2025-05-11,1.1133,1.4614,0.9943,1.0315,70843044.5
2025-05-12,1.0318,1.1815,1.0023,1.1652,25058566.1
2025-05-13,1.1653,1.1984,1.0605,1.0856,19880893.3
2025-05-14,1.0856,1.1282,1.052,1.0795,8388183.1
2025-05-15,1.0793,1.0969,0.9367,0.9653,8652287.6
2025-05-16,0.9656,1.0215,0.9583,1.0026,8121676.3
2025-05-17,1.0027,1.039,0.9391,0.9752,11020901.1
2025-05-18,0.975,0.9993,0.8983,0.9641,5719888.6
2025-05-19,0.9636,0.9684,0.9138,0.9431,4338397.0
2025-05-20,0.9432,0.9634,0.9243,0.9573,3373207.2
2025-05-21,0.9574,1.0118,0.9108,0.939,8094568.3
2025-05-22,0.9387,0.9726,0.9335,0.9663,3373638.3
2025-05-23,0.9657,0.9735,0.9,0.9068,6874182.1
2025-05-24,0.9069,0.9501,0.9016,0.9201,3216655.8
2025-05-25,0.9198,0.9404,0.883,0.9091,4022503.2
2025-05-26,0.9099,0.924,0.8912,0.9093,2011673.5
2025-05-27,0.9093,0.9341,0.8894,0.9333,2640648.9
2025-05-28,0.9331,0.9463,0.8984,0.9334,4004871.0
2025-05-29,0.9338,0.9504,0.9024,0.9239,3414755.1
2025-05-30,0.9235,0.9477,0.7804,0.7846,7480654.6
2025-05-31,0.7846,0.806,0.7545,0.7934,2367491.4
2025-06-01,0.798,0.8002,0.7938,0.7972,70870.4
