Time,Open,High,Low,Close,Volume
2024-12-03,1.5922,2.0783,1.4986,1.8967,276992967.0
2024-12-04,1.8968,2.1702,1.8433,1.9473,268595490.0
2024-12-05,1.9474,1.9778,1.7632,1.836,150725353.0
2024-12-06,1.8361,1.9356,1.7976,1.8548,91364598.0
2024-12-07,1.8548,1.9253,1.8177,1.8959,66902803.0
2024-12-08,1.8959,1.9307,1.8052,1.8907,62327236.0
2024-12-09,1.8907,1.9097,1.2087,1.488,226120145.0
2024-12-10,1.488,1.5258,1.2955,1.4277,175026578.0
2024-12-11,1.4278,1.5534,1.3769,1.5312,81730352.0
2024-12-12,1.5312,1.6595,1.5099,1.586,107710634.0
2024-12-13,1.5857,1.6633,1.5424,1.6336,113947196.0
2024-12-14,1.6337,1.6502,1.4917,1.5317,90906271.0
2024-12-15,1.5317,1.6186,1.4893,1.6094,65341889.0
2024-12-16,1.6095,1.652,1.5129,1.5462,85021024.0
2024-12-17,1.5463,1.6265,1.4507,1.4838,110883798.0
2024-12-18,1.4839,1.4996,1.2914,1.3138,127391637.0
2024-12-19,1.3139,1.3303,1.1302,1.1606,160582067.0
2024-12-20,1.1607,1.2242,0.998,1.2102,185482500.0
2024-12-21,1.2102,1.2832,1.1101,1.1312,108138244.0
2024-12-22,1.1313,1.1817,1.0952,1.1339,107031265.0
2024-12-23,1.1339,1.266,1.099,1.2402,105025369.0
2024-12-24,1.2401,1.2848,1.2024,1.2622,68202391.0
2024-12-25,1.2619,1.2989,1.2315,1.2497,60824900.0
2024-12-26,1.2496,1.2649,1.1544,1.1752,64827435.0
2024-12-27,1.1752,1.2967,1.1681,1.2281,84573005.0
2024-12-28,1.2282,1.2611,1.1829,1.248,52248731.0
2024-12-29,1.2481,1.2805,1.19,1.1995,56582255.0
2024-12-30,1.1994,1.2711,1.1643,1.2253,87482507.0
2024-12-31,1.2254,1.2637,1.1827,1.2041,59229530.0
2025-01-01,1.2038,1.249,1.1714,1.2451,46801903.0
2025-01-02,1.2452,1.291,1.2354,1.2588,50907850.0
2025-01-03,1.2589,1.394,1.2432,1.3746,72925994.0
2025-01-04,1.3744,1.3816,1.328,1.3485,44620713.0
2025-01-05,1.3485,1.3631,1.3093,1.3507,41419574.0
2025-01-06,1.3508,1.3972,1.3261,1.3603,59177397.0
2025-01-07,1.3603,1.3668,1.1864,1.1884,86446975.0
2025-01-08,1.1884,1.2085,1.0612,1.1252,99289165.0
2025-01-09,1.1251,1.1453,1.0546,1.0883,86523674.0
2025-01-10,1.0883,1.1356,1.0835,1.1274,67008102.0
2025-01-11,1.1273,1.1464,1.1005,1.1212,36999308.0
2025-01-12,1.1213,1.1276,1.0801,1.0922,31969197.0
2025-01-13,1.0922,1.1247,0.9601,1.0334,110728822.0
2025-01-14,1.0334,1.0883,1.0153,1.0761,58861416.0
2025-01-15,1.0762,1.1488,1.0349,1.1439,79765927.0
2025-01-16,1.1439,1.1495,1.0855,1.1066,81375635.0
2025-01-17,1.1066,1.2098,1.1066,1.1964,60512600.0
2025-01-18,1.1965,1.2135,1.0757,1.1034,75900602.0
2025-01-19,1.1033,1.1385,0.9617,0.986,151282258.0
2025-01-20,0.9857,1.0716,0.9146,0.999,175829068.0
2025-01-21,0.9991,1.05,0.9448,1.0255,88195217.0
2025-01-22,1.0255,1.0634,1.0099,1.022,57998102.0
2025-01-23,1.0221,1.0329,0.9709,1.0146,82855894.0
2025-01-24,1.0148,1.0553,0.9771,0.9907,56130084.0
2025-01-25,0.9907,1.0208,0.9671,0.9889,46458903.0
2025-01-26,0.9889,1.0232,0.9747,0.9769,55747962.0
2025-01-27,0.977,0.9817,0.8627,0.9431,112934070.0
2025-01-28,0.9431,0.9604,0.8539,0.8613,63689874.0
2025-01-29,0.8613,0.9524,0.8526,0.9179,90748711.0
2025-01-30,0.9179,0.9863,0.9072,0.9707,52171896.0
2025-01-31,0.9707,1.0248,0.9436,0.9978,84375936.0
2025-02-01,0.9979,1.0449,0.8983,0.9062,72965086.0
2025-02-02,0.906,0.9273,0.6975,0.7522,139019164.0
2025-02-03,0.7524,0.7682,0.5382,0.754,264278180.0
2025-02-04,0.754,0.7617,0.6586,0.7054,142005012.0
2025-02-05,0.7055,0.7255,0.6754,0.6868,85599669.0
2025-02-06,0.6867,0.7066,0.6297,0.6377,92949076.0
2025-02-07,0.6378,0.7085,0.6254,0.6486,86660325.0
2025-02-08,0.6486,0.6936,0.6442,0.6851,56479645.0
2025-02-09,0.6852,0.7043,0.647,0.6867,62073878.0
2025-02-10,0.6867,0.7289,0.6621,0.7193,68091845.0
2025-02-11,0.7192,0.7723,0.6946,0.7071,64203175.0
2025-02-12,0.7071,0.7643,0.6845,0.7538,78892221.0
2025-02-13,0.7539,0.7696,0.7178,0.7325,60296445.0
2025-02-14,0.7325,0.7864,0.7262,0.7483,65399076.0
2025-02-15,0.7484,0.7485,0.7094,0.7171,45858036.0
2025-02-16,0.7171,0.7319,0.7002,0.7188,58437640.0
2025-02-17,0.7189,0.7499,0.6938,0.7154,82345962.0
2025-02-18,0.7153,0.7184,0.6487,0.6745,92022487.0
2025-02-19,0.6744,0.6874,0.6552,0.67,74835244.0
2025-02-20,0.67,0.7137,0.6662,0.7083,76051331.0
2025-02-21,0.7083,0.7635,0.6734,0.6852,104382289.0
2025-02-22,0.6853,0.7359,0.6813,0.7318,63180702.0
2025-02-23,0.7319,0.7364,0.6937,0.7034,43000954.0
2025-02-24,0.7034,0.7071,0.5669,0.5892,108472925.0
2025-02-25,0.5891,0.628,0.5447,0.6172,158934096.0
2025-02-26,0.6171,0.6471,0.6024,0.6326,104386794.0
2025-02-27,0.6327,0.669,0.6203,0.6452,78999901.0
2025-02-28,0.6453,0.6529,0.5824,0.6412,96913623.0
2025-03-01,0.6413,0.6442,0.6012,0.6271,53821990.0
2025-03-02,0.6271,0.6886,0.6082,0.6875,77106505.0
2025-03-03,0.6876,0.6896,0.5545,0.5697,140354690.0
2025-03-04,0.5696,0.5759,0.4981,0.5502,165699352.0
2025-03-05,0.5502,0.58,0.5434,0.5751,80971253.0
2025-03-06,0.575,0.5922,0.5535,0.5608,84363156.0
2025-03-07,0.561,0.5866,0.5285,0.5576,88784852.0
2025-03-08,0.5575,0.5622,0.5235,0.537,41634150.0
2025-03-09,0.537,0.5419,0.4609,0.4725,90002093.0
2025-03-10,0.4726,0.5291,0.4494,0.4612,108663489.0
2025-03-11,0.4612,0.5061,0.4193,0.4907,110649372.0
2025-03-12,0.4908,0.5423,0.4819,0.5139,84593762.0
2025-03-13,0.5138,0.5179,0.4812,0.5013,61871183.0
2025-03-14,0.5014,0.5336,0.4995,0.5219,53239837.0
2025-03-15,0.5219,0.5431,0.511,0.5314,47234555.0
2025-03-16,0.5314,0.5374,0.4956,0.5019,58946089.0
2025-03-17,0.5019,0.5719,0.5012,0.5386,93711502.0
2025-03-18,0.5387,0.5485,0.5099,0.5257,93291333.0
2025-03-19,0.5259,0.5411,0.5138,0.5401,81391349.0
2025-03-20,0.5401,0.5433,0.5122,0.5218,62541618.0
2025-03-21,0.5217,0.5353,0.5032,0.5065,56604504.0
2025-03-22,0.5067,0.5427,0.5066,0.5307,53491288.0
2025-03-23,0.5307,0.5552,0.5261,0.5398,67437535.0
2025-03-24,0.5398,0.5626,0.534,0.5571,69291230.0
