Time,Open,High,Low,Close,Volume
2024-12-03,2.363,2.6206,2.2304,2.5945,14975972.4
2024-12-04,2.5944,2.7238,2.4397,2.527,12858378.6
2024-12-05,2.528,2.5863,2.3685,2.4683,11718580.1
2024-12-06,2.4688,2.6072,2.4116,2.5656,9379925.2
2024-12-07,2.5659,2.6002,2.436,2.4777,5513142.7
2024-12-08,2.4788,2.7757,2.3971,2.6886,14539961.1
2024-12-09,2.6886,2.6957,1.7388,2.0804,21296124.4
2024-12-10,2.0803,2.1599,1.8556,2.0118,15067706.5
2024-12-11,2.0119,2.249,1.9383,2.2213,11329129.3
2024-12-12,2.2209,2.5091,2.2039,2.3345,13328949.1
2024-12-13,2.3342,2.3682,2.2051,2.2662,8707396.8
2024-12-14,2.266,2.2979,2.082,2.1134,4506969.8
2024-12-15,2.1128,2.18,2.0391,2.1653,5424968.3
2024-12-16,2.165,2.224,2.018,2.1004,10495021.7
2024-12-17,2.1004,2.1074,1.9559,1.9803,7381496.6
2024-12-18,1.9808,1.9921,1.7,1.7395,10154044.6
2024-12-19,1.7398,1.7786,1.5203,1.5931,17268372.0
2024-12-20,1.5932,1.6867,1.3746,1.6707,12480360.6
2024-12-21,1.6701,1.7648,1.5492,1.5897,8025672.0
2024-12-22,1.5894,1.6281,1.5044,1.5533,6865077.0
2024-12-23,1.5534,1.6859,1.5056,1.6577,11207584.8
2024-12-24,1.658,1.8003,1.61,1.7753,8098755.9
2024-12-25,1.7753,1.87,1.7276,1.7969,13288988.1
2024-12-26,1.7963,1.7976,1.591,1.6139,8537089.0
2024-12-27,1.6141,1.7671,1.6049,1.674,9760665.7
2024-12-28,1.6744,1.7583,1.6408,1.7157,7756842.6
2024-12-29,1.716,1.7289,1.6125,1.6277,4218393.5
2024-12-30,1.6275,1.7001,1.5598,1.6157,6629062.1
2024-12-31,1.6158,1.6808,1.561,1.5899,4357576.9
2025-01-01,1.59,1.6511,1.547,1.6413,8117575.8
2025-01-02,1.6413,1.7341,1.6365,1.6962,4037614.9
2025-01-03,1.6964,1.7991,1.6626,1.7966,5268313.9
2025-01-04,1.7966,1.8288,1.7689,1.7951,6286339.4
2025-01-05,1.7952,1.7993,1.738,1.7755,3371996.9
2025-01-06,1.7761,1.8444,1.74,1.7875,3934735.6
2025-01-07,1.7876,1.794,1.5547,1.5554,6248649.5
2025-01-08,1.555,1.5731,1.4235,1.4968,8971199.4
2025-01-09,1.4965,1.5261,1.4217,1.4751,4772129.4
2025-01-10,1.4747,1.5234,1.4484,1.4968,3909572.6
2025-01-11,1.4968,1.5051,1.4416,1.4766,2524818.4
2025-01-12,1.4766,1.4866,1.4325,1.4546,2620937.2
2025-01-13,1.4548,1.4923,1.3047,1.3878,6592487.2
2025-01-14,1.3879,1.4475,1.3729,1.4399,3477648.8
2025-01-15,1.4399,1.5426,1.4068,1.5393,5579401.5
2025-01-16,1.5391,1.5455,1.4566,1.5018,4622706.2
2025-01-17,1.502,1.6322,1.4992,1.6125,5675394.6
2025-01-18,1.6124,1.6252,1.4421,1.4803,11620465.6
2025-01-19,1.4804,1.5183,1.3208,1.3434,10498034.3
2025-01-20,1.3435,1.4469,1.2628,1.327,12671120.5
2025-01-21,1.3267,1.4062,1.2727,1.3777,5863282.1
2025-01-22,1.3776,1.4022,1.3348,1.3444,19555148.5
2025-01-23,1.3444,1.3697,1.296,1.3404,5437526.6
