Time,Open,High,Low,Close,Volume
2025-05-24 15:00:00,23.158,23.243,22.98,23.122,422648.0
2025-05-24 16:00:00,23.122,23.126,22.897,23.061,345536.0
2025-05-24 17:00:00,23.06,23.176,22.946,22.952,313705.0
2025-05-24 18:00:00,22.952,23.062,22.777,22.835,355960.0
2025-05-24 19:00:00,22.835,23.009,22.812,23.009,291205.0
2025-05-24 20:00:00,23.008,23.102,22.958,22.994,222017.0
2025-05-24 21:00:00,22.993,23.008,22.716,22.946,306783.0
2025-05-24 22:00:00,22.947,22.963,22.801,22.824,206360.0
2025-05-24 23:00:00,22.825,22.974,22.735,22.937,284806.0
2025-05-25 00:00:00,22.938,23.127,22.595,22.672,703402.0
2025-05-25 01:00:00,22.671,22.742,22.458,22.643,508080.0
2025-05-25 02:00:00,22.644,22.838,22.545,22.799,276175.0
2025-05-25 03:00:00,22.803,22.947,22.794,22.892,193747.0
2025-05-25 04:00:00,22.892,22.917,22.785,22.902,151142.0
2025-05-25 05:00:00,22.901,22.908,22.736,22.819,164683.0
2025-05-25 06:00:00,22.818,22.828,22.633,22.686,203853.0
2025-05-25 07:00:00,22.686,22.688,22.412,22.457,381409.0
2025-05-25 08:00:00,22.457,22.459,22.123,22.203,767151.0
2025-05-25 09:00:00,22.202,22.333,22.104,22.324,453462.0
2025-05-25 10:00:00,22.324,22.362,22.125,22.146,301943.0
2025-05-25 11:00:00,22.147,22.424,22.089,22.352,400015.0
2025-05-25 12:00:00,22.35,22.48,22.261,22.472,368882.0
2025-05-25 13:00:00,22.47,22.559,22.308,22.427,401325.0
2025-05-25 14:00:00,22.428,22.472,22.202,22.263,349700.0
2025-05-25 15:00:00,22.264,22.3,22.018,22.252,726792.0
2025-05-25 16:00:00,22.254,22.254,22.075,22.222,329436.0
2025-05-25 17:00:00,22.222,22.34,22.214,22.307,221125.0
2025-05-25 18:00:00,22.302,22.382,22.231,22.296,227299.0
2025-05-25 19:00:00,22.296,22.546,22.274,22.472,234602.0
2025-05-25 20:00:00,22.473,22.49,22.342,22.418,231593.0
2025-05-25 21:00:00,22.418,22.504,22.273,22.39,229873.0
2025-05-25 22:00:00,22.391,23.423,22.36,23.352,1104872.0
2025-05-25 23:00:00,23.352,23.459,23.12,23.43,740395.0
2025-05-26 00:00:00,23.432,23.767,23.303,23.727,688677.0
2025-05-26 01:00:00,23.728,23.798,23.431,23.553,372410.0
2025-05-26 02:00:00,23.553,23.582,23.25,23.261,368988.0
2025-05-26 03:00:00,23.262,23.441,23.209,23.353,327958.0
2025-05-26 04:00:00,23.353,23.456,23.303,23.402,311368.0
2025-05-26 05:00:00,23.402,23.464,23.306,23.431,213174.0
2025-05-26 06:00:00,23.43,23.789,23.376,23.756,459279.0
2025-05-26 07:00:00,23.754,23.932,23.63,23.894,709775.0
2025-05-26 08:00:00,23.893,23.993,23.619,23.646,586518.0
2025-05-26 09:00:00,23.646,23.84,23.568,23.599,382225.0
2025-05-26 10:00:00,23.599,23.76,23.51,23.582,299178.0
