Time,Open,High,Low,Close,Volume
2024-12-03,9.256,9.871,8.323,9.466,25197262.0
2024-12-04,9.464,10.37,9.104,9.571,21856408.0
2024-12-05,9.569,9.611,8.791,9.1,15263512.0
2024-12-06,9.101,9.688,8.808,9.532,8754518.0
2024-12-07,9.533,9.615,9.205,9.331,5389950.0
2024-12-08,9.33,9.508,8.937,9.464,6728420.0
2024-12-09,9.461,9.465,6.68,7.626,18689169.0
2024-12-10,7.624,7.74,6.573,7.357,17958974.0
2024-12-11,7.357,8.04,7.034,7.974,8873020.0
2024-12-12,7.974,8.325,7.786,7.939,9265001.0
2024-12-13,7.939,8.011,7.663,7.93,5878865.0
2024-12-14,7.929,8.061,7.387,7.523,6473876.0
2024-12-15,7.523,7.896,7.304,7.782,5319861.0
2024-12-16,7.782,7.961,7.273,7.569,8745630.0
2024-12-17,7.57,7.709,7.154,7.255,7751876.0
2024-12-18,7.256,7.312,6.474,6.585,10467263.0
2024-12-19,6.585,6.77,5.827,6.03,17228104.0
2024-12-20,6.03,6.436,5.267,6.399,19647105.0
2024-12-21,6.401,6.757,6.056,6.157,9749651.0
2024-12-22,6.157,6.25,5.829,6.004,10372918.0
2024-12-23,6.004,6.896,5.856,6.71,8823228.0
2024-12-24,6.711,7.007,6.493,6.883,6280501.0
2024-12-25,6.881,6.945,6.633,6.733,3728327.0
2024-12-26,6.731,6.793,6.19,6.296,4963807.0
2024-12-27,6.295,6.694,6.233,6.371,4904662.0
2024-12-28,6.372,6.7,6.3,6.607,3300632.0
2024-12-29,6.607,6.66,6.229,6.288,2784026.0
2024-12-30,6.288,6.508,6.014,6.24,4484529.0
2024-12-31,6.242,6.413,6.073,6.214,3331586.0
2025-01-01,6.215,6.509,6.042,6.415,3908946.0
2025-01-02,6.416,6.779,6.412,6.734,3385345.0
2025-01-03,6.735,7.137,6.621,7.068,4806486.0
2025-01-04,7.066,7.164,6.92,7.007,3279581.0
2025-01-05,7.007,7.059,6.824,7.029,3144123.0
2025-01-06,7.03,7.457,6.916,7.284,5801501.0
2025-01-07,7.285,7.316,6.438,6.451,9134146.0
2025-01-08,6.451,6.532,5.854,6.183,20076636.0
2025-01-09,6.183,6.337,5.978,6.18,5296524.0
2025-01-10,6.179,6.401,6.07,6.331,4864033.0
2025-01-11,6.331,6.403,6.16,6.278,2331414.0
2025-01-12,6.277,6.348,6.056,6.146,5284330.0
2025-01-13,6.147,6.324,5.567,6.039,7717833.0
2025-01-14,6.039,6.3,5.997,6.243,5599185.0
2025-01-15,6.242,6.57,6.109,6.559,5033973.0
2025-01-16,6.559,6.612,6.27,6.402,4733749.0
2025-01-17,6.403,6.788,6.403,6.73,4962010.0
2025-01-18,6.73,6.804,6.156,6.278,4941821.0
2025-01-19,6.279,6.491,5.675,5.798,11006367.0
2025-01-20,5.797,6.35,5.598,5.946,12826570.0
2025-01-21,5.945,6.243,5.674,6.109,5311713.0
2025-01-22,6.109,6.153,5.903,5.922,2962738.0
2025-01-23,5.923,5.994,5.714,5.89,10439995.0
2025-01-24,5.889,6.046,5.687,5.721,11640795.0
2025-01-25,5.721,5.798,5.63,5.712,2563517.0
2025-01-26,5.713,5.832,5.532,5.542,2295709.0
2025-01-27,5.542,5.554,5.04,5.46,7168856.0
2025-01-28,5.459,5.507,4.978,5.032,4335872.0
2025-01-29,5.032,5.312,4.973,5.151,4632706.0
2025-01-30,5.151,5.553,5.088,5.448,10360187.0
2025-01-31,5.449,5.676,5.351,5.417,3444636.0
2025-02-01,5.417,5.485,4.957,4.994,2852243.0
2025-02-02,4.994,5.105,4.078,4.329,12984400.0
2025-02-03,4.329,4.473,3.239,4.435,23039235.0
2025-02-04,4.436,4.504,3.965,4.104,9146304.0
2025-02-05,4.104,4.289,4.039,4.104,4697118.0
2025-02-06,4.104,4.205,3.872,3.914,4499440.0
2025-02-07,3.914,4.241,3.875,4.0,5502683.0
2025-02-08,4.0,4.198,3.963,4.175,2902958.0
2025-02-09,4.176,4.303,3.987,4.179,3894571.0
2025-02-10,4.179,4.364,4.046,4.323,3568400.0
2025-02-11,4.323,4.535,4.173,4.253,8449908.0
2025-02-12,4.254,4.498,4.19,4.45,6307142.0
2025-02-13,4.449,4.49,4.272,4.375,6034661.0
2025-02-14,4.376,4.643,4.346,4.543,3930986.0
2025-02-15,4.543,4.569,4.355,4.388,2135510.0
2025-02-16,4.389,4.499,4.31,4.365,2779158.0
2025-02-17,4.365,4.569,4.283,4.459,8050010.0
