Time,Open,High,Low,Close,Volume
2024-12-03,0.1375,0.1777,0.1238,0.1749,978850379.0
2024-12-04,0.1748,0.1749,0.1368,0.1421,1076902035.0
2024-12-05,0.1421,0.1494,0.1348,0.1433,700316257.0
2024-12-06,0.1434,0.1478,0.1311,0.1375,619326231.0
2024-12-07,0.1374,0.146,0.1338,0.1404,426537213.0
2024-12-08,0.1404,0.1445,0.1343,0.1384,425245408.0
2024-12-09,0.1384,0.1385,0.0843,0.1001,1533625941.0
2024-12-10,0.1,0.1015,0.0774,0.0873,2153952446.0
2024-12-11,0.0873,0.0955,0.0854,0.0922,990613917.0
2024-12-12,0.0923,0.0975,0.0851,0.0865,1163554795.0
2024-12-13,0.0865,0.0888,0.0807,0.0844,977927882.0
2024-12-14,0.0843,0.0872,0.0741,0.0765,1130593864.0
2024-12-15,0.0765,0.0821,0.0706,0.079,1386889931.0
2024-12-16,0.0791,0.0805,0.071,0.0754,1095895045.0
2024-12-17,0.0753,0.0867,0.0664,0.069,1986049144.0
2024-12-18,0.069,0.0691,0.0539,0.0562,2121508698.0
2024-12-19,0.0561,0.059,0.0487,0.0522,2200463467.0
2024-12-20,0.0522,0.0553,0.0443,0.0532,1804234554.0
2024-12-21,0.0533,0.0553,0.0446,0.0456,1334064550.0
2024-12-22,0.0456,0.0542,0.0445,0.0495,1495672405.0
2024-12-23,0.0494,0.0542,0.0475,0.0539,1711742014.0
2024-12-24,0.0538,0.0539,0.0487,0.0517,1169801509.0
2024-12-25,0.0517,0.0534,0.0467,0.0472,1146239158.0
2024-12-26,0.0472,0.0516,0.0455,0.0483,1633737405.0
2024-12-27,0.0483,0.062,0.0483,0.0542,4007049143.0
2024-12-28,0.0541,0.0665,0.0535,0.0624,3168172154.0
2024-12-29,0.0624,0.0653,0.0574,0.0595,1820921573.0
2024-12-30,0.0595,0.0636,0.053,0.0535,1794349877.0
2024-12-31,0.0535,0.054,0.049,0.0534,1636886110.0
2025-01-01,0.0534,0.0569,0.0529,0.0546,1522306165.0
2025-01-02,0.0547,0.0579,0.0541,0.0562,1200539880.0
2025-01-03,0.0561,0.0678,0.0542,0.0648,1978638600.0
2025-01-04,0.0648,0.0659,0.0586,0.0603,1232276721.0
2025-01-05,0.0602,0.0647,0.0569,0.0587,1513356260.0
2025-01-06,0.0588,0.0688,0.0562,0.0632,2195211903.0
2025-01-07,0.0632,0.0661,0.0573,0.0592,2053733320.0
2025-01-08,0.0592,0.0629,0.0501,0.0528,1854997192.0
2025-01-09,0.0529,0.0593,0.0495,0.0526,1962534004.0
2025-01-10,0.0527,0.0568,0.0503,0.055,1992912881.0
2025-01-11,0.055,0.062,0.0535,0.0596,1609322806.0
2025-01-12,0.0595,0.0637,0.0572,0.0593,1560629398.0
2025-01-13,0.0594,0.073,0.0575,0.0683,3415767608.0
2025-01-14,0.0683,0.0699,0.0647,0.0656,1914163494.0
2025-01-15,0.0656,0.0702,0.0647,0.0682,1762114877.0
2025-01-16,0.0683,0.0717,0.0651,0.0681,1437948737.0
2025-01-17,0.0682,0.0721,0.0656,0.0685,1278328854.0
2025-01-18,0.0685,0.0695,0.0603,0.0621,1122258753.0
2025-01-19,0.0621,0.077,0.0571,0.0633,3316126872.0
2025-01-20,0.0633,0.0694,0.0589,0.0686,1018586170.0
2025-01-21,0.0686,0.0728,0.0652,0.0692,1137201062.0
2025-01-22,0.0693,0.0706,0.0603,0.0658,751697797.0
2025-01-23,0.0659,0.0659,0.0577,0.0612,629017415.0
2025-01-24,0.0612,0.0622,0.0559,0.0579,408700883.0
2025-01-25,0.0578,0.0878,0.0393,0.0416,6939308998.0
2025-01-26,0.0417,0.0435,0.0351,0.0365,2357611214.0
2025-01-27,0.0364,0.0393,0.0342,0.0375,1510999480.0
2025-01-28,0.0376,0.0385,0.0332,0.0336,990682662.0
2025-01-29,0.0336,0.0353,0.0324,0.0338,622712861.0
2025-01-30,0.0337,0.0352,0.033,0.034,569040851.0
2025-01-31,0.034,0.0352,0.0314,0.0327,697114552.0
2025-02-01,0.0327,0.0341,0.0294,0.0299,773946864.0
2025-02-02,0.0299,0.0313,0.0275,0.0296,853438685.0
2025-02-03,0.0297,0.0373,0.0236,0.036,1151383259.0
2025-02-04,0.036,0.0667,0.0359,0.0555,5290791448.0
2025-02-05,0.0555,0.0635,0.0482,0.0595,2857500189.0
2025-02-06,0.0595,0.0639,0.0568,0.0585,1988077162.0
2025-02-07,0.0586,0.0758,0.0561,0.0616,2904130675.0
2025-02-08,0.0616,0.0692,0.0601,0.0632,966153314.0
2025-02-09,0.0632,0.0798,0.0608,0.0624,1585822217.0
2025-02-10,0.0624,0.0725,0.0561,0.0658,1064089471.0
2025-02-11,0.0659,0.0771,0.0631,0.0697,1066374493.0
2025-02-12,0.0697,0.0709,0.0624,0.0657,541381426.0
2025-02-13,0.0656,0.0697,0.0603,0.069,485952165.0
2025-02-14,0.0689,0.0755,0.0666,0.0733,529573346.0
2025-02-15,0.0733,0.0743,0.0654,0.0722,300798433.0
2025-02-16,0.0722,0.0784,0.0675,0.073,484299057.0
2025-02-17,0.073,0.0834,0.0692,0.077,653024035.0
2025-02-18,0.077,0.0895,0.046,0.0463,2980134160.0
2025-02-19,0.0463,0.0673,0.0436,0.0557,2301756925.0
2025-02-20,0.0556,0.0741,0.0555,0.0726,1484145227.0
2025-02-21,0.0726,0.0982,0.0693,0.0753,1919686128.0
2025-02-22,0.0754,0.1677,0.0739,0.1502,5687910353.0
2025-02-23,0.1502,0.1576,0.1235,0.1471,1860870030.0
2025-02-24,0.1472,0.1929,0.0675,0.069,5900373853.0
2025-02-25,0.069,0.0767,0.0656,0.0682,1632716581.0
2025-02-26,0.0681,0.0741,0.064,0.0713,1164818678.0
2025-02-27,0.0713,0.0726,0.0604,0.0619,641318481.0
2025-02-28,0.062,0.0624,0.0577,0.0581,631026365.0
2025-03-01,0.0581,0.0602,0.0556,0.0565,399252757.0
2025-03-02,0.0564,0.0649,0.0552,0.0622,434451791.0
2025-03-03,0.0622,0.0724,0.06,0.0617,940343911.0
2025-03-04,0.0616,0.0642,0.0574,0.0604,568611746.0
2025-03-05,0.0604,0.0605,0.0559,0.057,383285689.0
2025-03-06,0.057,0.0579,0.0538,0.0551,285653809.0
2025-03-07,0.0551,0.0593,0.0534,0.0543,285494929.0
2025-03-08,0.0543,0.0592,0.0539,0.0567,255337757.0
2025-03-09,0.0567,0.0584,0.0523,0.0534,192211050.0
2025-03-10,0.0534,0.0605,0.0524,0.0554,302663944.0
2025-03-11,0.0554,0.0607,0.054,0.0591,178587615.0
2025-03-12,0.0592,0.0598,0.0552,0.0555,129401505.0
2025-03-13,0.0555,0.0571,0.0545,0.0551,93484550.0
2025-03-14,0.0551,0.0576,0.0519,0.0568,157162988.0
2025-03-15,0.0568,0.0589,0.0558,0.0586,67926403.0
2025-03-16,0.0585,0.0593,0.0551,0.0553,66040266.0
2025-03-17,0.0553,0.0605,0.0545,0.0583,78547250.0
2025-03-18,0.0583,0.0588,0.0548,0.058,75688721.0
2025-03-19,0.0579,0.0615,0.057,0.0606,118742704.0
2025-03-20,0.0605,0.0608,0.0553,0.0571,61164522.0
2025-03-21,0.0571,0.0576,0.056,0.0561,44047628.0
2025-03-22,0.0561,0.0594,0.0556,0.0581,47570471.0
2025-03-23,0.0581,0.0598,0.0576,0.059,37926897.0
2025-03-24,0.059,0.0604,0.0581,0.0585,46905980.0
2025-03-25,0.0586,0.0592,0.0565,0.0582,49583302.0
2025-03-26,0.0583,0.0605,0.0563,0.0588,90527103.0
2025-03-27,0.0588,0.0605,0.0573,0.0575,62154682.0
2025-03-28,0.0576,0.0593,0.0551,0.0585,62595419.0
2025-03-29,0.0586,0.061,0.054,0.0582,191562162.0
2025-03-30,0.0581,0.0607,0.0572,0.0591,74823709.0
2025-03-31,0.0592,0.0603,0.0581,0.0598,62989868.0
2025-04-01,0.0597,0.0612,0.0584,0.0597,86415360.0
2025-04-02,0.0598,0.0599,0.0553,0.0568,87550423.0
2025-04-03,0.0569,0.0607,0.0543,0.058,154613610.0
2025-04-04,0.058,0.0587,0.0562,0.0566,73507210.0
2025-04-05,0.0566,0.0576,0.0555,0.0565,48155792.0
2025-04-06,0.0566,0.0569,0.0531,0.0539,67354263.0
2025-04-07,0.0539,0.054,0.0461,0.0476,157245305.0
2025-04-08,0.0476,0.0496,0.0312,0.0338,574418498.0
2025-04-09,0.0337,0.035,0.0292,0.0331,451035501.0
2025-04-10,0.033,0.0331,0.0297,0.0322,148382047.0
2025-04-11,0.0321,0.0426,0.0318,0.0382,823918050.0
2025-04-12,0.0382,0.0406,0.0369,0.0396,116924672.0
2025-04-13,0.0397,0.0397,0.0342,0.0343,88221467.0
2025-04-14,0.0344,0.0357,0.0326,0.0339,63681427.0
2025-04-15,0.0339,0.035,0.0329,0.0331,44963279.0
2025-04-16,0.0331,0.0336,0.0313,0.0327,49010578.0
2025-04-17,0.0327,0.0393,0.0318,0.03911,348222114.0
2025-04-18,0.03911,0.04303,0.0385,0.0419,481098067.0
2025-04-19,0.04189,0.0459,0.04164,0.04535,220035671.0
2025-04-20,0.04536,0.04811,0.04481,0.04653,123000982.0
2025-04-21,0.04654,0.04887,0.04573,0.04654,80677521.0
2025-04-22,0.04654,0.05417,0.04503,0.05393,151108903.0
2025-04-23,0.05393,0.0573,0.0491,0.05299,1153898176.0
2025-04-24,0.05299,0.06546,0.05042,0.05209,559833787.0
2025-04-25,0.05206,0.0541,0.0492,0.05055,113156967.0
2025-04-26,0.05055,0.05214,0.04847,0.04939,62203719.0
2025-04-27,0.0494,0.05034,0.04847,0.04895,29848415.0
2025-04-28,0.04896,0.0525,0.04882,0.0519,55848533.0
2025-04-29,0.05189,0.0579,0.04784,0.04993,433548134.0
2025-04-30,0.04994,0.05044,0.04672,0.04872,40836011.0
2025-05-01,0.04873,0.04953,0.04717,0.04766,21634128.0
