Time,Open,High,Low,Close,Volume
2024-12-03,0.3261,0.3516,0.3049,0.3508,170084990.1
2024-12-04,0.3507,0.3648,0.3333,0.3536,125631860.0
2024-12-05,0.3534,0.3568,0.3204,0.335,155957140.4
2024-12-06,0.3349,0.3514,0.3219,0.3443,163332362.6
2024-12-07,0.3443,0.3709,0.3344,0.3388,107718285.4
2024-12-08,0.3388,0.3411,0.3271,0.3401,32789798.7
2024-12-09,0.3401,0.3403,0.2327,0.2755,135618295.2
2024-12-10,0.2754,0.2793,0.2378,0.2669,131221667.0
2024-12-11,0.2668,0.2921,0.2552,0.2904,51745620.4
2024-12-12,0.2902,0.3063,0.2866,0.2953,83756537.3
2024-12-13,0.2954,0.2973,0.2839,0.2952,45509294.5
2024-12-14,0.2952,0.2981,0.2723,0.2778,33865671.0
2024-12-15,0.2778,0.2891,0.2702,0.2874,36118034.4
2024-12-16,0.2873,0.2935,0.2679,0.2772,40163088.4
2024-12-17,0.2772,0.2809,0.2591,0.2625,70442062.4
2024-12-18,0.2626,0.2635,0.2326,0.2378,85661891.4
2024-12-19,0.2379,0.2484,0.2159,0.2233,121155521.6
2024-12-20,0.2233,0.2371,0.1888,0.2253,140358636.2
2024-12-21,0.2253,0.2387,0.2063,0.2097,67258251.1
2024-12-22,0.2097,0.2208,0.2049,0.2127,68474631.2
2024-12-23,0.2127,0.2351,0.2068,0.2318,71332309.4
2024-12-24,0.2318,0.3044,0.2256,0.2793,954586509.9
2024-12-25,0.2792,0.2966,0.2546,0.2602,532506349.5
2024-12-26,0.2602,0.2621,0.2398,0.2455,296674544.7
2024-12-27,0.2456,0.2532,0.2378,0.2399,171737466.3
2024-12-28,0.24,0.2569,0.2377,0.2555,109505753.6
2024-12-29,0.2554,0.2642,0.2354,0.2377,139120431.4
2024-12-30,0.2376,0.2446,0.2275,0.2359,104333693.0
2024-12-31,0.2358,0.2425,0.2287,0.2328,65159942.8
2025-01-01,0.2328,0.2436,0.2266,0.2422,51007605.8
2025-01-02,0.2422,0.2507,0.2415,0.2482,57747345.9
2025-01-03,0.2483,0.2623,0.2437,0.2588,53695790.9
2025-01-04,0.2587,0.2643,0.2545,0.2575,44201090.1
2025-01-05,0.2576,0.2762,0.2531,0.2698,225580803.1
2025-01-06,0.2698,0.2902,0.2611,0.2818,217804976.6
2025-01-07,0.2817,0.2819,0.2504,0.2531,112948597.2
2025-01-08,0.2532,0.2567,0.2323,0.2465,192215203.6
2025-01-09,0.2465,0.2571,0.2369,0.2468,125078381.7
2025-01-10,0.2467,0.2575,0.2364,0.2541,122096176.6
2025-01-11,0.2542,0.2598,0.245,0.2505,92562302.8
2025-01-12,0.2506,0.2564,0.2421,0.2465,75201551.8
2025-01-13,0.2465,0.256,0.2197,0.2374,138034906.1
2025-01-14,0.2374,0.2496,0.2342,0.2491,64627812.7
2025-01-15,0.2491,0.2597,0.2376,0.2591,69942236.2
2025-01-16,0.2591,0.2623,0.2476,0.2534,74440615.7
2025-01-17,0.2534,0.2663,0.2532,0.264,59412809.2
2025-01-18,0.264,0.2706,0.2401,0.2489,82516318.3
2025-01-19,0.249,0.2565,0.2218,0.2263,165319579.6
2025-01-20,0.2262,0.2524,0.219,0.2317,192000341.7
2025-01-21,0.2317,0.2464,0.2222,0.2394,63670055.0
2025-01-22,0.2394,0.2408,0.229,0.2303,41810030.2
2025-01-23,0.2304,0.2331,0.2208,0.2297,79642435.1
2025-01-24,0.2296,0.2378,0.2212,0.2246,67415150.2
2025-01-25,0.2246,0.232,0.2217,0.229,45059782.6
2025-01-26,0.2291,0.2434,0.2255,0.2259,51483792.4
2025-01-27,0.2258,0.2278,0.2063,0.2252,91546891.8
2025-01-28,0.2253,0.2274,0.2045,0.2072,51127438.4
2025-01-29,0.2072,0.2195,0.2056,0.2129,47252078.9
2025-01-30,0.2129,0.2276,0.2111,0.2228,30571795.7
2025-01-31,0.2228,0.233,0.2172,0.2214,42442585.9
2025-02-01,0.2214,0.227,0.2078,0.2091,44919613.3
2025-02-02,0.2091,0.2148,0.1758,0.1876,91850353.8
2025-02-03,0.1876,0.1934,0.1406,0.1913,192520701.0
2025-02-04,0.1914,0.1942,0.1726,0.1831,89084184.1
2025-02-05,0.1831,0.1848,0.1752,0.1781,43270753.5
2025-02-06,0.178,0.1805,0.1672,0.1687,35929304.4
2025-02-07,0.1687,0.1802,0.1656,0.1716,44530345.0
2025-02-08,0.1715,0.1807,0.1689,0.18,22994655.4
2025-02-09,0.1801,0.1833,0.1682,0.1767,31219654.6
2025-02-10,0.1766,0.1853,0.1709,0.1845,31770696.5
2025-02-11,0.1845,0.1924,0.1765,0.1798,31277646.7
2025-02-12,0.1797,0.1935,0.1768,0.1919,59508993.4
2025-02-13,0.1919,0.1932,0.1816,0.1871,32661722.5
2025-02-14,0.1872,0.1945,0.1864,0.1895,30424288.7
2025-02-15,0.1895,0.19,0.1827,0.1834,25372949.5
2025-02-16,0.1835,0.1886,0.1801,0.1857,41021658.1
2025-02-17,0.1857,0.1901,0.1806,0.185,39530236.6
2025-02-18,0.1851,0.1868,0.1702,0.1761,42508570.0
2025-02-19,0.176,0.1818,0.1745,0.1769,48562683.1
2025-02-20,0.1769,0.1876,0.1754,0.1865,37622623.5
2025-02-21,0.1864,0.1907,0.176,0.1787,40766844.9
2025-02-22,0.1786,0.1864,0.1774,0.1838,29200884.3
2025-02-23,0.1837,0.1877,0.1814,0.1839,32342833.3
2025-02-24,0.184,0.185,0.1606,0.1641,78488100.7
2025-02-25,0.164,0.1687,0.155,0.1663,86949824.2
2025-02-26,0.1662,0.1684,0.1572,0.1653,68029650.9
2025-02-27,0.1653,0.1728,0.1624,0.1675,39287090.4
2025-02-28,0.1675,0.1703,0.1548,0.1675,70606372.4
2025-03-01,0.1676,0.1692,0.1612,0.1679,44934436.7
2025-03-02,0.1679,0.1818,0.1622,0.1814,68620895.6
2025-03-03,0.1815,0.1827,0.1538,0.1564,79335243.6
2025-03-04,0.1563,0.1578,0.1436,0.1564,84189134.9
2025-03-05,0.1564,0.1635,0.1525,0.1625,46834942.0
2025-03-06,0.1625,0.1659,0.1583,0.1613,48641387.4
2025-03-07,0.1612,0.1654,0.1533,0.1601,57010609.4
2025-03-08,0.16,0.1614,0.1543,0.1563,30140636.2
2025-03-09,0.1563,0.1572,0.1456,0.1472,50737116.6
2025-03-10,0.1473,0.1619,0.1414,0.1428,84915827.4
2025-03-11,0.1428,0.1498,0.1345,0.1461,72653009.1
2025-03-12,0.1461,0.1524,0.1408,0.1479,45096943.9
2025-03-13,0.1479,0.1493,0.1402,0.1435,45749895.6
2025-03-14,0.1436,0.1511,0.1433,0.1491,35967375.5
2025-03-15,0.149,0.1512,0.1473,0.1503,33962407.3
2025-03-16,0.1504,0.1521,0.1427,0.1437,42514704.8
2025-03-17,0.1437,0.1532,0.1435,0.1518,35101665.8
2025-03-18,0.1517,0.1541,0.147,0.1537,36839118.0
2025-03-19,0.1538,0.1586,0.1534,0.1574,42950072.4
2025-03-20,0.1574,0.158,0.1518,0.1522,26243444.3
2025-03-21,0.1522,0.1534,0.1455,0.1475,43890646.0
2025-03-22,0.1474,0.1523,0.1474,0.1497,22372735.1
2025-03-23,0.1497,0.1508,0.1464,0.149,18785897.1
2025-03-24,0.149,0.1564,0.1462,0.1557,37886001.3
2025-03-25,0.1557,0.1601,0.1544,0.1589,30633916.5
2025-03-26,0.1588,0.1617,0.1522,0.154,49524752.9
2025-03-27,0.154,0.1573,0.1519,0.1531,26436635.5
2025-03-28,0.1532,0.1538,0.1406,0.1427,38942054.0
2025-03-29,0.1427,0.1436,0.1331,0.1346,41353412.8
2025-03-30,0.1347,0.1392,0.1332,0.1353,28139170.3
2025-03-31,0.1353,0.1387,0.1325,0.1367,54219664.3
2025-04-01,0.1367,0.1433,0.1361,0.1398,36925726.5
2025-04-02,0.1398,0.1409,0.1273,0.1291,61378507.3
2025-04-03,0.1291,0.1338,0.1261,0.1321,37763783.0
2025-04-04,0.1321,0.1353,0.128,0.1342,44369083.2
2025-04-05,0.1343,0.1353,0.1304,0.1328,19016856.4
2025-04-06,0.1327,0.1333,0.1166,0.1193,47594519.4
2025-04-07,0.1193,0.1227,0.1076,0.1187,121703511.7
2025-04-08,0.1187,0.1221,0.1126,0.1139,47631641.2
2025-04-09,0.1138,0.1276,0.1093,0.1259,61575441.0
2025-04-10,0.1258,0.1265,0.1191,0.1216,42029382.9
2025-04-11,0.1217,0.1286,0.1211,0.1276,36684353.4
2025-04-12,0.1276,0.1333,0.1256,0.1319,33506517.4
2025-04-13,0.1319,0.1332,0.1225,0.1241,43865190.2
2025-04-14,0.1242,0.1291,0.1226,0.1231,45957655.7
2025-04-15,0.1231,0.1254,0.1209,0.1221,32439773.6
2025-04-16,0.1222,0.1241,0.1193,0.1225,42216864.3
