Time,Open,High,Low,Close,Volume
2024-12-03,0.17349,0.21707,0.17015,0.19688,1486091320.0
2024-12-04,0.1969,0.2407,0.19688,0.22075,1165664855.0
2024-12-05,0.22075,0.23073,0.20115,0.22528,689897375.0
2024-12-06,0.22528,0.22791,0.20736,0.21684,417283711.0
2024-12-07,0.21684,0.24496,0.20843,0.2348,563381384.0
2024-12-08,0.2348,0.24958,0.21731,0.22245,391732504.0
2024-12-09,0.22244,0.22244,0.13821,0.17688,745854471.0
2024-12-10,0.17685,0.18036,0.1516,0.16285,586844941.0
2024-12-11,0.16287,0.1768,0.15476,0.17513,319551240.0
2024-12-12,0.17511,0.18828,0.17204,0.18088,360747971.0
2024-12-13,0.18087,0.18214,0.17158,0.17857,271054818.0
2024-12-14,0.17856,0.1807,0.16173,0.16786,244191222.0
2024-12-15,0.16785,0.17708,0.16061,0.17665,204859889.0
2024-12-16,0.17664,0.18082,0.16354,0.17084,270852031.0
2024-12-17,0.17081,0.1818,0.16152,0.16298,544631603.0
2024-12-18,0.16299,0.16336,0.13821,0.14352,478656984.0
2024-12-19,0.1435,0.15932,0.13554,0.14408,773813129.0
2024-12-20,0.14409,0.15573,0.12914,0.15291,647291890.0
2024-12-21,0.15289,0.16092,0.14048,0.14589,489878659.0
2024-12-22,0.14588,0.14665,0.13595,0.14032,295163793.0
2024-12-23,0.14033,0.148,0.1362,0.14677,301445528.0
2024-12-24,0.14674,0.1601,0.14158,0.15861,293390564.0
2024-12-25,0.15858,0.17105,0.14811,0.15056,453309368.0
2024-12-26,0.15052,0.15712,0.13921,0.14415,343878390.0
2024-12-27,0.14414,0.15215,0.14066,0.14581,241396964.0
2024-12-28,0.1458,0.14765,0.14043,0.14696,167509159.0
2024-12-29,0.14698,0.14795,0.13817,0.14038,140078540.0
2024-12-30,0.1404,0.14463,0.13527,0.13939,189490515.0
2024-12-31,0.13939,0.14221,0.13426,0.13661,151446184.0
2025-01-01,0.13662,0.13987,0.13231,0.13885,170416390.0
2025-01-02,0.13885,0.14592,0.13846,0.14352,147948946.0
2025-01-03,0.14354,0.15093,0.13987,0.15034,146622475.0
2025-01-04,0.15036,0.1532,0.14682,0.14916,149641697.0
2025-01-05,0.14915,0.15001,0.14505,0.14929,118630057.0
2025-01-06,0.1493,0.15536,0.14561,0.15212,162179424.0
