Time,Open,High,Low,Close,Volume
2025-01-03,0.7263,0.9094,0.721,0.8147,754766654.0
2025-01-04,0.8148,0.8678,0.6597,0.6988,956370459.0
2025-01-05,0.6987,0.762,0.6615,0.7394,640443956.0
2025-01-06,0.7393,0.7899,0.6993,0.7194,590982033.0
2025-01-07,0.7194,0.7281,0.6153,0.6279,398583915.0
2025-01-08,0.6279,0.637,0.5364,0.5754,380983760.0
2025-01-09,0.5755,0.5822,0.5088,0.5203,332056110.0
2025-01-10,0.5205,0.5448,0.4461,0.4629,404896322.0
2025-01-11,0.463,0.4835,0.4463,0.4647,308720431.0
2025-01-12,0.4647,0.472,0.4071,0.4116,318097685.0
2025-01-13,0.4116,0.4277,0.3592,0.3908,500524490.0
2025-01-14,0.3907,0.4252,0.3836,0.4127,388378700.0
2025-01-15,0.4127,0.443,0.3803,0.4352,439105952.0
2025-01-16,0.4353,0.4354,0.3918,0.3988,238071851.0
2025-01-17,0.3988,0.4131,0.3713,0.3867,241509240.0
2025-01-18,0.3866,0.3976,0.3072,0.3158,339250875.0
2025-01-19,0.3158,0.3337,0.2584,0.2624,445676374.0
2025-01-20,0.2625,0.2738,0.2347,0.2518,506577687.0
2025-01-21,0.2518,0.2659,0.2295,0.2517,343265793.0
2025-01-22,0.2516,0.2838,0.2442,0.2539,376681338.0
2025-01-23,0.2538,0.2994,0.2537,0.2678,698282573.0
2025-01-24,0.2678,0.2948,0.2507,0.2607,410213799.0
2025-01-25,0.2607,0.265,0.2392,0.2404,228743050.0
2025-01-26,0.2404,0.2556,0.2313,0.2335,228486308.0
2025-01-27,0.2334,0.243,0.2,0.2349,395570676.0
2025-01-28,0.2349,0.2382,0.2103,0.2129,175425190.0
2025-01-29,0.2128,0.2445,0.209,0.2298,274588226.0
2025-01-30,0.2298,0.2496,0.2259,0.2355,194153681.0
2025-01-31,0.2354,0.2734,0.2283,0.2347,293041333.0
2025-02-01,0.2347,0.2407,0.1891,0.191,229763385.0
2025-02-02,0.191,0.1963,0.1426,0.1602,412057730.0
2025-02-03,0.1602,0.1659,0.1157,0.1619,527391580.0
2025-02-04,0.1618,0.1628,0.1387,0.1452,269799164.0
2025-02-05,0.1452,0.1512,0.1411,0.1463,176135689.0
2025-02-06,0.1463,0.1501,0.1258,0.1277,201466064.0
2025-02-07,0.1277,0.1443,0.1213,0.1279,215493792.0
2025-02-08,0.1279,0.1404,0.1268,0.1392,183425448.0
2025-02-09,0.1392,0.1456,0.1227,0.1317,183473727.0
2025-02-10,0.1316,0.1492,0.1251,0.1394,224361175.0
2025-02-11,0.1394,0.154,0.1358,0.1398,220465553.0
2025-02-12,0.1398,0.1592,0.1288,0.1584,288636692.0
2025-02-13,0.1586,0.1723,0.1484,0.158,391573357.0
2025-02-14,0.1581,0.1615,0.1446,0.151,235760152.0
2025-02-15,0.1512,0.1533,0.1355,0.1382,160948756.0
2025-02-16,0.1381,0.1437,0.1312,0.1338,163282541.0
2025-02-17,0.1338,0.1369,0.1211,0.1266,222372455.0
2025-02-18,0.1267,0.1274,0.1112,0.1188,257173079.0
2025-02-19,0.1188,0.1222,0.1159,0.1205,157795879.0
2025-02-20,0.1204,0.1265,0.1162,0.1261,177405671.0
2025-02-21,0.1261,0.1392,0.1237,0.1309,320565456.0
2025-02-22,0.131,0.1446,0.1263,0.1377,334985139.0
2025-02-23,0.1378,0.1421,0.1245,0.127,246428219.0
2025-02-24,0.1269,0.1288,0.0987,0.1032,405474280.0
2025-02-25,0.1031,0.1108,0.093,0.1078,492361725.0
2025-02-26,0.1078,0.1216,0.1049,0.117,305605376.0
2025-02-27,0.117,0.1319,0.1159,0.1217,386331255.0
2025-02-28,0.1217,0.1326,0.1143,0.1267,394518934.0
2025-03-01,0.1268,0.1328,0.1189,0.1218,243905774.0
2025-03-02,0.1218,0.1363,0.119,0.1348,267664513.0
2025-03-03,0.1348,0.1354,0.1031,0.1041,311085197.0
2025-03-04,0.1041,0.1053,0.089,0.1007,568291905.0
2025-03-05,0.1006,0.108,0.0968,0.1056,224619868.0
2025-03-06,0.1056,0.1123,0.1019,0.1021,210656348.0
2025-03-07,0.1022,0.1065,0.0986,0.0999,232004323.0
2025-03-08,0.0999,0.1003,0.0915,0.0936,137335406.0
2025-03-09,0.0936,0.0939,0.0799,0.0825,210760952.0
2025-03-10,0.0825,0.0925,0.0801,0.0825,264569686.0
2025-03-11,0.0826,0.0885,0.076,0.0844,327107731.0
2025-03-12,0.0844,0.0875,0.0815,0.0859,192673300.0
2025-03-13,0.0859,0.087,0.0795,0.0827,185677060.0
2025-03-14,0.0827,0.0888,0.0823,0.0854,152573815.0
2025-03-15,0.0853,0.096,0.0847,0.0938,158730284.0
2025-03-16,0.0938,0.0938,0.0845,0.0852,181867409.0
2025-03-17,0.0852,0.0937,0.0849,0.0913,151657735.0
2025-03-18,0.0913,0.0918,0.0819,0.0858,139405501.0
2025-03-19,0.0858,0.0896,0.0842,0.0893,141954735.0
2025-03-20,0.0893,0.0961,0.0844,0.0849,304930212.0
2025-03-21,0.0849,0.0888,0.079,0.0836,232238981.0
2025-03-22,0.0836,0.0895,0.0813,0.0864,111378055.0
2025-03-23,0.0863,0.0878,0.0846,0.0875,66422892.0
2025-03-24,0.0876,0.1014,0.0855,0.0995,236167744.0
2025-03-25,0.0996,0.1028,0.096,0.1006,249221576.0
2025-03-26,0.1007,0.1056,0.0961,0.099,254296847.0
2025-03-27,0.0991,0.1014,0.0946,0.0951,157369855.0
2025-03-28,0.0951,0.0968,0.0857,0.0898,139954616.0
2025-03-29,0.0898,0.0906,0.0764,0.0784,178171664.0
2025-03-30,0.0785,0.0808,0.0767,0.0777,118613734.0
2025-03-31,0.0778,0.0785,0.0723,0.0729,184687568.0
2025-04-01,0.073,0.0781,0.0723,0.0732,149697670.0
2025-04-02,0.0732,0.0734,0.0666,0.0696,312253211.0
2025-04-03,0.0696,0.0706,0.0618,0.0644,203254048.0
2025-04-04,0.0644,0.0662,0.0615,0.0655,167694059.0
2025-04-05,0.0654,0.0667,0.0635,0.0644,58253840.0
2025-04-06,0.0643,0.0644,0.0525,0.0544,222286996.0
2025-04-07,0.0544,0.0601,0.0496,0.0573,353057078.0
2025-04-08,0.0573,0.0605,0.055,0.0555,228000493.0
2025-04-09,0.0555,0.0624,0.0531,0.0613,189199033.0
2025-04-10,0.0613,0.0613,0.0538,0.0552,156242389.0
2025-04-11,0.0552,0.0599,0.0551,0.057,147448185.0
2025-04-12,0.057,0.06,0.0556,0.0571,208075256.0
2025-04-13,0.0572,0.0577,0.0469,0.0484,364436209.0
2025-04-14,0.0484,0.0506,0.0441,0.045,329056426.0
2025-04-15,0.045,0.0457,0.0416,0.0431,231891382.0
2025-04-16,0.0431,0.0436,0.0404,0.0431,263588497.0
2025-04-17,0.0431,0.0605,0.0424,0.04974,4276853659.0
2025-04-18,0.04973,0.05403,0.04492,0.04529,1844896127.0
2025-04-19,0.04529,0.05152,0.04493,0.04893,622904690.0
2025-04-20,0.04894,0.05945,0.04894,0.05256,1262273408.0
2025-04-21,0.05256,0.05554,0.05145,0.05202,753761662.0
2025-04-22,0.05202,0.07154,0.051,0.06939,1934199283.0
2025-04-23,0.0694,0.08454,0.06894,0.07315,1724175906.0
2025-04-24,0.07315,0.07417,0.06472,0.07396,459868102.0
2025-04-25,0.07392,0.08819,0.06861,0.07741,546770526.0
2025-04-26,0.07741,0.08353,0.07476,0.07735,253494178.0
2025-04-27,0.07736,0.0776,0.067,0.07418,282281921.0
2025-04-28,0.07418,0.07928,0.07009,0.07644,253397728.0
