Time,Open,High,Low,Close,Volume
2024-12-03,648.62,750.25,623.19,736.16,105858.73
2024-12-04,736.26,794.89,722.37,741.52,147486.01
2024-12-05,741.49,741.86,691.59,718.8,97116.06
2024-12-06,718.83,747.65,706.45,732.23,106209.77
2024-12-07,732.28,762.76,731.68,751.08,60898.51
2024-12-08,751.12,758.53,728.68,743.38,46944.09
2024-12-09,743.38,743.74,630.91,689.74,112223.14
2024-12-10,689.73,705.26,649.49,677.73,116555.99
2024-12-11,677.61,714.01,659.45,712.14,52497.67
2024-12-12,712.15,726.88,700.2,706.41,57524.01
2024-12-13,706.47,730.0,696.96,725.7,45682.29
2024-12-14,725.72,731.82,703.86,715.58,27082.38
2024-12-15,715.52,724.29,702.5,719.25,23600.95
2024-12-16,719.26,731.07,704.41,721.28,36796.56
2024-12-17,721.29,737.81,713.0,718.01,44366.42
2024-12-18,718.08,722.66,680.0,686.42,104087.13
2024-12-19,686.42,704.85,647.15,665.19,199052.99
2024-12-20,665.19,679.57,617.24,678.18,238049.64
2024-12-21,678.22,692.86,651.55,663.4,108040.52
2024-12-22,663.47,669.42,638.85,649.31,99328.39
2024-12-23,649.37,697.96,637.74,693.02,147071.99
2024-12-24,693.01,698.06,681.84,695.99,62416.83
2024-12-25,696.06,712.12,694.88,701.69,31002.42
2024-12-26,701.57,719.18,681.2,688.01,43418.6
2024-12-27,688.06,709.91,684.42,690.49,39943.74
2024-12-28,690.57,729.34,690.05,720.42,33114.57
2024-12-29,720.42,722.87,688.38,693.14,28258.47
2024-12-30,693.23,710.92,685.85,703.59,32492.84
2024-12-31,703.56,713.32,696.98,700.56,26719.05
2025-01-01,700.57,709.0,698.38,705.86,17887.1
2025-01-02,705.88,714.48,696.69,705.32,26173.18
2025-01-03,705.31,715.74,696.33,714.99,28641.44
2025-01-04,715.0,721.8,707.41,713.2,18090.35
2025-01-05,713.15,713.68,702.02,709.19,13531.95
2025-01-06,709.2,746.0,705.88,730.0,34458.29
2025-01-07,729.91,733.0,690.0,697.1,43991.4
2025-01-08,697.05,706.65,673.75,695.5,46747.96
2025-01-09,695.45,700.95,673.55,685.1,42969.24
2025-01-10,685.15,700.49,682.86,693.02,27014.92
2025-01-11,693.01,701.0,690.08,696.32,10575.99
2025-01-12,696.34,698.54,689.47,692.69,9566.39
2025-01-13,692.92,699.68,655.98,688.39,45195.47
2025-01-14,688.34,699.87,685.76,698.66,12993.8
2025-01-15,698.61,714.77,688.15,714.48,24637.05
2025-01-16,714.44,717.39,700.34,707.96,26405.55
2025-01-17,708.0,730.43,708.0,721.86,26009.73
2025-01-18,722.02,723.56,694.37,709.1,35930.21
2025-01-19,709.1,714.4,675.27,682.59,56548.37
2025-01-20,682.62,708.86,670.18,682.14,70470.17
2025-01-21,682.18,697.27,674.7,692.49,36092.04
2025-01-22,692.44,703.94,690.12,695.45,22165.21
2025-01-23,695.44,697.61,680.44,690.12,32666.61
2025-01-24,690.21,691.58,678.8,680.5,21743.36
2025-01-25,680.49,689.94,677.59,686.63,13287.24
2025-01-26,686.64,691.1,664.28,666.75,17432.91
2025-01-27,666.74,680.92,635.93,680.09,50351.99
2025-01-28,680.09,683.27,659.02,661.07,23525.02
2025-01-29,660.86,679.35,659.37,667.97,22428.57
2025-01-30,668.03,682.99,666.04,677.79,13364.71
2025-01-31,677.79,689.51,673.63,677.57,16204.22
2025-02-01,677.58,681.57,650.59,652.95,16780.2
2025-02-02,652.95,663.07,599.35,617.8,62673.26
2025-02-03,618.0,619.04,499.64,617.17,170398.45
2025-02-04,617.18,619.22,557.85,572.79,83619.84
2025-02-05,572.82,579.95,561.0,569.54,42782.65
2025-02-06,569.45,589.18,568.81,571.42,42148.29
2025-02-07,571.52,589.88,570.24,577.49,63606.44
2025-02-08,577.5,633.0,573.52,612.37,145494.1
2025-02-09,612.37,646.96,602.35,615.61,235028.52
2025-02-10,615.61,622.16,596.25,618.43,166755.64
2025-02-11,618.46,646.39,614.88,641.74,201002.96
2025-02-12,641.74,705.41,626.22,696.65,336153.4
2025-02-13,696.67,730.8,659.0,664.42,600445.26
2025-02-14,664.43,684.32,651.46,659.47,221821.65
2025-02-15,659.45,671.15,653.3,661.87,101435.31
2025-02-16,661.87,684.86,653.04,672.73,144388.4
2025-02-17,672.7,681.92,657.34,667.27,149740.71
2025-02-18,667.24,667.98,629.35,647.53,200727.35
2025-02-19,647.58,664.37,637.2,653.23,153699.47
2025-02-20,653.21,659.02,645.73,656.03,96283.79
2025-02-21,656.07,667.89,633.85,646.81,132634.38
2025-02-22,646.83,679.73,644.59,668.11,116060.8
2025-02-23,668.14,670.81,648.14,657.76,51184.81
2025-02-24,657.78,658.87,610.0,613.93,182195.02
2025-02-25,613.9,626.83,585.87,622.27,432136.77
2025-02-26,622.26,630.64,592.96,610.48,237840.26
2025-02-27,610.51,618.89,594.57,604.64,152456.59
2025-02-28,604.63,605.55,558.72,587.5,96063.39
2025-03-01,587.52,608.65,585.79,607.05,24411.69
2025-03-02,607.11,634.63,601.01,623.52,45445.65
2025-03-03,623.53,623.89,566.6,575.38,93501.82
2025-03-04,575.4,588.4,545.82,583.69,61059.37
2025-03-05,583.56,605.16,580.24,597.99,28204.53
2025-03-06,597.99,611.86,588.92,596.16,32277.19
2025-03-07,596.12,610.04,576.87,594.22,51918.05
2025-03-08,594.19,602.09,589.6,592.61,23741.22
2025-03-09,592.61,592.61,549.66,554.26,45176.93
2025-03-10,554.4,573.1,522.29,531.01,85561.63
2025-03-11,531.04,564.95,506.22,551.4,124088.15
2025-03-12,551.39,574.46,544.07,569.45,86645.81
2025-03-13,569.39,612.32,567.56,579.25,131158.02
2025-03-14,579.26,589.46,576.29,587.67,38739.31
2025-03-15,587.56,619.82,587.43,619.46,46392.29
2025-03-16,619.55,622.75,592.78,602.0,67886.57
2025-03-17,601.92,643.15,601.84,631.34,144781.23
2025-03-18,631.32,642.75,620.04,627.33,140717.86
2025-03-19,627.33,627.73,604.32,618.17,155917.58
2025-03-20,618.17,637.07,615.93,629.66,122219.94
2025-03-21,629.63,636.7,624.22,634.42,118410.86
2025-03-22,634.42,635.3,623.21,626.43,68613.81
2025-03-23,626.42,628.6,618.86,623.39,57288.64
2025-03-24,623.4,639.26,617.46,636.76,155583.2
2025-03-25,636.77,644.43,626.27,629.97,177285.52
2025-03-26,629.96,634.05,615.17,617.88,70251.06
2025-03-27,617.89,641.74,617.12,636.69,216519.03
2025-03-28,636.69,636.79,615.3,619.17,141925.51
2025-03-29,619.18,623.08,596.5,602.42,120008.9
2025-03-30,602.44,612.52,593.0,601.78,93233.08
2025-03-31,601.79,608.62,586.57,604.52,154901.56
2025-04-01,604.5,617.88,604.11,611.13,176225.34
2025-04-02,611.13,613.46,584.24,589.96,207512.89
2025-04-03,589.98,609.57,578.38,592.4,220946.74
2025-04-04,592.45,600.0,585.05,597.76,168779.17
2025-04-05,597.74,599.0,589.02,593.18,48299.47
2025-04-06,593.18,593.81,544.12,555.29,208966.71
2025-04-07,555.32,567.79,515.8,554.4,539023.51
2025-04-08,554.39,565.36,547.04,553.09,195981.04
2025-04-09,553.09,585.35,534.12,581.91,289396.21
2025-04-10,581.9,582.96,565.74,577.38,196061.96
2025-04-11,577.39,589.59,575.06,585.58,105178.82
2025-04-12,585.58,599.82,583.35,596.99,84536.06
2025-04-13,596.97,598.0,579.55,583.86,89856.1
2025-04-14,583.86,592.61,582.87,584.14,86459.32
2025-04-15,584.15,590.44,579.01,579.17,60669.15
2025-04-16,579.14,585.99,575.76,582.67,95519.18
2025-04-17,582.66,592.71,580.81,590.18,73877.11
2025-04-18,590.18,595.48,586.68,591.56,82866.71
2025-04-19,591.55,593.79,587.3,591.44,55935.32
2025-04-20,591.46,594.69,587.11,592.33,56627.03
2025-04-21,592.33,608.24,592.16,596.95,111190.26
2025-04-22,596.94,619.87,594.51,618.38,105815.24
2025-04-23,618.38,619.86,601.45,605.79,119586.83
2025-04-24,605.8,606.87,592.87,601.5,80486.21
2025-04-25,601.51,609.72,597.0,600.04,79891.49
2025-04-26,600.02,609.28,599.49,607.11,58117.94
2025-04-27,607.14,608.57,596.98,603.58,69822.12
