Time,Open,High,Low,Close,Volume
2024-12-03,648.28,749.96,622.5,735.67,3260151.11
2024-12-04,735.66,794.0,721.67,740.46,4463089.8
2024-12-05,740.46,740.64,690.0,717.76,3019231.34
2024-12-06,717.77,746.76,705.6,730.75,1798283.23
2024-12-07,730.83,761.69,730.35,750.33,1076862.23
2024-12-08,750.34,757.93,728.0,742.51,919886.82
2024-12-09,742.51,743.04,633.0,689.54,2831482.52
2024-12-10,689.54,705.0,649.47,677.22,2357344.39
2024-12-11,677.22,713.45,659.1,711.69,1264267.41
2024-12-12,711.7,726.15,699.68,706.18,1344197.82
2024-12-13,706.19,730.24,697.0,725.73,1169147.32
2024-12-14,725.73,731.92,704.65,715.57,789047.19
2024-12-15,715.58,724.65,702.52,719.53,651547.88
2024-12-16,719.53,731.0,704.51,721.09,953893.18
2024-12-17,721.1,737.99,712.61,717.85,1170667.08
2024-12-18,717.85,722.68,680.0,686.45,1647695.33
2024-12-19,686.51,705.17,647.59,665.48,1950849.16
2024-12-20,665.49,679.69,617.54,678.32,1981883.41
2024-12-21,678.32,693.5,649.64,663.73,1132081.79
2024-12-22,663.74,669.89,639.2,649.77,877120.24
2024-12-23,649.78,698.38,638.03,693.9,1469394.26
2024-12-24,693.89,699.27,682.56,696.63,789412.76
2024-12-25,696.63,713.21,695.51,702.13,675845.66
2024-12-26,702.13,720.24,681.65,688.75,1161285.23
2024-12-27,688.76,710.93,685.18,691.49,984985.66
2024-12-28,691.49,731.25,690.94,722.14,845595.15
2024-12-29,722.14,724.58,689.67,694.48,694884.28
2024-12-30,694.48,712.16,687.0,704.76,837145.02
2024-12-31,704.75,714.59,698.0,702.12,644109.91
2025-01-01,702.13,710.93,700.02,707.43,386029.63
2025-01-02,707.42,715.99,698.04,706.11,733190.03
2025-01-03,706.11,716.32,696.46,715.22,670878.57
2025-01-04,715.23,721.97,707.61,713.38,503706.97
2025-01-05,713.38,714.0,702.48,709.28,359292.44
2025-01-06,709.28,746.0,706.06,729.81,1042671.32
2025-01-07,729.82,732.98,689.5,697.16,1153759.51
2025-01-08,697.16,706.82,673.76,695.49,1067127.2
2025-01-09,695.49,701.32,673.7,684.89,935599.52
2025-01-10,684.89,700.84,682.6,693.04,666606.83
2025-01-11,693.03,701.28,690.2,696.42,268116.54
2025-01-12,696.42,698.56,689.46,692.96,269598.8
2025-01-13,692.96,700.0,656.84,688.41,1120301.56
2025-01-14,688.4,700.19,686.0,698.84,484950.57
2025-01-15,698.88,714.73,688.43,714.38,766138.28
2025-01-16,714.37,717.75,700.62,708.05,676602.38
2025-01-17,708.06,730.61,708.05,722.09,649554.16
2025-01-18,722.09,723.63,694.88,709.91,760807.1
2025-01-19,709.91,715.26,676.01,683.39,1337593.72
2025-01-20,683.39,709.99,670.0,682.84,1409715.47
2025-01-21,682.83,697.66,675.31,692.54,665320.65
2025-01-22,692.55,704.23,690.15,695.95,471791.73
2025-01-23,695.96,698.11,680.2,690.12,691722.65
2025-01-24,690.13,691.74,678.66,680.46,499177.46
2025-01-25,680.46,690.08,677.61,686.74,282447.72
2025-01-26,686.74,691.36,664.14,666.64,422167.65
2025-01-27,666.64,680.96,635.98,680.16,1185299.07
2025-01-28,680.17,683.25,659.13,661.08,572884.54
2025-01-29,661.07,679.35,659.22,667.94,593069.9
2025-01-30,667.93,683.21,665.8,677.87,397838.75
2025-01-31,677.88,689.53,673.71,677.79,430789.41
2025-02-01,677.79,681.86,650.43,652.83,399478.23
2025-02-02,652.83,663.05,598.71,617.69,1265885.54
2025-02-03,617.69,618.74,499.04,616.76,2732005.03
2025-02-04,616.76,618.74,558.05,572.81,1398666.18
2025-02-05,572.81,579.9,560.93,569.42,621616.61
2025-02-06,569.42,589.27,568.76,571.47,781955.21
2025-02-07,571.5,589.76,570.06,577.42,602114.26
2025-02-08,577.42,633.0,573.36,612.27,1113824.17
2025-02-09,612.27,646.87,602.25,615.36,1749522.15
2025-02-10,615.36,622.28,596.0,618.38,1048117.61
2025-02-11,618.39,646.55,614.79,641.58,1370541.01
2025-02-12,641.57,706.0,626.29,696.76,2203474.88
2025-02-13,696.77,730.95,659.3,664.35,4325158.66
2025-02-14,664.35,684.37,651.05,659.42,1534439.55
2025-02-15,659.41,671.23,653.24,661.76,754031.73
2025-02-16,661.77,684.5,653.01,672.65,1053630.87
2025-02-17,672.65,681.85,657.04,667.12,994878.77
2025-02-18,667.12,667.91,629.74,648.04,1130250.46
2025-02-19,648.06,664.41,637.28,653.11,968492.19
2025-02-20,653.11,658.94,645.37,655.94,663019.31
2025-02-21,655.95,667.71,633.95,647.11,1008333.87
2025-02-22,647.1,679.72,644.75,668.13,987820.11
2025-02-23,668.13,670.72,648.03,657.65,508907.82
2025-02-24,657.65,658.79,610.0,614.06,1004855.69
2025-02-25,614.06,627.6,585.71,622.87,1618939.43
2025-02-26,622.87,631.47,593.79,611.5,1076407.39
2025-02-27,611.51,619.46,595.3,605.19,779582.76
2025-02-28,605.19,606.23,559.56,587.82,1457088.77
2025-03-01,587.83,608.99,586.13,607.28,689431.77
2025-03-02,607.27,634.5,601.41,623.53,1012920.92
2025-03-03,623.54,623.89,567.0,575.72,1148525.19
2025-03-04,575.73,588.28,545.51,583.8,1258457.38
2025-03-05,583.8,605.48,580.4,597.93,626071.29
2025-03-06,597.92,611.82,589.09,596.27,621313.39
2025-03-07,596.28,610.36,577.04,594.53,855436.53
2025-03-08,594.53,602.48,589.89,592.8,343925.42
2025-03-09,592.8,592.81,549.67,554.4,763865.28
2025-03-10,554.41,573.33,522.71,531.25,1103583.35
2025-03-11,531.29,565.24,506.47,551.47,1581408.32
2025-03-12,551.48,575.0,544.0,569.75,1127972.21
2025-03-13,569.76,620.0,567.72,579.45,2015132.17
2025-03-14,579.45,589.44,576.32,587.56,582512.48
2025-03-15,587.55,619.65,587.41,619.62,645885.01
2025-03-16,619.61,622.93,592.9,602.14,826155.33
2025-03-17,602.14,643.59,602.01,631.39,1691378.7
2025-03-18,631.38,643.37,619.94,627.42,1295724.68
2025-03-19,627.41,627.8,604.28,618.02,1343612.78
2025-03-20,618.02,637.3,616.02,629.92,1587667.77
2025-03-21,629.91,637.01,624.09,634.64,726490.52
2025-03-22,634.63,635.5,623.22,626.5,466860.98
2025-03-23,626.5,628.7,618.31,623.25,416574.83
2025-03-24,623.25,639.23,617.0,636.58,975464.26
2025-03-25,636.58,644.67,626.75,629.53,1155894.36
2025-03-26,629.53,633.86,615.0,617.72,619218.77
2025-03-27,617.73,642.0,616.73,636.66,1590895.35
2025-03-28,636.66,636.81,615.31,619.24,805805.88
2025-03-29,619.23,623.21,596.39,602.59,827440.62
2025-03-30,602.6,612.8,593.01,601.95,563384.55
2025-03-31,601.96,609.0,586.48,604.63,854268.82
2025-04-01,604.62,618.05,604.23,610.93,1408845.71
2025-04-02,610.94,612.04,583.98,590.08,1261896.27
2025-04-03,590.09,609.72,578.24,592.43,1459211.71
2025-04-04,592.42,600.45,584.8,597.84,745865.93
2025-04-05,597.85,599.25,588.88,593.11,285833.34
2025-04-06,593.11,593.93,544.0,555.35,1017294.88
2025-04-07,555.35,567.97,509.59,554.63,1954449.46
2025-04-08,554.63,565.68,547.43,553.72,820262.08
2025-04-09,553.73,585.86,534.4,582.12,1295600.09
2025-04-10,582.13,583.44,565.98,577.79,1079915.33
2025-04-11,577.8,589.9,575.53,585.84,516951.57
2025-04-12,585.84,599.99,583.56,597.11,464684.15
2025-04-13,597.11,598.46,579.17,584.06,442529.13
2025-04-14,584.06,592.8,582.83,584.09,454731.12
2025-04-15,584.09,591.11,578.95,579.11,414127.89
2025-04-16,579.11,586.53,575.62,582.68,461405.32
2025-04-17,582.68,593.0,580.62,590.36,405995.01
2025-04-18,590.36,595.5,586.14,591.53,453578.76
2025-04-19,591.52,593.97,587.15,591.56,315265.34
2025-04-20,591.57,595.0,587.0,592.42,343875.49
2025-04-21,592.43,608.49,592.28,596.88,579113.18
2025-04-22,596.88,620.26,594.34,618.27,651271.21
2025-04-23,618.27,619.94,601.12,605.45,823596.78
2025-04-24,605.45,606.79,592.52,601.26,556519.27
2025-04-25,601.26,609.91,596.67,599.57,582777.65
2025-04-26,599.56,609.56,598.93,607.18,360399.89
2025-04-27,607.17,608.68,595.86,603.63,412719.88
2025-04-28,603.62,608.16,598.01,605.99,473275.38
2025-04-29,605.98,610.8,597.53,600.67,542226.12
2025-04-30,600.67,604.42,591.0,599.21,500454.61
2025-05-01,599.21,605.5,597.64,599.14,443178.23
2025-05-02,599.14,603.5,595.0,600.6,408496.64
2025-05-03,600.61,601.11,595.0,599.07,301085.05
2025-05-04,599.07,600.25,584.16,585.65,473877.0
2025-05-05,585.65,599.78,583.02,597.19,582464.68
2025-05-06,597.18,603.27,592.95,602.56,523941.52
2025-05-07,602.56,609.29,597.0,602.51,579658.26
2025-05-08,602.51,629.55,600.66,629.29,982144.78
2025-05-09,629.29,671.3,622.78,666.72,1139785.83
2025-05-10,666.72,679.29,648.67,664.1,1097006.8
2025-05-11,664.1,668.7,648.22,651.36,722042.79
2025-05-12,651.37,693.55,647.13,660.5,1473081.24
2025-05-13,660.5,671.84,640.88,664.62,902555.38
