Time,Open,High,Low,Close,Volume
2025-05-24 16:00:00,0.79,0.791,0.782,0.783,5000637.6
2025-05-24 17:00:00,0.784,0.79,0.779,0.78,3708530.4
2025-05-24 18:00:00,0.78,0.783,0.767,0.77,5400612.7
2025-05-24 19:00:00,0.769,0.774,0.769,0.773,2784034.7
2025-05-24 20:00:00,0.773,0.775,0.77,0.773,2405857.1
2025-05-24 21:00:00,0.773,0.775,0.763,0.768,3720013.1
2025-05-24 22:00:00,0.768,0.77,0.761,0.763,3883651.9
2025-05-24 23:00:00,0.763,0.768,0.758,0.766,6813464.4
2025-05-25 00:00:00,0.767,0.773,0.755,0.758,8760257.3
2025-05-25 01:00:00,0.758,0.765,0.754,0.76,5429273.0
2025-05-25 02:00:00,0.759,0.765,0.744,0.764,13142934.2
2025-05-25 03:00:00,0.764,0.766,0.761,0.762,3468572.3
2025-05-25 04:00:00,0.761,0.762,0.755,0.759,3032708.0
2025-05-25 05:00:00,0.758,0.759,0.75,0.756,2857768.6
2025-05-25 06:00:00,0.756,0.756,0.75,0.753,2726474.2
2025-05-25 07:00:00,0.752,0.754,0.745,0.749,5100236.4
2025-05-25 08:00:00,0.749,0.749,0.733,0.74,8432978.7
2025-05-25 09:00:00,0.739,0.743,0.733,0.741,6479091.4
2025-05-25 10:00:00,0.742,0.745,0.737,0.739,3647691.5
2025-05-25 11:00:00,0.738,0.744,0.737,0.741,3063637.4
2025-05-25 12:00:00,0.742,0.753,0.737,0.75,7449266.2
2025-05-25 13:00:00,0.75,0.755,0.748,0.748,6500408.0
2025-05-25 14:00:00,0.749,0.75,0.739,0.741,5470203.8
2025-05-25 15:00:00,0.74,0.744,0.728,0.744,12917982.0
2025-05-25 16:00:00,0.743,0.744,0.734,0.739,7468331.7
2025-05-25 17:00:00,0.739,0.741,0.732,0.735,4129662.2
2025-05-25 18:00:00,0.735,0.743,0.733,0.735,3539582.5
2025-05-25 19:00:00,0.735,0.748,0.733,0.744,4302032.9
2025-05-25 20:00:00,0.744,0.745,0.738,0.741,3595392.1
2025-05-25 21:00:00,0.741,0.744,0.737,0.74,3155068.2
2025-05-25 22:00:00,0.74,0.765,0.739,0.762,9671003.1
2025-05-25 23:00:00,0.762,0.764,0.753,0.76,5851766.5
2025-05-26 00:00:00,0.761,0.778,0.759,0.778,9870587.7
2025-05-26 01:00:00,0.777,0.779,0.767,0.77,5701895.1
2025-05-26 02:00:00,0.77,0.773,0.762,0.764,5248112.6
2025-05-26 03:00:00,0.764,0.77,0.762,0.766,5835079.9
2025-05-26 04:00:00,0.767,0.77,0.764,0.768,3644839.8
2025-05-26 05:00:00,0.767,0.776,0.765,0.773,4078887.4
2025-05-26 06:00:00,0.773,0.782,0.772,0.781,6077428.7
2025-05-26 07:00:00,0.78,0.788,0.771,0.777,7538668.0
2025-05-26 08:00:00,0.777,0.779,0.767,0.77,6277937.2
2025-05-26 09:00:00,0.77,0.774,0.767,0.768,3705973.1
2025-05-26 10:00:00,0.768,0.774,0.766,0.77,4160247.2
2025-05-26 11:00:00,0.769,0.778,0.764,0.777,4950710.3
2025-05-26 12:00:00,0.777,0.785,0.772,0.781,6104480.7
2025-05-26 13:00:00,0.781,0.787,0.766,0.77,8717417.1
2025-05-26 14:00:00,0.77,0.773,0.761,0.767,7172267.9
2025-05-26 15:00:00,0.768,0.779,0.763,0.769,6853114.4
2025-05-26 16:00:00,0.769,0.772,0.755,0.758,7607667.3
2025-05-26 17:00:00,0.758,0.761,0.747,0.751,8343671.9
2025-05-26 18:00:00,0.751,0.755,0.747,0.749,4124940.3
2025-05-26 19:00:00,0.749,0.751,0.745,0.748,3342982.0
2025-05-26 20:00:00,0.748,0.756,0.744,0.756,5725880.2
2025-05-26 21:00:00,0.756,0.765,0.754,0.76,5412431.9
2025-05-26 22:00:00,0.76,0.767,0.751,0.754,5472734.7
2025-05-26 23:00:00,0.755,0.759,0.751,0.758,3385776.0
2025-05-27 00:00:00,0.757,0.762,0.748,0.75,4614144.0
2025-05-27 01:00:00,0.75,0.75,0.736,0.741,8027949.9
2025-05-27 02:00:00,0.741,0.749,0.739,0.743,4282457.7
2025-05-27 03:00:00,0.743,0.754,0.742,0.746,4314232.5
2025-05-27 04:00:00,0.747,0.75,0.743,0.745,3620733.9
2025-05-27 05:00:00,0.746,0.752,0.74,0.75,3846034.6
2025-05-27 06:00:00,0.75,0.764,0.748,0.748,8950741.4
2025-05-27 07:00:00,0.748,0.76,0.748,0.756,4903017.9
2025-05-27 08:00:00,0.757,0.781,0.756,0.78,12787751.4
2025-05-27 09:00:00,0.78,0.781,0.769,0.776,8707618.6
2025-05-27 10:00:00,0.776,0.78,0.77,0.776,6128904.7
2025-05-27 11:00:00,0.776,0.782,0.77,0.781,4632107.4
2025-05-27 12:00:00,0.781,0.795,0.776,0.794,19284171.9
2025-05-27 13:00:00,0.794,0.797,0.779,0.78,18724235.7
2025-05-27 14:00:00,0.78,0.785,0.766,0.77,14774060.3
2025-05-27 15:00:00,0.769,0.784,0.765,0.782,7080884.3
2025-05-27 16:00:00,0.781,0.796,0.776,0.793,11856739.8
2025-05-27 17:00:00,0.792,0.807,0.791,0.799,17244359.9
2025-05-27 18:00:00,0.799,0.804,0.79,0.791,9457878.3
2025-05-27 19:00:00,0.792,0.793,0.784,0.786,6562097.2
2025-05-27 20:00:00,0.787,0.788,0.78,0.78,5183768.3
2025-05-27 21:00:00,0.781,0.782,0.769,0.771,7648057.1
2025-05-27 22:00:00,0.771,0.773,0.753,0.755,10209377.2
2025-05-27 23:00:00,0.756,0.76,0.752,0.759,5457517.3
2025-05-28 00:00:00,0.759,0.77,0.751,0.768,5767492.0
2025-05-28 01:00:00,0.769,0.77,0.754,0.756,4706102.0
2025-05-28 02:00:00,0.755,0.756,0.748,0.752,6060382.2
2025-05-28 03:00:00,0.752,0.762,0.751,0.759,6059476.7
2025-05-28 04:00:00,0.759,0.765,0.753,0.76,4154046.5
2025-05-28 05:00:00,0.76,0.767,0.759,0.766,6010849.1
2025-05-28 06:00:00,0.765,0.771,0.758,0.76,6600827.0
2025-05-28 07:00:00,0.759,0.767,0.758,0.761,3500488.5
2025-05-28 08:00:00,0.761,0.767,0.757,0.763,4950353.5
2025-05-28 09:00:00,0.763,0.764,0.752,0.754,5514868.3
2025-05-28 10:00:00,0.754,0.762,0.75,0.76,6017335.0
2025-05-28 11:00:00,0.761,0.766,0.76,0.765,4115965.5
2025-05-28 12:00:00,0.765,0.774,0.763,0.771,8218419.8
2025-05-28 13:00:00,0.771,0.776,0.76,0.76,12046904.0
2025-05-28 14:00:00,0.76,0.763,0.745,0.746,14863250.4
2025-05-28 15:00:00,0.746,0.752,0.739,0.743,8403564.4
2025-05-28 16:00:00,0.743,0.752,0.742,0.751,6075634.2
2025-05-28 17:00:00,0.751,0.758,0.746,0.749,5663943.1
2025-05-28 18:00:00,0.749,0.756,0.743,0.744,6374443.3
2025-05-28 19:00:00,0.744,0.751,0.734,0.735,10309367.7
2025-05-28 20:00:00,0.735,0.743,0.732,0.742,5806775.1
2025-05-28 21:00:00,0.743,0.749,0.739,0.749,3521888.2
2025-05-28 22:00:00,0.748,0.749,0.74,0.743,2855011.1
2025-05-28 23:00:00,0.744,0.765,0.743,0.762,7081258.0
2025-05-29 00:00:00,0.763,0.787,0.756,0.787,11685117.2
2025-05-29 01:00:00,0.787,0.787,0.77,0.78,8886637.5
2025-05-29 02:00:00,0.78,0.8,0.773,0.799,9801761.9
2025-05-29 03:00:00,0.8,0.804,0.788,0.798,10034006.6
2025-05-29 04:00:00,0.798,0.803,0.781,0.788,11300826.3
2025-05-29 05:00:00,0.788,0.789,0.777,0.782,4842234.5
2025-05-29 06:00:00,0.781,0.788,0.777,0.784,3772481.9
2025-05-29 07:00:00,0.783,0.785,0.777,0.783,3657990.5
2025-05-29 08:00:00,0.783,0.793,0.778,0.786,6744547.6
2025-05-29 09:00:00,0.786,0.791,0.781,0.79,3803483.2
2025-05-29 10:00:00,0.79,0.791,0.779,0.781,4799898.8
2025-05-29 11:00:00,0.781,0.785,0.776,0.779,5302378.1
2025-05-29 12:00:00,0.778,0.779,0.761,0.765,10024845.5
2025-05-29 13:00:00,0.765,0.77,0.742,0.745,15827487.7
2025-05-29 14:00:00,0.746,0.755,0.731,0.753,18209879.5
2025-05-29 15:00:00,0.753,0.755,0.739,0.744,8840807.3
2025-05-29 16:00:00,0.744,0.749,0.737,0.738,7014956.4
2025-05-29 17:00:00,0.739,0.747,0.736,0.743,7060937.9
2025-05-29 18:00:00,0.744,0.748,0.737,0.737,5140387.0
2025-05-29 19:00:00,0.737,0.743,0.735,0.742,5329893.1
2025-05-29 20:00:00,0.741,0.745,0.738,0.741,4283757.1
2025-05-29 21:00:00,0.741,0.757,0.74,0.754,3871542.0
2025-05-29 22:00:00,0.754,0.756,0.744,0.745,4669781.5
2025-05-29 23:00:00,0.745,0.747,0.736,0.741,4967942.3
2025-05-30 00:00:00,0.741,0.754,0.708,0.722,22181294.7
2025-05-30 01:00:00,0.722,0.735,0.718,0.72,15441081.9
2025-05-30 02:00:00,0.72,0.734,0.72,0.728,6042906.6
2025-05-30 03:00:00,0.728,0.73,0.72,0.721,3820579.7
2025-05-30 04:00:00,0.722,0.722,0.71,0.714,7630256.6
2025-05-30 05:00:00,0.714,0.719,0.711,0.716,4631943.0
2025-05-30 06:00:00,0.716,0.717,0.698,0.705,10158221.8
2025-05-30 07:00:00,0.705,0.714,0.704,0.705,7629800.3
2025-05-30 08:00:00,0.705,0.712,0.702,0.703,7389204.6
2025-05-30 09:00:00,0.702,0.707,0.691,0.702,9771539.7
2025-05-30 10:00:00,0.702,0.708,0.696,0.706,5945706.3
2025-05-30 11:00:00,0.706,0.711,0.704,0.708,4714892.2
2025-05-30 12:00:00,0.708,0.71,0.693,0.703,7785354.3
2025-05-30 13:00:00,0.703,0.706,0.684,0.686,14912755.5
2025-05-30 14:00:00,0.687,0.694,0.684,0.688,6169910.5
2025-05-30 15:00:00,0.688,0.694,0.684,0.685,6087048.0
2025-05-30 16:00:00,0.686,0.688,0.665,0.673,21484194.5
2025-05-30 17:00:00,0.674,0.68,0.669,0.678,7222369.2
2025-05-30 18:00:00,0.678,0.689,0.677,0.687,5609972.6
2025-05-30 19:00:00,0.687,0.693,0.686,0.69,4780118.8
2025-05-30 20:00:00,0.691,0.695,0.687,0.688,3892724.3
2025-05-30 21:00:00,0.689,0.691,0.682,0.684,2695435.1
2025-05-30 22:00:00,0.684,0.687,0.664,0.664,8004581.9
2025-05-30 23:00:00,0.665,0.669,0.656,0.662,11643230.4
2025-05-31 00:00:00,0.661,0.663,0.645,0.65,10711265.7
2025-05-31 01:00:00,0.65,0.659,0.641,0.646,10590360.3
2025-05-31 02:00:00,0.646,0.658,0.642,0.648,7384955.3
2025-05-31 03:00:00,0.647,0.653,0.643,0.651,4991903.5
2025-05-31 04:00:00,0.651,0.655,0.643,0.654,5119462.2
2025-05-31 05:00:00,0.654,0.656,0.644,0.645,4798732.1
2025-05-31 06:00:00,0.645,0.655,0.644,0.65,3606953.6
2025-05-31 07:00:00,0.65,0.654,0.648,0.65,3536290.2
2025-05-31 08:00:00,0.651,0.653,0.645,0.65,5514350.0
2025-05-31 09:00:00,0.65,0.652,0.638,0.642,6510987.1
2025-05-31 10:00:00,0.643,0.65,0.639,0.645,5149264.1
2025-05-31 11:00:00,0.645,0.646,0.639,0.644,3246851.8
2025-05-31 12:00:00,0.644,0.657,0.643,0.656,5826364.9
2025-05-31 13:00:00,0.656,0.666,0.655,0.659,7511312.6
2025-05-31 14:00:00,0.658,0.671,0.658,0.67,6747805.1
2025-05-31 15:00:00,0.669,0.672,0.667,0.667,1318001.1
