Time,Open,High,Low,Close,Volume
2024-12-03,52.29,62.31,52.29,57.42,2373372.545
2024-12-04,57.43,63.13,55.32,58.5,1307963.52
2024-12-05,58.49,71.67,51.3,64.91,1958751.362
2024-12-06,64.92,65.8,59.13,61.81,1033287.09
2024-12-07,61.81,62.94,58.41,60.02,558442.235
2024-12-08,60.02,60.38,57.72,58.32,370212.22
2024-12-09,58.33,58.35,41.18,47.17,1200376.616
2024-12-10,47.17,47.86,40.07,45.55,1129106.695
2024-12-11,45.55,49.99,43.38,49.12,655402.189
2024-12-12,49.11,51.41,47.53,48.68,617424.482
2024-12-13,48.69,49.76,47.59,48.87,408876.967
2024-12-14,48.87,49.08,45.07,46.13,384141.137
2024-12-15,46.12,47.83,44.5,47.29,458195.141
2024-12-16,47.29,48.26,43.02,44.81,543439.262
2024-12-17,44.81,47.02,43.6,44.38,534466.818
2024-12-18,44.37,44.78,38.03,38.7,656780.149
2024-12-19,38.69,40.27,34.62,36.26,724570.465
2024-12-20,36.25,38.44,31.42,38.09,800455.708
2024-12-21,38.08,40.56,35.04,35.6,518720.581
2024-12-22,35.6,37.16,34.37,35.27,510609.914
2024-12-23,35.28,39.7,34.45,39.09,452571.736
2024-12-24,39.1,45.46,38.3,43.56,1209097.22
2024-12-25,43.56,49.32,43.43,45.76,1475241.57
2024-12-26,45.75,46.4,40.56,40.63,894137.679
2024-12-27,40.62,42.34,38.91,39.33,714668.823
2024-12-28,39.33,43.9,38.8,43.42,499657.872
2024-12-29,43.41,43.86,39.34,39.75,494112.037
2024-12-30,39.76,41.66,37.41,38.53,605978.042
2024-12-31,38.54,39.54,37.47,37.89,334839.43
2025-01-01,37.9,40.63,37.17,39.41,369086.341
2025-01-02,39.4,41.28,38.83,40.3,376614.505
2025-01-03,40.29,43.9,39.26,43.18,385049.006
2025-01-04,43.17,43.71,42.07,42.69,266549.977
2025-01-05,42.7,44.53,42.01,43.69,370096.623
2025-01-06,43.7,44.71,42.51,43.82,356619.878
2025-01-07,43.82,43.83,38.45,38.63,451286.374
2025-01-08,38.63,39.19,35.39,37.57,506209.743
2025-01-09,37.57,38.14,35.56,36.82,338851.482
2025-01-10,36.82,37.76,36.02,37.52,314470.319
2025-01-11,37.52,37.87,36.71,37.27,214310.549
2025-01-12,37.27,37.54,36.31,36.83,228626.222
2025-01-13,36.84,37.74,33.0,35.37,479992.588
2025-01-14,35.37,37.91,35.09,37.69,233385.266
2025-01-15,37.7,40.32,36.78,40.07,459590.365
2025-01-16,40.07,40.73,38.56,39.51,372132.246
2025-01-17,39.5,44.59,39.46,43.54,688763.189
2025-01-18,43.54,44.3,39.01,39.96,479087.4
2025-01-19,39.97,40.62,34.99,35.71,583656.914
2025-01-20,35.71,39.19,34.62,36.28,601415.409
2025-01-21,36.28,38.13,34.35,36.86,335438.914
2025-01-22,36.84,37.53,35.59,35.8,237524.744
