Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,0.0452,0.0457,0.0431,0.0441,309623236.0
2025-05-01 20:00:00,0.0441,0.0449,0.0434,0.0444,174190197.0
2025-05-02 00:00:00,0.0444,0.0446,0.0422,0.0431,196562512.0
2025-05-02 04:00:00,0.043,0.0437,0.0425,0.0429,140175470.0
2025-05-02 08:00:00,0.0429,0.0433,0.0416,0.0421,130360165.0
2025-05-02 12:00:00,0.0422,0.0428,0.0414,0.0423,133920939.0
2025-05-02 16:00:00,0.0423,0.0423,0.0407,0.041,106806499.0
2025-05-02 20:00:00,0.041,0.0425,0.0406,0.0417,83623192.0
2025-05-03 00:00:00,0.0417,0.0423,0.0408,0.0419,76713612.0
2025-05-03 04:00:00,0.0419,0.0456,0.0407,0.0432,341714901.0
2025-05-03 08:00:00,0.0432,0.0442,0.0397,0.0407,248293369.0
2025-05-03 12:00:00,0.0408,0.0411,0.039,0.0394,127424778.0
2025-05-03 16:00:00,0.0395,0.0395,0.0361,0.0369,195356114.0
2025-05-03 20:00:00,0.037,0.0377,0.0365,0.0366,61497375.0
2025-05-04 00:00:00,0.0366,0.0373,0.0352,0.0353,105835282.0
2025-05-04 04:00:00,0.0353,0.0357,0.0343,0.0349,86890776.0
2025-05-04 08:00:00,0.0348,0.0361,0.0346,0.036,117930939.0
2025-05-04 12:00:00,0.036,0.0364,0.0347,0.035,112902399.0
2025-05-04 16:00:00,0.0351,0.036,0.0339,0.0339,106307233.0
2025-05-04 20:00:00,0.034,0.0345,0.0337,0.0339,72146431.0
2025-05-05 00:00:00,0.0339,0.0351,0.0334,0.0346,110518910.0
2025-05-05 04:00:00,0.0346,0.0369,0.0343,0.035,165750002.0
2025-05-05 08:00:00,0.035,0.0361,0.0346,0.035,118436036.0
2025-05-05 12:00:00,0.035,0.0353,0.0336,0.0339,119542675.0
2025-05-05 16:00:00,0.0339,0.0352,0.0336,0.0341,90434378.0
2025-05-05 20:00:00,0.0341,0.0345,0.0333,0.0333,60762306.0
2025-05-06 00:00:00,0.0334,0.0344,0.0323,0.0329,94147504.0
2025-05-06 04:00:00,0.0329,0.0336,0.0325,0.0325,70674697.0
2025-05-06 08:00:00,0.0326,0.0326,0.0303,0.0307,130825931.0
2025-05-06 12:00:00,0.0308,0.0309,0.029,0.0295,161278728.0
2025-05-06 16:00:00,0.0296,0.0297,0.0283,0.0286,130232529.0
2025-05-06 20:00:00,0.0285,0.0295,0.0275,0.0294,129999180.0
2025-05-07 00:00:00,0.0294,0.0303,0.0288,0.0293,108963530.0
2025-05-07 04:00:00,0.0294,0.0297,0.0289,0.0293,98459612.0
2025-05-07 08:00:00,0.0293,0.0312,0.0291,0.0303,207607248.0
2025-05-07 12:00:00,0.0303,0.0305,0.0285,0.0292,165755127.0
2025-05-07 16:00:00,0.0291,0.0292,0.028,0.0284,114460107.0
2025-05-07 20:00:00,0.0284,0.0289,0.0279,0.0286,59668301.0
2025-05-08 00:00:00,0.0286,0.0296,0.0282,0.0294,95786464.0
2025-05-08 04:00:00,0.0293,0.0305,0.0291,0.0297,82720510.0
2025-05-08 08:00:00,0.0297,0.0301,0.0293,0.0296,59072130.0
2025-05-08 12:00:00,0.0295,0.0309,0.0289,0.0302,95297984.0
2025-05-08 16:00:00,0.0302,0.0313,0.0283,0.0292,153309347.0
2025-05-08 20:00:00,0.0293,0.0305,0.0293,0.0304,103495143.0
2025-05-09 00:00:00,0.0303,0.0311,0.03,0.0303,101643544.0
2025-05-09 04:00:00,0.0302,0.0322,0.0302,0.0315,150087207.0
2025-05-09 08:00:00,0.0314,0.0323,0.0309,0.0314,169673145.0
2025-05-09 12:00:00,0.0313,0.0323,0.0307,0.0315,167182739.0
2025-05-09 16:00:00,0.0315,0.0329,0.0308,0.0309,168847554.0
2025-05-09 20:00:00,0.0309,0.0329,0.0308,0.0328,90078042.0
2025-05-10 00:00:00,0.0328,0.0354,0.032,0.0322,163307210.0
2025-05-10 04:00:00,0.0322,0.0324,0.0315,0.0322,88744529.0
2025-05-10 08:00:00,0.0322,0.0331,0.0319,0.0331,139516595.0
2025-05-10 12:00:00,0.033,0.0333,0.032,0.0324,115779312.0
2025-05-10 16:00:00,0.0324,0.0358,0.0321,0.035,216702884.0
2025-05-10 20:00:00,0.035,0.0369,0.0348,0.0364,179322366.0
2025-05-11 00:00:00,0.0364,0.0397,0.0357,0.0377,248383619.0
2025-05-11 04:00:00,0.0377,0.0388,0.0364,0.0367,172111377.0
2025-05-11 08:00:00,0.0367,0.0384,0.0366,0.0376,175676055.0
2025-05-11 12:00:00,0.0377,0.0385,0.0357,0.0376,160516952.0
2025-05-11 16:00:00,0.0377,0.0378,0.036,0.0364,113870253.0
2025-05-11 20:00:00,0.0364,0.0375,0.036,0.0367,74767966.0
2025-05-12 00:00:00,0.0367,0.0389,0.0364,0.0381,117151235.0
2025-05-12 04:00:00,0.0381,0.0407,0.0377,0.0396,150948059.0
2025-05-12 08:00:00,0.0396,0.0405,0.0387,0.039,133561457.0
2025-05-12 12:00:00,0.039,0.0394,0.0368,0.039,187957478.0
2025-05-12 16:00:00,0.0389,0.0389,0.0347,0.0362,186695055.0
2025-05-12 20:00:00,0.0362,0.0364,0.0355,0.0357,62480344.0
2025-05-13 00:00:00,0.0357,0.0361,0.032,0.0323,211536278.0
2025-05-13 04:00:00,0.0323,0.0338,0.0318,0.0333,114931131.0
2025-05-13 08:00:00,0.0332,0.0346,0.0331,0.0343,115481592.0
2025-05-13 12:00:00,0.0344,0.0358,0.034,0.0356,152549002.0
2025-05-13 16:00:00,0.0356,0.0393,0.0356,0.0387,148977501.0
2025-05-13 20:00:00,0.0388,0.0397,0.0379,0.0381,96945876.0
2025-05-14 00:00:00,0.0381,0.0388,0.0369,0.0373,106190221.0
2025-05-14 04:00:00,0.0373,0.0384,0.0367,0.0373,85775341.0
2025-05-14 08:00:00,0.0372,0.0375,0.0361,0.0371,109496305.0
2025-05-14 12:00:00,0.0372,0.0373,0.0352,0.0358,106509671.0
2025-05-14 16:00:00,0.0359,0.0362,0.0353,0.0356,76062671.0
2025-05-14 20:00:00,0.0357,0.036,0.0349,0.0351,40753054.0
2025-05-15 00:00:00,0.0351,0.0361,0.0337,0.0338,105536963.0
2025-05-15 04:00:00,0.0338,0.0341,0.0301,0.0305,235258729.0
2025-05-15 08:00:00,0.0306,0.0317,0.0305,0.0311,210433754.0
2025-05-15 12:00:00,0.0312,0.0314,0.0291,0.0304,316870820.0
2025-05-15 16:00:00,0.0303,0.0314,0.0287,0.029,215976238.0
2025-05-15 20:00:00,0.029,0.03,0.0282,0.0293,139388280.0
2025-05-16 00:00:00,0.0293,0.0298,0.0287,0.0294,160365453.0
2025-05-16 04:00:00,0.0293,0.0303,0.0293,0.0301,195745279.0
2025-05-16 08:00:00,0.0301,0.0313,0.0294,0.031,155058818.0
2025-05-16 12:00:00,0.0309,0.0321,0.0306,0.0317,156858892.0
2025-05-16 16:00:00,0.0317,0.0324,0.031,0.0315,140003760.0
2025-05-16 20:00:00,0.0315,0.0318,0.0305,0.0311,117773542.0
2025-05-17 00:00:00,0.0312,0.0314,0.0303,0.0307,156756884.0
2025-05-17 04:00:00,0.0308,0.0312,0.0299,0.0302,93516307.0
2025-05-17 08:00:00,0.0302,0.0304,0.0295,0.0295,112176228.0
2025-05-17 12:00:00,0.0296,0.0301,0.029,0.0297,96443728.0
2025-05-17 16:00:00,0.0297,0.0302,0.029,0.0296,96438602.0
2025-05-17 20:00:00,0.0296,0.0319,0.0294,0.0313,137080478.0
2025-05-18 00:00:00,0.0312,0.0318,0.0297,0.03,187387842.0
2025-05-18 04:00:00,0.0299,0.031,0.0294,0.0302,143028947.0
2025-05-18 08:00:00,0.0303,0.0312,0.0303,0.0304,124949523.0
2025-05-18 12:00:00,0.0304,0.0318,0.0302,0.0318,127811867.0
2025-05-18 16:00:00,0.0318,0.0318,0.0296,0.03,133092414.0
2025-05-18 20:00:00,0.03,0.0324,0.0294,0.0322,97476417.0
2025-05-19 00:00:00,0.0323,0.0324,0.0306,0.0307,122151477.0
2025-05-19 04:00:00,0.0308,0.031,0.0301,0.0303,139493255.0
2025-05-19 08:00:00,0.0303,0.0305,0.0298,0.03,120689007.0
2025-05-19 12:00:00,0.0301,0.0312,0.0297,0.0309,131883489.0
2025-05-19 16:00:00,0.031,0.0317,0.0306,0.0312,128898283.0
2025-05-19 20:00:00,0.0312,0.0314,0.0307,0.031,68467337.0
2025-05-20 00:00:00,0.0309,0.0318,0.0307,0.031,90702129.0
2025-05-20 04:00:00,0.031,0.0314,0.0306,0.0308,70683453.0
2025-05-20 08:00:00,0.0308,0.0309,0.0301,0.0301,73327015.0
2025-05-20 12:00:00,0.0301,0.0311,0.0297,0.0308,87035484.0
2025-05-20 16:00:00,0.0309,0.0324,0.0306,0.0321,122105932.0
2025-05-20 20:00:00,0.032,0.0351,0.0318,0.035,205012099.0
2025-05-21 00:00:00,0.035,0.0367,0.0325,0.0334,506711030.0
2025-05-21 04:00:00,0.0334,0.0342,0.0325,0.0329,182977041.0
2025-05-21 08:00:00,0.033,0.0355,0.0327,0.0342,205254373.0
2025-05-21 12:00:00,0.0342,0.0348,0.0334,0.0344,174691519.0
2025-05-21 16:00:00,0.0343,0.0354,0.0333,0.035,176221792.0
2025-05-21 20:00:00,0.0351,0.0356,0.0343,0.035,59725914.0
2025-05-22 00:00:00,0.0351,0.0362,0.035,0.0356,97933873.0
2025-05-22 04:00:00,0.0356,0.0373,0.0355,0.0362,100754018.0
2025-05-22 08:00:00,0.0362,0.037,0.0358,0.036,65076059.0
2025-05-22 12:00:00,0.036,0.0366,0.0355,0.0359,69238474.0
2025-05-22 16:00:00,0.0359,0.0363,0.0352,0.0353,50064020.0
2025-05-22 20:00:00,0.0354,0.0358,0.0346,0.0355,60818082.0
2025-05-23 00:00:00,0.0355,0.0358,0.0347,0.0355,76878200.0
2025-05-23 04:00:00,0.0356,0.0357,0.0342,0.0343,54050109.0
2025-05-23 08:00:00,0.0343,0.0349,0.0325,0.0329,114510104.0
2025-05-23 12:00:00,0.0328,0.0336,0.032,0.0327,149052733.0
2025-05-23 16:00:00,0.0327,0.0332,0.0324,0.0325,62155809.0
2025-05-23 20:00:00,0.0325,0.0327,0.0311,0.0315,60803929.0
2025-05-24 00:00:00,0.0315,0.0325,0.0313,0.0321,55907608.0
