Time,Open,High,Low,Close,Volume
2025-05-30 15:15:00,0.375,0.376,0.373,0.376,635382.8
2025-05-30 15:30:00,0.376,0.376,0.373,0.374,621451.3
2025-05-30 15:45:00,0.375,0.375,0.372,0.373,809248.4
2025-05-30 16:00:00,0.373,0.374,0.371,0.373,770454.9
2025-05-30 16:15:00,0.373,0.373,0.368,0.369,1108230.6
2025-05-30 16:30:00,0.369,0.37,0.361,0.367,2682435.4
2025-05-30 16:45:00,0.366,0.367,0.365,0.366,655633.3
2025-05-30 17:00:00,0.365,0.369,0.364,0.367,1206865.5
2025-05-30 17:15:00,0.367,0.369,0.365,0.366,1049012.7
2025-05-30 17:30:00,0.366,0.368,0.365,0.366,834655.4
2025-05-30 17:45:00,0.366,0.367,0.364,0.366,683072.4
2025-05-30 18:00:00,0.366,0.369,0.366,0.368,669276.6
2025-05-30 18:15:00,0.368,0.371,0.367,0.37,512307.4
2025-05-30 18:30:00,0.369,0.371,0.369,0.37,104272.7
2025-05-30 18:45:00,0.37,0.371,0.369,0.37,365818.5
2025-05-30 19:00:00,0.371,0.372,0.369,0.371,349335.6
2025-05-30 19:15:00,0.37,0.372,0.37,0.372,533033.0
2025-05-30 19:30:00,0.371,0.372,0.37,0.37,232410.9
2025-05-30 19:45:00,0.37,0.372,0.37,0.371,787460.2
2025-05-30 20:00:00,0.371,0.371,0.369,0.37,422033.9
2025-05-30 20:15:00,0.369,0.372,0.369,0.37,617238.7
2025-05-30 20:30:00,0.37,0.372,0.369,0.372,505783.1
2025-05-30 20:45:00,0.371,0.373,0.369,0.37,316331.8
2025-05-30 21:00:00,0.369,0.371,0.369,0.37,231852.9
2025-05-30 21:15:00,0.371,0.371,0.369,0.37,220002.0
2025-05-30 21:30:00,0.371,0.371,0.368,0.368,88266.5
2025-05-30 21:45:00,0.369,0.37,0.368,0.369,107709.1
2025-05-30 22:00:00,0.369,0.37,0.368,0.369,168045.9
2025-05-30 22:15:00,0.369,0.369,0.366,0.366,290811.3
2025-05-30 22:30:00,0.367,0.367,0.361,0.361,390821.5
2025-05-30 22:45:00,0.361,0.365,0.36,0.36,590428.0
2025-05-30 23:00:00,0.36,0.363,0.359,0.36,1652313.9
2025-05-30 23:15:00,0.36,0.361,0.355,0.358,1227337.7
2025-05-30 23:30:00,0.358,0.36,0.357,0.358,855935.4
2025-05-30 23:45:00,0.358,0.359,0.356,0.357,921755.9
2025-05-31 00:00:00,0.357,0.358,0.352,0.353,1483410.7
2025-05-31 00:15:00,0.353,0.354,0.348,0.35,1543539.8
2025-05-31 00:30:00,0.35,0.355,0.35,0.354,833259.1
2025-05-31 00:45:00,0.353,0.355,0.349,0.349,769133.1
2025-05-31 01:00:00,0.349,0.353,0.348,0.351,1814548.9
2025-05-31 01:15:00,0.352,0.354,0.349,0.35,768551.6
2025-05-31 01:30:00,0.35,0.352,0.346,0.352,1835613.3
2025-05-31 01:45:00,0.352,0.353,0.349,0.353,893508.0
2025-05-31 02:00:00,0.352,0.355,0.35,0.355,1134507.9
2025-05-31 02:15:00,0.354,0.356,0.353,0.354,646930.9
2025-05-31 02:30:00,0.354,0.355,0.352,0.353,1085702.9
2025-05-31 02:45:00,0.354,0.354,0.352,0.352,892289.0
2025-05-31 03:00:00,0.353,0.353,0.35,0.353,1317361.2
2025-05-31 03:15:00,0.352,0.354,0.351,0.354,848262.2
2025-05-31 03:30:00,0.353,0.355,0.352,0.354,687460.3
2025-05-31 03:45:00,0.354,0.356,0.353,0.354,284223.8
2025-05-31 04:00:00,0.353,0.354,0.352,0.353,503727.1
2025-05-31 04:15:00,0.352,0.357,0.352,0.356,542533.7
2025-05-31 04:30:00,0.356,0.357,0.355,0.356,580111.4
2025-05-31 04:45:00,0.357,0.358,0.356,0.357,368023.5
2025-05-31 05:00:00,0.357,0.358,0.355,0.357,663782.4
2025-05-31 05:15:00,0.356,0.357,0.355,0.356,367305.0
2025-05-31 05:30:00,0.356,0.358,0.355,0.358,292717.7
2025-05-31 05:45:00,0.358,0.358,0.355,0.356,355730.1
2025-05-31 06:00:00,0.355,0.357,0.354,0.356,361624.5
2025-05-31 06:15:00,0.356,0.358,0.355,0.357,736584.2
2025-05-31 06:30:00,0.357,0.359,0.356,0.358,581738.0
2025-05-31 06:45:00,0.358,0.358,0.356,0.357,243992.5
2025-05-31 07:00:00,0.357,0.357,0.356,0.357,33042.3
2025-05-31 07:15:00,0.356,0.357,0.355,0.357,255849.7
2025-05-31 07:30:00,0.357,0.359,0.356,0.358,284130.5
2025-05-31 07:45:00,0.358,0.359,0.357,0.358,388606.4
2025-05-31 08:00:00,0.358,0.358,0.355,0.356,1088650.3
2025-05-31 08:15:00,0.356,0.358,0.355,0.357,379442.5
2025-05-31 08:30:00,0.356,0.357,0.353,0.354,599499.6
2025-05-31 08:45:00,0.354,0.356,0.353,0.356,559878.3
