Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,0.3177,0.3188,0.3119,0.3131,923338.0
2025-05-01 20:00:00,0.3132,0.3149,0.3059,0.3085,730657.0
2025-05-02 00:00:00,0.3087,0.3122,0.3067,0.3085,914694.0
2025-05-02 04:00:00,0.3085,0.3089,0.3021,0.3022,872235.0
2025-05-02 08:00:00,0.3022,0.3067,0.302,0.3041,690851.0
2025-05-02 12:00:00,0.3041,0.3095,0.3024,0.3054,1200339.0
2025-05-02 16:00:00,0.3053,0.3086,0.3027,0.3036,589111.0
2025-05-02 20:00:00,0.3035,0.3069,0.303,0.3066,289544.0
2025-05-03 00:00:00,0.3067,0.3075,0.3013,0.3035,535675.0
2025-05-03 04:00:00,0.3035,0.3044,0.3006,0.3012,590787.0
2025-05-03 08:00:00,0.3013,0.3023,0.2901,0.2906,1556228.0
2025-05-03 12:00:00,0.2906,0.2965,0.2904,0.2941,885018.0
2025-05-03 16:00:00,0.2941,0.2943,0.2834,0.2896,1392009.0
2025-05-03 20:00:00,0.2897,0.2912,0.2865,0.2868,745579.0
2025-05-04 00:00:00,0.2868,0.2893,0.2815,0.2821,844622.0
2025-05-04 04:00:00,0.282,0.2847,0.2807,0.2827,560363.0
2025-05-04 08:00:00,0.2828,0.2842,0.2783,0.2821,944287.0
2025-05-04 12:00:00,0.2822,0.2836,0.2691,0.2706,4272126.0
2025-05-04 16:00:00,0.2706,0.2725,0.2661,0.268,988942.0
2025-05-04 20:00:00,0.2681,0.2715,0.2656,0.2677,862316.0
2025-05-05 00:00:00,0.2676,0.2714,0.2632,0.27,1288409.0
2025-05-05 04:00:00,0.2701,0.2737,0.2694,0.2735,587124.0
2025-05-05 08:00:00,0.2734,0.2756,0.2674,0.2685,1216487.0
2025-05-05 12:00:00,0.2687,0.2707,0.2623,0.2639,829159.0
2025-05-05 16:00:00,0.264,0.2732,0.2634,0.2686,2287766.0
2025-05-05 20:00:00,0.2687,0.2734,0.2635,0.2709,750563.0
2025-05-06 00:00:00,0.2709,0.2775,0.2675,0.2733,2539234.0
2025-05-06 04:00:00,0.2734,0.2774,0.2681,0.2686,2125053.0
2025-05-06 08:00:00,0.2686,0.2686,0.2571,0.2593,1430723.0
2025-05-06 12:00:00,0.2592,0.2632,0.2555,0.2578,1127878.0
2025-05-06 16:00:00,0.2578,0.262,0.2557,0.2586,767621.0
2025-05-06 20:00:00,0.2586,0.2616,0.2509,0.261,1083721.0
2025-05-07 00:00:00,0.2611,0.269,0.2601,0.2654,1089839.0
2025-05-07 04:00:00,0.2656,0.2689,0.2627,0.2661,1009991.0
2025-05-07 08:00:00,0.2662,0.2696,0.2641,0.2661,969316.0
2025-05-07 12:00:00,0.2662,0.2671,0.2607,0.261,901598.0
2025-05-07 16:00:00,0.261,0.2622,0.2556,0.258,1251557.0
2025-05-07 20:00:00,0.2579,0.2649,0.2557,0.2625,840671.0
2025-05-08 00:00:00,0.2625,0.2727,0.2614,0.272,1303554.0
2025-05-08 04:00:00,0.272,0.282,0.272,0.2796,1511170.0
2025-05-08 08:00:00,0.2796,0.2849,0.2796,0.2831,1387741.0
2025-05-08 12:00:00,0.2832,0.295,0.2801,0.2904,1463550.0
2025-05-08 16:00:00,0.2906,0.2926,0.2874,0.2902,1302030.0
2025-05-08 20:00:00,0.2903,0.2992,0.2896,0.2983,1029138.0
2025-05-09 00:00:00,0.2982,0.3048,0.2971,0.2991,1578127.0
2025-05-09 04:00:00,0.2991,0.312,0.2984,0.3073,1164265.0
2025-05-09 08:00:00,0.3072,0.3173,0.3028,0.3091,2118422.0
2025-05-09 12:00:00,0.3091,0.3151,0.3037,0.3085,1526424.0
2025-05-09 16:00:00,0.3087,0.3151,0.3044,0.3114,964503.0
2025-05-09 20:00:00,0.3114,0.3201,0.3103,0.3176,882170.0
2025-05-10 00:00:00,0.3177,0.3254,0.3165,0.3214,1425718.0
2025-05-10 04:00:00,0.3214,0.326,0.3176,0.3244,844175.0
2025-05-10 08:00:00,0.3246,0.3276,0.3131,0.3153,1438805.0
2025-05-10 12:00:00,0.3154,0.3221,0.3137,0.3149,765563.0
2025-05-10 16:00:00,0.315,0.3276,0.3138,0.325,1233105.0
