Time,Open,High,Low,Close,Volume
2025-05-30 15:15:00,0.4163,0.418,0.4145,0.4173,88992.0
2025-05-30 15:30:00,0.4172,0.4176,0.4153,0.4157,45836.0
2025-05-30 15:45:00,0.4157,0.4171,0.4145,0.4149,32749.0
2025-05-30 16:00:00,0.4151,0.4169,0.4144,0.4155,42935.0
2025-05-30 16:15:00,0.4156,0.4157,0.411,0.4117,149174.0
2025-05-30 16:30:00,0.4116,0.4116,0.4029,0.409,175856.0
2025-05-30 16:45:00,0.4091,0.4092,0.4048,0.4066,54365.0
2025-05-30 17:00:00,0.4066,0.4083,0.4018,0.4056,194772.0
2025-05-30 17:15:00,0.4054,0.4081,0.4017,0.4031,114255.0
2025-05-30 17:30:00,0.403,0.4044,0.4019,0.4034,23583.0
2025-05-30 17:45:00,0.4034,0.4048,0.4013,0.4046,23264.0
2025-05-30 18:00:00,0.4048,0.406,0.4024,0.4039,31186.0
2025-05-30 18:15:00,0.404,0.4077,0.4038,0.4072,21753.0
2025-05-30 18:30:00,0.4072,0.4072,0.4048,0.4057,13002.0
2025-05-30 18:45:00,0.4057,0.4068,0.4051,0.4063,15534.0
2025-05-30 19:00:00,0.4063,0.4075,0.4052,0.4071,48675.0
2025-05-30 19:15:00,0.4071,0.4092,0.4071,0.4075,26787.0
2025-05-30 19:30:00,0.4076,0.4085,0.4064,0.4071,13125.0
2025-05-30 19:45:00,0.407,0.4085,0.406,0.4075,10270.0
2025-05-30 20:00:00,0.4076,0.4078,0.4059,0.4065,12607.0
2025-05-30 20:15:00,0.4065,0.4081,0.4053,0.4054,9906.0
2025-05-30 20:30:00,0.4055,0.4066,0.4045,0.4066,12504.0
2025-05-30 20:45:00,0.4066,0.4075,0.4043,0.4044,7916.0
2025-05-30 21:00:00,0.4042,0.4052,0.4032,0.4044,40302.0
2025-05-30 21:15:00,0.4044,0.4064,0.4044,0.4054,6427.0
2025-05-30 21:30:00,0.4052,0.4069,0.4045,0.4045,20349.0
2025-05-30 21:45:00,0.4045,0.4061,0.4033,0.4042,17099.0
2025-05-30 22:00:00,0.4043,0.4051,0.4021,0.4042,68620.0
2025-05-30 22:15:00,0.4042,0.4047,0.4021,0.4041,44327.0
2025-05-30 22:30:00,0.404,0.4057,0.4,0.4001,61616.0
2025-05-30 22:45:00,0.4006,0.4044,0.3987,0.3993,66627.0
2025-05-30 23:00:00,0.3993,0.4045,0.3983,0.4008,91693.0
2025-05-30 23:15:00,0.4008,0.4021,0.3963,0.3991,77632.0
2025-05-30 23:30:00,0.3993,0.4001,0.3961,0.3971,62816.0
2025-05-30 23:45:00,0.3973,0.3993,0.3961,0.3966,29906.0
2025-05-31 00:00:00,0.3969,0.3976,0.3909,0.392,160912.0
2025-05-31 00:15:00,0.3921,0.3931,0.3872,0.3883,100152.0
2025-05-31 00:30:00,0.3884,0.3916,0.3877,0.3892,74403.0
2025-05-31 00:45:00,0.3892,0.3914,0.386,0.3864,88209.0
2025-05-31 01:00:00,0.3865,0.39,0.3847,0.3885,132479.0
2025-05-31 01:15:00,0.3887,0.3909,0.3842,0.3865,51640.0
2025-05-31 01:30:00,0.3868,0.3886,0.382,0.3881,79667.0
2025-05-31 01:45:00,0.388,0.3885,0.3848,0.3882,39555.0
2025-05-31 02:00:00,0.3881,0.3917,0.3852,0.3895,75808.0
2025-05-31 02:15:00,0.3896,0.3924,0.3896,0.39,21090.0
2025-05-31 02:30:00,0.3899,0.3906,0.3882,0.3882,32372.0
2025-05-31 02:45:00,0.3882,0.3891,0.386,0.3871,28446.0
2025-05-31 03:00:00,0.387,0.3889,0.3862,0.3877,50479.0
2025-05-31 03:15:00,0.3876,0.3896,0.3858,0.389,30177.0
2025-05-31 03:30:00,0.3892,0.3909,0.3868,0.39,25381.0
2025-05-31 03:45:00,0.3901,0.3916,0.389,0.3901,19791.0
