Time,Open,High,Low,Close,Volume
2024-12-03,0.3715,0.5975,0.3687,0.4746,2411430296.9
2024-12-04,0.4748,0.6301,0.4721,0.4949,1204514014.7
2024-12-05,0.4949,0.5111,0.4425,0.4613,664721422.1
2024-12-06,0.4613,0.5061,0.4269,0.49,434793185.5
2024-12-07,0.4899,0.5596,0.4647,0.4864,552284517.7
2024-12-08,0.4865,0.4935,0.4621,0.4726,195864898.5
2024-12-09,0.4727,0.4888,0.3384,0.3903,621213301.4
2024-12-10,0.3903,0.3966,0.3274,0.3772,564797299.4
2024-12-11,0.3773,0.412,0.3532,0.4004,324251988.7
2024-12-12,0.4003,0.4492,0.3922,0.4183,350589225.7
2024-12-13,0.4183,0.4324,0.4007,0.4214,236997133.3
2024-12-14,0.4214,0.4214,0.3805,0.3888,135817892.1
2024-12-15,0.3889,0.4017,0.3759,0.3991,128337728.7
2024-12-16,0.3992,0.4029,0.3637,0.3811,147563901.3
2024-12-17,0.3811,0.394,0.3675,0.374,167981160.0
2024-12-18,0.3739,0.3761,0.3188,0.3254,225822584.6
2024-12-19,0.3255,0.3428,0.2872,0.299,298961479.4
2024-12-20,0.299,0.3115,0.2528,0.305,326094436.2
2024-12-21,0.305,0.3377,0.2843,0.2886,200739402.3
2024-12-22,0.2887,0.3034,0.2784,0.291,165967031.5
2024-12-23,0.291,0.338,0.2812,0.3247,202465954.9
2024-12-24,0.3248,0.3513,0.3107,0.342,211949997.4
2024-12-25,0.342,0.3492,0.3194,0.3233,133475912.3
2024-12-26,0.3233,0.326,0.2889,0.293,127418846.1
2024-12-27,0.2929,0.3216,0.2888,0.2934,208291141.2
2024-12-28,0.2935,0.3192,0.2902,0.3122,96511821.2
2024-12-29,0.3123,0.3202,0.2886,0.2915,93251230.9
2024-12-30,0.2915,0.3047,0.277,0.2877,139497485.0
2024-12-31,0.2877,0.2961,0.2774,0.2809,101598213.9
2025-01-01,0.2808,0.3333,0.2803,0.32,272732676.3
2025-01-02,0.32,0.3569,0.3199,0.3434,432546069.9
2025-01-03,0.3434,0.3687,0.3379,0.3607,272338567.4
2025-01-04,0.3608,0.3813,0.3546,0.3569,187527846.6
2025-01-05,0.357,0.3705,0.3509,0.3583,135509711.4
2025-01-06,0.3583,0.3998,0.3511,0.3792,224307205.3
2025-01-07,0.3793,0.3889,0.3378,0.3381,236949897.0
2025-01-08,0.3382,0.3443,0.2995,0.32,199189153.4
2025-01-09,0.3201,0.3298,0.2945,0.304,176120958.5
2025-01-10,0.3039,0.3306,0.2989,0.322,202893134.0
