Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,0.1172,0.1186,0.1167,0.1177,4842807.0
2025-05-01 20:00:00,0.1177,0.1189,0.1173,0.1179,3221704.0
2025-05-02 00:00:00,0.1178,0.12,0.1177,0.1195,4361825.0
2025-05-02 04:00:00,0.1194,0.1208,0.1182,0.1184,8854479.0
2025-05-02 08:00:00,0.1183,0.1205,0.1183,0.1198,4823571.0
2025-05-02 12:00:00,0.1199,0.1273,0.119,0.1254,43276478.0
2025-05-02 16:00:00,0.1254,0.1255,0.1225,0.1225,12937844.0
2025-05-02 20:00:00,0.1226,0.124,0.1222,0.1234,4729253.0
2025-05-03 00:00:00,0.1234,0.1241,0.121,0.1213,8591134.0
2025-05-03 04:00:00,0.1213,0.1214,0.1189,0.1196,9546838.0
2025-05-03 08:00:00,0.1197,0.1203,0.1185,0.1191,3397303.0
2025-05-03 12:00:00,0.1191,0.1208,0.1191,0.1199,4028145.0
2025-05-03 16:00:00,0.12,0.1202,0.1176,0.1189,4900263.0
2025-05-03 20:00:00,0.1188,0.1191,0.1174,0.1176,2919692.0
2025-05-04 00:00:00,0.1176,0.1183,0.1164,0.1169,5406198.0
2025-05-04 04:00:00,0.1169,0.1173,0.1155,0.1159,5106301.0
2025-05-04 08:00:00,0.1159,0.1159,0.1142,0.1146,2907787.0
2025-05-04 12:00:00,0.1146,0.1167,0.1137,0.1161,4723320.0
2025-05-04 16:00:00,0.1161,0.1165,0.1139,0.1146,3158378.0
2025-05-04 20:00:00,0.1146,0.1152,0.1116,0.1119,5390560.0
2025-05-05 00:00:00,0.112,0.1133,0.1113,0.1128,3281550.0
2025-05-05 04:00:00,0.1128,0.1134,0.1121,0.1123,3089437.0
2025-05-05 08:00:00,0.1123,0.1129,0.1114,0.1124,4308230.0
2025-05-05 12:00:00,0.1124,0.113,0.1118,0.1122,3489292.0
2025-05-05 16:00:00,0.1122,0.114,0.1121,0.113,1820090.0
2025-05-05 20:00:00,0.1131,0.1135,0.1121,0.1129,1759166.0
2025-05-06 00:00:00,0.1128,0.1134,0.1119,0.1129,2110558.0
2025-05-06 04:00:00,0.1129,0.1132,0.1119,0.112,1484443.0
2025-05-06 08:00:00,0.112,0.112,0.1074,0.108,14294267.0
2025-05-06 12:00:00,0.108,0.1096,0.1064,0.1083,11826289.0
2025-05-06 16:00:00,0.1082,0.1091,0.1077,0.1078,4137318.0
2025-05-06 20:00:00,0.1079,0.1099,0.1067,0.1096,5968880.0
2025-05-07 00:00:00,0.1097,0.1127,0.1095,0.111,5872123.0
2025-05-07 04:00:00,0.1109,0.1169,0.1081,0.1122,45323581.0
2025-05-07 08:00:00,0.1122,0.1132,0.1107,0.1121,16742549.0
2025-05-07 12:00:00,0.1121,0.1123,0.1086,0.1091,8065235.0
2025-05-07 16:00:00,0.1092,0.1092,0.1073,0.1079,7753801.0
2025-05-07 20:00:00,0.1079,0.1098,0.1066,0.1097,6293203.0
2025-05-08 00:00:00,0.1097,0.1139,0.1096,0.1139,5758300.0
2025-05-08 04:00:00,0.114,0.1146,0.1127,0.1136,5291279.0
2025-05-08 08:00:00,0.1136,0.1152,0.1136,0.1142,6287062.0
2025-05-08 12:00:00,0.1142,0.12,0.1142,0.1179,19159199.0
2025-05-08 16:00:00,0.1179,0.1194,0.1174,0.1189,8587911.0
2025-05-08 20:00:00,0.119,0.1218,0.1188,0.12,14936478.0
2025-05-09 00:00:00,0.12,0.122,0.1185,0.1187,13958343.0
2025-05-09 04:00:00,0.1187,0.124,0.1187,0.1222,9261624.0
2025-05-09 08:00:00,0.1222,0.1245,0.1184,0.1201,24956163.0
2025-05-09 12:00:00,0.1201,0.1214,0.1191,0.1201,13938034.0
2025-05-09 16:00:00,0.1201,0.1203,0.1174,0.1178,9406758.0
2025-05-09 20:00:00,0.1178,0.1197,0.1177,0.1197,4956891.0
2025-05-10 00:00:00,0.1197,0.1222,0.1184,0.1217,10091974.0
2025-05-10 04:00:00,0.1216,0.1236,0.1206,0.1231,11382720.0
2025-05-10 08:00:00,0.1231,0.1247,0.1215,0.1217,11314639.0
2025-05-10 12:00:00,0.1217,0.124,0.1216,0.1224,9760731.0
2025-05-10 16:00:00,0.1224,0.1248,0.1222,0.1242,9391363.0
