Time,Open,High,Low,Close,Volume
2024-12-03,0.15873,0.16018,0.14736,0.15895,382142808.0
2024-12-04,0.15895,0.16632,0.15633,0.15893,374938181.0
2024-12-05,0.15896,0.16429,0.15311,0.15908,337467405.0
2024-12-06,0.15906,0.17579,0.15818,0.17463,373436219.0
2024-12-07,0.17459,0.18875,0.16835,0.18413,461569198.0
2024-12-08,0.18412,0.18976,0.17866,0.18884,275446626.0
2024-12-09,0.18887,0.18979,0.14857,0.16447,652782998.0
2024-12-10,0.16446,0.16659,0.14872,0.15718,449182294.0
2024-12-11,0.15716,0.16853,0.15175,0.16426,221059028.0
2024-12-12,0.16427,0.1733,0.16046,0.16326,287259120.0
2024-12-13,0.16325,0.16446,0.15777,0.1623,140532706.0
2024-12-14,0.16232,0.16331,0.153,0.15698,143944928.0
2024-12-15,0.15699,0.1584,0.15205,0.15717,119094905.0
2024-12-16,0.15718,0.15827,0.148,0.14824,239211254.0
2024-12-17,0.14824,0.14831,0.138,0.13959,307917251.0
2024-12-18,0.13959,0.13987,0.1226,0.12729,480839657.0
2024-12-19,0.12729,0.13263,0.11474,0.12064,559338903.0
2024-12-20,0.12064,0.12722,0.11005,0.12324,511068157.0
2024-12-21,0.12325,0.12983,0.1172,0.11897,291328495.0
2024-12-22,0.11897,0.12313,0.11504,0.1167,363839091.0
2024-12-23,0.11671,0.1237,0.11441,0.12241,299431458.0
2024-12-24,0.12238,0.1241,0.11534,0.11856,451893262.0
2024-12-25,0.11856,0.12147,0.11624,0.12,230911960.0
2024-12-26,0.12,0.12193,0.11095,0.1122,315677288.0
2024-12-27,0.11218,0.11934,0.11122,0.11843,210013129.0
2024-12-28,0.11844,0.12265,0.11633,0.12089,168277745.0
2024-12-29,0.1209,0.12178,0.11517,0.11591,147938580.0
2024-12-30,0.1159,0.11943,0.11319,0.11582,160877737.0
2024-12-31,0.11582,0.11785,0.11343,0.11507,126683806.0
2025-01-01,0.11507,0.11852,0.11247,0.11786,122708204.0
2025-01-02,0.11787,0.12703,0.11745,0.12296,208422086.0
2025-01-03,0.12295,0.13055,0.12035,0.12918,165414465.0
2025-01-04,0.12919,0.1298,0.12554,0.12645,119977712.0
2025-01-05,0.12647,0.12679,0.12158,0.12444,123398834.0
2025-01-06,0.12442,0.12677,0.121,0.12342,164790130.0
2025-01-07,0.12342,0.12401,0.11313,0.11383,229301620.0
2025-01-08,0.11384,0.11782,0.109,0.11718,274860766.0
2025-01-09,0.11715,0.11844,0.11095,0.11306,199164498.0
2025-01-10,0.11306,0.11643,0.1124,0.11478,142266224.0
2025-01-11,0.11475,0.11835,0.11415,0.11644,106225319.0
2025-01-12,0.11647,0.11958,0.11585,0.11686,94063175.0
2025-01-13,0.11685,0.1183,0.10797,0.11732,256462571.0
2025-01-14,0.11731,0.13988,0.11728,0.13731,662652596.0
2025-01-15,0.13735,0.14042,0.13252,0.13818,354272444.0
2025-01-16,0.13815,0.15391,0.13657,0.14592,401903608.0
2025-01-17,0.14594,0.1552,0.14589,0.15423,209565053.0
2025-01-18,0.15423,0.15653,0.13809,0.14109,266279044.0
2025-01-19,0.14111,0.14172,0.12262,0.12445,458046922.0
2025-01-20,0.12444,0.13525,0.12232,0.1274,403736611.0
2025-01-21,0.12741,0.1411,0.12445,0.13638,306590622.0
2025-01-22,0.13639,0.13783,0.1292,0.1309,153369144.0
2025-01-23,0.1309,0.13402,0.12553,0.1303,182210061.0
2025-01-24,0.13034,0.13504,0.12778,0.13176,112072232.0
2025-01-25,0.13174,0.13476,0.12793,0.13193,85855538.0
2025-01-26,0.13196,0.1342,0.12861,0.12871,66224360.0
2025-01-27,0.12869,0.12935,0.11689,0.12847,230157465.0
2025-01-28,0.12847,0.12938,0.12038,0.12146,101128685.0
2025-01-29,0.12144,0.12516,0.11837,0.12296,153065080.0
2025-01-30,0.12297,0.13513,0.122,0.13162,150452433.0
2025-01-31,0.13166,0.13353,0.12854,0.12997,92252828.0
2025-02-01,0.12999,0.13118,0.12124,0.12126,102993320.0
2025-02-02,0.12127,0.12451,0.11205,0.11545,261785931.0
2025-02-03,0.11546,0.11558,0.07146,0.10996,1625538160.0
