Time,Open,High,Low,Close,Volume
2025-05-30 15:15:00,90.0,90.32,89.68,90.22,2778.949
2025-05-30 15:30:00,90.21,90.34,89.79,89.99,3302.329
2025-05-30 15:45:00,90.01,90.07,89.56,89.57,2004.525
2025-05-30 16:00:00,89.59,89.88,89.36,89.61,2947.151
2025-05-30 16:15:00,89.62,89.64,88.66,88.76,9893.573
2025-05-30 16:30:00,88.76,88.76,86.32,87.58,21667.698
2025-05-30 16:45:00,87.58,87.62,86.74,87.17,8038.413
2025-05-30 17:00:00,87.19,87.81,86.97,87.43,7766.063
2025-05-30 17:15:00,87.41,87.75,87.22,87.3,4878.705
2025-05-30 17:30:00,87.27,87.64,87.14,87.44,3479.965
2025-05-30 17:45:00,87.45,87.62,87.17,87.62,2677.645
2025-05-30 18:00:00,87.62,88.15,87.53,87.99,4037.707
2025-05-30 18:15:00,87.98,88.59,87.95,88.55,3687.458
2025-05-30 18:30:00,88.58,88.67,88.34,88.48,1439.066
2025-05-30 18:45:00,88.49,88.77,88.49,88.68,2996.882
2025-05-30 19:00:00,88.66,88.8,88.4,88.48,2083.232
2025-05-30 19:15:00,88.48,88.84,88.47,88.83,1872.401
2025-05-30 19:30:00,88.83,89.03,88.59,88.7,2545.56
2025-05-30 19:45:00,88.71,88.76,88.43,88.48,2983.647
2025-05-30 20:00:00,88.48,88.51,87.99,88.15,3287.177
2025-05-30 20:15:00,88.16,88.52,88.08,88.17,1927.828
2025-05-30 20:30:00,88.18,88.46,88.1,88.46,1245.581
2025-05-30 20:45:00,88.44,88.56,88.04,88.05,2488.983
2025-05-30 21:00:00,88.06,88.34,88.01,88.26,1738.261
2025-05-30 21:15:00,88.28,88.37,88.1,88.18,1105.114
2025-05-30 21:30:00,88.2,88.33,87.69,87.69,1187.105
2025-05-30 21:45:00,87.67,87.83,87.39,87.59,3368.23
2025-05-30 22:00:00,87.61,87.76,87.4,87.63,1695.742
2025-05-30 22:15:00,87.6,87.65,86.98,87.02,4129.794
2025-05-30 22:30:00,87.04,87.11,85.91,85.97,8891.524
2025-05-30 22:45:00,85.98,86.85,85.72,85.76,4329.106
2025-05-30 23:00:00,85.78,86.21,85.19,85.82,4831.255
2025-05-30 23:15:00,85.82,86.15,84.89,85.49,8392.882
2025-05-30 23:30:00,85.5,85.94,85.36,85.65,3457.643
2025-05-30 23:45:00,85.7,85.86,85.41,85.59,1759.491
2025-05-31 00:00:00,85.6,85.84,84.92,85.15,5476.687
2025-05-31 00:15:00,85.17,85.29,83.54,84.4,11108.239
2025-05-31 00:30:00,84.41,85.46,84.41,85.24,3460.188
2025-05-31 00:45:00,85.27,85.51,84.28,84.38,3500.086
2025-05-31 01:00:00,84.4,84.8,83.8,84.65,6885.66
2025-05-31 01:15:00,84.68,85.12,83.92,84.12,4532.36
2025-05-31 01:30:00,84.14,84.46,83.27,84.17,7657.657
2025-05-31 01:45:00,84.16,84.16,83.48,84.03,5485.243
2025-05-31 02:00:00,83.99,84.59,83.66,84.45,5478.135
2025-05-31 02:15:00,84.44,84.82,84.21,84.27,2590.291
2025-05-31 02:30:00,84.25,84.32,83.9,83.97,3526.807
2025-05-31 02:45:00,83.97,84.1,83.56,83.76,5024.746
2025-05-31 03:00:00,83.75,83.97,83.2,83.52,5363.575
2025-05-31 03:15:00,83.49,83.95,83.1,83.95,4389.877
2025-05-31 03:30:00,83.96,84.15,83.59,83.97,3654.121
2025-05-31 03:45:00,83.98,84.36,83.98,84.28,2912.556
2025-05-31 04:00:00,84.29,84.29,83.59,83.81,4537.549
2025-05-31 04:15:00,83.8,84.37,83.45,84.29,3838.437
2025-05-31 04:30:00,84.28,84.65,84.28,84.46,1856.13
2025-05-31 04:45:00,84.48,84.82,84.48,84.75,2731.053
2025-05-31 05:00:00,84.74,84.94,84.5,84.51,3041.101
2025-05-31 05:15:00,84.53,84.7,84.31,84.52,2873.537
2025-05-31 05:30:00,84.56,84.95,84.47,84.93,2113.324
2025-05-31 05:45:00,84.92,84.95,84.57,84.57,1754.676
2025-05-31 06:00:00,84.59,84.89,84.49,84.87,2313.536
2025-05-31 06:15:00,84.87,85.23,84.83,85.07,2636.601
2025-05-31 06:30:00,85.07,85.27,84.87,85.24,2523.978
2025-05-31 06:45:00,85.24,85.24,84.99,85.06,863.052
2025-05-31 07:00:00,85.05,85.05,84.84,84.85,2647.773
2025-05-31 07:15:00,84.83,85.09,84.76,85.05,1385.508
2025-05-31 07:30:00,85.05,85.22,85.02,85.06,1081.274
2025-05-31 07:45:00,85.07,85.22,84.94,84.98,1212.06
2025-05-31 08:00:00,84.98,85.14,84.88,84.91,3670.902
2025-05-31 08:15:00,84.91,85.26,84.76,85.01,2741.151
2025-05-31 08:30:00,85.0,85.15,84.66,84.74,3231.478
2025-05-31 08:45:00,84.74,85.1,84.71,85.0,2339.369
2025-05-31 09:00:00,84.99,85.22,84.97,85.12,1385.249
2025-05-31 09:15:00,85.1,85.23,84.62,84.72,2829.403
2025-05-31 09:30:00,84.73,85.03,84.71,84.91,1702.572
2025-05-31 09:45:00,84.89,85.06,84.8,85.02,1757.213
2025-05-31 10:00:00,85.0,85.74,84.93,85.52,3816.637
2025-05-31 10:15:00,85.5,85.66,85.18,85.24,3461.915
2025-05-31 10:30:00,85.23,85.32,84.96,85.0,3306.86
2025-05-31 10:45:00,85.01,85.27,84.8,85.21,2234.12
2025-05-31 11:00:00,85.21,85.33,84.92,85.0,2017.77
2025-05-31 11:15:00,85.0,85.25,84.98,85.01,833.775
2025-05-31 11:30:00,85.0,85.07,84.74,84.95,2445.668
2025-05-31 11:45:00,84.96,85.0,84.82,84.98,757.011
2025-05-31 12:00:00,84.97,85.6,84.91,85.6,1495.143
2025-05-31 12:15:00,85.61,85.77,85.57,85.64,2166.512
2025-05-31 12:30:00,85.64,86.02,85.59,85.92,2991.685
2025-05-31 12:45:00,85.94,86.46,85.94,86.45,2402.248
2025-05-31 13:00:00,86.44,87.08,86.37,86.89,5880.901
2025-05-31 13:15:00,86.88,87.09,86.53,86.76,2870.081
2025-05-31 13:30:00,86.76,87.01,86.61,86.62,2291.739
2025-05-31 13:45:00,86.61,86.66,86.33,86.54,4033.67
2025-05-31 14:00:00,86.54,87.09,86.45,86.97,2239.477
2025-05-31 14:15:00,86.99,87.1,86.74,86.91,2800.777
2025-05-31 14:30:00,86.91,87.14,86.84,87.08,1474.66
2025-05-31 14:45:00,87.07,87.16,86.91,87.09,1894.146
2025-05-31 15:00:00,87.08,87.22,86.95,87.04,2458.844
2025-05-31 15:15:00,87.03,87.47,87.03,87.47,3042.672
2025-05-31 15:30:00,87.48,87.69,87.07,87.08,3009.246
2025-05-31 15:45:00,87.08,87.19,86.91,87.01,2263.836
2025-05-31 16:00:00,87.02,87.58,86.78,87.44,3494.303
2025-05-31 16:15:00,87.44,87.76,87.44,87.7,1472.146
2025-05-31 16:30:00,87.7,87.87,87.4,87.49,1675.892
2025-05-31 16:45:00,87.47,87.81,87.37,87.73,1929.87
2025-05-31 17:00:00,87.73,87.85,87.65,87.82,1894.923
2025-05-31 17:15:00,87.82,87.91,87.55,87.58,2551.806
2025-05-31 17:30:00,87.59,87.76,87.47,87.61,1245.876
2025-05-31 17:45:00,87.63,87.67,87.13,87.19,3876.428
2025-05-31 18:00:00,87.18,87.47,87.12,87.36,1523.161
2025-05-31 18:15:00,87.38,87.51,87.15,87.24,1176.548
2025-05-31 18:30:00,87.23,87.32,87.02,87.05,1983.744
2025-05-31 18:45:00,87.08,87.34,87.06,87.32,1069.704
2025-05-31 19:00:00,87.32,87.77,87.32,87.58,1177.02
2025-05-31 19:15:00,87.58,87.68,87.49,87.6,1096.243
2025-05-31 19:30:00,87.61,87.74,87.58,87.68,726.256
2025-05-31 19:45:00,87.67,87.74,87.48,87.54,568.581
2025-05-31 20:00:00,87.55,87.63,87.35,87.42,1309.548
2025-05-31 20:15:00,87.42,87.66,87.37,87.61,724.416
2025-05-31 20:30:00,87.61,87.65,87.5,87.56,246.989
2025-05-31 20:45:00,87.54,87.68,87.49,87.61,1020.951
2025-05-31 21:00:00,87.61,87.92,87.51,87.51,3052.037
2025-05-31 21:15:00,87.51,87.66,87.5,87.65,372.6
2025-05-31 21:30:00,87.66,87.79,87.65,87.74,696.174
2025-05-31 21:45:00,87.76,87.88,87.7,87.79,770.06
2025-05-31 22:00:00,87.8,87.87,87.5,87.77,793.133
2025-05-31 22:15:00,87.74,87.82,87.61,87.62,703.308
2025-05-31 22:30:00,87.62,87.64,87.45,87.63,430.978
2025-05-31 22:45:00,87.62,87.63,87.25,87.31,1296.738
2025-05-31 23:00:00,87.3,87.51,87.11,87.51,2685.887
2025-05-31 23:15:00,87.52,87.71,87.25,87.31,2959.082
2025-05-31 23:30:00,87.31,87.35,87.07,87.16,1513.331
2025-05-31 23:45:00,87.14,87.2,86.96,87.02,1330.141
2025-06-01 00:00:00,87.03,87.07,86.72,86.76,2677.929
2025-06-01 00:15:00,86.77,86.87,86.65,86.67,1782.523
2025-06-01 00:30:00,86.69,86.99,86.65,86.99,1046.195
2025-06-01 00:45:00,86.98,87.08,86.88,87.05,1628.692
2025-06-01 01:00:00,87.05,87.3,86.88,87.3,1424.425
2025-06-01 01:15:00,87.3,87.37,87.01,87.17,1857.156
2025-06-01 01:30:00,87.16,87.17,87.16,87.16,11.425
