Time,Open,High,Low,Close,Volume
2024-12-03,0.5882,0.6643,0.56,0.6568,169348119.0
2024-12-04,0.6569,0.7961,0.6353,0.7154,262946915.0
2024-12-05,0.7154,0.8018,0.6848,0.7482,191577020.0
2024-12-06,0.7482,0.7799,0.7113,0.738,76897125.0
2024-12-07,0.738,0.747,0.7106,0.7212,39917707.0
2024-12-08,0.7212,0.7317,0.6913,0.7168,43864532.0
2024-12-09,0.7168,0.7169,0.4628,0.5555,158487018.0
2024-12-10,0.5555,0.5669,0.4781,0.5273,106261789.0
2024-12-11,0.5274,0.5808,0.5095,0.5714,67650888.0
2024-12-12,0.5713,0.6111,0.562,0.5692,66576803.0
2024-12-13,0.5692,0.5812,0.5545,0.5708,52400086.0
2024-12-14,0.5707,0.5773,0.5231,0.5376,43972093.0
2024-12-15,0.5376,0.5591,0.5223,0.5523,51802103.0
2024-12-16,0.5524,0.5687,0.523,0.5358,50968215.0
2024-12-17,0.536,0.5451,0.4978,0.5068,49733292.0
2024-12-18,0.5067,0.5121,0.4331,0.4517,79132253.0
2024-12-19,0.4519,0.4598,0.3975,0.4125,97222843.0
2024-12-20,0.4125,0.4414,0.3608,0.436,100032430.0
2024-12-21,0.4359,0.4603,0.4002,0.4077,56758407.0
2024-12-22,0.4078,0.4185,0.3932,0.4029,45927160.0
2024-12-23,0.4029,0.4478,0.3923,0.4386,74082076.0
2024-12-24,0.4385,0.4588,0.4255,0.4507,37022701.0
2024-12-25,0.4506,0.4573,0.4331,0.4396,36860622.0
2024-12-26,0.4396,0.4469,0.4094,0.4205,42952452.0
2024-12-27,0.4205,0.4785,0.4193,0.4385,191038386.0
2024-12-28,0.4384,0.4523,0.4244,0.447,52048492.0
2024-12-29,0.4471,0.4485,0.4185,0.4257,32063054.0
2024-12-30,0.4257,0.4395,0.4101,0.4231,41931877.0
2024-12-31,0.4232,0.4338,0.41,0.4146,28770551.0
2025-01-01,0.4146,0.4342,0.4078,0.4307,29865557.0
2025-01-02,0.4307,0.4563,0.4304,0.452,46357809.0
2025-01-03,0.4521,0.4791,0.4448,0.4695,53499114.0
2025-01-04,0.4695,0.4778,0.4587,0.4661,35329032.0
2025-01-05,0.4661,0.5451,0.4543,0.5124,284334730.0
2025-01-06,0.5123,0.513,0.4872,0.4975,130143850.0
2025-01-07,0.4975,0.5237,0.4527,0.4541,162639740.0
2025-01-08,0.4542,0.4656,0.4089,0.4254,87433887.0
2025-01-09,0.4253,0.4329,0.3976,0.4094,57099636.0
2025-01-10,0.4094,0.4247,0.4036,0.4192,38071780.0
2025-01-11,0.4193,0.4244,0.4096,0.4154,20649859.0
2025-01-12,0.4154,0.4177,0.4016,0.408,20503186.0
2025-01-13,0.408,0.4176,0.362,0.3908,71395178.0
2025-01-14,0.3909,0.4074,0.3888,0.4047,29031087.0
2025-01-15,0.4048,0.4335,0.393,0.4317,47726954.0
2025-01-16,0.4318,0.4322,0.4067,0.4153,45196314.0
2025-01-17,0.4154,0.4449,0.4152,0.4404,39215877.0
2025-01-18,0.4404,0.4458,0.3942,0.4029,49241827.0
2025-01-19,0.403,0.4144,0.3418,0.3512,103775541.0
2025-01-20,0.3508,0.3799,0.3341,0.3473,120555915.0
2025-01-21,0.3472,0.3673,0.3324,0.3581,51138202.0
2025-01-22,0.358,0.3642,0.3453,0.3486,32441193.0
2025-01-23,0.3485,0.3558,0.3354,0.3459,44110397.0
2025-01-24,0.346,0.3551,0.3346,0.3379,35973862.0
2025-01-25,0.3378,0.3449,0.3314,0.3416,28179290.0
2025-01-26,0.3416,0.3497,0.3314,0.3326,27459125.0
2025-01-27,0.3327,0.3334,0.2987,0.3236,64164432.0
2025-01-28,0.3236,0.3294,0.299,0.3018,28550041.0
2025-01-29,0.3019,0.3232,0.3006,0.3113,29398189.0
2025-01-30,0.3114,0.3289,0.3083,0.3244,22857272.0
2025-01-31,0.3243,0.343,0.3187,0.3268,30827928.0
2025-02-01,0.3268,0.3307,0.2912,0.2943,34031965.0
2025-02-02,0.2943,0.3017,0.2416,0.2598,91453273.0
2025-02-03,0.2597,0.2641,0.1772,0.2589,203655822.0
2025-02-04,0.259,0.261,0.2328,0.2409,78787488.0
2025-02-05,0.241,0.2871,0.2374,0.2497,464216928.0
2025-02-06,0.2497,0.2636,0.2334,0.2367,318853654.0
2025-02-07,0.2367,0.2569,0.2332,0.2413,121210774.0
2025-02-08,0.2413,0.2577,0.2377,0.2552,72786372.0
2025-02-09,0.2553,0.2641,0.2394,0.2526,81479338.0
2025-02-10,0.2525,0.2773,0.2446,0.2649,114581081.0
2025-02-11,0.2649,0.2725,0.2541,0.2625,74170044.0
2025-02-12,0.2624,0.2807,0.253,0.278,101647884.0
2025-02-13,0.2781,0.282,0.2591,0.2645,45397919.0
