Time,Open,High,Low,Close,Volume
2024-12-03,0.5933,0.6332,0.5501,0.627,44482043.3
2024-12-04,0.6271,0.6829,0.6146,0.6407,37326600.8
2024-12-05,0.6407,0.6729,0.6069,0.6519,37766173.8
2024-12-06,0.6521,0.7034,0.6282,0.6885,31483844.6
2024-12-07,0.6884,0.7175,0.676,0.6924,24878752.6
2024-12-08,0.6924,0.7311,0.6702,0.7081,31503955.2
2024-12-09,0.7079,0.7079,0.495,0.5632,58028956.8
2024-12-10,0.5631,0.6101,0.5101,0.5584,52631553.6
2024-12-11,0.5586,0.7,0.537,0.6689,81740955.8
2024-12-12,0.669,0.7258,0.6322,0.6391,75068151.1
2024-12-13,0.6393,0.6528,0.6175,0.6301,33581490.9
2024-12-14,0.6302,0.6362,0.5755,0.5864,28300880.0
2024-12-15,0.5864,0.6059,0.5625,0.6017,24147305.7
2024-12-16,0.6018,0.6237,0.5646,0.5823,21805040.8
2024-12-17,0.5824,0.5899,0.5399,0.5482,21987766.0
2024-12-18,0.5483,0.5539,0.4556,0.4716,40135848.1
2024-12-19,0.4716,0.4815,0.4091,0.4239,45850024.7
2024-12-20,0.4239,0.4425,0.3681,0.4387,37824588.9
2024-12-21,0.4388,0.4715,0.4092,0.4162,22325196.8
2024-12-22,0.4162,0.4283,0.3987,0.4108,17849973.3
2024-12-23,0.4109,0.4536,0.3992,0.4416,19271449.3
2024-12-24,0.4417,0.4875,0.4294,0.4747,21073749.3
2024-12-25,0.4747,0.4877,0.4574,0.4654,17306182.1
2024-12-26,0.4655,0.472,0.4222,0.4299,16944615.7
2024-12-27,0.4298,0.4579,0.4267,0.4333,15604448.1
2024-12-28,0.4334,0.4555,0.4262,0.4505,15012492.5
2024-12-29,0.4506,0.4596,0.4333,0.4389,18632608.6
2024-12-30,0.4388,0.461,0.4185,0.4368,25882345.2
2024-12-31,0.4369,0.4469,0.4207,0.4238,15906199.8
2025-01-01,0.4238,0.4412,0.4123,0.4406,12025298.3
2025-01-02,0.4406,0.5532,0.4388,0.5377,240642122.1
2025-01-03,0.5378,0.5598,0.5163,0.5419,149004957.8
2025-01-04,0.542,0.6343,0.5323,0.6149,194700965.5
2025-01-05,0.6149,0.6266,0.5845,0.5906,117014966.8
2025-01-06,0.5907,0.6291,0.5791,0.6029,49597193.8
2025-01-07,0.6029,0.6031,0.5321,0.5337,50439057.9
2025-01-08,0.5338,0.5441,0.4738,0.5092,42699431.0
2025-01-09,0.5093,0.5153,0.4554,0.4668,48315463.6
2025-01-10,0.4669,0.4923,0.4564,0.4704,41285839.2
2025-01-11,0.4704,0.4878,0.4565,0.4745,29585697.9
2025-01-12,0.4746,0.4807,0.4594,0.4661,21429811.2
2025-01-13,0.4661,0.4799,0.4042,0.4425,42510902.1
2025-01-14,0.4425,0.4614,0.4407,0.4577,23247331.9
2025-01-15,0.4576,0.4885,0.436,0.4861,35537013.3
2025-01-16,0.4862,0.4898,0.453,0.4637,33801017.7
2025-01-17,0.4638,0.4966,0.4634,0.4906,26112473.8
2025-01-18,0.4907,0.4969,0.4235,0.4349,36204776.9
2025-01-19,0.435,0.4536,0.3736,0.3812,59362502.0
2025-01-20,0.3813,0.4162,0.3585,0.3701,63565183.7
2025-01-21,0.37,0.3904,0.35,0.3841,33282790.1
2025-01-22,0.384,0.3978,0.3681,0.3714,29989291.5
2025-01-23,0.3714,0.375,0.3492,0.3642,28972540.8
2025-01-24,0.3643,0.3756,0.3455,0.3481,22761492.8
2025-01-25,0.3482,0.363,0.3414,0.3565,14653118.8
2025-01-26,0.3565,0.3741,0.3527,0.3534,15471821.3
2025-01-27,0.3532,0.3533,0.3086,0.3439,34542178.4
2025-01-28,0.344,0.3485,0.3125,0.3161,15516663.9
2025-01-29,0.3162,0.3466,0.3148,0.3313,23118266.4
2025-01-30,0.3314,0.3551,0.3283,0.3473,15727184.4
2025-01-31,0.3471,0.3656,0.3382,0.343,20235431.1
2025-02-01,0.343,0.3476,0.3002,0.302,22062714.0
2025-02-02,0.302,0.3109,0.2394,0.2558,51806526.2
2025-02-03,0.2559,0.2611,0.1801,0.256,105917892.0
2025-02-04,0.256,0.259,0.2263,0.2389,43528034.9
2025-02-05,0.239,0.2472,0.2293,0.2345,26196975.1
2025-02-06,0.2344,0.2461,0.2173,0.2218,30712858.5
2025-02-07,0.2219,0.2397,0.2095,0.2189,24668999.4
2025-02-08,0.2189,0.2386,0.2151,0.2352,19892553.3
2025-02-09,0.2352,0.2427,0.2162,0.2296,20001506.8
2025-02-10,0.2295,0.2449,0.2224,0.241,40243553.2
2025-02-11,0.241,0.2506,0.2288,0.2341,28774792.9
2025-02-12,0.2341,0.2554,0.2246,0.2534,35945889.4
2025-02-13,0.2534,0.2633,0.2405,0.2452,35983853.0
2025-02-14,0.2452,0.2608,0.2433,0.2551,22694982.1
2025-02-15,0.2552,0.2796,0.2425,0.2475,56836121.5
2025-02-16,0.2476,0.279,0.243,0.2537,70175773.7
2025-02-17,0.2537,0.2649,0.2419,0.2492,31447986.3
2025-02-18,0.2493,0.2508,0.2264,0.2369,48247171.2
2025-02-19,0.2369,0.2434,0.2316,0.2384,17314777.7
2025-02-20,0.2385,0.251,0.238,0.2498,21228751.9
2025-02-21,0.2498,0.2633,0.2398,0.244,32259345.8
2025-02-22,0.244,0.2529,0.2389,0.2512,20185049.7
2025-02-23,0.2513,0.253,0.2386,0.2426,17124342.0
2025-02-24,0.2426,0.2443,0.196,0.2026,34348766.8
2025-02-25,0.2026,0.2146,0.1883,0.2108,41377579.4
2025-02-26,0.2108,0.216,0.2017,0.2134,26098250.2
2025-02-27,0.2135,0.219,0.2051,0.2122,20390547.9
2025-02-28,0.2121,0.2157,0.19,0.212,36836881.9
2025-03-01,0.2121,0.2159,0.1989,0.2058,20413829.1
2025-03-02,0.2059,0.2315,0.2006,0.23,36014794.7
2025-03-03,0.2301,0.2309,0.1847,0.1887,49170525.8
2025-03-04,0.1887,0.1901,0.1618,0.1781,66817038.9
2025-03-05,0.1781,0.184,0.1697,0.1775,35500215.9
2025-03-06,0.1776,0.1827,0.1684,0.1721,32053368.8
2025-03-07,0.172,0.1739,0.1597,0.1642,51452324.2
2025-03-08,0.1642,0.166,0.1569,0.1604,20452190.3
2025-03-09,0.1603,0.1613,0.1357,0.1393,42920501.8
2025-03-10,0.1394,0.1526,0.1268,0.1343,56205333.2
2025-03-11,0.1343,0.1411,0.1222,0.1382,51087587.5
2025-03-12,0.1382,0.1423,0.1311,0.1387,39373153.3
2025-03-13,0.1386,0.14,0.1295,0.1338,28890845.7
2025-03-14,0.1338,0.1423,0.1323,0.1384,30913605.4
2025-03-15,0.1384,0.147,0.1362,0.1456,36861744.5
2025-03-16,0.1456,0.1473,0.1333,0.1354,33468700.6
2025-03-17,0.1355,0.17,0.1351,0.158,180062215.7
2025-03-18,0.1581,0.1589,0.1425,0.1496,174345219.3
2025-03-19,0.1496,0.1533,0.1413,0.1472,102564406.3
2025-03-20,0.1472,0.1499,0.1429,0.1455,73703697.1
2025-03-21,0.1454,0.149,0.135,0.1382,65607250.2
2025-03-22,0.1381,0.1509,0.1379,0.1447,41511689.4
2025-03-23,0.1446,0.1472,0.138,0.1411,35318599.6
2025-03-24,0.1411,0.1465,0.1364,0.1445,40496210.1
2025-03-25,0.1444,0.1467,0.1393,0.1464,41053597.5
2025-03-26,0.1464,0.1484,0.1365,0.1387,47732645.4
2025-03-27,0.1387,0.1429,0.1356,0.1377,39752151.7
2025-03-28,0.1378,0.1379,0.1188,0.1234,75459109.5
2025-03-29,0.1233,0.1242,0.1111,0.1144,53301726.6
2025-03-30,0.1144,0.12,0.1115,0.1171,37233887.0
2025-03-31,0.117,0.1192,0.1112,0.114,46240137.8
2025-04-01,0.1139,0.1184,0.1097,0.1113,35644123.8
2025-04-02,0.1113,0.1113,0.0928,0.0936,105639575.1
2025-04-03,0.0937,0.0998,0.0762,0.0813,335192238.6
2025-04-04,0.0813,0.0839,0.0792,0.0806,91464008.3
2025-04-05,0.0807,0.0823,0.0782,0.079,45246212.5
2025-04-06,0.079,0.0792,0.0684,0.0704,120340620.2
2025-04-07,0.0704,0.0774,0.0641,0.0717,181066979.0
2025-04-08,0.0717,0.0739,0.0675,0.0683,78172780.9
2025-04-09,0.0683,0.0778,0.0656,0.0771,116889509.3
2025-04-10,0.0771,0.0774,0.0719,0.0742,43655583.2
2025-04-11,0.0741,0.0781,0.0736,0.0764,38091285.6
2025-04-12,0.0763,0.0802,0.0749,0.0799,39151918.1
2025-04-13,0.08,0.0809,0.0723,0.0737,69355119.3
2025-04-14,0.0738,0.077,0.0724,0.0736,58102772.7
2025-04-15,0.0737,0.0754,0.0703,0.0711,37039639.6
2025-04-16,0.0711,0.0733,0.0691,0.0707,54217438.4
2025-04-17,0.0706,0.0729,0.0698,0.0713,34330392.7
2025-04-18,0.0713,0.0809,0.0705,0.0767,122205842.4
2025-04-19,0.0766,0.1335,0.0757,0.1252,1920682861.3
2025-04-20,0.1253,0.2082,0.1211,0.1998,4642141651.0
2025-04-21,0.1998,0.274,0.1777,0.2344,6068655267.7
2025-04-22,0.2344,0.2688,0.2124,0.223,3809559601.2
2025-04-23,0.223,0.2247,0.194,0.1965,1235543425.5
2025-04-24,0.1965,0.2456,0.185,0.2165,1082950314.8
2025-04-25,0.2164,0.2334,0.203,0.2149,624358175.2
2025-04-26,0.2149,0.2263,0.2069,0.2115,341086099.3
2025-04-27,0.2115,0.2428,0.2026,0.2094,447061858.3
