Time,Open,High,Low,Close,Volume
2024-12-03,61.99,66.66,58.38,66.31,476327.79
2024-12-04,66.32,69.8,64.98,66.54,451343.35
2024-12-05,66.56,67.78,61.8,63.86,416639.56
2024-12-06,63.88,69.91,62.88,67.53,365603.22
2024-12-07,67.53,67.85,65.74,66.57,159289.52
2024-12-08,66.57,66.89,63.75,66.34,158226.51
2024-12-09,66.36,66.38,43.62,52.54,604502.54
2024-12-10,52.54,54.22,46.76,51.02,486249.38
2024-12-11,51.02,56.39,49.24,55.48,261060.43
2024-12-12,55.47,58.71,54.68,57.07,284387.46
2024-12-13,57.07,57.9,54.87,55.99,291745.72
2024-12-14,55.99,56.86,52.08,53.24,195673.47
2024-12-15,53.25,56.39,51.42,56.05,201618.86
2024-12-16,56.08,59.6,54.06,57.19,352075.91
2024-12-17,57.22,57.79,53.82,54.38,318101.7
2024-12-18,54.4,55.34,47.9,49.15,588464.99
2024-12-19,49.14,49.6,41.36,42.86,629420.31
2024-12-20,42.86,45.95,37.0,45.69,528732.07
2024-12-21,45.69,48.38,42.88,43.7,232180.22
2024-12-22,43.71,44.77,41.76,42.73,192073.13
2024-12-23,42.74,47.2,41.61,46.07,225478.34
2024-12-24,46.08,47.91,45.05,47.45,143818.81
2024-12-25,47.46,48.08,45.74,46.6,113293.35
2024-12-26,46.61,47.04,43.03,43.69,109732.13
2024-12-27,43.69,46.76,43.53,45.04,341579.86
2024-12-28,45.03,46.35,44.39,45.84,149150.98
2024-12-29,45.84,46.28,43.31,43.7,112965.66
2024-12-30,43.7,45.23,42.07,43.67,148093.79
2024-12-31,43.67,45.08,42.19,42.33,156402.91
2025-01-01,42.34,43.68,41.57,43.28,123548.59
2025-01-02,43.3,45.64,43.23,44.23,107011.21
2025-01-03,44.26,48.59,42.98,47.7,136974.99
2025-01-04,47.7,49.02,47.07,48.12,107877.81
2025-01-05,48.12,48.28,46.73,48.05,85294.07
2025-01-06,48.06,49.71,46.94,48.21,108415.95
2025-01-07,48.21,48.32,43.01,43.18,177898.89
2025-01-08,43.19,43.99,37.63,39.55,277542.59
2025-01-09,39.55,40.24,36.51,37.59,184086.63
2025-01-10,37.59,39.46,37.0,37.59,163794.98
2025-01-11,37.6,37.76,36.08,36.33,132712.16
2025-01-12,36.34,36.81,35.15,35.56,133087.03
2025-01-13,35.56,36.69,31.74,34.44,260090.07
2025-01-14,34.45,35.88,34.06,35.45,129230.41
2025-01-15,35.45,39.04,34.21,38.6,197993.36
2025-01-16,38.6,38.86,36.33,37.29,139272.53
2025-01-17,37.31,43.13,37.3,42.34,269992.32
2025-01-18,42.34,43.25,38.3,39.55,612339.08
2025-01-19,39.55,41.09,35.71,36.86,551908.72
2025-01-20,36.85,40.52,34.49,35.68,476257.55
2025-01-21,35.69,35.77,33.58,35.07,307409.04
2025-01-22,35.06,36.6,33.86,34.21,182264.46
2025-01-23,34.22,34.8,32.72,34.59,225563.4
2025-01-24,34.61,37.53,33.63,33.98,365330.17
2025-01-25,33.98,35.6,33.32,34.76,205272.12
2025-01-26,34.77,36.82,34.19,34.27,174035.33
2025-01-27,34.26,34.35,30.63,32.7,240975.08
2025-01-28,32.7,33.58,30.51,30.77,152940.49
2025-01-29,30.77,33.16,30.64,31.69,137412.35
2025-01-30,31.7,34.59,31.41,34.03,143757.08
2025-01-31,34.04,37.71,33.21,36.41,293152.29
2025-02-01,36.39,36.73,32.59,32.76,189131.58
2025-02-02,32.76,33.87,25.5,27.15,412104.4
2025-02-03,27.15,27.74,18.27,27.01,1126737.68
2025-02-04,27.01,27.18,23.53,24.56,268402.3
2025-02-05,24.57,24.91,23.1,23.46,164985.7
2025-02-06,23.46,24.16,21.87,22.24,157581.37
2025-02-07,22.25,24.09,21.53,22.54,177808.38
2025-02-08,22.54,23.24,21.57,22.99,135523.18
2025-02-09,22.99,24.16,21.64,22.76,198975.27
2025-02-10,22.75,23.44,22.03,23.08,130274.4
2025-02-11,23.09,24.31,22.07,22.54,163435.9
2025-02-12,22.53,24.26,21.49,23.99,194007.98
2025-02-13,23.99,24.43,22.51,23.13,196118.86
2025-02-14,23.14,24.1,22.66,23.49,177330.99
2025-02-15,23.49,23.87,22.4,22.75,114859.01
2025-02-16,22.75,23.52,22.42,22.6,129035.54
2025-02-17,22.59,24.22,22.33,23.67,179727.4
2025-02-18,23.68,23.73,21.41,22.55,258500.64
2025-02-19,22.54,23.51,22.23,23.32,153764.84
2025-02-20,23.31,26.78,23.31,26.1,396623.11
2025-02-21,26.1,27.92,24.87,25.46,364385.98
2025-02-22,25.46,26.39,25.2,25.98,145952.27
2025-02-23,25.98,26.83,25.57,25.9,169155.78
2025-02-24,25.91,28.71,23.34,26.38,1688133.86
2025-02-25,26.37,27.14,24.0,25.77,1114473.21
2025-02-26,25.76,25.95,22.62,23.8,576751.93
2025-02-27,23.8,24.56,22.63,23.29,330816.9
2025-02-28,23.3,23.48,20.92,22.72,451251.3
2025-03-01,22.72,23.03,21.78,22.25,238331.29
2025-03-02,22.25,25.02,21.72,24.67,489744.9
2025-03-03,24.68,24.76,20.13,20.83,427117.18
