Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,1.051,1.067,1.038,1.057,2203170.3
2025-05-01 20:00:00,1.056,1.117,1.055,1.107,5435911.8
2025-05-02 00:00:00,1.107,1.157,1.054,1.061,14888931.9
2025-05-02 04:00:00,1.062,1.074,1.043,1.058,4126095.1
2025-05-02 08:00:00,1.058,1.073,1.053,1.064,1866352.4
2025-05-02 12:00:00,1.064,1.076,1.057,1.062,3146216.8
2025-05-02 16:00:00,1.062,1.069,1.046,1.049,1795919.6
2025-05-02 20:00:00,1.048,1.059,1.047,1.057,1146236.6
2025-05-03 00:00:00,1.058,1.058,1.004,1.013,4171957.9
2025-05-03 04:00:00,1.014,1.025,1.005,1.013,1220616.1
2025-05-03 08:00:00,1.013,1.036,0.999,1.001,2573771.2
2025-05-03 12:00:00,1.001,1.019,1.001,1.011,1547331.8
2025-05-03 16:00:00,1.01,1.012,0.966,0.983,2435121.4
2025-05-03 20:00:00,0.983,0.985,0.971,0.975,1007594.6
2025-05-04 00:00:00,0.975,0.975,0.923,0.928,4457940.3
2025-05-04 04:00:00,0.928,0.94,0.926,0.938,1743881.1
2025-05-04 08:00:00,0.938,0.945,0.923,0.94,1761789.9
2025-05-04 12:00:00,0.94,0.947,0.924,0.933,1030279.5
2025-05-04 16:00:00,0.933,0.942,0.918,0.925,1671316.7
2025-05-04 20:00:00,0.925,0.938,0.921,0.933,1342827.1
2025-05-05 00:00:00,0.933,0.953,0.914,0.947,2807674.5
2025-05-05 04:00:00,0.947,0.972,0.944,0.972,1975184.8
2025-05-05 08:00:00,0.972,0.983,0.953,0.959,2478316.2
2025-05-05 12:00:00,0.958,0.974,0.949,0.954,1905760.5
2025-05-05 16:00:00,0.954,0.963,0.941,0.942,1098319.2
2025-05-05 20:00:00,0.943,0.961,0.928,0.953,1374819.7
2025-05-06 00:00:00,0.953,0.97,0.935,0.967,2244155.7
2025-05-06 04:00:00,0.967,0.977,0.947,0.95,1211836.2
