Time,Open,High,Low,Close,Volume
2024-12-16,0.2331,0.2347,0.1613,0.1703,1045665865.0
2024-12-17,0.1702,0.1788,0.13,0.1315,858757351.0
2024-12-18,0.1315,0.1498,0.1236,0.132,942194396.0
2024-12-19,0.132,0.1629,0.1277,0.1523,1351483594.0
2024-12-20,0.1523,0.2699,0.1477,0.2622,3608305229.0
2024-12-21,0.2622,0.3223,0.2514,0.2823,3371895433.0
2024-12-22,0.2822,0.3019,0.2464,0.3004,1792294245.0
2024-12-23,0.3002,0.32,0.271,0.3009,1683355832.0
2024-12-24,0.3009,0.3415,0.2672,0.3321,1380744608.0
2024-12-25,0.3321,0.4887,0.2877,0.3444,3110415507.0
2024-12-26,0.3444,0.3725,0.3178,0.3574,1462486744.0
2024-12-27,0.3573,0.3743,0.3275,0.3504,944436831.0
2024-12-28,0.3503,0.358,0.3027,0.3043,577464766.0
2024-12-29,0.3042,0.3339,0.284,0.2984,836565128.0
2024-12-30,0.2984,0.3093,0.2595,0.2694,543760461.0
2024-12-31,0.2693,0.3082,0.2412,0.2818,1244225687.0
2025-01-01,0.2818,0.2884,0.2538,0.2604,480640690.0
2025-01-02,0.2605,0.2745,0.245,0.2712,587882120.0
2025-01-03,0.2712,0.3141,0.2606,0.2943,556195716.0
2025-01-04,0.2943,0.3263,0.2891,0.298,574787815.0
2025-01-05,0.2981,0.3312,0.2908,0.314,591473718.0
2025-01-06,0.314,0.3201,0.2917,0.3009,226728802.0
2025-01-07,0.3009,0.3055,0.2642,0.2672,268476734.0
2025-01-08,0.2673,0.2699,0.2331,0.2479,304255900.0
2025-01-09,0.2479,0.248,0.2135,0.2208,328682039.0
2025-01-10,0.2209,0.2532,0.2184,0.2286,493685312.0
2025-01-11,0.2285,0.2472,0.2203,0.237,302206750.0
2025-01-12,0.237,0.237,0.221,0.2244,154179281.0
2025-01-13,0.2243,0.2265,0.1976,0.212,241580412.0
2025-01-14,0.212,0.2344,0.2111,0.2226,355387734.0
2025-01-15,0.2225,0.2269,0.2079,0.2257,178864961.0
2025-01-16,0.2256,0.2257,0.2082,0.2136,137758222.0
2025-01-17,0.2136,0.2229,0.2115,0.2216,151126517.0
2025-01-18,0.2216,0.2296,0.2024,0.2075,165158666.0
2025-01-19,0.2074,0.2167,0.1789,0.1837,285805801.0
2025-01-20,0.1837,0.1955,0.1732,0.1787,209585069.0
2025-01-21,0.1787,0.1845,0.168,0.1783,129555385.0
2025-01-22,0.1784,0.1851,0.1711,0.1768,96266753.0
2025-01-23,0.1768,0.1892,0.1725,0.179,206825396.0
2025-01-24,0.1789,0.1848,0.1675,0.1701,116191635.0
2025-01-25,0.1701,0.1882,0.1651,0.183,140485009.0
2025-01-26,0.183,0.1885,0.1743,0.1745,73192170.0
2025-01-27,0.1744,0.1868,0.1589,0.1832,151568752.0
2025-01-28,0.1833,0.2044,0.1734,0.1754,469451664.0
2025-01-29,0.1754,0.1896,0.1701,0.178,169165465.0
2025-01-30,0.1781,0.2179,0.178,0.2064,533893258.0
2025-01-31,0.2064,0.235,0.1951,0.2015,605979038.0
2025-02-01,0.2014,0.212,0.1896,0.1938,217353386.0
2025-02-02,0.1937,0.1971,0.1541,0.1632,281734746.0
2025-02-03,0.1633,0.1663,0.1235,0.1633,371408596.0
2025-02-04,0.1633,0.1641,0.143,0.1474,157574738.0
2025-02-05,0.1475,0.1493,0.1344,0.1372,119091021.0
2025-02-06,0.1371,0.1396,0.1268,0.1287,107553596.0
2025-02-07,0.1287,0.148,0.1276,0.1387,245943438.0
2025-02-08,0.1387,0.1539,0.1373,0.1493,233025761.0
2025-02-09,0.1492,0.1621,0.1376,0.1431,207170699.0
2025-02-10,0.143,0.1455,0.1349,0.1449,83998916.0
2025-02-11,0.1448,0.1549,0.143,0.1439,78378580.0
2025-02-12,0.1439,0.1484,0.136,0.1472,85684047.0
2025-02-13,0.1472,0.1513,0.1403,0.1432,57525035.0
2025-02-14,0.1433,0.1511,0.1415,0.1455,76364081.0
2025-02-15,0.1455,0.1467,0.1367,0.1379,44646822.0
2025-02-16,0.1378,0.1386,0.1329,0.1342,39193586.0
2025-02-17,0.1342,0.1425,0.1314,0.1363,94095819.0
2025-02-18,0.1364,0.1371,0.1232,0.1272,76181644.0
2025-02-19,0.1272,0.1284,0.1217,0.1275,52048079.0
2025-02-20,0.1275,0.133,0.1263,0.1321,46472912.0
2025-02-21,0.1321,0.1395,0.1278,0.1292,109824760.0
2025-02-22,0.1293,0.1339,0.1274,0.1335,36552007.0
2025-02-23,0.1335,0.1663,0.1331,0.142,424650560.0
2025-02-24,0.1419,0.1431,0.1209,0.1233,155883245.0
2025-02-25,0.1232,0.1236,0.1122,0.1208,189494934.0
2025-02-26,0.1207,0.1235,0.1157,0.1204,86501153.0
2025-02-27,0.1205,0.1288,0.1191,0.1247,128875590.0
2025-02-28,0.1247,0.128,0.1119,0.1226,120240069.0
2025-03-01,0.1227,0.1243,0.1176,0.1202,47587434.0
2025-03-02,0.1201,0.1303,0.1171,0.1293,82127291.0
2025-03-03,0.1294,0.1296,0.0996,0.1018,149241301.0
2025-03-04,0.1017,0.1027,0.0907,0.0982,195719292.0
2025-03-05,0.0981,0.1041,0.0959,0.1029,80117625.0
2025-03-06,0.103,0.1077,0.1006,0.1025,73908223.0
2025-03-07,0.1026,0.1079,0.0985,0.1028,142662401.0
2025-03-08,0.1028,0.1031,0.0959,0.0976,43812723.0
2025-03-09,0.0975,0.0979,0.0849,0.0862,77905646.0
2025-03-10,0.0863,0.094,0.0845,0.0851,134208635.0
2025-03-11,0.0851,0.0901,0.0785,0.0865,151437715.0
2025-03-12,0.0865,0.0916,0.0834,0.0908,111564622.0
2025-03-13,0.0909,0.0937,0.0877,0.0905,88025182.0
2025-03-14,0.0905,0.0972,0.0901,0.0943,92100281.0
2025-03-15,0.0943,0.0979,0.093,0.0968,30381306.0
2025-03-16,0.0968,0.1012,0.092,0.0927,75955564.0
2025-03-17,0.0926,0.1023,0.0922,0.1006,70278412.0
2025-03-18,0.1006,0.1043,0.0921,0.0957,91794972.0
2025-03-19,0.0957,0.0974,0.0927,0.0964,52491732.0
2025-03-20,0.0965,0.0968,0.0928,0.0947,37270851.0
2025-03-21,0.0947,0.0996,0.0943,0.0988,76661795.0
2025-03-22,0.0988,0.1145,0.098,0.1044,230263980.0
2025-03-23,0.1044,0.107,0.0984,0.101,58127982.0
2025-03-24,0.1009,0.1023,0.0985,0.1017,81707077.0
2025-03-25,0.1017,0.1047,0.0974,0.1042,83469050.0
2025-03-26,0.1041,0.1107,0.0987,0.1024,120527422.0
2025-03-27,0.1024,0.1097,0.1007,0.1078,100902092.0
2025-03-28,0.1078,0.1119,0.0945,0.0984,137584387.0
2025-03-29,0.0984,0.0985,0.0887,0.0898,46295066.0
2025-03-30,0.0899,0.0939,0.0881,0.0916,31123438.0
2025-03-31,0.0917,0.0983,0.0729,0.0766,255302783.0
2025-04-01,0.0766,0.091,0.0751,0.0862,258805572.0
2025-04-02,0.0863,0.0901,0.0777,0.0782,111030051.0
2025-04-03,0.0782,0.0828,0.0768,0.0806,52374441.0
2025-04-04,0.0806,0.0818,0.0766,0.0801,52073274.0
2025-04-05,0.0801,0.0805,0.0776,0.0787,19494104.0
2025-04-06,0.0787,0.0788,0.0668,0.0684,41002633.0
2025-04-07,0.0684,0.0759,0.0645,0.072,114162956.0
2025-04-08,0.072,0.0752,0.0689,0.0694,37807643.0
2025-04-09,0.0693,0.077,0.0665,0.0766,52666221.0
2025-04-10,0.0767,0.0775,0.0717,0.0738,34136486.0
2025-04-11,0.0738,0.0796,0.0737,0.0787,56325152.0
2025-04-12,0.0788,0.0832,0.0784,0.0817,66277715.0
2025-04-13,0.0817,0.0818,0.073,0.0744,39370658.0
2025-04-14,0.0745,0.0827,0.074,0.0786,70095936.0
2025-04-15,0.0785,0.0808,0.0759,0.076,42833342.0
2025-04-16,0.076,0.0761,0.0725,0.0731,34186570.0
2025-04-17,0.0731,0.0768,0.0715,0.0753,30989384.0
2025-04-18,0.0753,0.0781,0.0738,0.0765,34210682.0
2025-04-19,0.0765,0.0785,0.076,0.0785,14001200.0
2025-04-20,0.0784,0.0803,0.074,0.0759,28748347.0
2025-04-21,0.0759,0.0792,0.0756,0.0779,31662331.0
2025-04-22,0.078,0.0822,0.0755,0.0817,33278165.0
2025-04-23,0.0818,0.0855,0.0805,0.0851,34524596.0
2025-04-24,0.0851,0.0854,0.0803,0.084,26469879.0
2025-04-25,0.0841,0.0873,0.0826,0.0862,51933362.0
2025-04-26,0.0862,0.089,0.0841,0.0862,24781244.0
2025-04-27,0.0862,0.0863,0.0805,0.0812,21937377.0
2025-04-28,0.0813,0.1115,0.0795,0.1044,853175675.0
2025-04-29,0.1044,0.1115,0.0915,0.0926,511798279.0
2025-04-30,0.0925,0.0942,0.0856,0.0896,180833735.0
2025-05-01,0.0896,0.0937,0.0886,0.0908,94554910.0
2025-05-02,0.0908,0.0921,0.0873,0.09,56174193.0
2025-05-03,0.0901,0.092,0.0843,0.0852,52367751.0
2025-05-04,0.0852,0.0859,0.0829,0.0857,55223438.0
2025-05-05,0.0856,0.0878,0.0838,0.0863,59043707.0
2025-05-06,0.0862,0.0901,0.0795,0.0835,116217803.0
2025-05-07,0.0835,0.0855,0.0811,0.0854,53027325.0
2025-05-08,0.0855,0.0926,0.0846,0.0924,71168661.0
2025-05-09,0.0923,0.0979,0.0916,0.0977,109024705.0
2025-05-10,0.0977,0.1009,0.0941,0.1005,75529219.0
2025-05-11,0.1005,0.1011,0.0942,0.0963,78181712.0
2025-05-12,0.0962,0.1043,0.0935,0.1023,260876611.0
2025-05-13,0.1022,0.119,0.0968,0.1055,612095763.0
2025-05-14,0.1055,0.1122,0.1027,0.1071,263042979.0
2025-05-15,0.1071,0.108,0.0943,0.0964,186372549.0
2025-05-16,0.0965,0.0989,0.0934,0.0944,61588595.0
2025-05-17,0.0944,0.0947,0.0886,0.0908,58683582.0
2025-05-18,0.0908,0.0958,0.0893,0.0944,56254403.0
2025-05-19,0.0944,0.0946,0.0868,0.0915,64910630.0
2025-05-20,0.0915,0.094,0.09,0.0928,55296383.0
2025-05-21,0.0928,0.0941,0.0888,0.0927,113706151.0
2025-05-22,0.0928,0.0979,0.0925,0.0977,48165525.0
2025-05-23,0.0976,0.1005,0.0895,0.09,110271033.0
2025-05-24,0.09,0.0919,0.0893,0.0907,17731151.0
2025-05-25,0.0908,0.0911,0.0866,0.0906,32456303.0
2025-05-26,0.0907,0.0914,0.0883,0.0898,23734102.0
2025-05-27,0.0898,0.0922,0.0872,0.0909,24211831.0
2025-05-28,0.0909,0.0922,0.0872,0.0899,28272334.0
2025-05-29,0.0899,0.0912,0.0867,0.0875,37557915.0
2025-05-30,0.0876,0.0882,0.0777,0.0782,117571444.0
2025-05-31,0.0782,0.0785,0.0751,0.0772,48540244.0
