Time,Open,High,Low,Close,Volume
2024-12-03,1.3718,1.6371,1.3063,1.5092,72649533.6
2024-12-04,1.5095,1.783,1.46,1.6287,50509024.7
2024-12-05,1.6288,2.4993,1.5136,2.4364,284447104.1
2024-12-06,2.436,2.75,2.2629,2.3131,279170282.4
2024-12-07,2.3134,2.3354,2.1578,2.2368,62053129.1
2024-12-08,2.2371,2.2518,2.056,2.1087,24438654.2
2024-12-09,2.1086,2.1095,1.4668,1.742,44699197.7
2024-12-10,1.7428,2.1925,1.6797,2.1473,80055170.2
2024-12-11,2.1473,2.3725,1.9521,2.2786,55586659.5
2024-12-12,2.2785,2.4999,2.1954,2.4593,45282729.5
2024-12-13,2.4584,2.9865,2.3613,2.9695,123037475.4
2024-12-14,2.9694,3.1926,2.641,2.6845,94677964.8
2024-12-15,2.6845,2.8847,2.5451,2.83,55183752.4
2024-12-16,2.83,2.9091,2.5806,2.696,28841360.3
2024-12-17,2.6961,2.7155,2.4202,2.6298,26126978.2
2024-12-18,2.6303,3.0666,2.5818,2.8018,87550988.3
2024-12-19,2.8021,3.098,2.3901,2.433,104744636.0
2024-12-20,2.4334,2.8979,2.0555,2.7861,81814070.1
2024-12-21,2.7865,2.8469,2.2194,2.2689,38429104.9
2024-12-22,2.269,2.3298,2.1556,2.2556,30873212.8
2024-12-23,2.2557,2.8611,2.204,2.7689,58790263.2
2024-12-24,2.7689,2.8227,2.5983,2.7816,31695997.2
2024-12-25,2.7816,3.2313,2.7779,3.0541,54953626.0
2024-12-26,3.0545,3.0997,2.701,2.9159,34617712.8
2024-12-27,2.9161,3.0781,2.806,3.0224,31104153.6
2024-12-28,3.0229,3.1774,2.7683,3.0298,24095980.2
2024-12-29,3.0302,3.0864,2.811,2.8457,16413337.2
2024-12-30,2.8461,3.0374,2.7277,2.9741,25218706.9
2024-12-31,2.9749,3.6456,2.901,3.4849,74664954.7
2025-01-01,3.4849,3.599,3.1958,3.3554,36380873.8
2025-01-02,3.3551,3.6213,3.2633,3.2914,28457977.8
2025-01-03,3.2917,3.3785,3.1375,3.2835,17354571.5
2025-01-04,3.2831,3.5369,3.1972,3.3759,21479290.1
2025-01-05,3.3751,3.6859,3.2905,3.5754,27874862.8
2025-01-06,3.5764,3.587,3.2523,3.2905,20519390.0
2025-01-07,3.2906,3.439,3.212,3.2916,20438483.1
2025-01-08,3.2924,3.4746,2.8977,3.3898,28960423.5
2025-01-09,3.3898,3.4212,2.9543,2.9741,34123443.8
2025-01-10,2.9737,3.1942,2.6624,2.7309,32490588.8
2025-01-11,2.7304,2.861,2.6692,2.7409,15242028.5
2025-01-12,2.7409,2.8109,2.5972,2.6143,12045488.7
2025-01-13,2.6142,2.7165,2.2728,2.4809,24267888.9
2025-01-14,2.4809,2.5241,2.3362,2.4541,22154780.8
2025-01-15,2.4541,3.2419,2.3618,3.0534,36049651.8
2025-01-16,3.0532,3.8364,2.7656,3.6879,100454004.2
2025-01-17,3.6883,4.195,3.62,3.9212,124634806.2
2025-01-18,3.9209,3.9819,3.6181,3.92,43434414.3
2025-01-19,3.9202,3.9991,3.3552,3.4401,37847006.7
2025-01-20,3.4397,3.852,3.17,3.2729,31282655.2
2025-01-21,3.2723,3.3839,3.0889,3.3152,16042712.8
2025-01-22,3.3158,3.5357,3.2458,3.316,20138335.8
2025-01-23,3.3165,3.3911,3.1104,3.2976,16646334.6
2025-01-24,3.2976,3.7941,3.1647,3.2868,26817758.6
2025-01-25,3.2867,3.3721,2.9028,2.9322,16885702.5
2025-01-26,2.9324,3.1575,2.9124,3.0173,15837006.4
2025-01-27,3.0171,3.1436,2.7086,3.081,20642193.5
2025-01-28,3.0804,3.2949,3.0289,3.094,16116485.6
2025-01-29,3.094,3.3941,3.0635,3.131,15577672.8
2025-01-30,3.1311,3.4436,3.1003,3.1983,11561799.6
2025-01-31,3.1981,3.3053,3.0851,3.1436,12562908.8
2025-02-01,3.1432,3.1609,2.727,2.7384,11605683.2
2025-02-02,2.7386,2.8081,2.2346,2.3675,21994813.7
2025-02-03,2.3671,2.4738,1.7691,2.3808,33319019.2
2025-02-04,2.3805,2.405,1.9749,2.0624,21676539.8
2025-02-05,2.0625,2.0972,1.9073,1.9392,18348122.3
2025-02-06,1.9397,1.9889,1.801,1.8468,16357490.3
2025-02-07,1.847,2.1311,1.7623,1.7729,29568656.5
2025-02-08,1.7725,2.0592,1.731,2.0325,15446994.5
2025-02-09,2.0321,2.1304,1.9626,2.0373,17058721.1
2025-02-10,2.0376,2.1361,1.9498,2.0056,11366710.0
2025-02-11,2.0056,2.353,1.877,1.917,15390582.5
2025-02-12,1.9173,2.0737,1.8195,2.0021,13905249.7
2025-02-13,2.0022,2.0608,1.9047,2.046,11156022.1
2025-02-14,2.046,2.356,2.0142,2.1902,17672085.2
2025-02-15,2.1902,2.2324,2.1074,2.1704,5844163.4
2025-02-16,2.1704,2.2016,2.0559,2.1304,5187991.8
2025-02-17,2.1304,2.2915,2.075,2.1456,11169432.3
2025-02-18,2.1459,2.1535,1.9584,2.0196,7333644.9
2025-02-19,2.0206,2.2691,1.9778,2.2316,11369589.1
2025-02-20,2.2313,2.3667,2.1966,2.3607,8169673.5
2025-02-21,2.3606,2.4218,2.1026,2.1427,11289123.5
2025-02-22,2.1431,2.2843,2.0917,2.2408,5321788.4
2025-02-23,2.2412,2.2681,2.1492,2.2153,3518326.9
2025-02-24,2.2158,2.2277,1.8832,1.8966,9925257.7
2025-02-25,1.8966,1.9992,1.7447,1.9722,10879522.9
2025-02-26,1.9724,2.2867,1.9267,2.0261,12431953.4
2025-02-27,2.0262,2.4541,2.0125,2.4214,13968693.6
2025-02-28,2.4218,2.4333,2.041,2.1017,23552200.4
2025-03-01,2.1021,2.1341,1.978,2.0191,7773093.9
2025-03-02,2.0192,2.2421,1.9965,2.1708,7791783.4
2025-03-03,2.1706,2.1755,1.7551,1.8073,8012961.6
2025-03-04,1.8075,1.8254,1.603,1.7315,12479052.3
2025-03-05,1.731,1.8229,1.7021,1.7329,6256772.4
2025-03-06,1.7326,1.7599,1.5581,1.5806,8366289.9
2025-03-07,1.5807,1.6355,1.5234,1.5628,6501085.8
2025-03-08,1.5623,1.5918,1.5,1.5126,3375104.5
2025-03-09,1.5128,1.5376,1.2389,1.2514,8852492.6
2025-03-10,1.2515,1.3639,1.1054,1.1652,10212798.2
