Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,6.365,6.424,6.344,6.368,34930.89
2025-05-01 20:00:00,6.369,6.43,6.361,6.397,24126.13
2025-05-02 00:00:00,6.395,6.473,6.385,6.46,41330.17
2025-05-02 04:00:00,6.462,6.479,6.396,6.407,48150.52
2025-05-02 08:00:00,6.405,6.669,6.399,6.467,156623.99
2025-05-02 12:00:00,6.463,6.512,6.36,6.445,109963.12
2025-05-02 16:00:00,6.444,6.488,6.364,6.37,40509.98
2025-05-02 20:00:00,6.373,6.41,6.363,6.406,23170.22
2025-05-03 00:00:00,6.407,6.467,6.275,6.353,143093.57
2025-05-03 04:00:00,6.352,6.352,6.244,6.258,38087.38
2025-05-03 08:00:00,6.257,6.276,6.106,6.109,40582.23
2025-05-03 12:00:00,6.106,6.241,6.103,6.149,70162.16
2025-05-03 16:00:00,6.148,6.171,5.929,6.153,59669.24
2025-05-03 20:00:00,6.155,6.165,6.023,6.037,47985.5
2025-05-04 00:00:00,6.037,6.146,5.994,6.083,44058.98
2025-05-04 04:00:00,6.081,6.224,6.048,6.171,58337.01
2025-05-04 08:00:00,6.173,6.18,5.999,6.082,68641.27
2025-05-04 12:00:00,6.083,6.127,6.013,6.052,37934.34
2025-05-04 16:00:00,6.051,6.065,5.956,6.006,55781.39
2025-05-04 20:00:00,6.007,6.064,5.974,6.029,21785.47
2025-05-05 00:00:00,6.029,6.098,5.957,6.071,41203.75
2025-05-05 04:00:00,6.071,6.138,6.059,6.117,22141.43
2025-05-05 08:00:00,6.117,6.142,5.961,5.999,42168.23
2025-05-05 12:00:00,5.996,6.034,5.907,5.965,214097.84
2025-05-05 16:00:00,5.967,6.096,5.957,6.029,36229.59
2025-05-05 20:00:00,6.032,6.074,5.916,6.042,39679.89
2025-05-06 00:00:00,6.041,6.141,5.984,6.126,46608.73
2025-05-06 04:00:00,6.129,6.151,6.085,6.131,68895.51
2025-05-06 08:00:00,6.128,6.132,5.907,5.945,89794.91
2025-05-06 12:00:00,5.945,6.038,5.878,5.938,66109.27
2025-05-06 16:00:00,5.937,5.978,5.781,5.918,158071.5
2025-05-06 20:00:00,5.921,5.987,5.724,5.962,161883.06
2025-05-07 00:00:00,5.964,6.076,5.919,5.964,52640.04
2025-05-07 04:00:00,5.964,6.061,5.946,6.058,88556.68
2025-05-07 08:00:00,6.058,6.16,6.021,6.157,48352.46
2025-05-07 12:00:00,6.16,6.188,6.031,6.036,51748.41
2025-05-07 16:00:00,6.037,6.11,5.906,6.021,241268.63
2025-05-07 20:00:00,6.019,6.285,6.011,6.2,49205.49
2025-05-08 00:00:00,6.206,6.436,6.198,6.431,55862.05
2025-05-08 04:00:00,6.431,6.46,6.372,6.422,61285.17
2025-05-08 08:00:00,6.423,6.585,6.423,6.516,119492.68
2025-05-08 12:00:00,6.52,6.702,6.457,6.593,146485.34
2025-05-08 16:00:00,6.593,6.77,6.538,6.651,236019.33
2025-05-08 20:00:00,6.652,6.959,6.643,6.957,100911.89
2025-05-09 00:00:00,6.958,7.251,6.868,7.097,130738.79
2025-05-09 04:00:00,7.096,7.483,7.09,7.342,78111.09
2025-05-09 08:00:00,7.342,7.591,7.136,7.375,165612.85
2025-05-09 12:00:00,7.375,7.496,7.233,7.395,89033.03
2025-05-09 16:00:00,7.394,7.507,7.291,7.352,63206.73
2025-05-09 20:00:00,7.352,7.495,7.324,7.492,65204.95
2025-05-10 00:00:00,7.491,7.824,7.418,7.544,122397.46
2025-05-10 04:00:00,7.543,7.72,7.445,7.673,51487.17
2025-05-10 08:00:00,7.677,7.742,7.545,7.604,81901.7
2025-05-10 12:00:00,7.604,7.781,7.574,7.628,84285.52
2025-05-10 16:00:00,7.624,7.864,7.578,7.772,75285.66
2025-05-10 20:00:00,7.772,8.166,7.719,8.137,70605.79
2025-05-11 00:00:00,8.136,8.249,7.887,8.124,95839.18
2025-05-11 04:00:00,8.128,8.364,7.895,7.946,181816.18
2025-05-11 08:00:00,7.95,8.058,7.843,8.024,71055.64
2025-05-11 12:00:00,8.021,8.05,7.745,7.903,90313.88
2025-05-11 16:00:00,7.904,8.08,7.767,8.0,61949.83
2025-05-11 20:00:00,7.998,8.067,7.902,8.011,52503.06
2025-05-12 00:00:00,8.012,8.086,7.769,8.07,86804.74
2025-05-12 04:00:00,8.07,8.403,7.99,8.229,149633.7
2025-05-12 08:00:00,8.228,8.508,8.138,8.26,173471.8
2025-05-12 12:00:00,8.26,8.556,8.022,8.098,268219.51
2025-05-12 16:00:00,8.094,8.228,7.71,7.893,212431.21
2025-05-12 20:00:00,7.89,8.09,7.883,8.02,44567.85
2025-05-13 00:00:00,8.023,8.025,7.433,7.52,110288.88
2025-05-13 04:00:00,7.519,7.787,7.499,7.722,78843.74
2025-05-13 08:00:00,7.727,7.934,7.677,7.861,71119.37
2025-05-13 12:00:00,7.863,8.025,7.822,8.003,78938.83
2025-05-13 16:00:00,8.002,8.301,7.988,8.248,63695.03
2025-05-13 20:00:00,8.248,8.26,8.108,8.173,46929.79
2025-05-14 00:00:00,8.177,8.283,8.09,8.152,43227.11
2025-05-14 04:00:00,8.15,8.256,8.084,8.092,49773.09
2025-05-14 08:00:00,8.093,8.117,7.851,8.045,106516.66
2025-05-14 12:00:00,8.044,8.127,7.845,7.938,87065.52
2025-05-14 16:00:00,7.939,8.033,7.858,7.979,49267.49
2025-05-14 20:00:00,7.978,8.009,7.87,7.947,32881.69
2025-05-15 00:00:00,7.948,8.029,7.722,7.731,49581.07
2025-05-15 04:00:00,7.733,7.816,7.347,7.361,65164.48
2025-05-15 08:00:00,7.358,7.608,7.265,7.411,73899.11
2025-05-15 12:00:00,7.412,7.496,7.173,7.489,73614.07
2025-05-15 16:00:00,7.482,7.634,7.261,7.344,58167.35
2025-05-15 20:00:00,7.345,7.391,7.136,7.31,48974.56
2025-05-16 00:00:00,7.317,7.473,7.277,7.437,52647.29
2025-05-16 04:00:00,7.438,7.518,7.34,7.484,41544.78
2025-05-16 08:00:00,7.485,7.526,7.329,7.464,43104.56
2025-05-16 12:00:00,7.462,7.501,7.338,7.414,51168.88
2025-05-16 16:00:00,7.415,7.435,7.265,7.341,37379.51
2025-05-16 20:00:00,7.338,7.349,7.12,7.192,40223.68
2025-05-17 00:00:00,7.194,7.234,6.955,7.137,72501.77
2025-05-17 04:00:00,7.137,7.217,7.041,7.076,26156.83
2025-05-17 08:00:00,7.078,7.108,6.964,7.023,89454.09
2025-05-17 12:00:00,7.023,7.039,6.911,6.985,44415.15
2025-05-17 16:00:00,6.988,7.065,6.9,6.991,37082.12
2025-05-17 20:00:00,6.99,7.086,6.971,7.029,33133.92
2025-05-18 00:00:00,7.031,7.158,7.016,7.138,48393.04
2025-05-18 04:00:00,7.138,7.298,7.095,7.269,32569.52
2025-05-18 08:00:00,7.27,7.396,7.226,7.237,35288.86
2025-05-18 12:00:00,7.237,7.477,7.171,7.475,54120.73
2025-05-18 16:00:00,7.476,7.508,7.008,7.029,71832.96
2025-05-18 20:00:00,7.028,7.442,6.887,7.408,71832.25
2025-05-19 00:00:00,7.412,7.467,7.091,7.117,46072.53
2025-05-19 04:00:00,7.119,7.156,6.908,7.022,54280.72
2025-05-19 08:00:00,7.019,7.048,6.917,6.963,37136.0
2025-05-19 12:00:00,6.96,7.107,6.82,7.08,55768.34
2025-05-19 16:00:00,7.078,7.272,7.044,7.168,143987.18
2025-05-19 20:00:00,7.168,7.18,7.065,7.164,42326.13
2025-05-20 00:00:00,7.166,7.319,7.101,7.219,38844.25
2025-05-20 04:00:00,7.22,7.294,7.116,7.13,36124.11
2025-05-20 08:00:00,7.129,7.175,7.016,7.046,40151.06
2025-05-20 12:00:00,7.045,7.09,6.965,7.069,35816.77
2025-05-20 16:00:00,7.066,7.139,6.979,7.113,55399.12
2025-05-20 20:00:00,7.116,7.26,7.085,7.221,31049.88
2025-05-21 00:00:00,7.222,7.336,7.121,7.282,32524.1
2025-05-21 04:00:00,7.282,7.373,7.221,7.234,48261.94
2025-05-21 08:00:00,7.235,7.278,7.104,7.215,24440.0
2025-05-21 12:00:00,7.215,7.329,7.141,7.276,42605.03
2025-05-21 16:00:00,7.275,7.493,7.084,7.305,94680.83
2025-05-21 20:00:00,7.301,7.4,7.217,7.334,30060.62
2025-05-22 00:00:00,7.334,7.568,7.316,7.553,39960.61
2025-05-22 04:00:00,7.557,7.608,7.484,7.564,33959.37
2025-05-22 08:00:00,7.565,7.713,7.558,7.633,45914.37
2025-05-22 12:00:00,7.632,7.826,7.561,7.738,47909.88
2025-05-22 16:00:00,7.74,7.802,7.642,7.664,27501.81
2025-05-22 20:00:00,7.665,7.789,7.612,7.776,30191.31
2025-05-23 00:00:00,7.777,7.972,7.723,7.916,53419.97
2025-05-23 04:00:00,7.915,7.945,7.589,7.671,45543.94
2025-05-23 08:00:00,7.672,7.844,7.359,7.404,73972.92
2025-05-23 12:00:00,7.411,7.616,7.21,7.497,114879.08
2025-05-23 16:00:00,7.495,7.568,7.42,7.428,48234.81
2025-05-23 20:00:00,7.43,7.433,7.061,7.081,42539.5
2025-05-24 00:00:00,7.084,7.269,7.05,7.247,41922.42
2025-05-24 04:00:00,7.25,7.26,7.149,7.162,25912.73
2025-05-24 08:00:00,7.163,7.275,7.104,7.234,26336.54
2025-05-24 12:00:00,7.237,7.253,7.17,7.206,18940.94
2025-05-24 16:00:00,7.205,7.257,7.142,7.17,18998.83
2025-05-24 20:00:00,7.171,7.18,7.054,7.1,20842.11
2025-05-25 00:00:00,7.099,7.138,6.905,7.028,47218.97
2025-05-25 04:00:00,7.03,7.055,6.921,6.972,20081.38
2025-05-25 08:00:00,6.969,6.97,6.835,6.893,35079.11
2025-05-25 12:00:00,6.891,6.987,6.781,6.9,43065.98
2025-05-25 16:00:00,6.901,6.922,6.81,6.895,32573.73
2025-05-25 20:00:00,6.895,7.109,6.865,7.081,31489.0
2025-05-26 00:00:00,7.082,7.161,7.038,7.134,30729.96
2025-05-26 04:00:00,7.132,7.186,7.112,7.147,23249.17
2025-05-26 08:00:00,7.147,7.189,7.051,7.08,34169.95
2025-05-26 12:00:00,7.082,7.095,6.956,7.074,48866.39
2025-05-26 16:00:00,7.074,7.097,6.906,6.959,34367.87
2025-05-26 20:00:00,6.958,7.076,6.927,7.043,26151.84
2025-05-27 00:00:00,7.043,7.084,6.835,7.024,52074.09
2025-05-27 04:00:00,7.024,7.2,7.003,7.17,37828.25
2025-05-27 08:00:00,7.173,7.288,7.173,7.233,55175.46
2025-05-27 12:00:00,7.232,7.31,7.148,7.288,67469.59
2025-05-27 16:00:00,7.29,7.601,7.275,7.488,316055.91
2025-05-27 20:00:00,7.489,7.696,7.48,7.534,183059.41
2025-05-28 00:00:00,7.537,7.672,7.502,7.643,156206.07
2025-05-28 04:00:00,7.642,7.681,7.523,7.535,100376.11
2025-05-28 08:00:00,7.536,7.551,7.332,7.518,104972.5
2025-05-28 12:00:00,7.52,7.607,7.277,7.323,91894.52
2025-05-28 16:00:00,7.326,7.42,7.201,7.207,45800.94
2025-05-28 20:00:00,7.208,7.423,7.19,7.409,44568.39
2025-05-29 00:00:00,7.41,7.574,7.342,7.496,69505.28
2025-05-29 04:00:00,7.497,7.509,7.326,7.427,148674.47
2025-05-29 08:00:00,7.43,7.605,7.392,7.465,90050.93
2025-05-29 12:00:00,7.468,7.476,7.23,7.299,52153.87
2025-05-29 16:00:00,7.3,7.328,7.121,7.157,41998.69
2025-05-29 20:00:00,7.158,7.303,7.081,7.138,40538.75
