Time,Open,High,Low,Close,Volume
2025-05-30 15:30:00,6.242,6.248,6.197,6.217,15512.32
2025-05-30 15:45:00,6.216,6.216,6.175,6.176,8878.39
2025-05-30 16:00:00,6.177,6.211,6.152,6.184,21543.62
2025-05-30 16:15:00,6.184,6.184,6.102,6.113,41362.16
2025-05-30 16:30:00,6.113,6.119,5.95,6.048,251967.69
2025-05-30 16:45:00,6.047,6.048,5.991,5.991,67240.38
2025-05-30 17:00:00,5.992,6.069,5.982,6.025,55929.24
2025-05-30 17:15:00,6.024,6.047,5.987,5.995,22624.86
2025-05-30 17:30:00,5.994,6.018,5.977,5.983,32871.4
2025-05-30 17:45:00,5.984,6.015,5.963,6.012,24360.49
2025-05-30 18:00:00,6.012,6.054,6.0,6.034,28358.76
2025-05-30 18:15:00,6.035,6.168,6.034,6.135,175111.84
2025-05-30 18:30:00,6.134,6.141,6.103,6.109,35477.36
2025-05-30 18:45:00,6.109,6.13,6.105,6.119,11937.27
2025-05-30 19:00:00,6.118,6.13,6.102,6.111,21155.36
2025-05-30 19:15:00,6.11,6.132,6.109,6.122,11700.79
2025-05-30 19:30:00,6.123,6.146,6.121,6.139,26451.24
2025-05-30 19:45:00,6.139,6.151,6.125,6.128,12983.31
2025-05-30 20:00:00,6.126,6.131,6.088,6.1,13672.5
2025-05-30 20:15:00,6.1,6.121,6.087,6.09,11715.34
2025-05-30 20:30:00,6.091,6.109,6.078,6.109,6686.87
2025-05-30 20:45:00,6.109,6.126,6.074,6.076,14458.86
2025-05-30 21:00:00,6.076,6.096,6.073,6.077,13461.88
2025-05-30 21:15:00,6.077,6.111,6.076,6.087,19160.66
2025-05-30 21:30:00,6.088,6.103,6.054,6.054,13099.61
2025-05-30 21:45:00,6.054,6.062,6.03,6.049,7656.36
2025-05-30 22:00:00,6.049,6.062,6.03,6.045,13510.8
2025-05-30 22:15:00,6.045,6.045,5.97,5.981,41140.22
2025-05-30 22:30:00,5.982,5.991,5.884,5.889,83349.3
2025-05-30 22:45:00,5.89,5.955,5.833,5.841,166434.52
2025-05-30 23:00:00,5.845,5.908,5.817,5.85,96750.64
2025-05-30 23:15:00,5.85,5.872,5.755,5.832,125260.19
2025-05-30 23:30:00,5.833,5.844,5.77,5.786,132770.7
2025-05-30 23:45:00,5.788,5.817,5.767,5.781,72800.45
