Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,6.167,6.229,6.137,6.212,298612.65
2025-05-01 20:00:00,6.212,6.273,6.185,6.214,219097.03
2025-05-02 00:00:00,6.215,6.281,6.172,6.238,238390.88
2025-05-02 04:00:00,6.238,6.261,6.14,6.152,293298.14
2025-05-02 08:00:00,6.15,6.224,6.136,6.157,218453.51
2025-05-02 12:00:00,6.157,6.253,6.132,6.191,294530.08
2025-05-02 16:00:00,6.191,6.239,6.102,6.114,191499.39
2025-05-02 20:00:00,6.113,6.165,6.106,6.155,130950.81
2025-05-03 00:00:00,6.155,6.157,6.048,6.098,217907.1
2025-05-03 04:00:00,6.098,6.099,6.038,6.056,230505.59
2025-05-03 08:00:00,6.057,6.066,5.909,5.912,406930.2
2025-05-03 12:00:00,5.912,5.979,5.912,5.946,203973.23
2025-05-03 16:00:00,5.947,5.95,5.752,5.876,435632.66
2025-05-03 20:00:00,5.876,5.892,5.825,5.834,216370.9
2025-05-04 00:00:00,5.834,5.873,5.766,5.777,273548.62
2025-05-04 04:00:00,5.776,5.834,5.737,5.756,240134.36
2025-05-04 08:00:00,5.756,5.776,5.675,5.717,315156.87
2025-05-04 12:00:00,5.718,5.744,5.624,5.67,280610.18
2025-05-04 16:00:00,5.67,5.679,5.586,5.604,240526.02
2025-05-04 20:00:00,5.605,5.65,5.537,5.599,256004.14
2025-05-05 00:00:00,5.599,5.718,5.578,5.689,353055.95
2025-05-05 04:00:00,5.69,5.792,5.671,5.71,376103.42
2025-05-05 08:00:00,5.711,5.717,5.59,5.624,268444.47
2025-05-05 12:00:00,5.625,5.665,5.574,5.603,365072.01
2025-05-05 16:00:00,5.603,5.809,5.599,5.725,389179.4
2025-05-05 20:00:00,5.726,5.772,5.653,5.694,233321.17
2025-05-06 00:00:00,5.694,5.712,5.608,5.711,373396.73
2025-05-06 04:00:00,5.71,5.71,5.283,5.359,2770918.62
2025-05-06 08:00:00,5.359,5.359,5.221,5.247,905369.47
2025-05-06 12:00:00,5.247,5.302,5.173,5.223,846613.34
2025-05-06 16:00:00,5.223,5.298,5.176,5.266,536540.74
2025-05-06 20:00:00,5.266,5.427,5.125,5.36,3548465.71
2025-05-07 00:00:00,5.361,5.507,5.347,5.451,683228.9
2025-05-07 04:00:00,5.451,5.554,5.423,5.552,496767.81
2025-05-07 08:00:00,5.552,5.599,5.525,5.573,383012.74
