Time,Open,High,Low,Close,Volume
2024-12-03,0.5508,0.6379,0.5477,0.6142,67792956.0
2024-12-04,0.6142,0.6664,0.6024,0.6391,44272117.0
2024-12-05,0.6386,0.6525,0.5996,0.6253,27952769.0
2024-12-06,0.6253,0.6664,0.6142,0.6598,17930373.0
2024-12-07,0.6597,0.67,0.632,0.6415,11142366.0
2024-12-08,0.6416,0.6485,0.615,0.6464,10767331.0
2024-12-09,0.6464,0.6467,0.4372,0.5037,43834677.0
2024-12-10,0.5037,0.5182,0.4488,0.4851,29419820.0
2024-12-11,0.4852,0.5336,0.4704,0.5269,18539900.0
2024-12-12,0.527,0.5888,0.5166,0.5655,67342286.0
2024-12-13,0.5656,0.5775,0.541,0.5657,46994287.0
2024-12-14,0.5658,0.5745,0.5202,0.5371,22740519.0
2024-12-15,0.5372,0.5564,0.5157,0.5531,18191511.0
2024-12-16,0.5534,0.5746,0.5206,0.5303,19967879.0
2024-12-17,0.5304,0.531,0.4783,0.4854,19074320.0
2024-12-18,0.4854,0.4867,0.4125,0.4267,25577219.0
2024-12-19,0.4269,0.428,0.3581,0.3763,32663650.0
2024-12-20,0.3762,0.3973,0.3317,0.3882,25848549.0
2024-12-21,0.3878,0.4142,0.3573,0.3655,14912474.0
2024-12-22,0.3655,0.3812,0.355,0.3652,14916112.0
2024-12-23,0.3653,0.3974,0.3571,0.393,16871833.0
2024-12-24,0.393,0.4056,0.3804,0.3982,11279102.0
2024-12-25,0.3983,0.4039,0.384,0.3915,10567487.0
2024-12-26,0.3917,0.3964,0.3569,0.3619,11122229.0
2024-12-27,0.3619,0.385,0.3595,0.3667,13880165.0
2024-12-28,0.3669,0.39,0.3623,0.3843,12101064.0
2024-12-29,0.3844,0.3866,0.3606,0.3642,8678808.0
2024-12-30,0.3641,0.3775,0.3423,0.357,17048542.0
2024-12-31,0.3571,0.3654,0.3444,0.3486,10708681.0
2025-01-01,0.3486,0.3643,0.34,0.3612,10534748.0
2025-01-02,0.3614,0.3813,0.3605,0.3718,9710916.0
2025-01-03,0.3719,0.4055,0.3674,0.4028,11331099.0
2025-01-04,0.4028,0.4171,0.398,0.4069,12295417.0
2025-01-05,0.407,0.411,0.3955,0.4066,7884827.0
2025-01-06,0.4067,0.4239,0.4019,0.4121,15522292.0
2025-01-07,0.4121,0.4132,0.361,0.3618,17312282.0
2025-01-08,0.3619,0.3651,0.3277,0.3449,14383314.0
2025-01-09,0.3449,0.3497,0.3246,0.3346,11321561.0
2025-01-10,0.3346,0.3507,0.3343,0.3477,9539103.0
2025-01-11,0.3476,0.3517,0.3399,0.3438,8521225.0
2025-01-12,0.3439,0.346,0.3313,0.3351,8078864.0
2025-01-13,0.3351,0.3452,0.2956,0.319,18961829.0
2025-01-14,0.3191,0.3405,0.3164,0.3362,10349883.0
2025-01-15,0.3363,0.3542,0.3226,0.3534,14104094.0
2025-01-16,0.3535,0.3641,0.346,0.3516,15793104.0
2025-01-17,0.3516,0.3775,0.3513,0.3719,11373875.0
2025-01-18,0.372,0.3772,0.3318,0.3377,14833552.0
2025-01-19,0.3378,0.3493,0.3018,0.3069,27470549.0
2025-01-20,0.3068,0.3307,0.2933,0.3038,26466374.0
2025-01-21,0.3039,0.3147,0.2893,0.3081,14834265.0
2025-01-22,0.308,0.3166,0.3043,0.3062,11764010.0
2025-01-23,0.3063,0.3105,0.2945,0.3056,14178186.0
2025-01-24,0.3057,0.3124,0.2961,0.2984,11996651.0
2025-01-25,0.2983,0.3026,0.2923,0.2976,6326245.0
2025-01-26,0.2977,0.3069,0.2927,0.293,7828513.0
2025-01-27,0.293,0.293,0.2615,0.2816,17949919.0
2025-01-28,0.2815,0.2841,0.2618,0.2648,8753972.0
2025-01-29,0.2649,0.2761,0.2621,0.2658,11324239.0
2025-01-30,0.2658,0.2824,0.2634,0.2785,8261369.0
2025-01-31,0.2785,0.293,0.2767,0.2826,10253582.0
2025-02-01,0.2826,0.2843,0.251,0.2522,9955664.0
2025-02-02,0.2521,0.2577,0.1966,0.2096,24284899.0
2025-02-03,0.2096,0.2123,0.1529,0.2104,49370041.0
2025-02-04,0.2105,0.2121,0.1899,0.1966,15387793.0
2025-02-05,0.1966,0.2025,0.1918,0.1968,10306008.0
2025-02-06,0.1967,0.1982,0.1786,0.1808,10369703.0
2025-02-07,0.1808,0.1931,0.1742,0.1798,10587099.0
2025-02-08,0.1798,0.1945,0.1784,0.1915,7846913.0
2025-02-09,0.1915,0.1996,0.1843,0.1919,8371804.0
2025-02-10,0.1918,0.1998,0.1848,0.1992,7838155.0
2025-02-11,0.1991,0.2069,0.1903,0.1932,10044578.0
2025-02-12,0.1933,0.209,0.1872,0.2076,13815268.0
2025-02-13,0.2076,0.2119,0.199,0.2063,11050791.0
2025-02-14,0.2063,0.2089,0.2014,0.2042,8240384.0
2025-02-15,0.2042,0.2051,0.1942,0.1958,6255220.0
2025-02-16,0.1957,0.1997,0.1931,0.1949,8042074.0
2025-02-17,0.1949,0.2003,0.1905,0.1935,7696993.0
2025-02-18,0.1935,0.1948,0.1719,0.178,8760098.0
2025-02-19,0.178,0.1817,0.1734,0.1762,8902331.0
2025-02-20,0.1762,0.1928,0.1747,0.1905,10388860.0
2025-02-21,0.1905,0.1974,0.1806,0.1827,11550682.0
2025-02-22,0.1827,0.1927,0.1815,0.1922,8613931.0
2025-02-23,0.1922,0.1958,0.1855,0.1879,11275167.0
2025-02-24,0.1878,0.1884,0.1577,0.1601,16264379.0
2025-02-25,0.16,0.1654,0.1493,0.1642,20469757.0
2025-02-26,0.1643,0.1695,0.1601,0.1674,11151448.0
2025-02-27,0.1674,0.1739,0.165,0.1724,16814999.0
2025-02-28,0.1725,0.1737,0.1579,0.1725,28462069.0
2025-03-01,0.1726,0.1736,0.1637,0.1691,14700756.0
2025-03-02,0.169,0.1826,0.1668,0.1813,23929132.0
2025-03-03,0.1814,0.1826,0.1492,0.1519,24112725.0
2025-03-04,0.1518,0.1532,0.1333,0.1455,25277208.0
2025-03-05,0.1456,0.1607,0.145,0.1576,23136449.0
2025-03-06,0.1576,0.1608,0.1495,0.1516,14751328.0
2025-03-07,0.1516,0.1586,0.144,0.1497,18587977.0
2025-03-08,0.1496,0.1515,0.1453,0.1475,10849673.0
2025-03-09,0.1474,0.1483,0.1307,0.1325,16490400.0
2025-03-10,0.1326,0.1409,0.1201,0.1207,22439153.0
2025-03-11,0.1208,0.1552,0.1106,0.1323,105555180.0
2025-03-12,0.1323,0.1336,0.1224,0.13,56777690.0
2025-03-13,0.13,0.1319,0.1248,0.1307,17834803.0
2025-03-14,0.1306,0.1352,0.1302,0.1339,18587091.0
2025-03-15,0.1339,0.1468,0.1339,0.1446,31688230.0
2025-03-16,0.1446,0.1446,0.1355,0.1365,21768154.0
2025-03-17,0.1365,0.1436,0.1363,0.1415,15046209.0
2025-03-18,0.1414,0.1536,0.1391,0.1461,73590445.0
2025-03-19,0.146,0.1499,0.1437,0.1493,32243493.0
