Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,0.0622,0.0627,0.0613,0.0623,8753883.0
2025-05-01 20:00:00,0.0623,0.0626,0.0614,0.0619,4005875.0
2025-05-02 00:00:00,0.0619,0.0627,0.0615,0.0621,5155360.0
2025-05-02 04:00:00,0.0622,0.0623,0.0607,0.0608,7928899.0
2025-05-02 08:00:00,0.0609,0.0612,0.0605,0.0605,4519614.0
2025-05-02 12:00:00,0.0606,0.0618,0.0601,0.0611,8161779.0
2025-05-02 16:00:00,0.0611,0.0617,0.0608,0.061,6190874.0
2025-05-02 20:00:00,0.061,0.0615,0.0608,0.0611,3447855.0
2025-05-03 00:00:00,0.0611,0.0612,0.0603,0.0605,3587159.0
2025-05-03 04:00:00,0.0604,0.0606,0.0596,0.0597,3227403.0
2025-05-03 08:00:00,0.0597,0.06,0.0582,0.0582,7186237.0
2025-05-03 12:00:00,0.0582,0.0589,0.0581,0.0581,7507154.0
2025-05-03 16:00:00,0.0582,0.0582,0.0561,0.0575,11973813.0
2025-05-03 20:00:00,0.0574,0.0575,0.0569,0.057,4006095.0
2025-05-04 00:00:00,0.0571,0.0577,0.0561,0.0566,12912817.0
2025-05-04 04:00:00,0.0566,0.0572,0.0561,0.0565,6334322.0
2025-05-04 08:00:00,0.0565,0.0568,0.0558,0.0565,8007700.0
2025-05-04 12:00:00,0.0565,0.0567,0.0555,0.056,5103074.0
2025-05-04 16:00:00,0.0561,0.0563,0.0554,0.0558,5174327.0
2025-05-04 20:00:00,0.0558,0.0564,0.0554,0.0559,4568826.0
2025-05-05 00:00:00,0.0559,0.0566,0.0553,0.0561,5556374.0
2025-05-05 04:00:00,0.0561,0.0571,0.056,0.057,5263555.0
2025-05-05 08:00:00,0.057,0.0571,0.0554,0.0557,5002840.0
2025-05-05 12:00:00,0.0558,0.0561,0.0546,0.055,8795038.0
2025-05-05 16:00:00,0.055,0.0561,0.0548,0.0553,7237313.0
2025-05-05 20:00:00,0.0553,0.0558,0.0545,0.0556,4353760.0
2025-05-06 00:00:00,0.0556,0.0558,0.0548,0.0554,6434279.0
2025-05-06 04:00:00,0.0555,0.0557,0.0553,0.0555,3591918.0
2025-05-06 08:00:00,0.0555,0.0556,0.0533,0.0537,13225810.0
2025-05-06 12:00:00,0.0538,0.0544,0.0533,0.0536,9236354.0
2025-05-06 16:00:00,0.0536,0.055,0.0533,0.0544,6298617.0
2025-05-06 20:00:00,0.0545,0.0552,0.0531,0.055,8430982.0
2025-05-07 00:00:00,0.055,0.0561,0.055,0.0552,7052308.0
2025-05-07 04:00:00,0.0553,0.0558,0.055,0.0556,5398593.0
2025-05-07 08:00:00,0.0555,0.0565,0.0553,0.056,6975097.0
2025-05-07 12:00:00,0.0561,0.0562,0.0545,0.0547,9547072.0
2025-05-07 16:00:00,0.0547,0.0552,0.054,0.0547,8977452.0
2025-05-07 20:00:00,0.0546,0.0556,0.0544,0.0555,4387844.0
2025-05-08 00:00:00,0.0555,0.058,0.0553,0.0578,8924638.0
2025-05-08 04:00:00,0.0578,0.0588,0.0578,0.0586,7939626.0
2025-05-08 08:00:00,0.0586,0.0599,0.0583,0.0594,8378825.0
2025-05-08 12:00:00,0.0594,0.0616,0.0589,0.061,10967063.0
2025-05-08 16:00:00,0.0609,0.0616,0.0603,0.0615,9249913.0
2025-05-08 20:00:00,0.0616,0.0633,0.0615,0.0633,12304478.0
2025-05-09 00:00:00,0.0632,0.0646,0.063,0.0644,12306018.0
2025-05-09 04:00:00,0.0644,0.0671,0.0638,0.0663,10924962.0
2025-05-09 08:00:00,0.0663,0.0678,0.0647,0.0657,18586517.0
2025-05-09 12:00:00,0.0658,0.0665,0.0649,0.0656,11317412.0
2025-05-09 16:00:00,0.0656,0.0662,0.0649,0.0655,9174622.0
2025-05-09 20:00:00,0.0655,0.0666,0.0654,0.0666,9339803.0
2025-05-10 00:00:00,0.0666,0.0679,0.0662,0.0666,8606205.0
2025-05-10 04:00:00,0.0666,0.0683,0.0661,0.0681,6245585.0
2025-05-10 08:00:00,0.0681,0.0686,0.0665,0.0673,11507441.0
2025-05-10 12:00:00,0.0673,0.0685,0.067,0.0677,8784486.0
2025-05-10 16:00:00,0.0677,0.0702,0.0675,0.0699,12004099.0
2025-05-10 20:00:00,0.0699,0.0723,0.0692,0.0721,11916759.0
2025-05-11 00:00:00,0.0721,0.0734,0.0702,0.0733,16724025.0
2025-05-11 04:00:00,0.0732,0.0744,0.071,0.0723,27875752.0
2025-05-11 08:00:00,0.0722,0.076,0.0717,0.0723,45227032.0
2025-05-11 12:00:00,0.0723,0.0728,0.0698,0.0706,21849204.0
2025-05-11 16:00:00,0.0706,0.0712,0.0691,0.0707,15445960.0
2025-05-11 20:00:00,0.0707,0.0711,0.0699,0.0702,6814866.0
2025-05-12 00:00:00,0.0702,0.0714,0.0695,0.0711,11012337.0
2025-05-12 04:00:00,0.0711,0.0736,0.0701,0.0725,18360861.0
2025-05-12 08:00:00,0.0725,0.0742,0.0716,0.0721,25841835.0
2025-05-12 12:00:00,0.0721,0.0738,0.0704,0.0711,22736320.0
2025-05-12 16:00:00,0.0711,0.0727,0.068,0.0703,22003783.0
2025-05-12 20:00:00,0.0703,0.0715,0.07,0.071,7143527.0
2025-05-13 00:00:00,0.071,0.0712,0.0667,0.0668,14436520.0
2025-05-13 04:00:00,0.0668,0.0692,0.0667,0.0688,7296642.0
2025-05-13 08:00:00,0.0689,0.0708,0.0686,0.0701,7925361.0
2025-05-13 12:00:00,0.0701,0.0721,0.0699,0.0719,12028771.0
2025-05-13 16:00:00,0.0718,0.075,0.0716,0.0747,10717107.0
2025-05-13 20:00:00,0.0747,0.075,0.0735,0.0741,9154173.0
