Time,Open,High,Low,Close,Volume
2025-05-12,5.596,5.946,5.221,5.446,7122083.3
2025-05-13,5.446,5.552,4.996,5.327,3606751.0
2025-05-14,5.326,5.602,5.25,5.355,1834906.4
2025-05-15,5.355,5.498,4.736,4.846,1590808.9
2025-05-16,4.847,5.595,4.816,5.455,4443402.7
2025-05-17,5.455,5.545,4.92,4.96,4500490.2
2025-05-18,4.96,5.157,4.83,5.137,1881104.7
2025-05-19,5.133,5.55,5.067,5.28,7917106.0
2025-05-20,5.282,5.385,5.116,5.172,1899576.1
2025-05-21,5.17,5.244,5.036,5.175,1432884.8
2025-05-22,5.176,5.344,5.061,5.242,1146903.5
2025-05-23,5.243,5.447,5.118,5.169,1757434.6
2025-05-24,5.171,5.428,5.092,5.309,1232318.1
2025-05-25,5.31,5.537,5.15,5.431,1475712.7
2025-05-26,5.431,5.438,5.237,5.374,635782.0
2025-05-27,5.374,5.445,5.26,5.335,504719.2
2025-05-28,5.335,5.515,5.293,5.397,720502.5
2025-05-29,5.396,6.142,5.351,6.058,4652722.9
2025-05-30,6.056,6.199,4.299,4.577,7962721.4
2025-05-31,4.58,4.613,4.343,4.473,1600916.2
