Time,Open,High,Low,Close,Volume
2024-12-03,2.5623,2.6007,2.32,2.5531,117176706.9
2024-12-04,2.5531,2.742,2.5046,2.5492,150778711.1
2024-12-05,2.5495,2.6343,2.41,2.4987,125815514.7
2024-12-06,2.4987,2.7342,2.4638,2.6665,115277436.2
2024-12-07,2.6662,2.7753,2.6519,2.6773,53624668.7
2024-12-08,2.6773,2.7108,2.5943,2.6724,46197215.6
2024-12-09,2.6725,2.6732,1.9707,2.238,159667244.8
2024-12-10,2.238,2.3092,2.0333,2.2036,137291473.6
2024-12-11,2.2036,2.3585,2.1167,2.3345,70520544.6
2024-12-12,2.3346,2.6799,2.3154,2.5485,151234985.9
2024-12-13,2.5484,2.691,2.4734,2.5663,122863887.8
2024-12-14,2.5663,2.6583,2.3754,2.4381,90251200.0
2024-12-15,2.4381,2.5513,2.405,2.538,64098239.8
2024-12-16,2.5382,2.6347,2.4659,2.4958,92846941.7
2024-12-17,2.4959,2.5266,2.3061,2.3377,78018726.1
2024-12-18,2.3379,2.3975,2.1242,2.155,106183760.9
2024-12-19,2.1551,2.1867,1.8301,1.9051,150504717.6
2024-12-20,1.9052,1.9912,1.61,1.8883,160713313.3
2024-12-21,1.8883,2.0133,1.72,1.7457,113648024.8
2024-12-22,1.7458,1.823,1.7052,1.7604,82973804.8
2024-12-23,1.7604,1.9617,1.7016,1.9276,100460538.4
2024-12-24,1.9276,1.9831,1.863,1.9502,63735374.9
2024-12-25,1.9502,1.9805,1.8811,1.9185,43420364.1
2024-12-26,1.9187,1.9349,1.7496,1.7788,55694550.3
2024-12-27,1.7788,1.9067,1.7679,1.8567,66752524.2
2024-12-28,1.8568,1.9111,1.817,1.8944,43481898.3
2024-12-29,1.8944,1.9001,1.7901,1.8082,38150763.8
2024-12-30,1.8083,1.9268,1.7607,1.8236,78287545.3
2024-12-31,1.8236,1.8815,1.7369,1.7529,56017575.3
2025-01-01,1.7529,1.8416,1.7324,1.8189,43583407.9
2025-01-02,1.819,1.8955,1.8132,1.8799,50298271.5
2025-01-03,1.88,2.0257,1.8355,2.0177,65092127.1
2025-01-04,2.0173,2.1207,1.9837,2.0618,58945321.2
2025-01-05,2.0619,2.1172,2.0257,2.0938,47152536.4
2025-01-06,2.0939,2.1849,2.0589,2.1097,62435264.9
2025-01-07,2.1096,2.1269,1.8802,1.8903,70297869.5
2025-01-08,1.8903,1.9234,1.706,1.8025,75664905.5
2025-01-09,1.8025,1.8396,1.7066,1.7496,66111460.4
2025-01-10,1.7496,1.8279,1.727,1.7892,59701154.4
2025-01-11,1.7892,1.824,1.7596,1.7922,30167162.4
2025-01-12,1.7922,1.8151,1.7575,1.7821,29418921.8
2025-01-13,1.7824,1.8273,1.5727,1.7267,108897756.0
2025-01-14,1.7268,1.7997,1.7145,1.7872,46747306.9
2025-01-15,1.7873,1.902,1.7401,1.8998,65534975.5
2025-01-16,1.8996,1.9163,1.8208,1.837,65417169.6
2025-01-17,1.837,1.9918,1.8365,1.9627,55104374.9
2025-01-18,1.9628,1.999,1.7767,1.8261,77250883.1
2025-01-19,1.8261,1.9172,1.6721,1.707,126629579.6
2025-01-20,1.707,1.86,1.6234,1.7038,149361236.2
2025-01-21,1.7038,1.7899,1.6202,1.7484,68757818.8
2025-01-22,1.7484,1.772,1.703,1.714,37402234.8
2025-01-23,1.7143,1.7389,1.6542,1.7243,63582777.4
2025-01-24,1.7244,1.8149,1.6817,1.7188,65191869.8
2025-01-25,1.7189,1.719,1.6301,1.6328,53730552.6
2025-01-26,1.6328,1.6757,1.5583,1.5606,55090855.6
2025-01-27,1.5606,1.5614,1.3132,1.457,159529487.8
2025-01-28,1.457,1.4759,1.3565,1.3697,58688710.8
2025-01-29,1.3697,1.517,1.3668,1.4346,79801927.3
2025-01-30,1.4347,1.5044,1.4174,1.4527,50783914.1
2025-01-31,1.4527,1.5024,1.3784,1.4276,111723092.2
2025-02-01,1.4276,1.459,1.3251,1.3348,71800115.6
2025-02-02,1.3349,1.3687,1.0461,1.1166,164089381.5
2025-02-03,1.1168,1.2117,0.794,1.186,377433418.8
2025-02-04,1.1859,1.1924,1.0435,1.1111,178549510.0
2025-02-05,1.1112,1.1447,1.0704,1.0886,97219303.1
2025-02-06,1.0886,1.1308,1.0224,1.0376,91010898.4
2025-02-07,1.0375,1.1161,0.9834,1.0179,84802191.0
2025-02-08,1.0179,1.071,0.9983,1.0613,56652864.5
2025-02-09,1.0612,1.0893,1.0154,1.0778,61977206.0
2025-02-10,1.0777,1.1151,1.037,1.0971,69338904.8
2025-02-11,1.0972,1.1421,1.0507,1.0702,65253700.8
2025-02-12,1.0703,1.1526,1.0242,1.1228,78316210.6
2025-02-13,1.1229,1.1617,1.0849,1.1227,61665935.6
2025-02-14,1.1228,1.1979,1.1104,1.1567,68465056.1
2025-02-15,1.1568,1.1647,1.1138,1.1282,37463048.2
2025-02-16,1.1283,1.1479,1.0983,1.1158,40890686.3
2025-02-17,1.1158,1.212,1.1026,1.2051,116339181.7
2025-02-18,1.2051,1.2174,1.0423,1.0866,120320134.5
2025-02-19,1.0866,1.1527,1.0751,1.1257,71558297.2
2025-02-20,1.1257,1.1825,1.1223,1.1627,70989952.0
2025-02-21,1.1626,1.2046,1.0743,1.0886,111088478.6
2025-02-22,1.0886,1.1541,1.0711,1.143,64867111.2
2025-02-23,1.143,1.1925,1.1372,1.1795,71100206.7
