Time,Open,High,Low,Close,Volume
2025-05-30 15:30:00,0.3874,0.3875,0.3809,0.3835,1336374.0
2025-05-30 15:45:00,0.3834,0.3841,0.3795,0.3801,1038342.0
2025-05-30 16:00:00,0.3802,0.3826,0.3768,0.3787,1806868.0
2025-05-30 16:15:00,0.3786,0.3792,0.37,0.3708,6611531.0
2025-05-30 16:30:00,0.3708,0.371,0.3498,0.3613,23012341.0
2025-05-30 16:45:00,0.3613,0.3642,0.3584,0.3629,5256417.0
2025-05-30 17:00:00,0.363,0.3671,0.3613,0.364,3751229.0
2025-05-30 17:15:00,0.3639,0.3658,0.3581,0.3583,3391013.0
2025-05-30 17:30:00,0.3582,0.3621,0.3562,0.3607,3851700.0
2025-05-30 17:45:00,0.3608,0.3615,0.3555,0.3605,3057644.0
2025-05-30 18:00:00,0.3605,0.3662,0.3571,0.3638,3647207.0
2025-05-30 18:15:00,0.3637,0.3693,0.3634,0.3685,2339418.0
2025-05-30 18:30:00,0.3686,0.3698,0.3662,0.3688,1893128.0
2025-05-30 18:45:00,0.3687,0.3711,0.368,0.3702,1383093.0
2025-05-30 19:00:00,0.3701,0.3715,0.3674,0.3713,2808628.0
2025-05-30 19:15:00,0.3713,0.3822,0.3708,0.3822,10688751.0
2025-05-30 19:30:00,0.3822,0.3841,0.3772,0.3835,10949924.0
2025-05-30 19:45:00,0.3835,0.3864,0.3814,0.3817,4926473.0
2025-05-30 20:00:00,0.3816,0.3829,0.3795,0.3805,3423893.0
2025-05-30 20:15:00,0.3805,0.384,0.3776,0.3781,1656225.0
2025-05-30 20:30:00,0.3781,0.3843,0.378,0.3842,1855863.0
2025-05-30 20:45:00,0.3842,0.3848,0.3789,0.3792,1346098.0
2025-05-30 21:00:00,0.3793,0.38,0.3777,0.3785,1442217.0
2025-05-30 21:15:00,0.3786,0.3789,0.3752,0.3758,1673114.0
2025-05-30 21:30:00,0.3759,0.3777,0.3742,0.3754,1850269.0
2025-05-30 21:45:00,0.3753,0.377,0.3739,0.375,652229.0
2025-05-30 22:00:00,0.3751,0.377,0.3739,0.3751,1246180.0
2025-05-30 22:15:00,0.375,0.375,0.3694,0.3698,2217498.0
2025-05-30 22:30:00,0.3697,0.3704,0.362,0.3627,3649848.0
2025-05-30 22:45:00,0.3628,0.3677,0.3578,0.3585,5341453.0
2025-05-30 23:00:00,0.3586,0.3591,0.3497,0.3518,11271832.0
2025-05-30 23:15:00,0.3519,0.3561,0.3449,0.3521,9295130.0
2025-05-30 23:30:00,0.3522,0.3564,0.3513,0.3524,4303789.0
2025-05-30 23:45:00,0.3525,0.3547,0.3485,0.3491,3495358.0
2025-05-31 00:00:00,0.3492,0.3547,0.3467,0.3507,5938642.0
2025-05-31 00:15:00,0.3507,0.353,0.3391,0.3446,8448583.0
2025-05-31 00:30:00,0.3446,0.351,0.344,0.3489,4033401.0
2025-05-31 00:45:00,0.3488,0.351,0.3389,0.3411,3300271.0
2025-05-31 01:00:00,0.3412,0.3419,0.332,0.3382,9161088.0
2025-05-31 01:15:00,0.3382,0.3448,0.3342,0.3372,5053448.0
2025-05-31 01:30:00,0.3373,0.3386,0.3291,0.3357,7511030.0
2025-05-31 01:45:00,0.3357,0.336,0.3314,0.3348,2517287.0
2025-05-31 02:00:00,0.3348,0.3439,0.3334,0.3426,3827189.0
2025-05-31 02:15:00,0.3425,0.3448,0.339,0.3394,2641240.0
2025-05-31 02:30:00,0.3394,0.3401,0.3356,0.3358,2176500.0
2025-05-31 02:45:00,0.3358,0.3375,0.3335,0.3354,1773028.0
2025-05-31 03:00:00,0.3355,0.3371,0.3323,0.3331,1806973.0
2025-05-31 03:15:00,0.3331,0.3379,0.3313,0.3376,3442604.0
2025-05-31 03:30:00,0.3377,0.3388,0.335,0.3361,3326990.0
2025-05-31 03:45:00,0.3361,0.3395,0.3352,0.3395,1424188.0
2025-05-31 04:00:00,0.3395,0.3396,0.3327,0.3344,2806929.0
2025-05-31 04:15:00,0.3343,0.337,0.3306,0.334,2261927.0
2025-05-31 04:30:00,0.3339,0.3413,0.3337,0.3397,2687736.0
2025-05-31 04:45:00,0.3397,0.3457,0.3397,0.3452,2196213.0
2025-05-31 05:00:00,0.3451,0.348,0.3432,0.3436,3236877.0
2025-05-31 05:15:00,0.3435,0.3447,0.3412,0.3441,2159784.0
2025-05-31 05:30:00,0.3441,0.3458,0.3425,0.3448,1159621.0
2025-05-31 05:45:00,0.3447,0.3447,0.339,0.3396,1514165.0
2025-05-31 06:00:00,0.3396,0.345,0.3384,0.345,2020521.0
2025-05-31 06:15:00,0.3451,0.3477,0.3445,0.3467,1375981.0
2025-05-31 06:30:00,0.3467,0.3493,0.3454,0.3492,1975177.0
2025-05-31 06:45:00,0.3492,0.3495,0.347,0.3475,947158.0
2025-05-31 07:00:00,0.3475,0.3495,0.3471,0.3486,1523980.0
2025-05-31 07:15:00,0.3485,0.3492,0.3461,0.3486,1087914.0
2025-05-31 07:30:00,0.3486,0.353,0.3483,0.3528,1866083.0
2025-05-31 07:45:00,0.3528,0.3544,0.3506,0.3527,1799408.0
2025-05-31 08:00:00,0.3527,0.3553,0.3509,0.3514,2557090.0
2025-05-31 08:15:00,0.3513,0.3538,0.3491,0.3513,2130352.0
2025-05-31 08:30:00,0.3513,0.3549,0.3494,0.3502,1519166.0
2025-05-31 08:45:00,0.3502,0.3543,0.3502,0.3529,1894484.0
2025-05-31 09:00:00,0.3528,0.3574,0.3527,0.3544,1972871.0
2025-05-31 09:15:00,0.3543,0.3549,0.3488,0.35,2549590.0
2025-05-31 09:30:00,0.3499,0.3531,0.3489,0.352,1317911.0
2025-05-31 09:45:00,0.3521,0.3539,0.3508,0.3533,1443122.0
2025-05-31 10:00:00,0.3532,0.3582,0.3508,0.3566,4757712.0
2025-05-31 10:15:00,0.3567,0.362,0.3547,0.3557,6648034.0
2025-05-31 10:30:00,0.3556,0.3564,0.3495,0.3507,3077298.0
2025-05-31 10:45:00,0.3508,0.356,0.3493,0.3552,2512518.0
2025-05-31 11:00:00,0.3551,0.3556,0.3513,0.352,1713023.0
2025-05-31 11:15:00,0.352,0.354,0.3495,0.3503,1590509.0
2025-05-31 11:30:00,0.3503,0.3525,0.3492,0.3524,1173003.0
2025-05-31 11:45:00,0.3524,0.3532,0.3512,0.3513,1056380.0
2025-05-31 12:00:00,0.3514,0.3556,0.3491,0.3556,2730911.0
2025-05-31 12:15:00,0.3556,0.3571,0.3521,0.3525,2090213.0
2025-05-31 12:30:00,0.3526,0.36,0.3524,0.359,3080805.0
2025-05-31 12:45:00,0.359,0.3651,0.3588,0.3643,3684552.0
2025-05-31 13:00:00,0.3642,0.3716,0.363,0.3677,5602312.0
2025-05-31 13:15:00,0.3677,0.3699,0.3615,0.3616,4056486.0
2025-05-31 13:30:00,0.3618,0.3667,0.3618,0.3651,1844865.0
2025-05-31 13:45:00,0.3652,0.366,0.3623,0.363,1898872.0
2025-05-31 14:00:00,0.363,0.3712,0.3627,0.3694,3556709.0
2025-05-31 14:15:00,0.3695,0.3725,0.3667,0.3694,3792452.0
2025-05-31 14:30:00,0.3693,0.372,0.3682,0.3688,2407467.0
2025-05-31 14:45:00,0.3688,0.3716,0.3679,0.3706,1582259.0
2025-05-31 15:00:00,0.3706,0.3706,0.3666,0.367,1989745.0
2025-05-31 15:15:00,0.367,0.3674,0.3664,0.3674,73628.0
2025-05-31 15:30:00,0.3742,0.3747,0.3664,0.3668,3782042.0
