Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,5.466,5.504,5.454,5.467,23457.1
2025-05-01 20:00:00,5.467,5.531,5.463,5.522,17651.5
2025-05-02 00:00:00,5.524,5.691,5.507,5.644,36894.8
2025-05-02 04:00:00,5.643,5.778,5.611,5.629,115022.0
2025-05-02 08:00:00,5.628,5.821,5.626,5.793,233551.6
2025-05-02 12:00:00,5.794,5.864,5.731,5.774,195122.2
2025-05-02 16:00:00,5.776,5.878,5.708,5.724,122366.1
2025-05-02 20:00:00,5.725,5.781,5.718,5.757,34421.6
2025-05-03 00:00:00,5.758,5.774,5.63,5.681,66612.5
2025-05-03 04:00:00,5.68,5.791,5.645,5.653,81333.6
2025-05-03 08:00:00,5.652,5.666,5.621,5.642,30964.3
2025-05-03 12:00:00,5.642,5.654,5.617,5.642,33285.3
2025-05-03 16:00:00,5.642,5.734,5.548,5.689,112603.3
2025-05-03 20:00:00,5.689,5.704,5.613,5.634,45965.7
2025-05-04 00:00:00,5.636,5.755,5.612,5.699,79030.2
2025-05-04 04:00:00,5.699,5.767,5.626,5.647,64041.2
2025-05-04 08:00:00,5.647,5.651,5.56,5.642,29882.7
2025-05-04 12:00:00,5.64,5.669,5.604,5.619,34271.2
2025-05-04 16:00:00,5.62,5.633,5.57,5.581,28799.4
2025-05-04 20:00:00,5.581,5.613,5.555,5.607,17700.6
2025-05-05 00:00:00,5.606,5.622,5.473,5.493,65921.5
2025-05-05 04:00:00,5.493,5.528,5.411,5.449,39076.1
2025-05-05 08:00:00,5.449,5.466,5.265,5.286,75807.9
2025-05-05 12:00:00,5.286,5.42,5.268,5.38,66991.9
2025-05-05 16:00:00,5.383,5.498,5.382,5.419,39657.8
2025-05-05 20:00:00,5.42,5.491,5.38,5.475,22100.2
2025-05-06 00:00:00,5.476,5.583,5.446,5.551,57833.7
2025-05-06 04:00:00,5.552,5.558,5.465,5.465,35467.9
2025-05-06 08:00:00,5.466,5.473,5.341,5.394,78294.2
