Time,Open,High,Low,Close,Volume
2025-05-30 15:30:00,0.3422,0.3426,0.3401,0.3421,271744.0
2025-05-30 15:45:00,0.3421,0.3423,0.3406,0.3409,216926.0
2025-05-30 16:00:00,0.341,0.3428,0.3402,0.342,318036.0
2025-05-30 16:15:00,0.3421,0.3427,0.3371,0.3373,678968.0
2025-05-30 16:30:00,0.3374,0.3383,0.3316,0.3361,2788586.0
2025-05-30 16:45:00,0.3359,0.3361,0.3321,0.3336,796694.0
2025-05-30 17:00:00,0.3335,0.3355,0.3318,0.3338,678003.0
2025-05-30 17:15:00,0.3337,0.3356,0.333,0.3342,365974.0
2025-05-30 17:30:00,0.3342,0.3351,0.3324,0.3325,531712.0
2025-05-30 17:45:00,0.3326,0.3349,0.3322,0.3343,367227.0
2025-05-30 18:00:00,0.3344,0.3357,0.3333,0.335,242625.0
2025-05-30 18:15:00,0.3351,0.3404,0.335,0.3398,1081711.0
2025-05-30 18:30:00,0.3399,0.3402,0.3389,0.339,338132.0
2025-05-30 18:45:00,0.339,0.3396,0.3384,0.3384,236695.0
2025-05-30 19:00:00,0.3384,0.3418,0.3383,0.3418,374280.0
2025-05-30 19:15:00,0.3419,0.3421,0.3403,0.3404,344434.0
2025-05-30 19:30:00,0.3403,0.3409,0.3384,0.3388,227436.0
2025-05-30 19:45:00,0.3388,0.3402,0.3376,0.3394,181992.0
2025-05-30 20:00:00,0.3394,0.3396,0.338,0.3382,116238.0
2025-05-30 20:15:00,0.3382,0.3402,0.3381,0.3388,156995.0
2025-05-30 20:30:00,0.3388,0.339,0.3375,0.339,119180.0
2025-05-30 20:45:00,0.3391,0.3391,0.3366,0.3367,317984.0
2025-05-30 21:00:00,0.3367,0.3376,0.3361,0.3373,263154.0
2025-05-30 21:15:00,0.3373,0.3383,0.337,0.337,126224.0
2025-05-30 21:30:00,0.337,0.337,0.3343,0.3343,175643.0
2025-05-30 21:45:00,0.3343,0.3344,0.3332,0.3339,123099.0
2025-05-30 22:00:00,0.3339,0.336,0.3339,0.3358,226175.0
2025-05-30 22:15:00,0.3358,0.3359,0.332,0.3323,439480.0
2025-05-30 22:30:00,0.3321,0.3327,0.3235,0.3238,1905032.0
2025-05-30 22:45:00,0.3239,0.3289,0.3234,0.3238,1033931.0
2025-05-30 23:00:00,0.3238,0.327,0.3214,0.3247,1192120.0
2025-05-30 23:15:00,0.3247,0.3272,0.3211,0.3233,1479623.0
2025-05-30 23:30:00,0.3234,0.3259,0.3227,0.3236,733876.0
2025-05-30 23:45:00,0.3237,0.3246,0.321,0.3233,629147.0
2025-05-31 00:00:00,0.3233,0.3344,0.3203,0.3263,7704670.0
2025-05-31 00:15:00,0.3263,0.3303,0.3213,0.3218,3707274.0
2025-05-31 00:30:00,0.3219,0.3258,0.3198,0.3243,1308866.0
2025-05-31 00:45:00,0.3243,0.3262,0.3179,0.3183,935329.0
2025-05-31 01:00:00,0.3184,0.3209,0.3158,0.32,1397686.0
2025-05-31 01:15:00,0.3201,0.3221,0.3158,0.3162,716686.0
2025-05-31 01:30:00,0.3163,0.3202,0.313,0.3199,1480028.0
2025-05-31 01:45:00,0.3198,0.3198,0.315,0.3163,859979.0
2025-05-31 02:00:00,0.3162,0.3181,0.3129,0.3167,951345.0
2025-05-31 02:15:00,0.3166,0.3187,0.3152,0.3156,430204.0
2025-05-31 02:30:00,0.3157,0.316,0.3142,0.3143,194882.0
2025-05-31 02:45:00,0.3143,0.3149,0.3115,0.3116,865598.0
2025-05-31 03:00:00,0.3115,0.3136,0.31,0.3107,750733.0
2025-05-31 03:15:00,0.3109,0.3124,0.3097,0.3119,674527.0
2025-05-31 03:30:00,0.312,0.3136,0.3102,0.3129,766444.0
2025-05-31 03:45:00,0.3129,0.3146,0.3127,0.3132,294601.0
2025-05-31 04:00:00,0.3133,0.3135,0.3122,0.3134,219371.0
2025-05-31 04:15:00,0.3133,0.316,0.312,0.3152,658933.0
2025-05-31 04:30:00,0.3153,0.3174,0.3153,0.3168,270936.0
2025-05-31 04:45:00,0.317,0.3178,0.3168,0.3172,200765.0
2025-05-31 05:00:00,0.3171,0.318,0.3154,0.3155,271741.0
2025-05-31 05:15:00,0.3155,0.3169,0.3148,0.3166,232205.0
2025-05-31 05:30:00,0.3167,0.3194,0.3166,0.3192,364412.0
2025-05-31 05:45:00,0.3191,0.3191,0.3159,0.3159,160607.0
2025-05-31 06:00:00,0.316,0.3191,0.3157,0.3189,274652.0
2025-05-31 06:15:00,0.3188,0.3207,0.3188,0.3196,250616.0
2025-05-31 06:30:00,0.3197,0.3207,0.3187,0.3205,370930.0
2025-05-31 06:45:00,0.3205,0.3208,0.3186,0.3188,240749.0
2025-05-31 07:00:00,0.3187,0.3189,0.3176,0.3182,268316.0
2025-05-31 07:15:00,0.3181,0.3198,0.3178,0.3196,156379.0
2025-05-31 07:30:00,0.3197,0.3204,0.3183,0.3183,137692.0
2025-05-31 07:45:00,0.3184,0.319,0.3177,0.3181,177137.0
2025-05-31 08:00:00,0.3181,0.3183,0.3168,0.3172,234475.0
2025-05-31 08:15:00,0.3173,0.3187,0.316,0.3178,345448.0
2025-05-31 08:30:00,0.3177,0.3183,0.3141,0.3146,354257.0
2025-05-31 08:45:00,0.3146,0.3171,0.3141,0.3162,562545.0
2025-05-31 09:00:00,0.3163,0.3178,0.3154,0.3157,349495.0
2025-05-31 09:15:00,0.3156,0.3156,0.3121,0.3128,212070.0
2025-05-31 09:30:00,0.3127,0.3144,0.3122,0.3141,314043.0
2025-05-31 09:45:00,0.3141,0.3156,0.3139,0.3147,231371.0
2025-05-31 10:00:00,0.3147,0.3167,0.3134,0.3163,419284.0
2025-05-31 10:15:00,0.3163,0.3171,0.3139,0.314,468461.0
2025-05-31 10:30:00,0.3139,0.3143,0.3122,0.3123,290883.0
2025-05-31 10:45:00,0.3124,0.315,0.3119,0.315,216430.0
2025-05-31 11:00:00,0.3151,0.3156,0.3133,0.3139,255682.0
2025-05-31 11:15:00,0.3138,0.3151,0.3137,0.3143,122535.0
2025-05-31 11:30:00,0.3143,0.3153,0.3135,0.3152,173135.0
2025-05-31 11:45:00,0.3151,0.3155,0.3144,0.3151,151504.0
2025-05-31 12:00:00,0.315,0.3196,0.3142,0.3193,1341842.0
2025-05-31 12:15:00,0.3194,0.3211,0.3169,0.318,749490.0
2025-05-31 12:30:00,0.318,0.3193,0.3176,0.3186,357238.0
2025-05-31 12:45:00,0.3186,0.3212,0.3185,0.3212,383698.0
2025-05-31 13:00:00,0.3212,0.324,0.321,0.3226,514745.0
2025-05-31 13:15:00,0.3226,0.3235,0.3194,0.3195,402376.0
2025-05-31 13:30:00,0.3194,0.3204,0.3184,0.3186,269255.0
2025-05-31 13:45:00,0.3186,0.3189,0.3176,0.3185,300159.0
2025-05-31 14:00:00,0.3183,0.3217,0.318,0.3204,430251.0
2025-05-31 14:15:00,0.3207,0.3208,0.3184,0.3192,349464.0
2025-05-31 14:30:00,0.3192,0.3203,0.3184,0.3202,237131.0
2025-05-31 14:45:00,0.3202,0.3204,0.3191,0.3196,153486.0
2025-05-31 15:00:00,0.3197,0.3202,0.3183,0.3183,202760.0
2025-05-31 15:15:00,0.3184,0.3187,0.3184,0.3186,7553.0
2025-05-31 15:30:00,0.3198,0.3205,0.3185,0.3186,228080.0
2025-05-31 15:45:00,0.3186,0.32,0.3171,0.3197,403792.0
2025-05-31 16:00:00,0.3196,0.322,0.3185,0.3205,837148.0
2025-05-31 16:15:00,0.3206,0.3219,0.3206,0.3218,285373.0
2025-05-31 16:30:00,0.3218,0.3228,0.3203,0.322,305688.0
2025-05-31 16:45:00,0.3219,0.323,0.3219,0.3229,155843.0
2025-05-31 17:00:00,0.3228,0.3233,0.3223,0.3233,132462.0
2025-05-31 17:15:00,0.3232,0.3241,0.3225,0.3229,155124.0
2025-05-31 17:30:00,0.3228,0.3231,0.3215,0.3215,172934.0
2025-05-31 17:45:00,0.3215,0.3216,0.3199,0.3205,173693.0
2025-05-31 18:00:00,0.3204,0.3229,0.3202,0.3227,185763.0
2025-05-31 18:15:00,0.3228,0.325,0.3228,0.3232,294345.0
2025-05-31 18:30:00,0.3232,0.3242,0.3229,0.3235,137062.0
2025-05-31 18:45:00,0.3236,0.3247,0.3233,0.3243,106689.0
2025-05-31 19:00:00,0.3242,0.3245,0.3229,0.3229,183680.0
2025-05-31 19:15:00,0.3228,0.3236,0.3226,0.3233,123596.0
2025-05-31 19:30:00,0.3234,0.3245,0.3234,0.3244,109791.0
2025-05-31 19:45:00,0.3243,0.325,0.3233,0.3236,110843.0
2025-05-31 20:00:00,0.3236,0.3239,0.322,0.3221,280721.0
2025-05-31 20:15:00,0.3221,0.3236,0.3221,0.3232,241433.0
2025-05-31 20:30:00,0.3232,0.3237,0.3228,0.3236,111172.0
2025-05-31 20:45:00,0.3236,0.324,0.3234,0.3238,59244.0
2025-05-31 21:00:00,0.3239,0.326,0.3235,0.3248,285262.0
2025-05-31 21:15:00,0.3249,0.3265,0.3247,0.3261,179319.0
2025-05-31 21:30:00,0.3261,0.327,0.3249,0.3259,216458.0
2025-05-31 21:45:00,0.326,0.3264,0.3253,0.3255,115751.0
2025-05-31 22:00:00,0.3255,0.3258,0.3242,0.3243,223953.0
2025-05-31 22:15:00,0.3243,0.3245,0.3235,0.3236,98934.0
2025-05-31 22:30:00,0.3236,0.3249,0.3233,0.3249,66629.0
2025-05-31 22:45:00,0.3249,0.325,0.3237,0.324,97261.0
2025-05-31 23:00:00,0.324,0.325,0.3236,0.325,131813.0
2025-05-31 23:15:00,0.3251,0.3257,0.3228,0.3228,152242.0
2025-05-31 23:30:00,0.3229,0.3234,0.3217,0.3226,218504.0
2025-05-31 23:45:00,0.3225,0.3228,0.3216,0.3218,107488.0
2025-06-01 00:00:00,0.3219,0.322,0.3208,0.3215,173738.0
2025-06-01 00:15:00,0.3216,0.3248,0.3207,0.3217,1917121.0
2025-06-01 00:30:00,0.3217,0.3257,0.3217,0.3251,1183255.0
2025-06-01 00:45:00,0.325,0.3281,0.3247,0.3269,418726.0
2025-06-01 01:00:00,0.327,0.3321,0.3269,0.3312,799994.0
2025-06-01 01:15:00,0.3311,0.3337,0.3295,0.3334,1476255.0
2025-06-01 01:30:00,0.3333,0.3334,0.3323,0.3326,144836.0
