Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,4.584,4.727,4.557,4.639,1902058.2
2025-05-01 20:00:00,4.639,4.702,4.612,4.622,1082646.6
2025-05-02 00:00:00,4.622,4.674,4.596,4.613,984501.3
2025-05-02 04:00:00,4.614,4.632,4.515,4.525,1212638.9
2025-05-02 08:00:00,4.526,4.639,4.524,4.625,1011553.5
2025-05-02 12:00:00,4.625,4.837,4.597,4.783,3437971.5
2025-05-02 16:00:00,4.782,4.893,4.712,4.743,2798406.3
2025-05-02 20:00:00,4.745,4.887,4.731,4.84,1641075.0
2025-05-03 00:00:00,4.841,4.841,4.738,4.759,928547.1
2025-05-03 04:00:00,4.759,4.775,4.666,4.676,1039035.9
2025-05-03 08:00:00,4.677,4.688,4.583,4.643,1832130.3
2025-05-03 12:00:00,4.643,4.739,4.632,4.641,1723830.3
2025-05-03 16:00:00,4.641,4.652,4.551,4.643,1774225.4
2025-05-03 20:00:00,4.644,4.649,4.567,4.569,838644.8
2025-05-04 00:00:00,4.569,4.622,4.522,4.525,1043073.7
2025-05-04 04:00:00,4.524,4.56,4.479,4.495,852472.8
2025-05-04 08:00:00,4.495,4.497,4.38,4.407,1340235.4
2025-05-04 12:00:00,4.407,4.413,4.254,4.333,3477670.6
2025-05-04 16:00:00,4.332,4.332,4.238,4.292,1330410.2
2025-05-04 20:00:00,4.292,4.384,4.276,4.296,1847716.2
2025-05-05 00:00:00,4.297,4.364,4.233,4.345,1281875.1
2025-05-05 04:00:00,4.345,4.49,4.334,4.47,1324895.5
2025-05-05 08:00:00,4.469,4.487,4.316,4.333,1638291.6
2025-05-05 12:00:00,4.333,4.361,4.262,4.287,1872461.0
2025-05-05 16:00:00,4.287,4.436,4.275,4.36,1816407.1
2025-05-05 20:00:00,4.36,4.42,4.281,4.376,1665634.0
2025-05-06 00:00:00,4.376,4.448,4.282,4.362,1072641.6
2025-05-06 04:00:00,4.362,4.393,4.323,4.328,970283.7
2025-05-06 08:00:00,4.328,4.328,4.143,4.193,2892012.6
2025-05-06 12:00:00,4.194,4.309,4.16,4.225,1971276.2
2025-05-06 16:00:00,4.226,4.308,4.193,4.234,2178378.8
2025-05-06 20:00:00,4.236,4.336,4.091,4.306,2626798.4
2025-05-07 00:00:00,4.307,4.437,4.281,4.318,1593884.2
2025-05-07 04:00:00,4.318,4.341,4.04,4.212,4833121.8
2025-05-07 08:00:00,4.211,4.239,4.166,4.214,1675021.2
2025-05-07 12:00:00,4.215,4.237,4.123,4.125,1739565.0
2025-05-07 16:00:00,4.125,4.168,4.019,4.095,3740030.8
2025-05-07 20:00:00,4.096,4.248,4.076,4.206,1451045.4
2025-05-08 00:00:00,4.206,4.418,4.188,4.411,1554012.6
2025-05-08 04:00:00,4.411,4.505,4.392,4.478,1658989.9
2025-05-08 08:00:00,4.478,4.591,4.477,4.538,1728610.6
2025-05-08 12:00:00,4.539,4.735,4.495,4.634,2851607.1
2025-05-08 16:00:00,4.635,4.684,4.603,4.652,1938625.7
2025-05-08 20:00:00,4.653,4.782,4.621,4.717,2319665.6
2025-05-09 00:00:00,4.717,4.811,4.68,4.692,1732414.6
2025-05-09 04:00:00,4.693,4.993,4.665,4.926,2467374.8
2025-05-09 08:00:00,4.926,5.082,4.825,4.981,4042021.0
2025-05-09 12:00:00,4.979,5.063,4.857,4.925,2500745.6
2025-05-09 16:00:00,4.926,4.978,4.84,4.932,1606019.5
2025-05-09 20:00:00,4.933,5.003,4.915,4.978,877086.8
2025-05-10 00:00:00,4.978,5.056,4.899,5.016,1617918.1
2025-05-10 04:00:00,5.015,5.142,4.961,5.124,1403523.7
2025-05-10 08:00:00,5.125,5.19,4.986,5.029,2360094.9
2025-05-10 12:00:00,5.029,5.198,5.026,5.137,1483020.9
2025-05-10 16:00:00,5.137,5.288,5.111,5.234,1541050.3
2025-05-10 20:00:00,5.233,5.523,5.204,5.468,2126399.5
2025-05-11 00:00:00,5.467,5.512,5.274,5.36,2020755.3
2025-05-11 04:00:00,5.36,5.414,5.074,5.119,2301161.9
2025-05-11 08:00:00,5.118,5.244,5.109,5.231,1310395.0
2025-05-11 12:00:00,5.23,5.269,5.08,5.119,1701494.1
