Time,Open,High,Low,Close,Volume
2024-12-03,0.13778,0.15102,0.1332,0.14951,103334233.0
2024-12-04,0.14946,0.15475,0.14247,0.14862,69530846.0
2024-12-05,0.14862,0.16499,0.14086,0.1481,130316601.0
2024-12-06,0.14812,0.15892,0.1465,0.15681,50356815.0
2024-12-07,0.15677,0.1577,0.15199,0.15332,31055593.0
2024-12-08,0.15334,0.16351,0.14941,0.16135,52547007.0
2024-12-09,0.16132,0.1614,0.11295,0.12672,97737074.0
2024-12-10,0.12671,0.12988,0.10958,0.11992,97697467.0
2024-12-11,0.11995,0.13542,0.11529,0.13478,52032932.0
2024-12-12,0.13471,0.14228,0.1337,0.14037,63430424.0
2024-12-13,0.14034,0.14134,0.13518,0.13915,41030038.0
2024-12-14,0.13912,0.14134,0.12768,0.13103,37980381.0
2024-12-15,0.13099,0.13549,0.1269,0.135,35402360.0
2024-12-16,0.135,0.13915,0.12735,0.13276,43370479.0
2024-12-17,0.13278,0.1336,0.12274,0.12399,37248851.0
2024-12-18,0.12404,0.125,0.10833,0.10881,64689120.0
2024-12-19,0.10888,0.1113,0.09683,0.09972,82501877.0
2024-12-20,0.09972,0.10413,0.08745,0.10283,79297394.0
2024-12-21,0.10282,0.1077,0.09571,0.09764,44971867.0
2024-12-22,0.09766,0.10175,0.09555,0.09823,45873184.0
2024-12-23,0.09823,0.10709,0.09597,0.10545,62089441.0
2024-12-24,0.10539,0.11325,0.10272,0.11218,51238023.0
2024-12-25,0.11213,0.11376,0.1079,0.1101,50655001.0
2024-12-26,0.11012,0.11104,0.10074,0.10206,32493673.0
2024-12-27,0.10202,0.10803,0.10146,0.1032,44995780.0
2024-12-28,0.1032,0.11163,0.10248,0.10863,41863580.0
2024-12-29,0.10863,0.11009,0.10428,0.10579,36435156.0
2024-12-30,0.10576,0.10932,0.09972,0.10267,52856987.0
2024-12-31,0.10266,0.10491,0.09913,0.09974,35746305.0
2025-01-01,0.09973,0.1029,0.09707,0.10216,36103308.0
2025-01-02,0.10216,0.10877,0.10194,0.10699,39029555.0
2025-01-03,0.10699,0.11141,0.10459,0.11133,50448577.0
2025-01-04,0.11135,0.11315,0.10956,0.11167,34933163.0
2025-01-05,0.11168,0.11309,0.10938,0.11164,30856839.0
2025-01-06,0.11164,0.11651,0.10912,0.11403,38296034.0
2025-01-07,0.11403,0.11404,0.10109,0.10119,56687773.0
2025-01-08,0.1012,0.10254,0.09212,0.09647,70703655.0
2025-01-09,0.09644,0.09856,0.09149,0.09442,58077091.0
2025-01-10,0.09439,0.09807,0.09355,0.0974,46344360.0
2025-01-11,0.0974,0.0984,0.09514,0.09601,27100842.0
2025-01-12,0.09606,0.09712,0.09406,0.09537,24608477.0
2025-01-13,0.09538,0.09768,0.08526,0.09162,62308319.0
2025-01-14,0.09164,0.09587,0.09094,0.09529,30104193.0
2025-01-15,0.09529,0.09959,0.09274,0.09956,46670062.0
2025-01-16,0.09958,0.10097,0.09613,0.09845,40550050.0
2025-01-17,0.09845,0.10459,0.09823,0.10391,36220847.0
2025-01-18,0.10391,0.10482,0.09447,0.09672,38997985.0
2025-01-19,0.09671,0.09978,0.08677,0.08795,83230453.0
2025-01-20,0.0879,0.09432,0.0834,0.08647,95159553.0
2025-01-21,0.08648,0.09125,0.0825,0.08991,33416497.0
2025-01-22,0.08986,0.09115,0.0881,0.08857,37078104.0
2025-01-23,0.08854,0.09045,0.08575,0.08851,40509084.0
2025-01-24,0.08853,0.08984,0.08199,0.08267,50310487.0
2025-01-25,0.08268,0.08503,0.0816,0.08365,27726990.0
2025-01-26,0.08367,0.086,0.08202,0.08214,21240073.0
2025-01-27,0.08212,0.08224,0.07427,0.0793,61926439.0
2025-01-28,0.07927,0.08043,0.07341,0.07423,34922009.0
2025-01-29,0.07425,0.07898,0.07358,0.0771,44793500.0
2025-01-30,0.07709,0.08176,0.07614,0.08052,29623925.0
2025-01-31,0.08053,0.0836,0.07939,0.08024,27590285.0
2025-02-01,0.08026,0.08146,0.07239,0.07273,29351990.0
2025-02-02,0.07271,0.07421,0.06011,0.0638,68416703.0
2025-02-03,0.06381,0.06382,0.04532,0.06184,174592564.0
2025-02-04,0.06184,0.06288,0.05516,0.05772,71738080.0
2025-02-05,0.05775,0.05851,0.05561,0.05689,41136108.0
2025-02-06,0.05689,0.05796,0.05412,0.05482,60176626.0
2025-02-07,0.05483,0.05742,0.05364,0.055,64951548.0
2025-02-08,0.055,0.05628,0.05314,0.05602,72112641.0
2025-02-09,0.05602,0.05748,0.05414,0.05606,95765742.0
2025-02-10,0.05606,0.05682,0.05416,0.05563,46167528.0
2025-02-11,0.05563,0.05783,0.05456,0.05504,53344091.0
2025-02-12,0.05505,0.05794,0.05381,0.05745,57988618.0
2025-02-13,0.05746,0.05833,0.05558,0.05682,44312887.0
2025-02-14,0.05682,0.05793,0.05532,0.05714,47310771.0
2025-02-15,0.05715,0.0588,0.05593,0.05692,88332617.0
2025-02-16,0.05691,0.05794,0.05522,0.05673,56435357.0
2025-02-17,0.05672,0.05769,0.05495,0.05568,40484558.0
2025-02-18,0.05568,0.05621,0.05339,0.05456,60315614.0
2025-02-19,0.05457,0.0553,0.05382,0.0546,56710145.0
