Time,Open,High,Low,Close,Volume
2024-12-03,2.2402,2.2829,2.013,2.2062,12258695.2
2024-12-04,2.2065,2.4568,2.1672,2.2979,19143550.9
2024-12-05,2.2981,2.3567,2.1363,2.1905,10660105.2
2024-12-06,2.1914,2.3949,2.1661,2.3329,7773018.1
2024-12-07,2.333,2.3503,2.2567,2.2947,4450101.8
2024-12-08,2.2948,2.339,2.2088,2.3326,4227919.4
2024-12-09,2.3327,2.3334,1.5,1.9779,17929549.8
2024-12-10,1.9783,2.0478,1.8175,1.9584,12047699.2
2024-12-11,1.9585,2.1782,1.8888,2.1699,6951118.0
2024-12-12,2.1701,2.2506,2.1139,2.1586,7352389.4
2024-12-13,2.1586,2.3618,2.1102,2.1744,29487561.4
2024-12-14,2.1744,2.2923,2.0875,2.1356,9206053.1
2024-12-15,2.1357,2.1914,2.0867,2.182,5363945.9
2024-12-16,2.1821,2.3224,2.0725,2.2702,8952911.9
2024-12-17,2.2707,2.5264,2.2222,2.3584,49104655.8
2024-12-18,2.3583,2.4835,2.1871,2.1971,29385979.8
2024-12-19,2.1975,2.3125,1.8135,1.8659,29226652.4
2024-12-20,1.8649,2.0762,1.6837,2.0321,23043422.8
2024-12-21,2.0322,2.0988,1.8686,1.8992,11174276.4
2024-12-22,1.8995,1.9142,1.8014,1.8402,6826483.8
2024-12-23,1.8404,2.0172,1.804,1.9845,7793904.1
2024-12-24,1.9841,2.0397,1.9287,2.0072,6211618.0
2024-12-25,2.0072,2.0833,1.9861,2.0291,4546103.1
2024-12-26,2.029,2.0475,1.8748,1.905,4599908.4
2024-12-27,1.9052,1.9986,1.8921,1.916,5080778.9
2024-12-28,1.916,1.9642,1.8844,1.9422,3053613.3
2024-12-29,1.9424,1.9539,1.8723,1.8926,2594150.0
2024-12-30,1.8932,1.9441,1.8308,1.8649,3828581.4
2024-12-31,1.8649,1.9554,1.8351,1.9395,6540648.7
2025-01-01,1.9395,1.9869,1.9004,1.9075,4905799.9
2025-01-02,1.9074,1.9956,1.9073,1.9645,4963980.5
2025-01-03,1.9646,2.0321,1.9188,2.0252,3931740.8
2025-01-04,2.0256,2.0442,1.9885,2.0256,2999889.2
2025-01-05,2.026,2.0428,1.9754,2.017,2631539.2
2025-01-06,2.0171,2.0752,1.9784,2.0356,3898737.7
2025-01-07,2.0355,2.0436,1.8506,1.8578,5251824.6
2025-01-08,1.858,1.8774,1.7519,1.8396,5325928.4
2025-01-09,1.8392,1.8686,1.7767,1.8267,4990329.9
2025-01-10,1.8266,1.9116,1.8201,1.8968,4842496.7
2025-01-11,1.897,1.9025,1.8505,1.8657,2303586.4
2025-01-12,1.8656,1.8981,1.8321,1.8442,2225911.1
2025-01-13,1.8442,1.88,1.6664,1.8092,8063386.4
2025-01-14,1.8091,1.8822,1.7998,1.8588,3414337.4
2025-01-15,1.8586,1.9333,1.8109,1.8675,5435309.8
2025-01-16,1.8677,1.8751,1.7912,1.811,5277182.7
2025-01-17,1.8112,1.861,1.7924,1.8226,5097754.1
2025-01-18,1.8225,1.8496,1.6878,1.7693,5349468.9
2025-01-19,1.7692,1.8012,1.62,1.6612,8769333.2
2025-01-20,1.661,1.7634,1.6074,1.6589,10726428.4
2025-01-21,1.6585,1.801,1.5983,1.7561,9748664.8
2025-01-22,1.7565,1.7743,1.6454,1.6586,5333894.6
2025-01-23,1.6589,1.7051,1.6262,1.6759,5080305.8
2025-01-24,1.6759,1.6992,1.62,1.6283,3551909.8
2025-01-25,1.628,1.6435,1.6021,1.6115,1968467.1
2025-01-26,1.6117,1.6457,1.5961,1.5996,2593321.1
2025-01-27,1.5994,1.6188,1.4382,1.5228,6852406.6
2025-01-28,1.5232,1.5453,1.4396,1.449,2746992.0
2025-01-29,1.4494,1.5004,1.4257,1.4608,3667441.8
2025-01-30,1.4609,1.5451,1.4503,1.5217,2367111.1
2025-01-31,1.5214,1.5816,1.4972,1.5051,2226750.2
2025-02-01,1.505,1.5226,1.3832,1.3888,2379507.1
2025-02-02,1.3885,1.3985,1.1184,1.213,8280836.5
2025-02-03,1.213,1.213,0.9247,1.1688,23571021.1
2025-02-04,1.1682,1.1854,0.9982,1.0302,8628071.5
2025-02-05,1.0301,1.05,0.9986,1.0215,5944845.0
2025-02-06,1.0214,1.065,1.0005,1.0276,10071108.9
2025-02-07,1.0277,1.0897,1.0157,1.0392,5960240.0
