Time,Open,High,Low,Close,Volume
2025-05-01 16:00:00,0.4942,0.4983,0.4901,0.4919,2395824.0
2025-05-01 20:00:00,0.4917,0.5015,0.4909,0.4962,2245532.0
2025-05-02 00:00:00,0.4961,0.5278,0.4873,0.4916,17752631.0
2025-05-02 04:00:00,0.4914,0.4939,0.4803,0.4803,2464552.0
2025-05-02 08:00:00,0.4803,0.486,0.4794,0.4856,1415405.0
2025-05-02 12:00:00,0.4856,0.4944,0.4851,0.488,2294132.0
2025-05-02 16:00:00,0.4881,0.4934,0.4821,0.484,1292496.0
2025-05-02 20:00:00,0.4839,0.4888,0.4826,0.4879,1015521.0
2025-05-03 00:00:00,0.488,0.5105,0.4798,0.4972,9573083.0
2025-05-03 04:00:00,0.4971,0.5009,0.4842,0.4874,2346420.0
2025-05-03 08:00:00,0.4874,0.4889,0.4772,0.4778,2247955.0
2025-05-03 12:00:00,0.4778,0.4827,0.4751,0.478,1232546.0
2025-05-03 16:00:00,0.4781,0.4782,0.4569,0.4681,3083423.0
2025-05-03 20:00:00,0.4681,0.4714,0.4624,0.4631,1327915.0
2025-05-04 00:00:00,0.4631,0.4726,0.4494,0.4503,5238514.0
2025-05-04 04:00:00,0.4502,0.4531,0.4453,0.4474,1343522.0
2025-05-04 08:00:00,0.4475,0.4478,0.4338,0.4431,2459692.0
2025-05-04 12:00:00,0.4431,0.454,0.4395,0.4536,2307317.0
2025-05-04 16:00:00,0.4536,0.4619,0.4404,0.4427,3746998.0
2025-05-04 20:00:00,0.4428,0.4475,0.4376,0.4404,1252121.0
2025-05-05 00:00:00,0.4405,0.4576,0.4395,0.4544,5591599.0
2025-05-05 04:00:00,0.4544,0.4544,0.4453,0.4472,1381793.0
2025-05-05 08:00:00,0.4473,0.4506,0.4381,0.4425,1603948.0
2025-05-05 12:00:00,0.4426,0.4484,0.4395,0.4435,1673438.0
2025-05-05 16:00:00,0.4435,0.455,0.4433,0.4523,1474308.0
2025-05-05 20:00:00,0.4522,0.4538,0.4437,0.4492,1403249.0
