Time,Open,High,Low,Close,Volume
2024-12-03,0.7127,0.89857,0.6928,0.77336,1827824417.0
2024-12-04,0.77353,1.06868,0.75221,0.93596,2174122503.0
2024-12-05,0.93571,0.97066,0.84833,0.89396,1299134886.0
2024-12-06,0.89386,0.95205,0.86617,0.91686,640596082.0
2024-12-07,0.91668,0.93063,0.87765,0.92613,317019209.0
2024-12-08,0.92608,0.94963,0.89073,0.91657,368697574.0
2024-12-09,0.91652,0.91665,0.60888,0.73612,785331321.0
2024-12-10,0.73608,0.75871,0.62981,0.70064,710804305.0
2024-12-11,0.70061,0.81682,0.66074,0.79176,488574341.0
2024-12-12,0.79181,0.83392,0.76388,0.77503,437019363.0
2024-12-13,0.77503,0.7933,0.74676,0.78536,306546776.0
2024-12-14,0.78536,0.791,0.71442,0.73181,220245620.0
2024-12-15,0.73182,0.76654,0.70458,0.75228,270852523.0
2024-12-16,0.75234,0.76903,0.70208,0.71713,262262141.0
2024-12-17,0.71713,0.72434,0.67,0.68109,305968119.0
2024-12-18,0.6811,0.68561,0.59712,0.60883,443299609.0
2024-12-19,0.60883,0.62751,0.53174,0.54777,533204241.0
2024-12-20,0.54778,0.61821,0.47179,0.61235,651297236.0
2024-12-21,0.61233,0.64288,0.5525,0.56549,459072216.0
2024-12-22,0.56554,0.5815,0.54331,0.56241,315596340.0
2024-12-23,0.56246,0.6094,0.5426,0.59423,315787570.0
2024-12-24,0.59422,0.64743,0.57245,0.63964,289946712.0
2024-12-25,0.63965,0.65212,0.59255,0.59971,231591203.0
2024-12-26,0.59972,0.60831,0.54794,0.55512,218644531.0
2024-12-27,0.55515,0.58276,0.54414,0.55116,201943376.0
2024-12-28,0.55116,0.58491,0.5459,0.57877,136046400.0
2024-12-29,0.57869,0.58236,0.54323,0.5483,135113349.0
2024-12-30,0.54829,0.57129,0.524,0.54483,197216272.0
2024-12-31,0.54484,0.5748,0.52589,0.54573,203545547.0
2025-01-01,0.54574,0.57771,0.53261,0.57442,188366790.0
2025-01-02,0.57443,0.59944,0.57424,0.5865,173186458.0
2025-01-03,0.58652,0.65799,0.57651,0.64956,446780241.0
2025-01-04,0.64952,0.68084,0.63351,0.65187,289552225.0
2025-01-05,0.65188,0.65336,0.62619,0.64074,144569523.0
2025-01-06,0.64077,0.74181,0.6361,0.69856,867015108.0
2025-01-07,0.69855,0.705,0.61568,0.6164,559495384.0
2025-01-08,0.6164,0.63399,0.55434,0.58815,426981630.0
2025-01-09,0.58814,0.60743,0.56679,0.57964,374905801.0
2025-01-10,0.57964,0.60106,0.56777,0.59543,291754399.0
