Time,Open,High,Low,Close,Volume
2025-05-24 16:00:00,2.475,2.485,2.464,2.481,10954.5
2025-05-24 17:00:00,2.48,2.487,2.47,2.48,16639.6
2025-05-24 18:00:00,2.479,2.489,2.47,2.475,26673.5
2025-05-24 19:00:00,2.474,2.48,2.469,2.474,16606.6
2025-05-24 20:00:00,2.473,2.475,2.465,2.469,7796.5
2025-05-24 21:00:00,2.469,2.469,2.451,2.459,10187.7
2025-05-24 22:00:00,2.459,2.468,2.449,2.461,10408.3
2025-05-24 23:00:00,2.461,2.469,2.453,2.459,10971.0
2025-05-25 00:00:00,2.461,2.475,2.433,2.442,43425.1
2025-05-25 01:00:00,2.441,2.457,2.425,2.448,35321.3
2025-05-25 02:00:00,2.448,2.457,2.436,2.456,12665.2
2025-05-25 03:00:00,2.456,2.47,2.455,2.466,10371.6
2025-05-25 04:00:00,2.467,2.467,2.456,2.46,8690.1
2025-05-25 05:00:00,2.459,2.489,2.458,2.468,62618.7
2025-05-25 06:00:00,2.467,2.471,2.459,2.467,16169.3
2025-05-25 07:00:00,2.468,2.468,2.451,2.459,13458.5
2025-05-25 08:00:00,2.459,2.459,2.418,2.427,37073.5
2025-05-25 09:00:00,2.426,2.465,2.424,2.465,36652.6
2025-05-25 10:00:00,2.465,2.505,2.46,2.476,184516.0
2025-05-25 11:00:00,2.476,2.485,2.463,2.479,48160.2
2025-05-25 12:00:00,2.479,2.48,2.461,2.474,34627.1
2025-05-25 13:00:00,2.473,2.477,2.46,2.466,23665.9
2025-05-25 14:00:00,2.467,2.525,2.461,2.51,363976.8
2025-05-25 15:00:00,2.51,2.54,2.467,2.48,257574.8
2025-05-25 16:00:00,2.481,2.525,2.469,2.506,145116.4
2025-05-25 17:00:00,2.507,2.523,2.487,2.516,74404.8
2025-05-25 18:00:00,2.515,2.533,2.505,2.511,98560.1
2025-05-25 19:00:00,2.511,2.519,2.501,2.507,117652.4
2025-05-25 20:00:00,2.506,2.509,2.49,2.497,59780.4
2025-05-25 21:00:00,2.496,2.5,2.475,2.486,42652.7
2025-05-25 22:00:00,2.485,2.51,2.479,2.509,35938.9
2025-05-25 23:00:00,2.509,2.514,2.496,2.498,44378.9
2025-05-26 00:00:00,2.498,2.501,2.48,2.5,22854.4
2025-05-26 01:00:00,2.5,2.501,2.485,2.492,12669.3
2025-05-26 02:00:00,2.491,2.491,2.478,2.484,33076.8
2025-05-26 03:00:00,2.484,2.491,2.478,2.485,20550.2
2025-05-26 04:00:00,2.486,2.489,2.477,2.482,17595.2
2025-05-26 05:00:00,2.483,2.488,2.48,2.484,9342.4
2025-05-26 06:00:00,2.484,2.49,2.479,2.486,17079.2
2025-05-26 07:00:00,2.486,2.492,2.476,2.483,14769.3
2025-05-26 08:00:00,2.483,2.488,2.475,2.483,22243.3
2025-05-26 09:00:00,2.483,2.489,2.475,2.478,15882.0
2025-05-26 10:00:00,2.479,2.486,2.463,2.477,51181.7
2025-05-26 11:00:00,2.477,2.495,2.476,2.486,33224.7
2025-05-26 12:00:00,2.487,2.493,2.474,2.489,43371.6
2025-05-26 13:00:00,2.489,2.491,2.461,2.468,22829.4
2025-05-26 14:00:00,2.467,2.467,2.448,2.459,30381.6
2025-05-26 15:00:00,2.46,2.483,2.458,2.48,27198.7
2025-05-26 16:00:00,2.479,2.481,2.451,2.457,28370.6
2025-05-26 17:00:00,2.457,2.459,2.445,2.448,24465.3
2025-05-26 18:00:00,2.447,2.457,2.443,2.45,8718.1
2025-05-26 19:00:00,2.449,2.456,2.446,2.451,7942.1
2025-05-26 20:00:00,2.45,2.461,2.448,2.46,12650.4
2025-05-26 21:00:00,2.459,2.459,2.449,2.458,14228.1
2025-05-26 22:00:00,2.458,2.466,2.448,2.45,17483.2
2025-05-26 23:00:00,2.45,2.463,2.447,2.46,19077.7
2025-05-27 00:00:00,2.461,2.468,2.446,2.446,16646.4
2025-05-27 01:00:00,2.446,2.449,2.425,2.445,78918.0
2025-05-27 02:00:00,2.444,2.46,2.444,2.454,24369.0
2025-05-27 03:00:00,2.456,2.472,2.455,2.464,13182.6
2025-05-27 04:00:00,2.464,2.475,2.463,2.469,14225.6
2025-05-27 05:00:00,2.469,2.477,2.462,2.477,9730.6
2025-05-27 06:00:00,2.477,2.487,2.474,2.477,21242.9
2025-05-27 07:00:00,2.478,2.489,2.478,2.482,12947.0
2025-05-27 08:00:00,2.482,2.489,2.442,2.485,82846.5
2025-05-27 09:00:00,2.485,2.489,2.478,2.483,23045.0
2025-05-27 10:00:00,2.482,2.484,2.478,2.481,6266.4
2025-05-27 11:00:00,2.481,2.482,2.469,2.479,26010.4
2025-05-27 12:00:00,2.48,2.487,2.477,2.481,16404.1
2025-05-27 13:00:00,2.481,2.496,2.473,2.479,22708.3
2025-05-27 14:00:00,2.48,2.491,2.455,2.474,50173.5
2025-05-27 15:00:00,2.474,2.483,2.47,2.481,18877.0
2025-05-27 16:00:00,2.481,2.49,2.473,2.485,25487.0
2025-05-27 17:00:00,2.485,2.49,2.479,2.483,14744.4
2025-05-27 18:00:00,2.483,2.485,2.475,2.483,9538.3
2025-05-27 19:00:00,2.482,2.484,2.477,2.478,11377.9
2025-05-27 20:00:00,2.479,2.486,2.477,2.479,15355.7
2025-05-27 21:00:00,2.479,2.482,2.466,2.468,12887.9
2025-05-27 22:00:00,2.469,2.472,2.451,2.457,33588.5
2025-05-27 23:00:00,2.457,2.469,2.453,2.466,17472.9
2025-05-28 00:00:00,2.466,2.475,2.456,2.475,16693.0
2025-05-28 01:00:00,2.475,2.508,2.461,2.461,115663.6
2025-05-28 02:00:00,2.462,2.47,2.446,2.468,72457.8
