Time,Open,High,Low,Close,Volume
2025-05-24 16:00:00,0.0885,0.0892,0.0879,0.089,791508.0
2025-05-24 17:00:00,0.089,0.0897,0.089,0.0893,408207.0
2025-05-24 18:00:00,0.0892,0.0901,0.0892,0.0893,371210.0
2025-05-24 19:00:00,0.0892,0.0899,0.089,0.0896,241930.0
2025-05-24 20:00:00,0.0897,0.0901,0.0894,0.0898,201591.0
2025-05-24 21:00:00,0.0899,0.0899,0.0888,0.0896,159432.0
2025-05-24 22:00:00,0.0896,0.0896,0.0885,0.089,233427.0
2025-05-24 23:00:00,0.089,0.0894,0.0884,0.0887,355300.0
2025-05-25 00:00:00,0.0888,0.0895,0.0862,0.0867,1706052.0
2025-05-25 01:00:00,0.0868,0.0871,0.0858,0.0863,792604.0
2025-05-25 02:00:00,0.0863,0.0864,0.0852,0.0862,1313066.0
2025-05-25 03:00:00,0.0861,0.087,0.0861,0.0867,659384.0
2025-05-25 04:00:00,0.0867,0.087,0.0862,0.0869,254823.0
2025-05-25 05:00:00,0.0869,0.0872,0.0866,0.0871,302932.0
2025-05-25 06:00:00,0.0871,0.0871,0.0862,0.0865,268543.0
2025-05-25 07:00:00,0.0865,0.0866,0.0856,0.0861,400786.0
2025-05-25 08:00:00,0.086,0.086,0.0842,0.0847,2471841.0
2025-05-25 09:00:00,0.0847,0.0852,0.0841,0.0852,541007.0
2025-05-25 10:00:00,0.0852,0.0852,0.0844,0.0844,311814.0
2025-05-25 11:00:00,0.0844,0.0849,0.0842,0.0847,152599.0
2025-05-25 12:00:00,0.0846,0.0854,0.0843,0.0854,336646.0
2025-05-25 13:00:00,0.0853,0.0853,0.0843,0.0847,272100.0
2025-05-25 14:00:00,0.0846,0.085,0.0839,0.0842,234199.0
2025-05-25 15:00:00,0.0842,0.0845,0.0826,0.084,1336864.0
2025-05-25 16:00:00,0.0839,0.0841,0.0831,0.0836,323907.0
2025-05-25 17:00:00,0.0837,0.0842,0.0834,0.0838,520322.0
2025-05-25 18:00:00,0.0838,0.0847,0.0835,0.0842,129643.0
2025-05-25 19:00:00,0.0842,0.0852,0.0841,0.0849,140123.0
2025-05-25 20:00:00,0.0848,0.0851,0.0843,0.0847,206317.0
2025-05-25 21:00:00,0.0846,0.0851,0.0841,0.0844,220620.0
2025-05-25 22:00:00,0.0844,0.0868,0.0843,0.0867,1041076.0
2025-05-25 23:00:00,0.0867,0.0877,0.0865,0.0875,718272.0
2025-05-26 00:00:00,0.0875,0.0886,0.0871,0.0886,804618.0
2025-05-26 01:00:00,0.0886,0.0889,0.088,0.0883,660656.0
2025-05-26 02:00:00,0.0884,0.0886,0.0879,0.0882,245022.0
2025-05-26 03:00:00,0.0882,0.089,0.0877,0.0885,316476.0
2025-05-26 04:00:00,0.0885,0.0889,0.0883,0.0885,454886.0
2025-05-26 05:00:00,0.0885,0.0888,0.0883,0.0887,211926.0
2025-05-26 06:00:00,0.0888,0.089,0.0881,0.0887,655162.0
2025-05-26 07:00:00,0.0887,0.0896,0.0882,0.0892,348631.0
2025-05-26 08:00:00,0.0892,0.0893,0.0882,0.0882,465622.0
2025-05-26 09:00:00,0.0883,0.0888,0.0875,0.0879,1111588.0
2025-05-26 10:00:00,0.088,0.0881,0.0874,0.0878,450614.0
2025-05-26 11:00:00,0.0878,0.0886,0.0876,0.0885,383266.0
2025-05-26 12:00:00,0.0886,0.0888,0.0879,0.0887,396546.0
2025-05-26 13:00:00,0.0887,0.0891,0.0873,0.0874,513660.0
2025-05-26 14:00:00,0.0876,0.0879,0.0868,0.0872,534638.0
2025-05-26 15:00:00,0.0872,0.0888,0.0869,0.0881,653106.0
2025-05-26 16:00:00,0.088,0.0885,0.0863,0.0869,900707.0
2025-05-26 17:00:00,0.0869,0.0872,0.0856,0.0858,580154.0
2025-05-26 18:00:00,0.0858,0.0867,0.0856,0.0861,271901.0
2025-05-26 19:00:00,0.0861,0.0864,0.0859,0.0861,106923.0
2025-05-26 20:00:00,0.086,0.0869,0.0858,0.0869,283573.0
2025-05-26 21:00:00,0.0869,0.087,0.0864,0.0866,167012.0
2025-05-26 22:00:00,0.0866,0.0874,0.0859,0.086,162960.0
2025-05-26 23:00:00,0.086,0.0866,0.0859,0.0866,132900.0
2025-05-27 00:00:00,0.0865,0.0871,0.086,0.0861,202554.0
2025-05-27 01:00:00,0.086,0.086,0.0845,0.0855,447778.0
2025-05-27 02:00:00,0.0854,0.086,0.0853,0.0855,260001.0
2025-05-27 03:00:00,0.0855,0.0866,0.0855,0.0861,285340.0
2025-05-27 04:00:00,0.0861,0.0865,0.0858,0.086,256961.0
