Time,Open,High,Low,Close,Volume
2025-05-30 15:30:00,0.714,0.714,0.708,0.711,36563.1
2025-05-30 15:45:00,0.71,0.711,0.707,0.707,16452.6
2025-05-30 16:00:00,0.708,0.71,0.705,0.706,87286.2
2025-05-30 16:15:00,0.706,0.707,0.699,0.7,421377.3
2025-05-30 16:30:00,0.7,0.701,0.681,0.692,1531634.0
2025-05-30 16:45:00,0.691,0.692,0.686,0.686,245499.4
2025-05-30 17:00:00,0.686,0.693,0.686,0.688,194225.7
2025-05-30 17:15:00,0.688,0.692,0.685,0.685,113984.3
2025-05-30 17:30:00,0.685,0.689,0.684,0.686,138088.5
2025-05-30 17:45:00,0.687,0.689,0.684,0.689,101651.2
2025-05-30 18:00:00,0.689,0.691,0.684,0.687,126200.2
2025-05-30 18:15:00,0.688,0.694,0.688,0.694,73429.5
2025-05-30 18:30:00,0.694,0.694,0.691,0.692,52486.3
2025-05-30 18:45:00,0.692,0.694,0.691,0.694,69827.2
2025-05-30 19:00:00,0.694,0.695,0.691,0.693,93273.7
2025-05-30 19:15:00,0.693,0.696,0.692,0.695,43179.5
2025-05-30 19:30:00,0.694,0.695,0.691,0.694,63656.3
2025-05-30 19:45:00,0.694,0.696,0.692,0.693,38699.8
2025-05-30 20:00:00,0.692,0.693,0.688,0.69,36429.0
2025-05-30 20:15:00,0.69,0.693,0.689,0.69,44951.1
2025-05-30 20:30:00,0.689,0.693,0.688,0.693,29824.0
2025-05-30 20:45:00,0.693,0.694,0.688,0.688,28240.8
2025-05-30 21:00:00,0.688,0.69,0.687,0.689,51360.1
2025-05-30 21:15:00,0.689,0.693,0.689,0.69,30877.4
2025-05-30 21:30:00,0.691,0.692,0.685,0.685,59022.5
2025-05-30 21:45:00,0.685,0.686,0.682,0.683,25526.1
2025-05-30 22:00:00,0.683,0.685,0.683,0.684,21591.9
2025-05-30 22:15:00,0.685,0.685,0.676,0.676,187226.5
2025-05-30 22:30:00,0.676,0.676,0.664,0.664,704100.6
2025-05-30 22:45:00,0.665,0.674,0.662,0.664,256492.6
2025-05-30 23:00:00,0.664,0.669,0.661,0.663,231071.2
2025-05-30 23:15:00,0.663,0.666,0.653,0.659,302909.8
2025-05-30 23:30:00,0.659,0.663,0.657,0.658,191117.8
2025-05-30 23:45:00,0.658,0.662,0.657,0.659,105504.8
2025-05-31 00:00:00,0.659,0.661,0.647,0.65,535227.0
2025-05-31 00:15:00,0.651,0.654,0.641,0.647,383897.3
2025-05-31 00:30:00,0.646,0.655,0.646,0.651,139791.9
2025-05-31 00:45:00,0.652,0.654,0.641,0.642,119019.6
2025-05-31 01:00:00,0.642,0.647,0.639,0.645,231025.9
2025-05-31 01:15:00,0.645,0.648,0.637,0.64,102252.8
2025-05-31 01:30:00,0.64,0.644,0.632,0.644,415464.7
2025-05-31 01:45:00,0.643,0.644,0.639,0.643,125107.4
2025-05-31 02:00:00,0.644,0.656,0.64,0.654,398533.3
2025-05-31 02:15:00,0.654,0.656,0.65,0.65,130521.9
2025-05-31 02:30:00,0.651,0.652,0.648,0.649,316909.5
2025-05-31 02:45:00,0.65,0.651,0.646,0.648,68649.9
2025-05-31 03:00:00,0.648,0.649,0.644,0.646,80049.0
2025-05-31 03:15:00,0.646,0.65,0.644,0.65,88265.9
2025-05-31 03:30:00,0.65,0.652,0.646,0.651,74771.6
2025-05-31 03:45:00,0.652,0.655,0.651,0.652,96331.1
2025-05-31 04:00:00,0.652,0.652,0.647,0.649,94068.8
2025-05-31 04:15:00,0.648,0.656,0.646,0.654,70420.9
2025-05-31 04:30:00,0.654,0.663,0.653,0.659,283089.5
2025-05-31 04:45:00,0.658,0.663,0.658,0.662,91513.8
2025-05-31 05:00:00,0.663,0.664,0.66,0.662,121500.9
2025-05-31 05:15:00,0.661,0.662,0.658,0.66,111007.5
2025-05-31 05:30:00,0.66,0.665,0.658,0.665,91647.9
2025-05-31 05:45:00,0.664,0.665,0.66,0.66,51349.4
2025-05-31 06:00:00,0.66,0.664,0.659,0.662,98157.0
2025-05-31 06:15:00,0.663,0.672,0.663,0.669,403276.6
2025-05-31 06:30:00,0.669,0.67,0.666,0.669,97628.4
2025-05-31 06:45:00,0.668,0.669,0.666,0.668,30198.8
2025-05-31 07:00:00,0.667,0.668,0.666,0.667,117185.9
2025-05-31 07:15:00,0.667,0.67,0.666,0.669,197618.6
2025-05-31 07:30:00,0.67,0.671,0.668,0.67,48256.4
2025-05-31 07:45:00,0.669,0.672,0.667,0.669,93615.7
2025-05-31 08:00:00,0.669,0.67,0.666,0.666,157086.1
2025-05-31 08:15:00,0.666,0.67,0.665,0.667,135879.6
2025-05-31 08:30:00,0.666,0.668,0.662,0.663,97975.0
2025-05-31 08:45:00,0.663,0.668,0.663,0.666,58845.7
2025-05-31 09:00:00,0.666,0.669,0.665,0.666,98693.9
2025-05-31 09:15:00,0.665,0.666,0.661,0.664,161019.8
2025-05-31 09:30:00,0.663,0.665,0.662,0.664,94319.7
2025-05-31 09:45:00,0.664,0.666,0.662,0.663,96058.7
2025-05-31 10:00:00,0.663,0.669,0.662,0.668,150270.4
2025-05-31 10:15:00,0.668,0.67,0.663,0.663,107647.0
2025-05-31 10:30:00,0.663,0.665,0.661,0.661,117033.5
2025-05-31 10:45:00,0.662,0.665,0.66,0.665,63632.1
2025-05-31 11:00:00,0.665,0.665,0.661,0.663,78639.7
2025-05-31 11:15:00,0.663,0.664,0.661,0.661,48535.7
2025-05-31 11:30:00,0.662,0.663,0.66,0.662,48884.4
2025-05-31 11:45:00,0.662,0.664,0.661,0.662,56349.6
2025-05-31 12:00:00,0.662,0.669,0.66,0.669,236921.9
2025-05-31 12:15:00,0.669,0.669,0.664,0.664,87908.7
2025-05-31 12:30:00,0.664,0.668,0.663,0.666,50382.7
2025-05-31 12:45:00,0.666,0.673,0.666,0.673,141986.2
2025-05-31 13:00:00,0.674,0.678,0.672,0.674,174305.3
2025-05-31 13:15:00,0.674,0.675,0.669,0.672,86381.6
2025-05-31 13:30:00,0.672,0.674,0.671,0.671,54551.1
2025-05-31 13:45:00,0.671,0.672,0.668,0.669,33766.6
2025-05-31 14:00:00,0.669,0.676,0.669,0.674,165486.1
2025-05-31 14:15:00,0.675,0.676,0.671,0.673,91927.6
2025-05-31 14:30:00,0.673,0.674,0.671,0.673,37411.1
2025-05-31 14:45:00,0.673,0.674,0.671,0.673,48600.9
2025-05-31 15:00:00,0.672,0.673,0.67,0.67,68225.4
2025-05-31 15:15:00,0.67,0.671,0.67,0.671,6614.8
