Time,Open,High,Low,Close,Volume
2025-05-30 15:30:00,162.06,162.2,160.94,161.27,204278.32
2025-05-30 15:45:00,161.26,161.66,161.0,161.13,145208.29
2025-05-30 16:00:00,161.14,161.68,160.59,161.09,241282.08
2025-05-30 16:15:00,161.08,161.18,158.92,159.16,697000.76
2025-05-30 16:30:00,159.15,159.16,156.04,157.8,1824829.92
2025-05-30 16:45:00,157.8,158.02,156.85,157.77,444896.51
2025-05-30 17:00:00,157.78,158.83,157.59,158.42,337528.85
2025-05-30 17:15:00,158.41,159.1,158.33,158.67,197500.04
2025-05-30 17:30:00,158.67,158.97,158.3,158.4,182058.36
2025-05-30 17:45:00,158.41,158.6,157.77,158.5,215932.5
2025-05-30 18:00:00,158.5,159.61,158.23,159.5,345208.25
2025-05-30 18:15:00,159.49,160.7,159.45,160.56,329004.06
2025-05-30 18:30:00,160.56,160.64,160.01,160.24,150950.35
2025-05-30 18:45:00,160.24,160.46,159.99,160.33,127491.3
2025-05-30 19:00:00,160.33,160.66,159.94,160.29,124761.55
2025-05-30 19:15:00,160.28,160.85,160.26,160.47,87329.08
2025-05-30 19:30:00,160.47,160.74,160.3,160.71,122354.4
2025-05-30 19:45:00,160.7,161.46,160.4,160.73,259583.08
2025-05-30 20:00:00,160.72,160.82,159.78,160.09,210314.11
2025-05-30 20:15:00,160.09,160.55,159.79,159.83,119646.17
2025-05-30 20:30:00,159.84,160.48,159.81,160.46,75188.61
2025-05-30 20:45:00,160.46,160.68,159.76,159.81,73039.69
2025-05-30 21:00:00,159.82,160.68,159.78,160.56,126327.46
2025-05-30 21:15:00,160.57,160.92,160.39,160.55,86545.43
2025-05-30 21:30:00,160.56,160.87,159.88,159.93,88925.41
2025-05-30 21:45:00,159.93,160.25,159.75,159.87,85575.36
2025-05-30 22:00:00,159.88,160.18,159.3,159.66,259260.38
2025-05-30 22:15:00,159.65,159.69,158.72,158.8,198748.01
2025-05-30 22:30:00,158.79,159.1,157.8,157.88,274149.67
2025-05-30 22:45:00,157.88,158.76,156.62,156.68,323349.02
2025-05-30 23:00:00,156.68,157.41,156.12,156.64,379908.79
2025-05-30 23:15:00,156.64,157.16,155.01,156.05,738357.94
2025-05-30 23:30:00,156.06,156.82,155.75,156.45,277771.69
2025-05-30 23:45:00,156.46,156.95,155.78,156.12,263046.36
2025-05-31 00:00:00,156.11,156.76,155.54,156.04,394005.82
2025-05-31 00:15:00,156.04,156.35,154.23,155.29,704624.64
