Time,Open,High,Low,Close,Volume
2024-12-03,0.024284,0.04097,0.024003,0.039796,6322219456.0
2024-12-04,0.039796,0.042949,0.031032,0.03172,7002028392.0
2024-12-05,0.03172,0.032078,0.028354,0.029895,2695471048.0
2024-12-06,0.029889,0.032594,0.029623,0.030855,1637026212.0
2024-12-07,0.030853,0.031854,0.030602,0.030635,758095960.0
2024-12-08,0.030638,0.031435,0.029911,0.031206,517871052.0
2024-12-09,0.031212,0.031307,0.020051,0.02433,2373340284.0
2024-12-10,0.024329,0.025206,0.022166,0.023892,1828638804.0
2024-12-11,0.023884,0.025685,0.023016,0.025463,716217517.0
2024-12-12,0.025456,0.027294,0.025231,0.026123,906592384.0
2024-12-13,0.026125,0.026524,0.025009,0.02555,645487755.0
2024-12-14,0.025552,0.026037,0.024041,0.024591,414319314.0
2024-12-15,0.024595,0.025141,0.02375,0.025055,371226781.0
2024-12-16,0.025055,0.026113,0.023859,0.025085,1030573564.0
2024-12-17,0.025085,0.025133,0.023268,0.023515,557389755.0
2024-12-18,0.023514,0.023748,0.021487,0.021948,651706175.0
2024-12-19,0.021945,0.022738,0.020354,0.021157,1472726122.0
2024-12-20,0.021153,0.021775,0.018777,0.021444,980351030.0
2024-12-21,0.021444,0.022266,0.020323,0.020649,507514730.0
2024-12-22,0.020655,0.021215,0.020148,0.020664,453945653.0
2024-12-23,0.020665,0.022065,0.020212,0.02189,571277795.0
2024-12-24,0.021886,0.022574,0.021412,0.022354,318548437.0
2024-12-25,0.022352,0.02275,0.022178,0.022484,297561010.0
2024-12-26,0.022484,0.023123,0.021803,0.023038,1121394132.0
2024-12-27,0.023037,0.025391,0.022715,0.024505,2575081944.0
2024-12-28,0.024503,0.025004,0.023667,0.024559,597361841.0
2024-12-29,0.024556,0.025778,0.024309,0.024781,756933339.0
2024-12-30,0.024779,0.025139,0.023885,0.02442,617898904.0
2024-12-31,0.024424,0.024992,0.024116,0.024262,662060465.0
2025-01-01,0.024261,0.02484,0.024059,0.024795,588486991.0
2025-01-02,0.024795,0.0281,0.024607,0.026283,1362681112.0
2025-01-03,0.026282,0.026367,0.025163,0.026091,624095690.0
2025-01-04,0.026092,0.026589,0.025736,0.026245,377160799.0
2025-01-05,0.026243,0.026249,0.025382,0.025766,189538446.0
2025-01-06,0.025766,0.026777,0.025416,0.026686,386691676.0
2025-01-07,0.026685,0.027192,0.024879,0.024923,774805958.0
2025-01-08,0.024921,0.025233,0.023669,0.024636,828699359.0
2025-01-09,0.024633,0.024807,0.022841,0.023244,348662074.0
2025-01-10,0.023246,0.023784,0.022488,0.023704,354371081.0
2025-01-11,0.023705,0.023715,0.023082,0.0232,224156221.0
2025-01-12,0.023201,0.023255,0.022337,0.022547,137981974.0
2025-01-13,0.022548,0.023008,0.020754,0.021382,383594054.0
2025-01-14,0.021387,0.022238,0.021262,0.021935,190000633.0
2025-01-15,0.021933,0.023607,0.021819,0.023464,258641845.0
2025-01-16,0.023463,0.023531,0.022716,0.023066,312115467.0
2025-01-17,0.023066,0.024306,0.023044,0.024173,309179107.0
2025-01-18,0.024172,0.024989,0.02252,0.022796,396087198.0
2025-01-19,0.022802,0.02325,0.020981,0.021206,429527648.0
2025-01-20,0.021208,0.022607,0.020659,0.021256,1183700081.0
2025-01-21,0.021256,0.022325,0.020808,0.021901,394547907.0
2025-01-22,0.021901,0.02293,0.021859,0.022337,245710557.0
2025-01-23,0.022337,0.022365,0.021343,0.02211,886968430.0
2025-01-24,0.022122,0.022725,0.021761,0.021953,189486839.0
2025-01-25,0.021956,0.022166,0.021736,0.021833,103986380.0
2025-01-26,0.021833,0.022027,0.021169,0.021194,113186946.0
2025-01-27,0.021192,0.02132,0.019635,0.020646,357782039.0
2025-01-28,0.020648,0.020784,0.019473,0.019776,182094080.0
2025-01-29,0.019777,0.020151,0.019432,0.019738,191959413.0
2025-01-30,0.019738,0.020881,0.019626,0.020722,124874007.0
2025-01-31,0.020721,0.021269,0.020541,0.020918,126162184.0
2025-02-01,0.020918,0.021178,0.019866,0.019964,146202666.0
2025-02-02,0.019961,0.020257,0.017825,0.018319,358712668.0
2025-02-03,0.01832,0.018967,0.015834,0.018892,722094353.0
2025-02-04,0.018894,0.019053,0.017587,0.01807,526367987.0
2025-02-05,0.018076,0.018347,0.017633,0.017837,224479490.0
2025-02-06,0.017837,0.018817,0.017758,0.018625,789407893.0
2025-02-07,0.018625,0.019048,0.018165,0.018414,880432120.0
2025-02-08,0.018413,0.018783,0.018183,0.018639,395036117.0
2025-02-09,0.01864,0.019306,0.018519,0.018966,348188603.0
2025-02-10,0.018966,0.020045,0.018422,0.019868,347833852.0
2025-02-11,0.01987,0.020423,0.019347,0.01935,241285717.0
2025-02-12,0.01935,0.019819,0.019024,0.019773,255507106.0
2025-02-13,0.019771,0.019824,0.018905,0.019069,176424203.0
2025-02-14,0.01907,0.019275,0.018572,0.018923,252589028.0
2025-02-15,0.018921,0.019307,0.018695,0.018964,241922704.0
2025-02-16,0.018964,0.01954,0.018717,0.01928,227118864.0
2025-02-17,0.019284,0.019385,0.018755,0.0188,169941559.0
2025-02-18,0.018801,0.018878,0.018065,0.018468,197981785.0
2025-02-19,0.018465,0.018876,0.018432,0.018775,136684477.0
2025-02-20,0.018775,0.019241,0.018424,0.01911,156723442.0
2025-02-21,0.019112,0.019395,0.018172,0.018452,197988198.0
2025-02-22,0.018452,0.018806,0.01834,0.018613,111553971.0
2025-02-23,0.018614,0.019163,0.018613,0.019034,284215783.0
2025-02-24,0.019034,0.019179,0.018115,0.01819,364330511.0
2025-02-25,0.01819,0.018389,0.016856,0.01744,394640446.0
2025-02-26,0.017441,0.017587,0.016769,0.017165,352840809.0
2025-02-27,0.017166,0.017441,0.016962,0.017316,215744650.0
2025-02-28,0.017315,0.017355,0.01622,0.017288,301099590.0
2025-03-01,0.01729,0.017573,0.016965,0.017398,175496188.0
2025-03-02,0.0174,0.018224,0.017038,0.018093,291072781.0
2025-03-03,0.018089,0.01812,0.016559,0.016742,290153913.0
2025-03-04,0.016745,0.017765,0.016361,0.017336,424118907.0
2025-03-05,0.017336,0.017798,0.017279,0.017648,181508155.0
2025-03-06,0.017647,0.017893,0.017255,0.017368,136544156.0
2025-03-07,0.017375,0.017851,0.016972,0.017397,192751457.0
2025-03-08,0.017394,0.017826,0.017359,0.017423,157131853.0
2025-03-09,0.017421,0.017444,0.016396,0.016452,145486719.0
2025-03-10,0.016454,0.016994,0.016077,0.016092,211037080.0
2025-03-11,0.016095,0.01629,0.015678,0.015952,244400837.0
2025-03-12,0.015953,0.016129,0.015675,0.015985,152840424.0
2025-03-13,0.015991,0.01625,0.015855,0.016111,142377534.0
2025-03-14,0.016113,0.016273,0.01592,0.016092,155096216.0
2025-03-15,0.016085,0.01627,0.016037,0.016151,119479832.0
2025-03-16,0.016153,0.016203,0.015341,0.015408,220930904.0
2025-03-17,0.01541,0.01667,0.015361,0.016186,406416532.0
2025-03-18,0.016187,0.018544,0.016081,0.018127,2060063646.0
2025-03-19,0.018127,0.01949,0.016156,0.016673,3374434424.0
2025-03-20,0.016672,0.017166,0.016425,0.016847,832090142.0
2025-03-21,0.016847,0.016893,0.016427,0.016648,296964861.0
2025-03-22,0.016648,0.016807,0.016448,0.01659,186068297.0
2025-03-23,0.01659,0.016995,0.01621,0.016317,313644084.0
2025-03-24,0.016317,0.016568,0.015943,0.016354,278097824.0
2025-03-25,0.016354,0.016484,0.015869,0.016344,236559850.0
2025-03-26,0.016344,0.016646,0.016275,0.016541,214281033.0
2025-03-27,0.016541,0.016857,0.016386,0.016729,212792454.0
2025-03-28,0.01673,0.01673,0.016202,0.016444,226398937.0
2025-03-29,0.016445,0.016599,0.01608,0.016225,300831234.0
2025-03-30,0.016227,0.016342,0.016011,0.01626,165230282.0
2025-03-31,0.016263,0.016703,0.01604,0.01659,262416553.0
2025-04-01,0.01659,0.016614,0.0163,0.016547,194482229.0
2025-04-02,0.016548,0.016758,0.016062,0.016244,321285716.0
2025-04-03,0.016245,0.016545,0.015897,0.016466,152406070.0
2025-04-04,0.01647,0.016683,0.016352,0.016519,164970606.0
2025-04-05,0.016519,0.016538,0.016232,0.016392,126248158.0
2025-04-06,0.016392,0.016528,0.015536,0.015742,185739744.0
2025-04-07,0.01574,0.015936,0.014795,0.015475,309359297.0
2025-04-08,0.015473,0.015949,0.015332,0.015479,157896226.0
2025-04-09,0.015479,0.016108,0.015082,0.016046,207381061.0
2025-04-10,0.016047,0.016383,0.015742,0.01601,175948251.0
2025-04-11,0.016013,0.016473,0.015865,0.016396,127937426.0
2025-04-12,0.016397,0.016823,0.016249,0.016569,98317347.0
2025-04-13,0.01657,0.017,0.016477,0.016962,138189812.0
2025-04-14,0.016967,0.017277,0.016837,0.016949,155040385.0
2025-04-15,0.01695,0.017045,0.016612,0.016836,97487563.0
2025-04-16,0.016835,0.017238,0.01669,0.016733,136090379.0
2025-04-17,0.016733,0.016965,0.01652,0.016824,105840064.0
2025-04-18,0.016822,0.016839,0.016307,0.016384,92956022.0
2025-04-19,0.016384,0.016765,0.016325,0.016759,85367505.0
2025-04-20,0.01676,0.017013,0.016617,0.016806,102479615.0
2025-04-21,0.016809,0.017268,0.016785,0.017202,177094040.0
2025-04-22,0.017204,0.017318,0.017001,0.017272,137417655.0
2025-04-23,0.017272,0.017512,0.017101,0.017335,163601321.0
2025-04-24,0.017336,0.01738,0.01695,0.017272,108109348.0
2025-04-25,0.017273,0.017311,0.017064,0.017084,124086428.0
2025-04-26,0.017085,0.018019,0.017085,0.017824,280353498.0
2025-04-27,0.017828,0.018423,0.017021,0.017706,387205813.0
2025-04-28,0.017707,0.018032,0.017424,0.017966,171922599.0
2025-04-29,0.017967,0.018,0.01747,0.017557,98079612.0
2025-04-30,0.017558,0.017847,0.017418,0.017835,87652925.0
2025-05-01,0.017834,0.01791,0.017589,0.017637,105536181.0
2025-05-02,0.017638,0.01799,0.017511,0.017976,95808261.0
2025-05-03,0.017977,0.0182,0.017707,0.017826,143667942.0
2025-05-04,0.017825,0.018104,0.017704,0.01796,189410724.0
2025-05-05,0.017959,0.018224,0.017848,0.017961,110512904.0
2025-05-06,0.017961,0.017965,0.017285,0.01755,202938748.0
2025-05-07,0.01755,0.017905,0.017331,0.017829,127672055.0
2025-05-08,0.01783,0.018743,0.017797,0.018717,171595951.0
2025-05-09,0.018721,0.019406,0.01843,0.019071,287168939.0
2025-05-10,0.019071,0.019573,0.018833,0.019537,197782297.0
2025-05-11,0.019532,0.01961,0.018898,0.0193,154167678.0
2025-05-12,0.0193,0.020264,0.019251,0.019951,298690355.0
2025-05-13,0.019952,0.019976,0.018963,0.019673,224752969.0
2025-05-14,0.019674,0.020259,0.019484,0.01984,281265167.0
2025-05-15,0.019841,0.020012,0.0191,0.019643,316873777.0
2025-05-16,0.019643,0.019973,0.019396,0.019419,187090503.0
2025-05-17,0.019421,0.019466,0.018874,0.019166,187198113.0
2025-05-18,0.01917,0.019626,0.018713,0.019285,169477920.0
2025-05-19,0.019284,0.019289,0.018498,0.018915,168721110.0
2025-05-20,0.018918,0.019373,0.018813,0.019058,188908260.0
2025-05-21,0.019057,0.019403,0.018813,0.018976,165350820.0
2025-05-22,0.018974,0.019992,0.018919,0.019822,191612127.0
2025-05-23,0.019823,0.020003,0.018826,0.019225,251980042.0
2025-05-24,0.019224,0.019651,0.01914,0.019318,147597255.0
2025-05-25,0.01932,0.019629,0.01902,0.01934,160927004.0
2025-05-26,0.019341,0.019588,0.019244,0.019438,99183115.0
2025-05-27,0.01944,0.019879,0.019203,0.019704,136643890.0
2025-05-28,0.019706,0.019749,0.019328,0.019435,93769032.0
2025-05-29,0.019437,0.019799,0.019372,0.019423,98581330.0
2025-05-30,0.019425,0.019584,0.018675,0.018709,200567624.0
2025-05-31,0.018707,0.018806,0.018342,0.018669,122180565.0
2025-06-01,0.018648,0.01874,0.018606,0.01873,5452459.0
