Time,Open,High,Low,Close,Volume
2024-12-03,606.94,629.7,568.26,619.88,466788.007
2024-12-04,619.89,726.81,617.62,655.9,557005.684
2024-12-05,655.9,725.0,625.0,681.17,583373.026
2024-12-06,681.14,750.0,672.5,707.1,456269.536
2024-12-07,707.1,719.76,686.36,698.7,190286.26
2024-12-08,698.88,716.79,676.09,713.2,211740.826
2024-12-09,713.25,714.28,496.67,597.76,639831.085
2024-12-10,597.76,612.92,528.97,574.27,489146.174
2024-12-11,574.32,619.8,550.66,601.04,243182.057
2024-12-12,601.05,644.91,572.01,577.2,301556.061
2024-12-13,577.07,589.52,562.25,578.4,200868.368
2024-12-14,578.44,588.0,537.98,560.48,180295.746
2024-12-15,560.48,577.13,540.1,574.58,132046.857
2024-12-16,574.58,586.11,534.88,541.3,195078.66
2024-12-17,541.29,545.29,509.01,519.51,258087.693
2024-12-18,519.48,537.76,480.0,499.41,350558.434
2024-12-19,499.46,505.83,430.0,447.1,507353.135
2024-12-20,447.1,480.46,399.0,472.72,483223.054
2024-12-21,472.72,507.21,449.52,455.69,244562.5
2024-12-22,455.69,475.81,439.37,450.13,186762.664
2024-12-23,450.13,505.95,439.79,485.03,240777.249
2024-12-24,485.02,507.41,475.62,503.91,192724.03
2024-12-25,503.9,521.4,490.24,499.43,219305.621
2024-12-26,499.42,505.35,464.09,472.13,178114.65
2024-12-27,472.13,495.84,463.08,468.82,163148.513
2024-12-28,468.82,476.77,459.12,472.53,94649.758
2024-12-29,472.53,474.09,453.32,459.0,127286.316
2024-12-30,459.03,476.53,442.34,451.64,181991.989
2024-12-31,451.65,458.13,436.41,440.97,136453.708
2025-01-01,440.98,490.79,434.43,489.24,141339.45
2025-01-02,489.24,546.49,486.28,522.28,482620.941
2025-01-03,522.29,572.5,517.66,552.78,341940.56
2025-01-04,552.79,587.06,545.49,560.35,222271.475
2025-01-05,560.36,572.96,547.83,562.81,133426.43
2025-01-06,562.81,588.88,541.46,555.62,259370.397
2025-01-07,555.61,558.96,497.2,498.52,287288.69
2025-01-08,498.51,502.17,437.6,466.8,355501.079
2025-01-09,466.79,475.33,427.53,432.3,265271.942
2025-01-10,432.33,455.65,419.52,438.6,297461.118
2025-01-11,438.59,458.7,428.02,445.64,126910.713
2025-01-12,445.64,452.59,434.49,443.58,155101.802
2025-01-13,443.58,456.55,382.0,420.41,420400.726
2025-01-14,420.42,433.44,410.26,416.85,206430.679
2025-01-15,416.87,470.87,402.46,458.28,299798.559
2025-01-16,458.26,469.73,438.11,445.39,273249.468
2025-01-17,445.41,493.12,445.31,485.03,255103.821
2025-01-18,485.03,494.86,440.01,457.55,298772.872
2025-01-19,457.57,487.94,409.26,426.93,560620.362
