Time,Open,High,Low,Close,Volume
2025-05-24 16:00:00,6.214,6.247,6.165,6.227,551189.0
2025-05-24 17:00:00,6.227,6.311,6.209,6.21,1459711.0
2025-05-24 18:00:00,6.209,6.247,6.168,6.18,820370.0
2025-05-24 19:00:00,6.179,6.203,6.164,6.189,365865.0
2025-05-24 20:00:00,6.189,6.215,6.166,6.187,315515.0
2025-05-24 21:00:00,6.187,6.19,6.118,6.169,453562.0
2025-05-24 22:00:00,6.169,6.175,6.106,6.117,433548.0
2025-05-24 23:00:00,6.117,6.143,6.087,6.114,616038.0
2025-05-25 00:00:00,6.114,6.168,6.007,6.032,1534020.0
2025-05-25 01:00:00,6.032,6.054,5.983,6.012,1144696.0
2025-05-25 02:00:00,6.013,6.059,5.961,6.053,717771.0
2025-05-25 03:00:00,6.052,6.115,6.05,6.085,534515.0
2025-05-25 04:00:00,6.084,6.085,6.033,6.081,470349.0
2025-05-25 05:00:00,6.08,6.088,6.043,6.079,343634.0
2025-05-25 06:00:00,6.079,6.08,6.02,6.037,313007.0
2025-05-25 07:00:00,6.037,6.037,5.967,6.006,631476.0
2025-05-25 08:00:00,6.006,6.006,5.887,5.922,1319347.0
2025-05-25 09:00:00,5.923,5.968,5.892,5.963,1129566.0
2025-05-25 10:00:00,5.963,6.003,5.953,5.963,986446.0
2025-05-25 11:00:00,5.963,5.992,5.941,5.988,441739.0
2025-05-25 12:00:00,5.988,6.049,5.966,6.04,723864.0
2025-05-25 13:00:00,6.04,6.085,6.017,6.061,593970.0
2025-05-25 14:00:00,6.061,6.082,6.01,6.022,1539051.0
2025-05-25 15:00:00,6.022,6.036,5.919,6.027,1360111.0
2025-05-25 16:00:00,6.027,6.044,5.956,6.039,796587.0
2025-05-25 17:00:00,6.039,6.055,5.991,6.025,528586.0
2025-05-25 18:00:00,6.024,6.065,6.015,6.019,502810.0
2025-05-25 19:00:00,6.019,6.093,6.014,6.06,494488.0
2025-05-25 20:00:00,6.06,6.067,6.011,6.027,542808.0
2025-05-25 21:00:00,6.027,6.065,5.988,6.006,435529.0
2025-05-25 22:00:00,6.006,6.17,5.998,6.16,948867.0
2025-05-25 23:00:00,6.161,6.176,6.101,6.156,732163.0
2025-05-26 00:00:00,6.157,6.223,6.109,6.219,892246.0
2025-05-26 01:00:00,6.22,6.234,6.168,6.193,922368.0
2025-05-26 02:00:00,6.193,6.199,6.145,6.163,621553.0
2025-05-26 03:00:00,6.162,6.195,6.141,6.159,688497.0
2025-05-26 04:00:00,6.158,6.309,6.144,6.256,2674540.0
2025-05-26 05:00:00,6.256,6.344,6.218,6.333,1694238.0
2025-05-26 06:00:00,6.333,6.516,6.315,6.505,3520809.0
2025-05-26 07:00:00,6.504,6.604,6.494,6.52,2904876.0
2025-05-26 08:00:00,6.52,6.66,6.5,6.593,3106552.0
2025-05-26 09:00:00,6.594,6.626,6.528,6.576,1306112.0
2025-05-26 10:00:00,6.575,6.604,6.533,6.575,867636.0
2025-05-26 11:00:00,6.575,6.623,6.549,6.596,992789.0
2025-05-26 12:00:00,6.595,6.654,6.567,6.622,1782835.0
2025-05-26 13:00:00,6.622,6.642,6.482,6.517,2272334.0
2025-05-26 14:00:00,6.516,6.537,6.4,6.424,1953175.0
2025-05-26 15:00:00,6.425,6.535,6.399,6.533,1487497.0
2025-05-26 16:00:00,6.533,6.571,6.423,6.465,1495683.0
2025-05-26 17:00:00,6.466,6.51,6.378,6.392,1151170.0
2025-05-26 18:00:00,6.393,6.473,6.368,6.393,985846.0
2025-05-26 19:00:00,6.393,6.426,6.375,6.398,406579.0
2025-05-26 20:00:00,6.398,6.455,6.374,6.451,613126.0
2025-05-26 21:00:00,6.45,6.513,6.438,6.467,615070.0
2025-05-26 22:00:00,6.467,6.534,6.437,6.442,812010.0
2025-05-26 23:00:00,6.443,6.505,6.424,6.498,588665.0
2025-05-27 00:00:00,6.498,6.523,6.383,6.4,1343375.0
2025-05-27 01:00:00,6.4,6.402,6.259,6.353,1817360.0
2025-05-27 02:00:00,6.352,6.422,6.345,6.36,987835.0
2025-05-27 03:00:00,6.359,6.502,6.359,6.459,1166400.0
2025-05-27 04:00:00,6.459,6.592,6.432,6.527,1536286.0
2025-05-27 05:00:00,6.528,6.65,6.514,6.606,1741387.0
2025-05-27 06:00:00,6.607,6.738,6.513,6.534,3324007.0
2025-05-27 07:00:00,6.534,6.66,6.53,6.656,1393236.0
2025-05-27 08:00:00,6.657,6.768,6.654,6.709,2417698.0
2025-05-27 09:00:00,6.708,6.711,6.622,6.684,1248226.0
2025-05-27 10:00:00,6.684,6.708,6.642,6.685,1108408.0
2025-05-27 11:00:00,6.685,6.697,6.613,6.674,1055546.0
2025-05-27 12:00:00,6.673,6.716,6.621,6.716,1770044.0
2025-05-27 13:00:00,6.716,6.782,6.496,6.543,6423582.0
2025-05-27 14:00:00,6.542,6.582,6.443,6.496,2870902.0
2025-05-27 15:00:00,6.496,6.527,6.469,6.509,1314288.0
2025-05-27 16:00:00,6.509,6.577,6.482,6.54,1810100.0
2025-05-27 17:00:00,6.54,6.651,6.537,6.599,1279458.0
2025-05-27 18:00:00,6.6,6.606,6.534,6.54,604153.0
2025-05-27 19:00:00,6.54,6.541,6.499,6.533,827226.0
2025-05-27 20:00:00,6.533,6.539,6.461,6.477,933530.0
2025-05-27 21:00:00,6.477,6.505,6.44,6.449,763999.0
2025-05-27 22:00:00,6.45,6.473,6.29,6.33,5046205.0
2025-05-27 23:00:00,6.331,6.363,6.301,6.321,1505423.0
2025-05-28 00:00:00,6.32,6.405,6.234,6.372,4242510.0
2025-05-28 01:00:00,6.373,6.375,6.286,6.308,1091301.0
2025-05-28 02:00:00,6.308,6.317,6.271,6.29,873953.0
2025-05-28 03:00:00,6.29,6.414,6.279,6.384,2443777.0
2025-05-28 04:00:00,6.383,6.71,6.357,6.637,5386937.0
2025-05-28 05:00:00,6.638,6.707,6.585,6.658,2933797.0
2025-05-28 06:00:00,6.658,6.676,6.595,6.627,1635238.0
2025-05-28 07:00:00,6.627,6.829,6.596,6.696,4546616.0
