Time,Open,High,Low,Close,Volume
2024-12-18,0.7784,1.18,0.7784,0.9481,1083162011.0
2024-12-19,0.9481,1.4816,0.9391,1.4396,1714077477.0
2024-12-20,1.4398,1.65,1.1011,1.366,1985683230.0
2024-12-21,1.366,1.4478,0.9464,1.0699,902306233.0
2024-12-22,1.0696,1.2138,0.9814,1.0965,859221952.0
2024-12-23,1.0965,1.3295,0.9935,1.2823,939789597.0
2024-12-24,1.2823,1.4325,1.2496,1.2972,745768381.0
2024-12-25,1.2971,1.4444,1.2229,1.3995,620035202.0
2024-12-26,1.3994,1.43,1.2505,1.2683,389681385.0
2024-12-27,1.2683,1.2939,1.1156,1.1435,496450263.0
2024-12-28,1.1435,1.2064,1.03,1.0761,481714841.0
2024-12-29,1.0761,1.1379,1.0237,1.0471,329118118.0
2024-12-30,1.047,1.106,0.9706,1.0108,387030070.0
2024-12-31,1.0109,1.0218,0.8647,0.9024,575675754.0
2025-01-01,0.9024,0.976,0.8906,0.9354,378594604.0
2025-01-02,0.9353,1.0688,0.9344,0.9959,421014540.0
2025-01-03,0.9959,1.0633,0.9103,1.0188,437853397.0
2025-01-04,1.0187,1.0482,0.9316,0.9514,260945642.0
2025-01-05,0.9514,1.0349,0.9385,0.9917,301425055.0
2025-01-06,0.9917,1.0271,0.9414,0.951,312827511.0
2025-01-07,0.951,0.9549,0.7713,0.7746,510880156.0
2025-01-08,0.7745,0.8038,0.6697,0.7021,450602058.0
2025-01-09,0.702,0.7355,0.6392,0.6921,410693151.0
2025-01-10,0.6922,0.7136,0.5575,0.667,874384608.0
2025-01-11,0.667,0.6879,0.6129,0.6376,607962421.0
2025-01-12,0.6375,0.6427,0.5752,0.5894,384853843.0
2025-01-13,0.5894,0.6073,0.49,0.5301,751398015.0
2025-01-14,0.5301,0.5794,0.5269,0.5395,468340879.0
2025-01-15,0.5396,0.599,0.4974,0.5802,583740332.0
2025-01-16,0.5802,0.583,0.5269,0.5362,449719542.0
2025-01-17,0.5362,0.5815,0.5334,0.5466,307487302.0
2025-01-18,0.5466,0.562,0.4952,0.5486,696875962.0
2025-01-19,0.5486,0.5762,0.3646,0.3883,1071714154.0
2025-01-20,0.3883,0.4244,0.3605,0.382,740202347.0
2025-01-21,0.382,0.4152,0.3513,0.3893,387949745.0
2025-01-22,0.3892,0.4077,0.364,0.3674,373385670.0
2025-01-23,0.3675,0.3933,0.3503,0.361,371267713.0
2025-01-24,0.361,0.3634,0.3175,0.3204,349052704.0
2025-01-25,0.3206,0.3409,0.3115,0.3189,304194577.0
