Time,Open,High,Low,Close,Volume
2025-03-12,0.3342,0.429,0.3079,0.3743,357406243.0
2025-03-13,0.3743,0.4082,0.2775,0.2927,688728907.0
2025-03-14,0.2927,0.327,0.2791,0.3074,311717957.0
2025-03-15,0.3074,0.3443,0.288,0.2925,265891260.0
2025-03-16,0.2925,0.3016,0.27,0.2896,163584422.0
2025-03-17,0.2897,0.3011,0.2802,0.2874,99523212.0
2025-03-18,0.2874,0.2888,0.2439,0.261,87808057.0
2025-03-19,0.261,0.2772,0.2521,0.2598,70357468.0
2025-03-20,0.2598,0.2837,0.2489,0.2616,78427171.0
2025-03-21,0.2618,0.2672,0.2351,0.2409,74579349.0
2025-03-22,0.2409,0.2578,0.2148,0.2459,46858509.0
2025-03-23,0.2459,0.2525,0.2361,0.2395,28467287.0
2025-03-24,0.2394,0.2507,0.2357,0.2506,24169607.0
2025-03-25,0.2506,0.257,0.2457,0.2551,26421888.0
2025-03-26,0.255,0.256,0.2407,0.2445,23023147.0
2025-03-27,0.2446,0.2482,0.2372,0.2418,19538462.0
2025-03-28,0.2419,0.2441,0.2224,0.2297,31896005.0
2025-03-29,0.2297,0.2512,0.2187,0.224,63040444.0
2025-03-30,0.2239,0.229,0.2157,0.22,21578180.0
2025-03-31,0.2201,0.2273,0.2157,0.2191,25496809.0
2025-04-01,0.2192,0.2271,0.2082,0.2127,20183634.0
2025-04-02,0.2128,0.2146,0.1941,0.1989,28045808.0
2025-04-03,0.1989,0.2141,0.1982,0.2037,33293367.0
2025-04-04,0.2037,0.2102,0.1995,0.2057,15291592.0
2025-04-05,0.2057,0.2084,0.1974,0.2027,8930871.0
2025-04-06,0.2028,0.2038,0.1747,0.1802,16871916.0
2025-04-07,0.1803,0.1938,0.1636,0.1869,30253459.0
2025-04-08,0.1869,0.1926,0.1752,0.1758,10146023.0
2025-04-09,0.1757,0.1984,0.1726,0.1963,20051844.0
2025-04-10,0.1963,0.1981,0.184,0.1891,11353623.0
2025-04-11,0.1891,0.2021,0.1887,0.1963,7170019.0
2025-04-12,0.1964,0.2055,0.1944,0.2014,6912587.0
2025-04-13,0.2014,0.2031,0.1886,0.1903,7752909.0
2025-04-14,0.1904,0.1964,0.1855,0.1918,8639922.0
2025-04-15,0.1919,0.206,0.1899,0.1928,30477508.0
2025-04-16,0.1929,0.2005,0.1826,0.1948,17442620.0
2025-04-17,0.1947,0.1968,0.1899,0.1927,7374554.0
2025-04-18,0.1926,0.2004,0.1908,0.1974,5950831.0
2025-04-19,0.1974,0.2082,0.1973,0.2028,5668039.0
2025-04-20,0.2028,0.2138,0.2006,0.21,7727632.0
2025-04-21,0.2101,0.2196,0.2081,0.2098,12811760.0
2025-04-22,0.2099,0.2221,0.2013,0.2201,12798380.0
2025-04-23,0.2203,0.2287,0.219,0.2232,12826255.0
2025-04-24,0.2233,0.2293,0.2192,0.2285,5391652.0
2025-04-25,0.2287,0.2407,0.2229,0.234,12432128.0
2025-04-26,0.2339,0.2431,0.2317,0.2382,4670756.0
2025-04-27,0.2383,0.2395,0.2255,0.2274,4611066.0
2025-04-28,0.2272,0.2359,0.2202,0.2318,4134858.0
2025-04-29,0.2321,0.2355,0.2209,0.2247,3136674.0
2025-04-30,0.2248,0.2375,0.2205,0.2296,7060453.0
2025-05-01,0.2297,0.238,0.2283,0.2365,3616882.0
2025-05-02,0.2367,0.2399,0.229,0.2307,4675972.0
2025-05-03,0.2306,0.2323,0.2084,0.2137,5766733.0
2025-05-04,0.2136,0.2165,0.2046,0.2082,5038542.0
2025-05-05,0.2084,0.2136,0.2061,0.2097,4917105.0
2025-05-06,0.2097,0.2121,0.1951,0.2058,7399190.0
2025-05-07,0.2059,0.213,0.2018,0.2112,5022116.0
2025-05-08,0.2114,0.2351,0.2099,0.2313,6446891.0
2025-05-09,0.2312,0.2452,0.226,0.2449,9903613.0
2025-05-10,0.2448,0.2586,0.2397,0.257,12710074.0
2025-05-11,0.2567,0.2614,0.2465,0.2569,5987405.0
2025-05-12,0.2569,0.2923,0.2527,0.2723,37618057.0
2025-05-13,0.2724,0.2766,0.252,0.2717,8798462.0
2025-05-14,0.2718,0.2774,0.2598,0.2625,8081688.0
2025-05-15,0.2625,0.2666,0.2358,0.2427,7321604.0
2025-05-16,0.2429,0.2525,0.2363,0.239,3867014.0
2025-05-17,0.2388,0.2402,0.2238,0.2268,4235627.0
2025-05-18,0.2269,0.2407,0.2247,0.2373,4984407.0
2025-05-19,0.2373,0.2383,0.2207,0.2291,4399233.0
2025-05-20,0.2291,0.2354,0.2209,0.2308,3921833.0
2025-05-21,0.2307,0.2377,0.2232,0.2319,12615953.0
2025-05-22,0.2319,0.2594,0.2311,0.2443,18858078.0
2025-05-23,0.2444,0.268,0.2199,0.2216,52644379.0
2025-05-24,0.2215,0.2267,0.2158,0.2179,10712566.0
2025-05-25,0.2179,0.2197,0.2082,0.2162,6561788.0
2025-05-26,0.2162,0.2211,0.212,0.2142,4022638.0
2025-05-27,0.2143,0.2422,0.2029,0.2154,32358876.0
2025-05-28,0.2155,0.2179,0.2094,0.2171,7113166.0
2025-05-29,0.2172,0.2216,0.2085,0.2102,8009529.0
2025-05-30,0.2102,0.2114,0.1823,0.1846,9364574.0
2025-05-31,0.1845,0.1893,0.1804,0.1881,4921062.0
2025-06-01,0.19,0.1901,0.1881,0.1884,309618.0
